time,Chicago,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Kleber vs. R. Lopez (K. Dunn gains possession),,,,Jump ball: M. Kleber vs. R. Lopez (K. Dunn gains possession)
11:44.0,K. Dunn makes 2-pt shot from 1 ft (assist by D. Valentine),2,2-0,,
11:31.0,,,2-3,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Smith)
11:11.0,L. Markkanen makes 3-pt shot from 24 ft (assist by D. Valentine),3,5-3,,
10:57.0,,,5-3,,M. Kleber misses 2-pt shot from 2 ft
10:55.0,,,5-3,,Offensive rebound by M. Kleber
10:53.0,,,5-3,,M. Kleber misses 2-pt shot from 2 ft
10:52.0,Defensive rebound by R. Lopez,,5-3,,
10:47.0,Turnover by L. Markkanen (lost ball; steal by D. Nowitzki),,5-3,,
10:41.0,,,5-3,,W. Matthews misses 3-pt shot from 27 ft
10:38.0,Defensive rebound by D. Valentine,,5-3,,
10:16.0,J. Holiday makes 3-pt shot from 27 ft (assist by R. Lopez),3,8-3,,
9:49.0,,,8-5,2,H. Barnes makes 2-pt shot from 2 ft
9:37.0,R. Lopez makes 2-pt shot from 6 ft,2,10-5,,
9:29.0,,,10-5,,Turnover by D. Smith (bad pass; steal by L. Markkanen)
9:24.0,K. Dunn makes 2-pt shot from 2 ft (assist by D. Valentine),2,12-5,,
9:09.0,,,12-7,2,H. Barnes makes 2-pt shot from 9 ft (assist by W. Matthews)
8:59.0,K. Dunn makes 3-pt shot from 25 ft,3,15-7,,
8:42.0,,,15-7,,H. Barnes misses 3-pt shot from 23 ft
8:39.0,Defensive rebound by L. Markkanen,,15-7,,
8:31.0,L. Markkanen makes 3-pt shot from 25 ft (assist by R. Lopez),3,18-7,,
8:29.0,,,18-7,,Dallas full timeout
8:16.0,,,18-7,,W. Matthews misses 2-pt shot from 7 ft
8:13.0,Defensive rebound by L. Markkanen,,18-7,,
8:06.0,K. Dunn makes 2-pt shot from 16 ft,2,20-7,,
7:54.0,,,20-9,2,M. Kleber makes 2-pt shot at rim (assist by D. Nowitzki)
7:41.0,Turnover by R. Lopez (bad pass),,20-9,,
