time,LA Clippers,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. W. Reed (M. Teodosic gains possession),,,,Jump ball: R. Gobert vs. W. Reed (M. Teodosic gains possession)
11:49.0,W. Reed misses 2-pt shot from 2 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by R. Rubio
11:42.0,,,0-0,,Shooting foul by T. Wallace (drawn by D. Favors)
11:42.0,,,0-1,1,D. Favors makes free throw 1 of 2
11:42.0,,,0-2,1,D. Favors makes free throw 2 of 2
11:33.0,B. Griffin misses 3-pt shot from 24 ft,,0-2,,
11:29.0,,,0-2,,Defensive rebound by D. Mitchell
11:17.0,,,0-4,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Rubio)
11:07.0,L. Williams misses 2-pt shot from 9 ft,,0-4,,
11:05.0,Offensive rebound by W. Reed,,0-4,,
11:02.0,W. Reed makes 2-pt shot from 9 ft (assist by L. Williams),2,2-4,,
10:44.0,,,2-4,,R. Gobert misses 2-pt shot from 1 ft
10:42.0,Defensive rebound by T. Wallace,,2-4,,
10:36.0,Turnover by B. Griffin (bad pass; steal by D. Favors),,2-4,,
10:31.0,,,2-6,2,R. Rubio makes 2-pt shot from 2 ft (assist by D. Favors)
10:20.0,T. Wallace misses 3-pt shot from 23 ft,,2-6,,
10:17.0,,,2-6,,Defensive rebound by R. Gobert
10:07.0,,,2-6,,R. Gobert misses 2-pt shot from 1 ft
10:06.0,Defensive rebound by L. Williams,,2-6,,
9:53.0,L. Williams makes 2-pt shot from 16 ft (assist by M. Teodosic),2,4-6,,
9:36.0,,,4-8,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
9:21.0,M. Teodosic misses 2-pt shot from 20 ft,,4-8,,
9:19.0,,,4-8,,Defensive rebound by R. Gobert
9:05.0,,,4-10,2,D. Mitchell makes 2-pt shot from 15 ft
8:53.0,B. Griffin makes 3-pt shot from 24 ft (assist by L. Williams),3,7-10,,
8:37.0,,,7-13,3,J. Ingles makes 3-pt shot from 24 ft (assist by R. Rubio)
8:25.0,,,7-13,,Violation by D. Favors (kicked ball)
8:21.0,L. Williams makes 2-pt shot from 2 ft,2,9-13,,
8:07.0,,,9-13,,D. Mitchell misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by W. Reed,,9-13,,
7:55.0,L. Williams misses 2-pt shot from 9 ft,,9-13,,
7:52.0,,,9-13,,Defensive rebound by R. Gobert
7:46.0,,,9-13,,R. Rubio misses 2-pt shot from 13 ft
7:44.0,Defensive rebound by B. Griffin,,9-13,,
7:44.0,,,9-13,,Personal foul by R. Rubio (drawn by B. Griffin)
7:44.0,,,9-13,,J. Jerebko enters the game for D. Favors
7:25.0,Shooting foul by R. Gobert (drawn by T. Wallace),,9-13,,
7:25.0,T. Wallace makes free throw 1 of 2,1,10-13,,
7:25.0,T. Wallace makes free throw 2 of 2,1,11-13,,
7:10.0,,,11-13,,Turnover by J. Ingles (bad pass; steal by L. Williams)
7:05.0,Turnover by T. Wallace (bad pass; steal by J. Ingles),,11-13,,
7:00.0,,,11-15,2,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio)
6:46.0,M. Teodosic makes 3-pt shot from 24 ft,3,14-15,,
6:26.0,,,14-15,,R. Rubio misses 3-pt shot from 23 ft
6:21.0,,,14-15,,Offensive rebound by J. Jerebko
6:21.0,,,14-17,2,J. Jerebko makes 2-pt shot at rim
6:04.0,B. Griffin misses 2-pt shot from 9 ft,,14-17,,
6:01.0,Offensive rebound by W. Reed,,14-17,,
5:53.0,Turnover by M. Teodosic (bad pass; steal by R. Rubio),,14-17,,
5:48.0,,,14-19,2,J. Jerebko makes 2-pt shot from 1 ft (assist by R. Rubio)
5:31.0,M. Teodosic misses 3-pt shot from 23 ft,,14-19,,
5:29.0,,,14-19,,Defensive rebound by D. Mitchell
5:24.0,,,14-22,3,R. Rubio makes 3-pt shot from 25 ft (assist by J. Jerebko)
5:22.0,LA Clippers full timeout,,14-22,,
5:22.0,J. Evans enters the game for M. Teodosic,,14-22,,
5:22.0,W. Johnson enters the game for W. Reed,,14-22,,
5:08.0,W. Johnson makes 2-pt shot from 11 ft,2,16-22,,
