time,Milwaukee,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. J. Henson (A. Horford gains possession),,,,Jump ball: A. Baynes vs. J. Henson (A. Horford gains possession)
11:39.0,,,0-0,,A. Horford misses 2-pt shot from 5 ft
11:38.0,,,0-0,,Offensive rebound by J. Brown
11:38.0,,,0-2,2,J. Brown makes 2-pt shot at rim
11:25.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,2-2,,
11:25.0,Shooting foul by A. Baynes (drawn by G. Antetokounmpo),,2-2,,
11:25.0,G. Antetokounmpo makes free throw 1 of 1,1,3-2,,
11:02.0,,,3-2,,J. Tatum misses 2-pt shot from 20 ft
11:00.0,Defensive rebound by K. Middleton,,3-2,,
10:52.0,Turnover by G. Antetokounmpo (bad pass; steal by T. Rozier),,3-2,,
10:51.0,,,3-4,2,T. Rozier makes 2-pt shot from 1 ft
10:51.0,Violation by K. Middleton (def goaltending),,3-4,,
10:35.0,J. Henson makes 2-pt shot from 2 ft,2,5-4,,
10:10.0,,,5-4,,J. Tatum misses 3-pt shot from 23 ft
10:07.0,,,5-4,,Offensive rebound by A. Baynes
10:05.0,,,5-7,3,J. Brown makes 3-pt shot from 25 ft (assist by T. Rozier)
9:46.0,,,5-7,,Personal foul by T. Rozier (drawn by E. Bledsoe)
9:40.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Henson),2,7-7,,
9:25.0,,,7-7,,Turnover by J. Tatum (lost ball; steal by G. Antetokounmpo)
9:04.0,G. Antetokounmpo makes 2-pt shot from 17 ft,2,9-7,,
8:47.0,,,9-7,,J. Brown misses 3-pt shot from 27 ft
8:45.0,Defensive rebound by J. Henson,,9-7,,
8:40.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,11-7,,
8:23.0,,,11-9,2,J. Brown makes 2-pt shot from 12 ft (assist by J. Tatum)
8:03.0,J. Henson misses 2-pt shot from 9 ft,,11-9,,
8:01.0,,,11-9,,Defensive rebound by A. Horford
7:54.0,,,11-9,,T. Rozier misses 2-pt shot at rim
7:53.0,,,11-9,,Offensive rebound by A. Baynes
7:53.0,,,11-9,,A. Baynes misses 2-pt shot from 1 ft
7:53.0,,,11-9,,Offensive rebound by Team
7:52.0,,,11-9,,G. Yabusele enters the game for A. Baynes
7:52.0,T. Zeller enters the game for J. Henson,,11-9,,
7:47.0,,,11-11,2,T. Rozier makes 2-pt shot from 9 ft
7:32.0,T. Snell misses 3-pt shot from 23 ft,,11-11,,
7:30.0,,,11-11,,Defensive rebound by J. Brown
7:22.0,,,11-11,,J. Brown misses 2-pt shot from 2 ft
7:20.0,Defensive rebound by G. Antetokounmpo,,11-11,,
