time,Toronto,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. J. Valanciunas (D. Schroder gains possession),,,,Jump ball: M. Plumlee vs. J. Valanciunas (D. Schroder gains possession)
11:45.0,,,0-0,,D. Schroder misses 3-pt shot from 24 ft
11:40.0,Defensive rebound by K. Lowry,,0-0,,
11:19.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,2-0,,
10:59.0,,,2-2,2,T. Waller-Prince makes 2-pt shot from 11 ft
10:39.0,,,2-2,,Shooting block foul by M. Plumlee (drawn by S. Ibaka)
10:39.0,S. Ibaka makes free throw 1 of 2,1,3-2,,
10:39.0,S. Ibaka makes free throw 2 of 2,1,4-2,,
10:29.0,,,4-2,,Turnover by D. Schroder (bad pass; steal by K. Lowry)
10:25.0,K. Lowry misses 3-pt shot from 25 ft,,4-2,,
10:22.0,Offensive rebound by S. Ibaka,,4-2,,
10:21.0,S. Ibaka misses 2-pt shot from 2 ft (block by K. Bazemore),,4-2,,
10:21.0,Offensive rebound by Team,,4-2,,
10:19.0,Offensive foul by D. DeRozan (drawn by K. Bazemore),,4-2,,
10:19.0,Turnover by D. DeRozan (offensive foul),,4-2,,
10:08.0,,,4-2,,T. Waller-Prince misses 2-pt shot from 1 ft
10:04.0,Defensive rebound by J. Valanciunas,,4-2,,
10:01.0,Turnover by K. Lowry (bad pass),,4-2,,
9:50.0,,,4-4,2,K. Bazemore makes 2-pt shot from 1 ft (assist by M. Plumlee)
9:34.0,S. Ibaka misses 3-pt shot from 25 ft,,4-4,,
9:31.0,,,4-4,,Defensive rebound by D. Schroder
9:14.0,,,4-4,,K. Bazemore misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by S. Ibaka,,4-4,,
8:56.0,D. DeRozan makes 2-pt shot from 12 ft (assist by J. Valanciunas),2,6-4,,
8:33.0,,,6-4,,E. Ilyasova misses 2-pt shot from 1 ft
8:29.0,Defensive rebound by O. Anunoby,,6-4,,
8:23.0,K. Lowry misses 3-pt shot from 25 ft,,6-4,,
8:20.0,Offensive rebound by J. Valanciunas,,6-4,,
8:19.0,J. Valanciunas misses 2-pt shot from 1 ft (block by M. Plumlee),,6-4,,
8:19.0,,,6-4,,Defensive rebound by Team
8:05.0,,,6-4,,Offensive foul by E. Ilyasova (drawn by K. Lowry)
8:05.0,,,6-4,,Turnover by E. Ilyasova (offensive foul)
7:51.0,D. DeRozan misses 3-pt shot from 24 ft,,6-4,,
7:47.0,,,6-4,,Defensive rebound by E. Ilyasova
7:41.0,,,6-6,2,D. Schroder makes 2-pt shot from 11 ft
7:30.0,J. Valanciunas misses 2-pt shot from 9 ft,,6-6,,
7:25.0,,,6-6,,Defensive rebound by M. Plumlee
7:20.0,,,6-6,,Turnover by D. Schroder (bad pass; steal by J. Valanciunas)
7:05.0,J. Valanciunas makes 2-pt shot from 9 ft,2,8-6,,
6:56.0,,,8-6,,Atlanta full timeout
6:56.0,,,8-6,,M. Belinelli enters the game for T. Waller-Prince
6:56.0,,,8-6,,D. Dedmon enters the game for M. Plumlee
6:47.0,,,8-6,,D. Dedmon misses 2-pt shot from 6 ft (block by K. Lowry)
6:44.0,Defensive rebound by K. Lowry,,8-6,,
6:43.0,O. Anunoby makes 2-pt shot at rim (assist by D. DeRozan),2,10-6,,
6:28.0,Personal foul by S. Ibaka (drawn by E. Ilyasova),,10-6,,
6:22.0,,,10-6,,M. Belinelli misses 2-pt shot from 21 ft
6:19.0,Defensive rebound by K. Lowry,,10-6,,
6:17.0,Offensive charge foul by K. Lowry (drawn by D. Schroder),,10-6,,
6:17.0,Turnover by K. Lowry (offensive foul),,10-6,,
6:06.0,,,10-6,,D. Schroder misses 3-pt shot from 24 ft
6:01.0,Defensive rebound by J. Valanciunas,,10-6,,
5:54.0,J. Valanciunas makes 2-pt shot from 18 ft (assist by D. DeRozan),2,12-6,,
5:41.0,,,12-6,,K. Bazemore misses 2-pt shot from 12 ft
5:40.0,,,12-6,,Offensive rebound by K. Bazemore
5:39.0,,,12-6,,K. Bazemore misses 2-pt shot from 3 ft
5:39.0,Defensive rebound by J. Valanciunas,,12-6,,
5:30.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,14-6,,
5:30.0,Shooting foul by D. Dedmon (drawn by J. Valanciunas),,14-6,,
5:30.0,,,14-6,,J. Collins enters the game for E. Ilyasova
5:30.0,,,14-6,,T. Waller-Prince enters the game for K. Bazemore
5:30.0,J. Valanciunas misses free throw 1 of 1,,14-6,,
5:28.0,,,14-6,,Defensive rebound by J. Collins
5:06.0,,,14-6,,D. Schroder misses 2-pt shot from 6 ft
5:02.0,Defensive rebound by D. DeRozan,,14-6,,
4:58.0,O. Anunoby misses 3-pt shot from 21 ft,,14-6,,
4:54.0,,,14-6,,Defensive rebound by T. Waller-Prince
4:47.0,Jump ball: D. Dedmon vs. K. Lowry (D. Schroder gains possession),,,,Jump ball: D. Dedmon vs. K. Lowry (D. Schroder gains possession)
4:43.0,,,14-6,,M. Belinelli misses 3-pt shot from 23 ft
4:40.0,Defensive rebound by O. Anunoby,,14-6,,
4:40.0,,,14-6,,Personal foul by D. Schroder (drawn by O. Anunoby)
4:27.0,S. Ibaka makes 3-pt shot from 27 ft,3,17-6,,
4:06.0,,,17-8,2,D. Schroder makes 2-pt shot from 20 ft (assist by M. Belinelli)
3:48.0,Shooting foul by T. Waller-Prince (drawn by J. Valanciunas),,17-8,,
3:48.0,J. Valanciunas makes free throw 1 of 2,1,18-8,,
3:48.0,,,18-8,,M. Delaney enters the game for D. Schroder
3:48.0,C. Miles enters the game for O. Anunoby,,18-8,,
3:48.0,J. Valanciunas makes free throw 2 of 2,1,19-8,,
3:33.0,,,19-8,,T. Waller-Prince misses 2-pt shot from 5 ft (block by J. Valanciunas)
3:33.0,,,19-8,,Offensive rebound by Team
3:33.0,J. Poeltl enters the game for J. Valanciunas,,19-8,,
3:33.0,Personal foul by C. Miles (drawn by T. Waller-Prince),,19-8,,
3:33.0,,,19-8,,J. Collins misses 2-pt shot from 11 ft
3:20.0,,,19-8,,Offensive rebound by D. Dedmon
3:18.0,,,19-10,2,M. Belinelli makes 2-pt shot from 13 ft (assist by D. Dedmon)
3:07.0,Toronto full timeout,,19-10,,
