time,Charlotte,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. D. Howard (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. D. Howard (G. Antetokounmpo gains possession)
11:41.0,,,0-0,,G. Antetokounmpo misses 3-pt shot from 26 ft
11:37.0,Defensive rebound by D. Howard,,0-0,,
11:30.0,K. Walker makes 2-pt shot at rim,2,2-0,,
11:24.0,,,2-2,2,E. Bledsoe makes 2-pt shot from 13 ft
11:07.0,D. Howard misses 2-pt shot from 6 ft,,2-2,,
11:04.0,,,2-2,,Defensive rebound by J. Henson
10:58.0,,,2-2,,K. Middleton misses 2-pt shot from 11 ft
10:52.0,,,2-2,,Offensive rebound by E. Bledsoe
10:52.0,,,2-4,2,E. Bledsoe makes 2-pt shot at rim
10:48.0,Charlotte full timeout,,2-4,,
10:30.0,K. Walker makes 2-pt shot from 2 ft (assist by N. Batum),2,4-4,,
10:16.0,Personal foul by M. Williams (drawn by J. Henson),,4-4,,
10:12.0,,,4-4,,Shooting foul by D. Howard (drawn by G. Antetokounmpo)
10:12.0,,,4-5,1,G. Antetokounmpo makes free throw 1 of 2
10:12.0,,,4-6,1,G. Antetokounmpo makes free throw 2 of 2
9:55.0,M. Williams misses 2-pt shot from 2 ft,,4-6,,
9:49.0,Offensive rebound by M. Williams,,4-6,,
9:49.0,M. Williams misses 2-pt shot at rim,,4-6,,
9:48.0,,,4-6,,Defensive rebound by T. Snell
9:40.0,,,4-6,,T. Snell misses 3-pt shot from 26 ft
9:37.0,Defensive rebound by M. Williams,,4-6,,
9:31.0,K. Walker makes 2-pt shot from 7 ft,2,6-6,,
9:22.0,,,6-9,3,E. Bledsoe makes 3-pt shot from 27 ft (assist by T. Snell)
9:07.0,N. Batum makes 3-pt shot from 26 ft (assist by M. Williams),3,9-9,,
8:54.0,,,9-9,,G. Antetokounmpo misses 2-pt shot from 8 ft
8:52.0,,,9-9,,Offensive rebound by J. Henson
8:43.0,,,9-11,2,K. Middleton makes 2-pt shot from 14 ft
8:20.0,N. Batum misses 2-pt shot from 13 ft,,9-11,,
8:17.0,,,9-11,,Defensive rebound by J. Henson
8:13.0,,,9-13,2,G. Antetokounmpo makes 2-pt shot from 1 ft
7:53.0,D. Howard misses 2-pt shot from 1 ft,,9-13,,
7:51.0,,,9-13,,Defensive rebound by K. Middleton
7:48.0,,,9-13,,G. Antetokounmpo misses 2-pt shot from 2 ft
7:44.0,Defensive rebound by M. Kidd-Gilchrist,,9-13,,
7:39.0,D. Howard makes 2-pt shot at rim (assist by M. Kidd-Gilchrist),2,11-13,,
7:24.0,,,11-13,,G. Antetokounmpo misses 2-pt shot from 4 ft (block by D. Howard)
7:24.0,,,11-13,,Offensive rebound by Team
