time,Portland,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. J. Nurkic (T. Gibson gains possession),,,,Jump ball: K. Towns vs. J. Nurkic (T. Gibson gains possession)
11:46.0,,,0-0,,T. Gibson misses 2-pt shot from 15 ft
11:42.0,Defensive rebound by D. Lillard,,0-0,,
11:35.0,E. Turner misses 2-pt shot from 16 ft,,0-0,,
11:32.0,Offensive rebound by A. Aminu,,0-0,,
11:31.0,A. Aminu misses 2-pt shot from 5 ft,,0-0,,
11:28.0,,,0-0,,Defensive rebound by T. Gibson
11:18.0,,,0-0,,Shooting foul by C. McCollum (drawn by A. Wiggins)
11:18.0,,,0-0,,A. Wiggins misses free throw 1 of 2
11:18.0,,,0-0,,Offensive rebound by Team
11:18.0,,,0-1,1,A. Wiggins makes free throw 2 of 2
11:01.0,Turnover by E. Turner (lost ball; steal by A. Wiggins),,0-1,,
10:56.0,,,0-1,,Turnover by J. Teague (bad pass)
10:39.0,Shooting foul by T. Gibson (drawn by J. Nurkic),,0-1,,
10:39.0,J. Nurkic makes free throw 1 of 2,1,1-1,,
10:39.0,J. Nurkic makes free throw 2 of 2,1,2-1,,
10:32.0,,,2-1,,Turnover by A. Wiggins (bad pass; steal by J. Nurkic)
10:22.0,C. McCollum misses 2-pt shot from 20 ft,,2-1,,
10:18.0,Offensive rebound by J. Nurkic,,2-1,,
10:17.0,J. Nurkic makes 2-pt shot from 1 ft,2,4-1,,
10:04.0,,,4-1,,Turnover by T. Gibson (bad pass; steal by E. Turner)
10:00.0,E. Turner misses 2-pt shot from 1 ft,,4-1,,
9:58.0,Offensive rebound by E. Turner,,4-1,,
9:58.0,E. Turner makes 2-pt shot at rim,2,6-1,,
9:58.0,,,6-1,,Minnesota full timeout
9:37.0,,,6-3,2,T. Gibson makes 2-pt shot from 1 ft
9:24.0,C. McCollum misses 2-pt shot from 2 ft,,6-3,,
9:20.0,,,6-3,,Defensive rebound by J. Butler
9:15.0,,,6-3,,J. Butler misses 2-pt shot from 1 ft
9:15.0,,,6-3,,Offensive rebound by Team
9:12.0,Jump ball: J. Nurkic vs.,,,,Jump ball: J. Nurkic vs.
9:07.0,Personal foul by D. Lillard (drawn by J. Teague),,6-3,,
8:54.0,,,6-5,2,J. Butler makes 2-pt shot at rim
8:44.0,Turnover by D. Lillard (bad pass; steal by J. Butler),,6-5,,
8:38.0,Personal foul by C. McCollum (drawn by J. Butler),,6-5,,
8:38.0,S. Napier enters the game for C. McCollum,,6-5,,
8:33.0,,,6-7,2,J. Butler makes 2-pt shot from 15 ft
8:13.0,J. Nurkic makes 2-pt shot from 5 ft (assist by D. Lillard),2,8-7,,
7:49.0,,,8-7,,J. Butler misses 2-pt shot from 11 ft
7:47.0,Defensive rebound by A. Aminu,,8-7,,
7:42.0,D. Lillard makes 2-pt shot from 1 ft (assist by A. Aminu),2,10-7,,
7:36.0,,,10-7,,Shooting foul by S. Napier (drawn by J. Teague)
7:36.0,,,10-8,1,J. Teague makes free throw 1 of 2
7:36.0,,,10-9,1,J. Teague makes free throw 2 of 2
7:24.0,D. Lillard makes 2-pt shot from 20 ft (assist by E. Turner),2,12-9,,
7:06.0,,,12-11,2,A. Wiggins makes 2-pt shot from 13 ft (assist by J. Teague)
6:55.0,D. Lillard misses 2-pt shot from 12 ft,,12-11,,
6:51.0,,,12-11,,Defensive rebound by J. Butler
6:35.0,,,12-11,,J. Teague misses 2-pt shot from 17 ft
6:32.0,,,12-11,,Offensive rebound by T. Gibson
6:31.0,,,12-13,2,T. Gibson makes 2-pt shot from 1 ft
6:13.0,Turnover by D. Lillard (bad pass; steal by K. Towns),,12-13,,
6:13.0,Personal foul by D. Lillard (drawn by J. Teague),,12-13,,
6:13.0,,,12-14,1,J. Teague makes free throw 1 of 2
6:13.0,,,12-15,1,J. Teague makes free throw 2 of 2
6:00.0,Offensive charge foul by J. Nurkic (drawn by K. Towns),,12-15,,
6:00.0,Turnover by J. Nurkic (offensive foul),,12-15,,
5:41.0,,,12-15,,K. Towns misses 3-pt shot from 25 ft
5:38.0,,,12-15,,Offensive rebound by T. Gibson
5:37.0,,,12-17,2,T. Gibson makes 2-pt shot from 1 ft
5:37.0,Portland full timeout,,12-17,,
5:24.0,S. Napier makes 3-pt shot from 24 ft (assist by D. Lillard),3,15-17,,
5:02.0,,,15-17,,T. Gibson misses 2-pt shot from 14 ft
4:58.0,,,15-17,,Offensive rebound by A. Wiggins
4:57.0,,,15-19,2,T. Gibson makes 2-pt shot from 1 ft (assist by A. Wiggins)
4:42.0,Shooting foul by K. Towns (drawn by S. Napier),,15-19,,
4:42.0,S. Napier makes free throw 1 of 2,1,16-19,,
4:42.0,,,16-19,,G. Dieng enters the game for K. Towns
4:42.0,E. Davis enters the game for E. Turner,,16-19,,
4:42.0,Z. Collins enters the game for J. Nurkic,,16-19,,
4:42.0,S. Napier makes free throw 2 of 2,1,17-19,,
4:35.0,,,17-19,,Turnover by A. Wiggins (turnover)
4:35.0,,,17-19,,Loose ball foul by A. Wiggins (drawn by S. Napier)
4:17.0,S. Napier makes 2-pt shot from 17 ft,2,19-19,,
4:07.0,,,19-21,2,J. Teague makes 2-pt shot from 6 ft
3:50.0,D. Lillard makes 3-pt shot from 26 ft (assist by Z. Collins),3,22-21,,
3:30.0,,,22-23,2,J. Teague makes 2-pt shot from 7 ft
3:12.0,E. Davis misses 2-pt shot from 3 ft,,22-23,,
3:08.0,Offensive rebound by A. Aminu,,22-23,,
3:08.0,A. Aminu makes 2-pt shot at rim,2,24-23,,
3:00.0,,,24-23,,Turnover by G. Dieng (traveling)
3:00.0,,,24-23,,J. Crawford enters the game for J. Butler
3:00.0,C. McCollum enters the game for D. Lillard,,24-23,,
3:00.0,P. Connaughton enters the game for A. Aminu,,24-23,,
2:53.0,Offensive foul by S. Napier (drawn by A. Wiggins),,24-23,,
2:53.0,Turnover by S. Napier (offensive foul),,24-23,,
2:41.0,,,24-25,2,A. Wiggins makes 2-pt shot from 10 ft (assist by J. Teague)
2:20.0,C. McCollum misses 2-pt shot from 1 ft (block by G. Dieng),,24-25,,
2:16.0,,,24-25,,Defensive rebound by G. Dieng
2:00.0,,,24-27,2,A. Wiggins makes 2-pt shot from 2 ft
1:50.0,Z. Collins makes 2-pt shot from 22 ft (assist by S. Napier),2,26-27,,
1:35.0,,,26-29,2,A. Wiggins makes 2-pt shot from 20 ft (assist by J. Teague)
1:24.0,S. Napier makes 2-pt shot from 21 ft,2,28-29,,
1:07.0,,,28-29,,J. Teague misses 2-pt shot from 7 ft (block by S. Napier)
1:06.0,,,28-29,,Offensive rebound by Team
1:06.0,,,28-29,,T. Jones enters the game for J. Teague
1:02.0,,,28-29,,J. Crawford misses 3-pt shot from 26 ft
1:02.0,Defensive rebound by Team,,28-29,,
1:00.0,,,28-29,,Loose ball foul by G. Dieng (drawn by Z. Collins)
1:00.0,,,28-29,,N. Bjelica enters the game for T. Gibson
0:44.0,C. McCollum makes 2-pt shot from 1 ft,2,30-29,,
0:32.0,,,30-29,,A. Wiggins misses 2-pt shot from 18 ft
0:30.0,Defensive rebound by Z. Collins,,30-29,,
0:12.0,C. McCollum makes 3-pt shot from 24 ft (assist by Z. Collins),3,33-29,,
0:00.0,,,33-29,,Shooting foul by E. Davis (drawn by J. Crawford)
0:00.0,,,33-30,1,J. Crawford makes free throw 1 of 3
0:00.0,,,33-30,,J. Crawford misses free throw 2 of 3
0:00.0,,,33-30,,Offensive rebound by Team
0:00.0,,,33-31,1,J. Crawford makes free throw 3 of 3
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Z. Collins makes 2-pt shot at rim (assist by S. Napier),2,35-31,,
11:27.0,Personal foul by C. McCollum (drawn by J. Crawford),,35-31,,
11:27.0,E. Turner enters the game for C. McCollum,,35-31,,
11:18.0,,,35-31,,K. Towns misses 2-pt shot from 7 ft
11:15.0,Defensive rebound by P. Connaughton,,35-31,,
11:02.0,P. Connaughton misses 2-pt shot from 15 ft,,35-31,,
10:59.0,,,35-31,,Defensive rebound by K. Towns
10:55.0,,,35-31,,T. Jones misses 3-pt shot from 23 ft
10:50.0,Defensive rebound by E. Davis,,35-31,,
10:38.0,E. Turner misses 2-pt shot from 2 ft (block by J. Crawford),,35-31,,
10:35.0,,,35-31,,Defensive rebound by K. Towns
10:33.0,,,35-31,,N. Bjelica misses 3-pt shot from 24 ft
10:33.0,Defensive rebound by E. Davis,,35-31,,
10:20.0,,,35-31,,Personal foul by G. Dieng (drawn by Z. Collins)
10:10.0,S. Napier misses 2-pt shot from 9 ft,,35-31,,
10:08.0,,,35-31,,Defensive rebound by G. Dieng
9:55.0,,,35-33,2,G. Dieng makes 2-pt shot from 15 ft (assist by N. Bjelica)
9:30.0,S. Napier misses 3-pt shot from 24 ft,,35-33,,
9:28.0,,,35-33,,Defensive rebound by K. Towns
9:18.0,,,35-33,,J. Crawford misses 3-pt shot from 27 ft
