time,Boston,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. A. Baynes (M. Teodosic gains possession),,,,Jump ball: D. Jordan vs. A. Baynes (M. Teodosic gains possession)
11:46.0,,,0-0,,B. Griffin misses 2-pt shot from 5 ft
11:44.0,Defensive rebound by A. Baynes,,0-0,,
11:29.0,M. Morris misses 3-pt shot from 23 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by D. Jordan
11:18.0,Personal foul by M. Morris (drawn by B. Griffin),,0-0,,
11:08.0,,,0-0,,B. Griffin misses 2-pt shot from 2 ft
11:04.0,,,0-0,,Offensive rebound by M. Teodosic
11:04.0,,,0-2,2,M. Teodosic makes 2-pt shot at rim
10:52.0,K. Irving makes 3-pt shot from 26 ft,3,3-2,,
10:24.0,,,3-2,,B. Griffin misses 2-pt shot from 22 ft
10:19.0,Defensive rebound by A. Baynes,,3-2,,
10:09.0,J. Brown misses 2-pt shot from 4 ft (block by W. Johnson),,3-2,,
10:06.0,,,3-2,,Defensive rebound by W. Johnson
9:51.0,,,3-4,2,T. Wallace makes 2-pt shot from 6 ft (assist by B. Griffin)
9:34.0,Turnover by K. Irving (bad pass; steal by T. Wallace),,3-4,,
9:30.0,,,3-4,,T. Wallace misses 2-pt shot from 1 ft
9:26.0,Defensive rebound by J. Brown,,3-4,,
9:23.0,Turnover by M. Morris (lost ball; steal by B. Griffin),,3-4,,
9:20.0,,,3-6,2,B. Griffin makes 2-pt shot from 1 ft
9:20.0,,,3-6,,Shooting foul by J. Tatum (drawn by B. Griffin)
9:20.0,,,3-7,1,B. Griffin makes free throw 1 of 1
9:09.0,J. Tatum makes 2-pt shot from 20 ft (assist by M. Morris),2,5-7,,
8:55.0,,,5-7,,Turnover by D. Jordan (turnover)
8:38.0,M. Morris misses 3-pt shot from 26 ft,,5-7,,
8:34.0,Offensive rebound by J. Brown,,5-7,,
8:32.0,,,5-7,,Shooting block foul by D. Jordan (drawn by J. Brown)
8:32.0,J. Brown makes free throw 1 of 2,1,6-7,,
8:32.0,J. Brown makes free throw 2 of 2,1,7-7,,
8:14.0,,,7-7,,B. Griffin misses 3-pt shot from 26 ft
8:10.0,Defensive rebound by K. Irving,,7-7,,
7:53.0,A. Baynes makes 2-pt shot from 12 ft (assist by J. Tatum),2,9-7,,
7:46.0,,,9-7,,M. Teodosic misses 2-pt shot from 19 ft
7:44.0,,,9-7,,Offensive rebound by Team
7:31.0,Violation by A. Baynes (kicked ball),,9-7,,
7:19.0,,,9-9,2,T. Wallace makes 2-pt shot from 11 ft
7:01.0,A. Baynes misses 2-pt shot from 2 ft,,9-9,,
6:59.0,,,9-9,,Defensive rebound by T. Wallace
6:58.0,,,9-11,2,B. Griffin makes 2-pt shot at rim (assist by M. Teodosic)
6:34.0,J. Tatum misses 3-pt shot from 29 ft,,9-11,,
6:34.0,Offensive rebound by Team,,9-11,,
6:34.0,,,9-11,,LA Clippers full timeout
6:29.0,K. Irving makes 2-pt shot from 14 ft (assist by J. Tatum),2,11-11,,
6:13.0,,,11-13,2,W. Johnson makes 2-pt shot from 21 ft (assist by M. Teodosic)
5:48.0,J. Tatum misses 2-pt shot from 2 ft (block by W. Johnson),,11-13,,
5:43.0,Offensive rebound by M. Morris,,11-13,,
5:42.0,M. Morris makes 3-pt shot from 26 ft,3,14-13,,
5:36.0,,,14-13,,Turnover by M. Teodosic (lost ball; steal by J. Brown)
5:31.0,J. Brown makes 2-pt shot from 2 ft,2,16-13,,
5:22.0,,,16-13,,T. Wallace misses 2-pt shot from 4 ft
5:19.0,,,16-13,,Offensive rebound by D. Jordan
5:18.0,,,16-13,,Turnover by D. Jordan (bad pass; steal by K. Irving)
5:15.0,J. Tatum misses 3-pt shot from 26 ft,,16-13,,
5:10.0,,,16-13,,Defensive rebound by D. Jordan
5:00.0,,,16-15,2,D. Jordan makes 2-pt shot from 1 ft (assist by T. Wallace)
4:39.0,A. Baynes makes 2-pt shot from 1 ft (assist by K. Irving),2,18-15,,
4:24.0,,,18-17,2,W. Johnson makes 2-pt shot from 19 ft (assist by M. Teodosic)
4:11.0,K. Irving misses 3-pt shot from 25 ft,,18-17,,
4:09.0,,,18-17,,Defensive rebound by B. Griffin
4:05.0,,,18-17,,W. Johnson misses 2-pt shot at rim
4:01.0,Defensive rebound by A. Baynes,,18-17,,
3:57.0,K. Irving makes 2-pt shot from 1 ft (assist by A. Baynes),2,20-17,,
3:43.0,,,20-17,,M. Teodosic misses 3-pt shot from 26 ft
3:42.0,Defensive rebound by A. Baynes,,20-17,,
3:42.0,Boston full timeout,,20-17,,
3:42.0,,,20-17,,L. Williams enters the game for M. Teodosic
3:42.0,S. Ojeleye enters the game for J. Tatum,,20-17,,
3:42.0,T. Rozier enters the game for M. Morris,,20-17,,
3:28.0,K. Irving misses 3-pt shot from 25 ft,,20-17,,
3:25.0,Offensive rebound by S. Ojeleye,,20-17,,
3:19.0,K. Irving misses 3-pt shot from 22 ft,,20-17,,
3:17.0,,,20-17,,Defensive rebound by W. Johnson
3:10.0,,,20-17,,L. Williams misses 3-pt shot from 25 ft
3:08.0,,,20-17,,Offensive rebound by D. Jordan
3:08.0,,,20-17,,Shooting foul by S. Ojeleye (drawn by D. Jordan)
3:08.0,,,20-18,1,D. Jordan makes free throw 1 of 2
3:08.0,,,20-18,,D. Jordan misses free throw 2 of 2
3:05.0,Defensive rebound by S. Ojeleye,,20-18,,
3:01.0,S. Ojeleye misses 2-pt shot from 2 ft,,20-18,,
2:55.0,Offensive rebound by S. Ojeleye,,20-18,,
2:51.0,Turnover by S. Ojeleye (turnover),,20-18,,
2:51.0,Loose ball foul by S. Ojeleye (drawn by B. Griffin),,20-18,,
2:48.0,Personal take foul by S. Ojeleye (drawn by D. Jordan),,20-18,,
2:48.0,,,20-19,1,D. Jordan makes free throw 1 of 2
2:48.0,,,20-19,,D. Jordan misses free throw 2 of 2
2:46.0,Defensive rebound by J. Brown,,20-19,,
2:36.0,A. Baynes makes 2-pt shot from 19 ft (assist by T. Rozier),2,22-19,,
2:13.0,,,22-19,,Turnover by B. Griffin (traveling)
2:13.0,,,22-19,,M. Harrell enters the game for D. Jordan
2:13.0,S. Larkin enters the game for K. Irving,,22-19,,
2:00.0,S. Larkin makes 3-pt shot from 26 ft (assist by T. Rozier),3,25-19,,
1:46.0,,,25-19,,B. Griffin misses 2-pt shot at rim
1:44.0,Defensive rebound by J. Brown,,25-19,,
1:40.0,J. Brown misses 2-pt shot from 19 ft,,25-19,,
1:37.0,,,25-19,,Defensive rebound by Team
1:37.0,,,25-19,,S. Dekker enters the game for B. Griffin
1:22.0,,,25-19,,W. Johnson misses 2-pt shot from 17 ft
1:17.0,Defensive rebound by T. Rozier,,25-19,,
1:13.0,T. Rozier misses 3-pt shot from 26 ft,,25-19,,
1:13.0,Offensive rebound by Team,,25-19,,
1:13.0,,,25-19,,Loose ball foul by M. Harrell (drawn by A. Baynes)
1:13.0,,,25-19,,M. Teodosic enters the game for T. Wallace
1:13.0,,,25-19,,S. Thornwell enters the game for W. Johnson
1:13.0,D. Theis enters the game for A. Baynes,,25-19,,
0:59.0,S. Larkin misses 2-pt shot from 19 ft,,25-19,,
0:58.0,,,25-19,,Defensive rebound by M. Harrell
0:58.0,,,25-19,,Shooting foul by S. Ojeleye (drawn by S. Dekker)
0:58.0,,,25-19,,S. Dekker misses free throw 1 of 2
0:58.0,,,25-19,,Offensive rebound by Team
0:58.0,,,25-20,1,S. Dekker makes free throw 2 of 2
0:47.0,Turnover by J. Brown (traveling),,25-20,,
0:33.0,,,25-20,,Turnover by M. Harrell (traveling)
0:20.0,S. Larkin misses 2-pt shot from 15 ft,,25-20,,
0:16.0,,,25-20,,Defensive rebound by M. Harrell
0:00.0,,,25-22,2,M. Harrell makes 2-pt shot from 1 ft (assist by S. Dekker)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by J. Tatum (bad pass),,25-22,,
11:34.0,,,25-24,2,M. Harrell makes 2-pt shot from 2 ft (assist by L. Williams)
11:17.0,T. Rozier misses 2-pt shot from 19 ft,,25-24,,
11:15.0,,,25-24,,Defensive rebound by M. Harrell
11:09.0,,,25-26,2,L. Williams makes 2-pt shot from 1 ft
10:57.0,J. Tatum makes 2-pt shot from 18 ft (assist by D. Theis),2,27-26,,
10:36.0,,,27-26,,S. Dekker misses 2-pt shot from 7 ft
10:31.0,,,27-26,,Offensive rebound by M. Harrell
10:31.0,,,27-26,,M. Harrell misses 2-pt shot at rim
10:30.0,Defensive rebound by J. Tatum,,27-26,,
10:27.0,S. Ojeleye misses 3-pt shot from 25 ft,,27-26,,
10:26.0,,,27-26,,Defensive rebound by Team
10:13.0,,,27-26,,Shooting foul by D. Theis (drawn by M. Harrell)
10:13.0,,,27-27,1,M. Harrell makes free throw 1 of 2
10:13.0,A. Nader enters the game for S. Ojeleye,,27-27,,
10:13.0,,,27-28,1,M. Harrell makes free throw 2 of 2
10:03.0,D. Theis makes 3-pt shot from 27 ft (assist by J. Tatum),3,30-28,,
9:53.0,,,30-28,,Turnover by L. Williams (bad pass; steal by D. Theis)
9:36.0,T. Rozier misses 2-pt shot from 12 ft,,30-28,,
9:34.0,,,30-28,,Defensive rebound by M. Teodosic
9:31.0,,,30-28,,Turnover by S. Dekker (bad pass)
9:21.0,S. Larkin misses 2-pt shot from 18 ft,,30-28,,
9:17.0,,,30-28,,Defensive rebound by M. Teodosic
9:09.0,,,30-28,,L. Williams misses 2-pt shot from 20 ft
9:04.0,,,30-28,,Offensive rebound by M. Harrell
9:04.0,,,30-30,2,M. Harrell makes 2-pt shot at rim
8:52.0,J. Tatum makes 3-pt shot from 25 ft (assist by D. Theis),3,33-30,,
8:41.0,Personal foul by T. Rozier (drawn by M. Teodosic),,33-30,,
