time,Golden State,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: E. Kanter vs. J. McGee (S. Curry gains possession),,,,Jump ball: E. Kanter vs. J. McGee (S. Curry gains possession)
11:44.0,K. Thompson makes 2-pt shot from 1 ft (assist by J. McGee),2,2-0,,
11:31.0,,,2-0,,Turnover by T. Hardaway (bad pass)
11:24.0,D. Green misses 3-pt shot from 24 ft,,2-0,,
11:23.0,,,2-0,,Defensive rebound by Team
11:23.0,Loose ball foul by S. Curry (drawn by E. Mudiay),,2-0,,
11:11.0,,,2-0,,Turnover by M. Beasley (out of bounds lost ball)
11:01.0,K. Thompson misses 3-pt shot from 25 ft,,2-0,,
10:59.0,,,2-0,,Defensive rebound by E. Kanter
10:54.0,,,2-2,2,E. Kanter makes 2-pt shot from 1 ft (assist by E. Mudiay)
10:42.0,K. Thompson makes 2-pt shot from 16 ft (assist by S. Curry),2,4-2,,
10:24.0,,,4-4,2,E. Kanter makes 2-pt shot from 5 ft (assist by C. Lee)
10:15.0,S. Curry makes 2-pt shot from 16 ft,2,6-4,,
9:59.0,,,6-4,,C. Lee misses 2-pt shot from 2 ft (block by J. McGee)
9:57.0,Defensive rebound by S. Curry,,6-4,,
9:55.0,S. Curry misses 3-pt shot from 26 ft,,6-4,,
9:54.0,,,6-4,,Defensive rebound by M. Beasley
9:38.0,,,6-6,2,M. Beasley makes 2-pt shot from 14 ft
9:18.0,D. Green makes 2-pt shot from 1 ft (assist by J. McGee),2,8-6,,
9:18.0,Shooting foul by E. Kanter (drawn by D. Green),,8-6,,
9:18.0,D. Green makes free throw 1 of 1,1,9-6,,
8:56.0,,,9-6,,M. Beasley misses 2-pt shot from 9 ft
8:54.0,Defensive rebound by K. Durant,,9-6,,
8:48.0,K. Thompson makes 3-pt shot from 22 ft (assist by S. Curry),3,12-6,,
8:27.0,,,12-9,3,E. Mudiay makes 3-pt shot from 24 ft (assist by M. Beasley)
8:18.0,K. Durant makes 3-pt shot from 22 ft (assist by D. Green),3,15-9,,
8:17.0,,,15-9,,New York full timeout
8:01.0,,,15-9,,M. Beasley misses 2-pt shot from 7 ft
8:00.0,Defensive rebound by K. Thompson,,15-9,,
8:00.0,,,15-9,,Personal foul by M. Beasley (drawn by K. Thompson)
7:47.0,Turnover by K. Durant (bad pass; steal by E. Mudiay),,15-9,,
7:42.0,,,15-11,2,E. Kanter makes 2-pt shot from 1 ft (assist by E. Mudiay)
7:30.0,J. McGee makes 2-pt shot at rim (assist by K. Durant),2,17-11,,
7:15.0,,,17-13,2,E. Mudiay makes 2-pt shot from 20 ft
7:03.0,S. Curry misses 3-pt shot from 26 ft,,17-13,,
7:01.0,,,17-13,,Defensive rebound by E. Kanter
6:55.0,,,17-13,,T. Hardaway misses 2-pt shot from 2 ft
6:53.0,Defensive rebound by K. Durant,,17-13,,
6:47.0,J. McGee makes 2-pt shot from 1 ft (assist by S. Curry),2,19-13,,
6:22.0,,,19-16,3,E. Mudiay makes 3-pt shot from 24 ft (assist by M. Beasley)
6:08.0,J. McGee makes 2-pt shot from 1 ft,2,21-16,,
5:48.0,,,21-18,2,E. Mudiay makes 2-pt shot from 1 ft
5:31.0,J. McGee misses 2-pt shot from 1 ft,,21-18,,
5:29.0,,,21-18,,Defensive rebound by E. Kanter
5:25.0,,,21-21,3,E. Mudiay makes 3-pt shot from 26 ft (assist by T. Hardaway)
5:05.0,Turnover by D. Green (bad pass),,21-21,,
5:05.0,,,21-21,,K. O'Quinn enters the game for E. Kanter
5:05.0,,,21-21,,F. Ntilikina enters the game for C. Lee
4:52.0,,,21-21,,E. Mudiay misses 3-pt shot from 26 ft
4:50.0,,,21-21,,Offensive rebound by Team
4:50.0,Z. Pachulia enters the game for J. McGee,,21-21,,
4:46.0,,,21-23,2,K. O'Quinn makes 2-pt shot from 20 ft (assist by E. Mudiay)
4:31.0,K. Durant makes 2-pt shot from 1 ft,2,23-23,,
4:19.0,,,23-23,,Shooting foul by Z. Pachulia (drawn by E. Mudiay)
4:19.0,,,23-23,,E. Mudiay misses free throw 1 of 2
4:19.0,,,23-23,,Offensive rebound by Team
4:19.0,J. Bell enters the game for D. Green,,23-23,,
4:19.0,,,23-24,1,E. Mudiay makes free throw 2 of 2
4:05.0,S. Curry makes 3-pt shot from 25 ft (assist by K. Durant),3,26-24,,
3:51.0,,,26-24,,K. O'Quinn misses 2-pt shot from 21 ft
3:49.0,Defensive rebound by K. Durant,,26-24,,
3:40.0,K. Durant makes 2-pt shot from 9 ft,2,28-24,,
3:22.0,,,28-26,2,T. Hardaway makes 2-pt shot at rim (assist by E. Mudiay)
3:13.0,Golden State full timeout,,28-26,,
3:13.0,N. Young enters the game for K. Thompson,,28-26,,
3:08.0,Shooting foul by K. O'Quinn (drawn by K. Durant),,28-26,,
3:08.0,K. Durant makes free throw 1 of 2,1,29-26,,
3:08.0,,,29-26,,T. Burke enters the game for E. Mudiay
3:08.0,K. Durant makes free throw 2 of 2,1,30-26,,
2:56.0,,,30-29,3,T. Hardaway makes 3-pt shot from 23 ft (assist by T. Burke)
2:37.0,Z. Pachulia misses 2-pt shot from 1 ft,,30-29,,
2:36.0,Offensive rebound by Z. Pachulia,,30-29,,
2:33.0,Z. Pachulia makes 2-pt shot from 1 ft,2,32-29,,
2:11.0,,,32-31,2,K. O'Quinn makes 2-pt shot from 4 ft
2:00.0,S. Curry misses 2-pt shot from 18 ft,,32-31,,
1:58.0,,,32-31,,Defensive rebound by K. O'Quinn
1:55.0,,,32-33,2,F. Ntilikina makes 2-pt shot at rim (assist by T. Burke)
1:36.0,N. Young makes 3-pt shot from 23 ft (assist by S. Curry),3,35-33,,
1:22.0,,,35-33,,T. Hardaway misses 3-pt shot from 23 ft
1:20.0,,,35-33,,Offensive rebound by K. O'Quinn
1:14.0,,,35-33,,T. Burke misses 2-pt shot from 2 ft
1:12.0,,,35-33,,Offensive rebound by Team
1:12.0,,,35-33,,L. Thomas enters the game for M. Beasley
1:12.0,A. Iguodala enters the game for K. Durant,,35-33,,
1:06.0,,,35-35,2,T. Burke makes 2-pt shot from 21 ft
0:56.0,N. Young misses 3-pt shot from 24 ft,,35-35,,
0:54.0,,,35-35,,Defensive rebound by F. Ntilikina
0:30.0,,,35-37,2,T. Burke makes 2-pt shot from 19 ft (assist by T. Hardaway)
0:10.0,S. Curry makes 2-pt shot from 1 ft (assist by A. Iguodala),2,37-37,,
0:05.0,Personal take foul by A. Iguodala (drawn by T. Hardaway),,37-37,,
0:05.0,S. Livingston enters the game for Z. Pachulia,,37-37,,
0:05.0,D. Green enters the game for S. Curry,,37-37,,
0:00.0,,,37-39,2,F. Ntilikina makes 2-pt shot from 1 ft (assist by K. O'Quinn)
0:00.0,D. Green misses 3-pt shot from 46 ft,,37-39,,
0:00.0,Offensive rebound by Team,,37-39,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,37-39,,F. Ntilikina misses 2-pt shot from 16 ft
11:46.0,Defensive rebound by Team,,37-39,,
11:30.0,D. Green makes 2-pt shot from 1 ft (assist by D. West),2,39-39,,
11:16.0,,,39-39,,F. Ntilikina misses 3-pt shot from 24 ft
11:14.0,Defensive rebound by S. Livingston,,39-39,,
11:06.0,D. West misses 2-pt shot from 22 ft,,39-39,,
11:04.0,,,39-39,,Defensive rebound by T. Williams
10:54.0,,,39-39,,T. Burke misses 3-pt shot from 26 ft (block by D. Green)
10:52.0,Defensive rebound by A. Iguodala,,39-39,,
10:46.0,N. Young misses 3-pt shot from 24 ft,,39-39,,
10:44.0,,,39-39,,Defensive rebound by F. Ntilikina
10:36.0,,,39-39,,T. Burke misses 2-pt shot from 13 ft
10:35.0,Defensive rebound by A. Iguodala,,39-39,,
10:20.0,Golden State full timeout,,39-39,,
10:15.0,D. West misses 2-pt shot from 19 ft,,39-39,,
10:13.0,,,39-39,,Defensive rebound by T. Williams
9:58.0,,,39-39,,T. Williams misses 3-pt shot from 24 ft
9:56.0,Defensive rebound by S. Livingston,,39-39,,
9:45.0,D. West misses 2-pt shot from 4 ft,,39-39,,
9:43.0,,,39-39,,Defensive rebound by L. Thomas
9:35.0,,,39-41,2,K. O'Quinn makes 2-pt shot at rim (assist by T. Burke)
9:19.0,A. Iguodala makes 3-pt shot from 25 ft (assist by D. West),3,42-41,,
8:55.0,,,42-41,,Turnover by K. O'Quinn (bad pass; steal by A. Iguodala)
8:50.0,Turnover by A. Iguodala (lost ball; steal by T. Williams),,42-41,,
8:45.0,,,42-41,,Shooting foul by D. West (drawn by T. Williams)
8:45.0,,,42-41,,T. Williams misses free throw 1 of 2
8:45.0,,,42-41,,Offensive rebound by Team
8:45.0,K. Thompson enters the game for N. Young,,42-41,,
8:45.0,,,42-42,1,T. Williams makes free throw 2 of 2
8:29.0,Offensive foul by D. West (drawn by K. O'Quinn),,42-42,,
8:29.0,Turnover by D. West (offensive foul),,42-42,,
8:07.0,,,42-44,2,L. Thomas makes 2-pt shot from 2 ft (assist by T. Burke)
7:53.0,K. Thompson makes 2-pt shot from 15 ft,2,44-44,,
7:43.0,,,44-47,3,F. Ntilikina makes 3-pt shot from 26 ft
