time,LA Lakers,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Hilario vs. A. Bogut (R. Anderson gains possession),,,,Jump ball: N. Hilario vs. A. Bogut (R. Anderson gains possession)
11:47.0,,,0-0,,Turnover by J. Harden (bad pass; steal by J. Hart)
11:41.0,B. Ingram makes 3-pt shot from 25 ft (assist by J. Hart),3,3-0,,
11:29.0,,,3-0,,N. Hilario misses 2-pt shot from 3 ft
11:27.0,Defensive rebound by Team,,3-0,,
11:15.0,J. Hart makes 3-pt shot from 24 ft (assist by B. Ingram),3,6-0,,
10:53.0,,,6-0,,T. Ariza misses 3-pt shot from 24 ft
10:51.0,Defensive rebound by L. Ball,,6-0,,
10:43.0,L. Ball makes 3-pt shot from 25 ft (assist by J. Hart),3,9-0,,
10:25.0,,,9-2,2,J. Harden makes 2-pt shot from 14 ft
10:09.0,B. Ingram misses 2-pt shot from 1 ft,,9-2,,
10:06.0,,,9-2,,Defensive rebound by R. Anderson
9:52.0,,,9-2,,J. Harden misses 3-pt shot from 26 ft
9:48.0,Defensive rebound by A. Bogut,,9-2,,
9:36.0,B. Ingram makes 2-pt shot at rim,2,11-2,,
9:20.0,,,11-4,2,N. Hilario makes 2-pt shot from 1 ft (assist by C. Paul)
9:03.0,K. Kuzma makes 3-pt shot from 25 ft (assist by J. Hart),3,14-4,,
8:40.0,,,14-6,2,T. Ariza makes 2-pt shot at rim (assist by C. Paul)
8:25.0,K. Kuzma makes 2-pt shot from 8 ft,2,16-6,,
8:11.0,,,16-9,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
7:54.0,B. Ingram misses 2-pt shot from 4 ft,,16-9,,
7:51.0,,,16-9,,Defensive rebound by N. Hilario
7:30.0,,,16-9,,Turnover by N. Hilario (lost ball; steal by L. Ball)
7:25.0,B. Ingram misses 3-pt shot from 23 ft,,16-9,,
7:20.0,Offensive rebound by B. Ingram,,16-9,,
7:19.0,J. Hart misses 3-pt shot from 25 ft,,16-9,,
7:19.0,,,16-9,,Defensive rebound by T. Ariza
7:13.0,Personal foul by B. Ingram (drawn by J. Harden),,16-9,,
7:13.0,,,16-9,,E. Gordon enters the game for C. Paul
7:02.0,,,16-9,,J. Harden misses 2-pt shot from 12 ft
7:01.0,Defensive rebound by Team,,16-9,,
6:54.0,Turnover by L. Ball (bad pass; steal by T. Ariza),,16-9,,
6:51.0,,,16-11,2,T. Ariza makes 2-pt shot from 1 ft
6:32.0,L. Ball misses 3-pt shot from 27 ft,,16-11,,
6:30.0,,,16-11,,Defensive rebound by T. Ariza
6:19.0,,,16-11,,J. Harden misses 2-pt shot from 2 ft (block by J. Hart)
6:19.0,,,16-11,,Offensive rebound by Team
6:19.0,,,16-11,,Houston full timeout
6:19.0,,,16-11,,T. Black enters the game for R. Anderson
6:19.0,,,16-11,,P. Tucker enters the game for N. Hilario
6:14.0,,,16-11,,E. Gordon misses 2-pt shot from 3 ft
6:11.0,,,16-11,,Offensive rebound by T. Black
6:10.0,,,16-11,,T. Black misses 2-pt shot from 2 ft
6:10.0,,,16-11,,Offensive rebound by T. Black
6:03.0,,,16-13,2,J. Harden makes 2-pt shot from 1 ft
6:03.0,,,16-13,,Shooting foul by A. Bogut (drawn by J. Harden)
6:03.0,L. Nance enters the game for A. Bogut,,16-13,,
6:03.0,,,16-14,1,J. Harden makes free throw 1 of 1
5:49.0,K. Kuzma makes 2-pt shot from 1 ft (assist by L. Ball),2,18-14,,
5:49.0,,,18-14,,Violation by T. Black (def goaltending)
5:39.0,,,18-14,,E. Gordon misses 2-pt shot from 2 ft (block by L. Ball)
5:35.0,Defensive rebound by L. Nance,,18-14,,
5:35.0,Shooting foul by T. Black (drawn by J. Hart),,18-14,,
5:35.0,J. Hart makes free throw 1 of 2,1,19-14,,
5:35.0,J. Hart misses free throw 2 of 2,,19-14,,
5:35.0,,,19-14,,Defensive rebound by P. Tucker
5:26.0,,,19-14,,Turnover by J. Harden (bad pass; steal by B. Ingram)
5:23.0,,,19-14,,Personal foul by T. Ariza (drawn by L. Nance)
5:23.0,J. Clarkson enters the game for J. Hart,,19-14,,
5:14.0,J. Clarkson misses 3-pt shot from 26 ft,,19-14,,
5:10.0,Offensive rebound by L. Nance,,19-14,,
5:08.0,K. Kuzma makes 3-pt shot from 25 ft (assist by L. Nance),3,22-14,,
4:57.0,,,22-14,,Shooting foul by L. Nance (drawn by J. Harden)
4:57.0,,,22-14,,J. Harden misses free throw 1 of 2
4:57.0,,,22-14,,Offensive rebound by Team
4:57.0,C. Brewer enters the game for B. Ingram,,22-14,,
4:57.0,,,22-15,1,J. Harden makes free throw 2 of 2
4:47.0,L. Ball misses 3-pt shot from 23 ft,,22-15,,
4:44.0,,,22-15,,Defensive rebound by P. Tucker
4:38.0,,,22-17,2,T. Black makes 2-pt shot from 1 ft (assist by J. Harden)
4:25.0,Shooting foul by T. Black (drawn by L. Nance),,22-17,,
4:25.0,L. Nance misses free throw 1 of 2,,22-17,,
4:25.0,Offensive rebound by Team,,22-17,,
4:25.0,L. Nance makes free throw 2 of 2,1,23-17,,
4:12.0,,,23-20,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
3:56.0,K. Kuzma makes 3-pt shot from 23 ft (assist by J. Clarkson),3,26-20,,
3:44.0,,,26-20,,T. Ariza misses 3-pt shot from 25 ft
3:42.0,Defensive rebound by K. Kuzma,,26-20,,
3:39.0,K. Kuzma makes 3-pt shot from 27 ft,3,29-20,,
3:22.0,,,29-20,,J. Harden misses 2-pt shot from 1 ft
3:20.0,Defensive rebound by L. Ball,,29-20,,
3:13.0,L. Nance misses 2-pt shot from 1 ft,,29-20,,
3:10.0,,,29-20,,Defensive rebound by T. Ariza
3:05.0,,,29-20,,Turnover by J. Harden (turnover)
3:05.0,,,29-20,,C. Paul enters the game for T. Ariza
2:52.0,Shooting foul by J. Harden (drawn by L. Nance),,29-20,,
2:52.0,LA Lakers full timeout,,29-20,,
2:52.0,L. Nance misses free throw 1 of 2,,29-20,,
2:52.0,Offensive rebound by Team,,29-20,,
2:52.0,L. Nance makes free throw 2 of 2,1,30-20,,
2:43.0,,,30-20,,Turnover by T. Black (bad pass; steal by C. Brewer)
2:39.0,C. Brewer makes 2-pt shot from 1 ft,2,32-20,,
2:25.0,,,32-20,,J. Harden misses 3-pt shot from 25 ft
2:22.0,Defensive rebound by L. Nance,,32-20,,
2:06.0,J. Clarkson misses 2-pt shot from 1 ft (block by T. Black),,32-20,,
2:03.0,,,32-20,,Defensive rebound by E. Gordon
1:58.0,,,32-20,,Turnover by J. Harden (bad pass)
1:58.0,,,32-20,,R. Anderson enters the game for T. Black
1:38.0,C. Brewer makes 2-pt shot from 20 ft (assist by K. Kuzma),2,34-20,,
1:25.0,,,34-20,,C. Paul misses 2-pt shot from 16 ft
1:21.0,Defensive rebound by C. Brewer,,34-20,,
1:16.0,L. Nance makes 2-pt shot at rim (assist by J. Clarkson),2,36-20,,
1:08.0,,,36-22,2,E. Gordon makes 2-pt shot from 1 ft
0:48.0,C. Brewer misses 2-pt shot from 1 ft,,36-22,,
0:48.0,,,36-22,,Defensive rebound by Team
0:48.0,Loose ball foul by L. Nance (drawn by R. Anderson),,36-22,,
0:48.0,,,36-22,,T. Ariza enters the game for J. Harden
0:32.0,,,36-22,,E. Gordon misses 2-pt shot from 22 ft
0:28.0,Defensive rebound by C. Brewer,,36-22,,
0:14.0,,,36-22,,Personal foul by C. Paul (drawn by L. Nance)
0:14.0,L. Nance misses free throw 1 of 2,,36-22,,
0:14.0,Offensive rebound by Team,,36-22,,
0:14.0,J. Hart enters the game for K. Kuzma,,36-22,,
0:14.0,L. Nance makes free throw 2 of 2,1,37-22,,
0:00.0,,,37-22,,C. Paul misses 3-pt shot from 25 ft
0:00.0,,,37-22,,Offensive rebound by P. Tucker
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,C. Brewer makes 3-pt shot from 25 ft (assist by L. Nance),3,40-22,,
11:15.0,,,40-25,3,P. Tucker makes 3-pt shot from 25 ft (assist by C. Paul)
11:03.0,B. Ingram misses 2-pt shot from 1 ft,,40-25,,
11:01.0,,,40-25,,Defensive rebound by C. Paul
10:59.0,,,40-25,,Turnover by C. Paul (bad pass; steal by L. Nance)
10:55.0,J. Clarkson misses 3-pt shot from 25 ft,,40-25,,
10:53.0,Offensive rebound by L. Nance,,40-25,,
10:52.0,J. Clarkson makes 2-pt shot from 9 ft (assist by L. Nance),2,42-25,,
10:39.0,Personal block foul by C. Brewer (drawn by E. Gordon),,42-25,,
10:37.0,,,42-25,,R. Anderson misses 3-pt shot from 31 ft
10:34.0,Defensive rebound by A. Caruso,,42-25,,
10:14.0,C. Brewer misses 3-pt shot from 26 ft,,42-25,,
10:11.0,,,42-25,,Defensive rebound by C. Paul
