time,Detroit,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. A. Drummond (T. Snell gains possession),,,,Jump ball: J. Henson vs. A. Drummond (T. Snell gains possession)
11:45.0,,,0-0,,Shooting foul by A. Drummond (drawn by G. Antetokounmpo)
11:45.0,,,0-1,1,G. Antetokounmpo makes free throw 1 of 2
11:45.0,,,0-2,1,G. Antetokounmpo makes free throw 2 of 2
11:30.0,A. Drummond misses 2-pt shot from 2 ft,,0-2,,
11:30.0,Offensive rebound by Team,,0-2,,
11:25.0,Jump ball: J. Henson vs. A. Drummond (R. Jackson gains possession),,,,Jump ball: J. Henson vs. A. Drummond (R. Jackson gains possession)
11:20.0,R. Jackson makes 2-pt shot from 13 ft,2,2-2,,
11:02.0,,,2-2,,Turnover by G. Antetokounmpo (bad pass; steal by T. Harris)
10:50.0,S. Johnson misses 2-pt shot from 20 ft,,2-2,,
10:46.0,,,2-2,,Defensive rebound by G. Antetokounmpo
10:32.0,,,2-4,2,J. Henson makes 2-pt shot from 2 ft (assist by K. Middleton)
10:14.0,A. Drummond makes 2-pt shot at rim (assist by A. Bradley),2,4-4,,
9:54.0,,,4-4,,G. Antetokounmpo misses 3-pt shot from 23 ft
9:52.0,Defensive rebound by T. Harris,,4-4,,
9:32.0,A. Bradley makes 3-pt shot from 26 ft (assist by S. Johnson),3,7-4,,
9:15.0,,,7-6,2,K. Middleton makes 2-pt shot from 14 ft (assist by G. Antetokounmpo)
9:02.0,T. Harris misses 3-pt shot from 27 ft,,7-6,,
8:59.0,,,7-6,,Defensive rebound by G. Antetokounmpo
8:49.0,,,7-8,2,E. Bledsoe makes 2-pt shot from 1 ft
8:23.0,R. Jackson makes 3-pt shot from 27 ft (assist by A. Drummond),3,10-8,,
8:11.0,,,10-10,2,E. Bledsoe makes 2-pt shot from 17 ft
7:50.0,A. Bradley misses 3-pt shot from 27 ft,,10-10,,
7:44.0,Offensive rebound by A. Drummond,,10-10,,
7:43.0,A. Drummond misses 2-pt shot from 1 ft,,10-10,,
7:40.0,Offensive rebound by R. Jackson,,10-10,,
7:36.0,R. Jackson makes 2-pt shot from 19 ft,2,12-10,,
7:27.0,,,12-13,3,E. Bledsoe makes 3-pt shot from 23 ft (assist by K. Middleton)
7:12.0,T. Harris makes 2-pt shot at rim (assist by A. Drummond),2,14-13,,
