time,Dallas,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. M. Kleber (T. Parker gains possession),,,,Jump ball: P. Gasol vs. M. Kleber (T. Parker gains possession)
11:42.0,,,0-3,3,P. Gasol makes 3-pt shot from 25 ft (assist by D. Green)
11:24.0,D. Smith misses 3-pt shot from 25 ft,,0-3,,
11:19.0,,,0-3,,Defensive rebound by K. Anderson
11:07.0,,,0-5,2,L. Aldridge makes 2-pt shot from 10 ft
10:45.0,M. Kleber makes 3-pt shot from 22 ft (assist by W. Matthews),3,3-5,,
10:28.0,,,3-7,2,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker)
10:13.0,H. Barnes misses 2-pt shot from 12 ft,,3-7,,
9:59.0,Offensive rebound by M. Kleber,,3-7,,
9:59.0,M. Kleber makes 2-pt shot at rim,2,5-7,,
9:46.0,,,5-7,,P. Gasol misses 3-pt shot from 27 ft
9:43.0,Defensive rebound by M. Kleber,,5-7,,
9:29.0,Turnover by D. Nowitzki (bad pass; steal by L. Aldridge),,5-7,,
9:20.0,,,5-7,,K. Anderson misses 2-pt shot from 7 ft
9:14.0,,,5-7,,Offensive rebound by L. Aldridge
9:14.0,,,5-9,2,L. Aldridge makes 2-pt shot at rim
9:09.0,D. Smith makes 2-pt shot from 15 ft,2,7-9,,
8:52.0,,,7-11,2,T. Parker makes 2-pt shot from 1 ft
8:33.0,D. Smith misses 3-pt shot from 25 ft,,7-11,,
8:33.0,,,7-11,,Defensive rebound by L. Aldridge
8:24.0,,,7-13,2,T. Parker makes 2-pt shot from 2 ft
8:23.0,Dallas full timeout,,7-13,,
8:04.0,D. Nowitzki misses 3-pt shot from 26 ft,,7-13,,
8:04.0,,,7-13,,Defensive rebound by L. Aldridge
7:44.0,,,7-15,2,P. Gasol makes 2-pt shot from 6 ft
7:28.0,D. Nowitzki makes 2-pt shot from 11 ft (assist by H. Barnes),2,9-15,,
7:19.0,,,9-15,,San Antonio full timeout
7:19.0,,,9-15,,P. Mills enters the game for T. Parker
7:04.0,,,9-17,2,L. Aldridge makes 2-pt shot from 18 ft (assist by P. Mills)
6:47.0,H. Barnes makes 2-pt shot at rim (assist by D. Nowitzki),2,11-17,,
6:34.0,,,11-17,,K. Anderson misses 2-pt shot from 9 ft
6:31.0,Defensive rebound by M. Kleber,,11-17,,
6:25.0,,,11-17,,Def 3 sec tech foul by P. Gasol
6:25.0,D. Nowitzki makes technical free throw,1,12-17,,
6:25.0,S. Mejri enters the game for D. Smith,,12-17,,
6:25.0,Y. Ferrell enters the game for D. Nowitzki,,12-17,,
6:12.0,Y. Ferrell misses 3-pt shot from 26 ft,,12-17,,
6:08.0,,,12-17,,Defensive rebound by L. Aldridge
5:57.0,,,12-17,,P. Mills misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by M. Kleber,,12-17,,
5:49.0,,,12-17,,Violation by P. Gasol (kicked ball)
5:34.0,W. Matthews misses 2-pt shot from 1 ft,,12-17,,
5:31.0,,,12-17,,Defensive rebound by P. Gasol
5:22.0,,,12-17,,K. Anderson misses 3-pt shot from 22 ft
5:18.0,Defensive rebound by M. Kleber,,12-17,,
5:06.0,Y. Ferrell misses 2-pt shot from 16 ft,,12-17,,
5:01.0,,,12-17,,Defensive rebound by K. Anderson
4:50.0,,,12-19,2,L. Aldridge makes 2-pt shot from 11 ft
4:29.0,H. Barnes makes 2-pt shot from 14 ft,2,14-19,,
4:13.0,Personal foul by M. Kleber (drawn by P. Gasol),,14-19,,
4:13.0,,,14-19,,M. Ginobili enters the game for D. Green
4:13.0,,,14-19,,J. Lauvergne enters the game for P. Gasol
4:13.0,D. Harris enters the game for W. Matthews,,14-19,,
4:13.0,D. Powell enters the game for M. Kleber,,14-19,,
4:10.0,,,14-19,,P. Mills misses 2-pt shot from 20 ft
4:07.0,Defensive rebound by S. Mejri,,14-19,,
3:56.0,Y. Ferrell misses 2-pt shot from 4 ft (block by L. Aldridge),,14-19,,
3:47.0,Offensive rebound by H. Barnes,,14-19,,
3:45.0,H. Barnes misses 2-pt shot from 12 ft,,14-19,,
3:45.0,,,14-19,,Defensive rebound by L. Aldridge
3:39.0,,,14-19,,Offensive foul by J. Lauvergne (drawn by S. Mejri)
3:39.0,,,14-19,,Turnover by J. Lauvergne (offensive foul)
3:39.0,,,14-19,,B. Forbes enters the game for K. Anderson
3:28.0,H. Barnes makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,17-19,,
3:16.0,Personal foul by Y. Ferrell (drawn by P. Mills),,17-19,,
3:10.0,,,17-19,,L. Aldridge misses 2-pt shot from 20 ft
3:06.0,Defensive rebound by D. Harris,,17-19,,
2:59.0,D. Powell misses 3-pt shot from 25 ft,,17-19,,
2:56.0,,,17-19,,Defensive rebound by M. Ginobili
2:50.0,,,17-19,,M. Ginobili misses 2-pt shot from 3 ft
2:47.0,Defensive rebound by D. Harris,,17-19,,
2:44.0,Shooting foul by L. Aldridge (drawn by D. Powell),,17-19,,
2:44.0,D. Powell misses free throw 1 of 2,,17-19,,
2:44.0,Offensive rebound by Team,,17-19,,
2:44.0,J. Barea enters the game for H. Barnes,,17-19,,
2:44.0,D. Nowitzki enters the game for S. Mejri,,17-19,,
2:44.0,D. Powell makes free throw 2 of 2,1,18-19,,
2:27.0,,,18-19,,Turnover by M. Ginobili (bad pass; steal by D. Powell)
2:15.0,D. Harris makes 3-pt shot from 23 ft (assist by Y. Ferrell),3,21-19,,
1:56.0,,,21-19,,Turnover by P. Mills (bad pass; steal by D. Powell)
1:44.0,,,21-19,,Personal foul by L. Aldridge (drawn by J. Barea)
1:44.0,,,21-19,,D. Bertans enters the game for L. Aldridge
1:31.0,J. Barea misses 2-pt shot from 7 ft,,21-19,,
1:28.0,,,21-19,,Defensive rebound by B. Forbes
1:17.0,,,21-21,2,B. Forbes makes 2-pt shot from 20 ft
1:00.0,D. Powell makes 2-pt shot at rim (assist by J. Barea),2,23-21,,
0:46.0,,,23-21,,B. Forbes misses 2-pt shot from 19 ft
0:43.0,Defensive rebound by J. Barea,,23-21,,
0:39.0,Offensive foul by Y. Ferrell (drawn by M. Ginobili),,23-21,,
0:39.0,Turnover by Y. Ferrell (offensive foul),,23-21,,
0:39.0,A. Cleveland enters the game for Y. Ferrell,,23-21,,
0:31.0,,,23-21,,Turnover by M. Ginobili (bad pass)
0:31.0,W. Matthews enters the game for A. Cleveland,,23-21,,
0:10.0,J. Barea misses 2-pt shot from 10 ft,,23-21,,
0:07.0,,,23-21,,Defensive rebound by D. Bertans
0:03.0,,,23-21,,Turnover by D. Bertans (bad pass; steal by D. Powell)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,23-21,,Personal foul by D. Bertans (drawn by D. Harris)
11:41.0,D. Harris misses 2-pt shot from 18 ft,,23-21,,
11:39.0,,,23-21,,Defensive rebound by D. Green
11:22.0,,,23-21,,Turnover by D. Bertans (bad pass; steal by J. Barea)
11:17.0,J. Barea makes 2-pt shot at rim,2,25-21,,
11:01.0,,,25-21,,T. Parker misses 2-pt shot from 2 ft
10:57.0,Defensive rebound by D. Powell,,25-21,,
10:53.0,,,25-21,,Shooting block foul by P. Gasol (drawn by D. Powell)
10:53.0,D. Powell misses free throw 1 of 2,,25-21,,
10:53.0,Offensive rebound by Team,,25-21,,
10:53.0,,,25-21,,K. Anderson enters the game for D. Bertans
10:53.0,D. Powell makes free throw 2 of 2,1,26-21,,
10:36.0,,,26-21,,P. Gasol misses 2-pt shot from 9 ft
10:33.0,Defensive rebound by D. Nowitzki,,26-21,,
10:18.0,J. Barea makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,28-21,,
10:00.0,,,28-21,,Turnover by K. Anderson (lost ball; steal by J. Barea)
9:56.0,J. Barea makes 2-pt shot from 2 ft,2,30-21,,
9:56.0,,,30-21,,San Antonio full timeout
9:56.0,,,30-21,,L. Aldridge enters the game for D. Green
9:56.0,,,30-21,,B. Paul enters the game for P. Gasol
9:56.0,H. Barnes enters the game for D. Nowitzki,,30-21,,
9:34.0,,,30-21,,L. Aldridge misses 2-pt shot from 12 ft
9:31.0,Defensive rebound by D. Powell,,30-21,,
9:31.0,Turnover by Y. Ferrell (palming),,30-21,,
9:19.0,,,30-21,,Shooting foul by D. Powell (drawn by L. Aldridge)
9:19.0,,,30-22,1,L. Aldridge makes free throw 1 of 2
9:19.0,D. Smith enters the game for D. Harris,,30-22,,
9:19.0,,,30-23,1,L. Aldridge makes free throw 2 of 2
8:55.0,D. Smith makes 2-pt shot from 3 ft (assist by J. Barea),2,32-23,,
8:36.0,,,32-23,,L. Aldridge misses 2-pt shot from 10 ft
8:34.0,Defensive rebound by J. Barea,,32-23,,
8:29.0,J. Barea makes 2-pt shot from 17 ft,2,34-23,,
8:07.0,,,34-23,,B. Forbes misses 2-pt shot from 16 ft
8:01.0,Defensive rebound by H. Barnes,,34-23,,
7:58.0,,,34-23,,Personal foul by B. Paul (drawn by J. Barea)
7:47.0,Turnover by J. Barea (bad pass; steal by L. Aldridge),,34-23,,
7:43.0,,,34-23,,Shooting foul by H. Barnes (drawn by K. Anderson)
7:43.0,,,34-23,,K. Anderson misses free throw 1 of 2
7:43.0,,,34-23,,Offensive rebound by Team
7:43.0,,,34-23,,P. Mills enters the game for T. Parker
7:43.0,,,34-23,,P. Gasol enters the game for B. Forbes
7:43.0,W. Matthews enters the game for J. Barea,,34-23,,
7:43.0,,,34-24,1,K. Anderson makes free throw 2 of 2
7:34.0,H. Barnes misses 2-pt shot from 14 ft,,34-24,,
7:30.0,,,34-24,,Defensive rebound by B. Paul
7:28.0,,,34-24,,Turnover by K. Anderson (bad pass)
7:25.0,,,34-24,,Technical foul by Team
7:25.0,H. Barnes makes technical free throw,1,35-24,,
7:25.0,Technical foul by Team,,35-24,,
7:25.0,H. Barnes makes technical free throw,1,36-24,,
7:14.0,D. Smith misses 2-pt shot from 16 ft,,36-24,,
7:10.0,,,36-24,,Defensive rebound by B. Paul
7:01.0,,,36-24,,B. Paul misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by Y. Ferrell,,36-24,,
6:55.0,Turnover by Y. Ferrell (bad pass; steal by B. Paul),,36-24,,
6:39.0,,,36-26,2,P. Mills makes 2-pt shot from 18 ft
6:25.0,D. Powell makes 2-pt shot from 1 ft (assist by D. Smith),2,38-26,,
6:25.0,Shooting foul by P. Mills (drawn by D. Powell),,38-26,,
6:25.0,D. Powell misses free throw 1 of 1,,38-26,,
6:22.0,,,38-26,,Defensive rebound by K. Anderson
6:10.0,,,38-26,,P. Mills misses 3-pt shot from 26 ft
6:02.0,,,38-26,,Offensive rebound by B. Paul
6:02.0,,,38-28,2,B. Paul makes 2-pt shot at rim
5:59.0,D. Smith makes 2-pt shot from 1 ft,2,40-28,,
5:59.0,,,40-28,,San Antonio full timeout
5:59.0,,,40-28,,M. Ginobili enters the game for K. Anderson
5:59.0,,,40-28,,D. Green enters the game for B. Paul
5:59.0,S. Mejri enters the game for D. Powell,,40-28,,
5:49.0,Shooting block foul by S. Mejri (drawn by L. Aldridge),,40-28,,
5:49.0,,,40-29,1,L. Aldridge makes free throw 1 of 2
5:49.0,,,40-30,1,L. Aldridge makes free throw 2 of 2
5:39.0,H. Barnes misses 3-pt shot from 26 ft,,40-30,,
5:35.0,,,40-30,,Defensive rebound by P. Gasol
5:27.0,,,40-30,,M. Ginobili misses 2-pt shot from 10 ft
5:24.0,Defensive rebound by S. Mejri,,40-30,,
5:20.0,Y. Ferrell misses 3-pt shot from 25 ft,,40-30,,
5:19.0,,,40-30,,Defensive rebound by Team
5:00.0,,,40-30,,Shooting foul by S. Mejri (drawn by L. Aldridge)
5:00.0,,,40-31,1,L. Aldridge makes free throw 1 of 2
5:00.0,D. Harris enters the game for Y. Ferrell,,40-31,,
5:00.0,,,40-32,1,L. Aldridge makes free throw 2 of 2
4:43.0,D. Harris makes 2-pt shot from 2 ft (assist by H. Barnes),2,42-32,,
4:23.0,,,42-35,3,P. Mills makes 3-pt shot from 27 ft (assist by L. Aldridge)
4:08.0,W. Matthews misses 2-pt shot from 2 ft (block by L. Aldridge),,42-35,,
4:08.0,Offensive rebound by Team,,42-35,,
4:05.0,S. Mejri makes 2-pt shot from 1 ft (assist by D. Smith),2,44-35,,
3:51.0,,,44-37,2,D. Green makes 2-pt shot from 21 ft (assist by L. Aldridge)
3:42.0,D. Smith misses 2-pt shot from 20 ft,,44-37,,
3:38.0,,,44-37,,Defensive rebound by D. Green
3:32.0,,,44-37,,D. Green misses 3-pt shot from 27 ft
3:28.0,Defensive rebound by S. Mejri,,44-37,,
3:18.0,D. Harris makes 3-pt shot from 25 ft (assist by H. Barnes),3,47-37,,
2:56.0,,,47-37,,P. Gasol misses 2-pt shot from 6 ft
2:54.0,Defensive rebound by H. Barnes,,47-37,,
2:44.0,D. Harris makes 3-pt shot from 25 ft,3,50-37,,
2:27.0,,,50-39,2,L. Aldridge makes 2-pt shot from 5 ft
2:21.0,Dallas full timeout,,50-39,,
2:01.0,Turnover by H. Barnes (bad pass),,50-39,,
1:39.0,,,50-41,2,D. Green makes 2-pt shot from 14 ft (assist by L. Aldridge)
1:20.0,Turnover by D. Smith (bad pass; steal by P. Gasol),,50-41,,
1:09.0,,,50-43,2,P. Gasol makes 2-pt shot from 3 ft (assist by D. Green)
0:52.0,H. Barnes misses 2-pt shot from 6 ft,,50-43,,
0:49.0,Offensive rebound by D. Smith,,50-43,,
0:33.0,D. Smith misses 2-pt shot from 3 ft,,50-43,,
0:30.0,,,50-43,,Defensive rebound by L. Aldridge
0:28.0,,,50-46,3,P. Mills makes 3-pt shot from 27 ft
0:07.0,W. Matthews makes 3-pt shot from 27 ft (assist by H. Barnes),3,53-46,,
0:03.0,,,53-46,,M. Ginobili misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by H. Barnes,,53-46,,
0:00.0,H. Barnes misses 3-pt shot from 65 ft,,53-46,,
0:00.0,Offensive rebound by Team,,53-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,W. Matthews misses 2-pt shot from 20 ft,,53-46,,
11:40.0,,,53-46,,Defensive rebound by K. Anderson
11:28.0,,,53-46,,P. Gasol misses 2-pt shot from 20 ft
11:28.0,,,53-46,,Offensive rebound by L. Aldridge
11:20.0,,,53-46,,L. Aldridge misses 2-pt shot from 14 ft
11:20.0,Defensive rebound by H. Barnes,,53-46,,
11:07.0,D. Smith misses 2-pt shot from 2 ft (block by D. Green),,53-46,,
11:07.0,,,53-46,,Defensive rebound by D. Green
10:54.0,,,53-48,2,T. Parker makes 2-pt shot from 19 ft
10:43.0,Turnover by D. Smith (out of bounds lost ball),,53-48,,
10:32.0,,,53-48,,T. Parker misses 2-pt shot from 19 ft
10:30.0,Defensive rebound by D. Nowitzki,,53-48,,
10:22.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Smith),3,56-48,,
10:08.0,,,56-51,3,P. Gasol makes 3-pt shot from 24 ft (assist by T. Parker)
9:52.0,,,56-51,,Personal foul by K. Anderson (drawn by H. Barnes)
9:43.0,,,56-51,,Personal foul by T. Parker (drawn by D. Nowitzki)
9:36.0,D. Smith makes 2-pt shot from 1 ft,2,58-51,,
9:19.0,,,58-54,3,D. Green makes 3-pt shot from 24 ft (assist by T. Parker)
9:05.0,Turnover by W. Matthews (bad pass; steal by D. Green),,58-54,,
9:01.0,,,58-56,2,L. Aldridge makes 2-pt shot from 1 ft (assist by D. Green)
9:01.0,Dallas full timeout,,58-56,,
8:58.0,Turnover by H. Barnes (bad pass; steal by K. Anderson),,58-56,,
8:46.0,,,58-58,2,P. Gasol makes 2-pt shot from 1 ft (assist by T. Parker)
8:28.0,H. Barnes misses 2-pt shot from 1 ft,,58-58,,
8:23.0,,,58-58,,Defensive rebound by P. Gasol
8:10.0,,,58-61,3,D. Green makes 3-pt shot from 24 ft (assist by K. Anderson)
8:00.0,D. Smith makes 2-pt shot from 1 ft,2,60-61,,
7:45.0,,,60-61,,T. Parker misses 2-pt shot from 19 ft
7:42.0,Defensive rebound by D. Nowitzki,,60-61,,
7:28.0,H. Barnes misses 3-pt shot from 23 ft,,60-61,,
7:24.0,,,60-61,,Defensive rebound by L. Aldridge
7:05.0,,,60-61,,T. Parker misses 2-pt shot from 1 ft
7:02.0,Defensive rebound by D. Nowitzki,,60-61,,
6:56.0,H. Barnes misses 2-pt shot from 1 ft,,60-61,,
6:54.0,,,60-61,,Defensive rebound by K. Anderson
6:50.0,,,60-63,2,P. Gasol makes 2-pt shot from 1 ft (assist by K. Anderson)
6:50.0,,,60-63,,Shooting foul by D. Nowitzki (drawn by P. Gasol)
6:50.0,,,60-64,1,P. Gasol makes free throw 1 of 1
6:50.0,,,60-64,,P. Mills enters the game for T. Parker
6:50.0,J. Barea enters the game for D. Smith,,60-64,,
6:50.0,D. Harris enters the game for M. Kleber,,60-64,,
6:50.0,S. Mejri enters the game for D. Nowitzki,,60-64,,
6:32.0,W. Matthews makes 2-pt shot from 9 ft (assist by J. Barea),2,62-64,,
6:14.0,,,62-64,,Turnover by P. Mills (bad pass; steal by J. Barea)
6:06.0,W. Matthews makes 3-pt shot from 26 ft,3,65-64,,
5:57.0,,,65-66,2,K. Anderson makes 2-pt shot from 1 ft (assist by P. Gasol)
5:57.0,,,65-66,,Shooting foul by S. Mejri (drawn by K. Anderson)
5:57.0,,,65-67,1,K. Anderson makes free throw 1 of 1
5:57.0,,,65-67,,J. Lauvergne enters the game for P. Gasol
