time,Atlanta,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. D. Dedmon (I. Taylor gains possession),,,,Jump ball: W. Cauley-Stein vs. D. Dedmon (I. Taylor gains possession)
11:43.0,T. Waller-Prince misses 3-pt shot from 25 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by D. Fox
11:26.0,,,0-3,3,J. Jackson makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
10:57.0,Turnover by M. Muscala (lost ball; steal by D. Fox),,0-3,,
10:53.0,,,0-3,,Shooting foul by T. Waller-Prince (drawn by D. Fox)
10:53.0,,,0-4,1,D. Fox makes free throw 1 of 2
10:53.0,,,0-5,1,D. Fox makes free throw 2 of 2
10:36.0,M. Muscala misses 2-pt shot from 13 ft,,0-5,,
10:33.0,,,0-5,,Defensive rebound by W. Cauley-Stein
10:17.0,,,0-5,,S. Labissiere misses 2-pt shot from 17 ft
10:14.0,Defensive rebound by T. Waller-Prince,,0-5,,
10:04.0,I. Taylor makes 3-pt shot from 24 ft (assist by T. Waller-Prince),3,3-5,,
9:49.0,,,3-5,,Turnover by D. Fox (lost ball; steal by I. Taylor)
9:36.0,D. Lee makes 2-pt shot from 3 ft (assist by M. Muscala),2,5-5,,
9:25.0,,,5-5,,B. Bogdanovic misses 2-pt shot from 7 ft
9:22.0,Defensive rebound by M. Muscala,,5-5,,
9:16.0,I. Taylor misses 3-pt shot from 25 ft,,5-5,,
9:13.0,,,5-5,,Defensive rebound by W. Cauley-Stein
9:01.0,,,5-5,,Turnover by W. Cauley-Stein (out of bounds lost ball)
8:44.0,I. Taylor makes 2-pt shot from 1 ft,2,7-5,,
8:31.0,,,7-5,,J. Jackson misses 2-pt shot from 14 ft
8:28.0,,,7-5,,Offensive rebound by W. Cauley-Stein
8:23.0,,,7-5,,W. Cauley-Stein misses 2-pt shot from 2 ft
8:20.0,Defensive rebound by D. Dedmon,,7-5,,
8:14.0,M. Muscala misses 3-pt shot from 24 ft,,7-5,,
8:12.0,Offensive rebound by D. Lee,,7-5,,
8:12.0,Shooting foul by W. Cauley-Stein (drawn by D. Lee),,7-5,,
8:12.0,D. Lee makes free throw 1 of 2,1,8-5,,
8:12.0,D. Lee makes free throw 2 of 2,1,9-5,,
7:58.0,,,9-5,,D. Fox misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by D. Dedmon,,9-5,,
7:47.0,T. Waller-Prince misses 3-pt shot from 24 ft,,9-5,,
7:44.0,,,9-5,,Defensive rebound by J. Jackson
7:32.0,,,9-5,,Offensive foul by S. Labissiere (drawn by I. Taylor)
7:32.0,,,9-5,,Turnover by S. Labissiere (offensive foul)
7:13.0,D. Dedmon makes 2-pt shot at rim (assist by D. Lee),2,11-5,,
6:59.0,,,11-5,,S. Labissiere misses 3-pt shot from 25 ft
