time,Denver,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. N. Jokic (D. Saric gains possession),,,,Jump ball: J. Embiid vs. N. Jokic (D. Saric gains possession)
11:53.0,,,0-0,,R. Covington misses 3-pt shot from 25 ft
11:49.0,Defensive rebound by J. Murray,,0-0,,
11:44.0,W. Barton makes 3-pt shot from 26 ft (assist by J. Murray),3,3-0,,
11:29.0,,,3-0,,J. Embiid misses 2-pt shot from 1 ft
11:27.0,Defensive rebound by P. Millsap,,3-0,,
11:19.0,P. Millsap misses 2-pt shot from 8 ft,,3-0,,
11:16.0,,,3-0,,Defensive rebound by R. Covington
11:14.0,,,3-0,,Turnover by R. Covington (lost ball; steal by W. Chandler)
11:10.0,W. Barton makes 3-pt shot from 26 ft (assist by W. Chandler),3,6-0,,
11:00.0,Personal foul by W. Barton (drawn by J. Redick),,6-0,,
10:57.0,,,6-0,,R. Covington misses 2-pt shot from 1 ft
10:57.0,Defensive rebound by Team,,6-0,,
10:55.0,W. Barton makes 2-pt shot from 2 ft (assist by N. Jokic),2,8-0,,
10:55.0,Shooting foul by R. Covington (drawn by W. Barton),,8-0,,
10:55.0,W. Barton makes free throw 1 of 1,1,9-0,,
10:45.0,,,9-2,2,J. Embiid makes 2-pt shot from 2 ft (assist by R. Covington)
10:25.0,W. Barton misses 2-pt shot from 1 ft,,9-2,,
10:23.0,,,9-2,,Defensive rebound by J. Embiid
10:11.0,,,9-4,2,J. Embiid makes 2-pt shot from 11 ft
9:54.0,N. Jokic makes 2-pt shot from 7 ft (assist by W. Barton),2,11-4,,
9:54.0,,,11-4,,Philadelphia full timeout
9:39.0,,,11-4,,Shooting foul by N. Jokic (drawn by J. Embiid)
9:39.0,,,11-5,1,J. Embiid makes free throw 1 of 2
9:39.0,,,11-6,1,J. Embiid makes free throw 2 of 2
9:16.0,N. Jokic misses 2-pt shot from 12 ft,,11-6,,
