time,Sacramento,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Barnes vs. W. Cauley-Stein (D. Fox gains possession),,,,Jump ball: H. Barnes vs. W. Cauley-Stein (D. Fox gains possession)
11:40.0,J. Jackson misses 2-pt shot from 19 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by D. Smith
11:20.0,,,0-0,,D. Smith misses 3-pt shot from 25 ft
11:17.0,Defensive rebound by W. Cauley-Stein,,0-0,,
11:10.0,D. Fox misses 2-pt shot from 15 ft,,0-0,,
11:08.0,Offensive rebound by Z. Randolph,,0-0,,
11:08.0,Turnover by Z. Randolph (out of bounds lost ball),,0-0,,
10:46.0,,,0-3,3,J. Barea makes 3-pt shot from 25 ft (assist by H. Barnes)
10:26.0,B. Bogdanovic misses 2-pt shot from 19 ft,,0-3,,
10:23.0,,,0-3,,Defensive rebound by W. Matthews
10:19.0,,,0-3,,W. Matthews misses 3-pt shot from 25 ft
10:17.0,Defensive rebound by Z. Randolph,,0-3,,
10:00.0,Z. Randolph makes 2-pt shot from 17 ft,2,2-3,,
9:44.0,,,2-3,,H. Barnes misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by Team,,2-3,,
9:31.0,Turnover by Z. Randolph (bad pass; steal by D. Smith),,2-3,,
9:25.0,,,2-5,2,H. Barnes makes 2-pt shot from 1 ft (assist by D. Smith)
9:12.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,2-5,,
9:12.0,,,2-5,,Defensive rebound by D. Nowitzki
9:02.0,,,2-5,,D. Nowitzki misses 2-pt shot from 20 ft
8:59.0,Defensive rebound by D. Fox,,2-5,,
8:52.0,W. Cauley-Stein misses 2-pt shot from 15 ft,,2-5,,
8:49.0,,,2-5,,Defensive rebound by J. Barea
8:45.0,,,2-5,,Turnover by J. Barea (bad pass)
8:29.0,Z. Randolph makes 2-pt shot from 6 ft (assist by J. Jackson),2,4-5,,
8:08.0,,,4-5,,J. Barea misses 3-pt shot from 26 ft
8:05.0,Defensive rebound by Z. Randolph,,4-5,,
8:01.0,B. Bogdanovic makes 2-pt shot at rim (assist by D. Fox),2,6-5,,
7:39.0,,,6-5,,W. Matthews misses 2-pt shot from 1 ft
7:37.0,Defensive rebound by J. Jackson,,6-5,,
7:28.0,Z. Randolph makes 2-pt shot from 3 ft,2,8-5,,
7:13.0,,,8-5,,D. Nowitzki misses 3-pt shot from 25 ft
7:10.0,Defensive rebound by J. Jackson,,8-5,,
7:05.0,D. Fox makes 2-pt shot at rim (assist by Z. Randolph),2,10-5,,
7:03.0,,,10-5,,Dallas full timeout
6:43.0,,,10-8,3,D. Smith makes 3-pt shot from 22 ft (assist by W. Matthews)
6:20.0,Z. Randolph misses 3-pt shot from 25 ft,,10-8,,
6:18.0,,,10-8,,Defensive rebound by J. Barea
6:09.0,,,10-8,,J. Barea misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by D. Fox,,10-8,,
6:02.0,B. Bogdanovic misses 3-pt shot from 25 ft,,10-8,,
6:00.0,,,10-8,,Defensive rebound by H. Barnes
5:51.0,,,10-8,,H. Barnes misses 2-pt shot from 2 ft (block by W. Cauley-Stein)
5:51.0,Defensive rebound by B. Bogdanovic,,10-8,,
5:46.0,J. Jackson makes 2-pt shot at rim (assist by B. Bogdanovic),2,12-8,,
5:29.0,,,12-8,,D. Smith misses 3-pt shot from 24 ft
5:29.0,Defensive rebound by J. Jackson,,12-8,,
5:15.0,D. Fox misses 3-pt shot from 24 ft,,12-8,,
5:10.0,Offensive rebound by J. Jackson,,12-8,,
5:06.0,D. Fox makes 2-pt shot from 1 ft,2,14-8,,
4:55.0,,,14-8,,J. Barea misses 2-pt shot from 6 ft
4:53.0,Defensive rebound by B. Bogdanovic,,14-8,,
4:52.0,,,14-8,,Personal foul by D. Smith (drawn by B. Bogdanovic)
4:52.0,,,14-8,,D. Powell enters the game for J. Barea
4:52.0,,,14-8,,Y. Ferrell enters the game for D. Nowitzki
4:52.0,V. Carter enters the game for B. Bogdanovic,,14-8,,
4:40.0,Z. Randolph makes 2-pt shot from 7 ft (assist by J. Jackson),2,16-8,,
4:18.0,,,16-8,,W. Matthews misses 2-pt shot from 17 ft
4:15.0,Defensive rebound by D. Fox,,16-8,,
4:05.0,Z. Randolph makes 3-pt shot from 25 ft (assist by D. Fox),3,19-8,,
3:49.0,Personal foul by Z. Randolph (drawn by D. Powell),,19-8,,
3:49.0,K. Koufos enters the game for Z. Randolph,,19-8,,
3:35.0,,,19-11,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Powell)
3:23.0,K. Koufos makes 2-pt shot from 1 ft (assist by D. Fox),2,21-11,,
3:14.0,,,21-11,,D. Smith misses 3-pt shot from 24 ft
3:12.0,Defensive rebound by J. Jackson,,21-11,,
3:03.0,J. Jackson misses 3-pt shot from 22 ft,,21-11,,
2:59.0,,,21-11,,Defensive rebound by D. Smith
2:54.0,,,21-11,,W. Matthews misses 3-pt shot from 23 ft
2:53.0,Defensive rebound by Team,,21-11,,
2:53.0,Sacramento full timeout,,21-11,,
2:53.0,,,21-11,,D. McDermott enters the game for W. Matthews
2:53.0,B. Hield enters the game for J. Jackson,,21-11,,
2:46.0,,,21-11,,Violation by D. Smith (kicked ball)
2:36.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by D. Fox),2,23-11,,
2:24.0,,,23-13,2,D. Smith makes 2-pt shot from 1 ft (assist by D. Powell)
2:05.0,K. Koufos makes 2-pt shot from 8 ft (assist by V. Carter),2,25-13,,
1:52.0,,,25-13,,Turnover by D. Powell (bad pass)
1:52.0,G. Temple enters the game for D. Fox,,25-13,,
1:42.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,25-13,,
1:40.0,,,25-13,,Defensive rebound by D. Powell
1:32.0,,,25-13,,D. Smith misses 2-pt shot from 3 ft
1:32.0,Defensive rebound by Team,,25-13,,
1:32.0,,,25-13,,Loose ball foul by D. Smith (drawn by K. Koufos)
1:32.0,,,25-13,,J. Barea enters the game for D. Smith
1:32.0,,,25-13,,D. Nowitzki enters the game for H. Barnes
1:17.0,G. Temple misses 2-pt shot from 18 ft,,25-13,,
1:15.0,Offensive rebound by K. Koufos,,25-13,,
1:13.0,V. Carter misses 3-pt shot from 24 ft,,25-13,,
1:09.0,,,25-13,,Defensive rebound by D. Powell
0:50.0,B. Bogdanovic enters the game for W. Cauley-Stein,,25-13,,
0:47.0,,,25-13,,J. Barea misses 3-pt shot from 29 ft
0:44.0,Defensive rebound by K. Koufos,,25-13,,
0:27.0,B. Hield makes 2-pt shot at rim (assist by V. Carter),2,27-13,,
0:07.0,,,27-16,3,D. Powell makes 3-pt shot from 26 ft (assist by J. Barea)
0:03.0,Shooting foul by D. Nowitzki (drawn by G. Temple),,27-16,,
0:03.0,G. Temple makes free throw 1 of 2,1,28-16,,
0:03.0,G. Temple makes free throw 2 of 2,1,29-16,,
0:00.0,,,29-16,,Y. Ferrell misses 3-pt shot from 31 ft
0:00.0,,,29-16,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,29-18,2,D. McDermott makes 2-pt shot from 1 ft (assist by J. Barea)
11:21.0,B. Hield misses 3-pt shot from 22 ft,,29-18,,
11:17.0,,,29-18,,Defensive rebound by J. Barea
11:14.0,,,29-18,,D. Nowitzki misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by B. Hield,,29-18,,
11:02.0,B. Hield misses 3-pt shot from 24 ft,,29-18,,
11:02.0,,,29-18,,Defensive rebound by D. McDermott
10:55.0,,,29-18,,Shooting foul by V. Carter (drawn by D. McDermott)
10:55.0,,,29-18,,D. McDermott misses free throw 1 of 3
10:55.0,,,29-18,,Offensive rebound by Team
10:55.0,,,29-19,1,D. McDermott makes free throw 2 of 3
10:55.0,,,29-20,1,D. McDermott makes free throw 3 of 3
10:42.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by V. Carter),3,32-20,,
10:26.0,,,32-20,,D. McDermott misses 2-pt shot at rim (block by K. Koufos)
10:22.0,Defensive rebound by K. Koufos,,32-20,,
10:19.0,V. Carter makes 3-pt shot from 23 ft (assist by B. Bogdanovic),3,35-20,,
10:18.0,,,35-20,,Dallas full timeout
10:00.0,,,35-22,2,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea)
9:41.0,B. Bogdanovic makes 2-pt shot from 3 ft (assist by V. Carter),2,37-22,,
9:25.0,Personal foul by B. Bogdanovic (drawn by D. Nowitzki),,37-22,,
