time,New York,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. E. Kanter (M. Beasley gains possession),,,,Jump ball: J. Embiid vs. E. Kanter (M. Beasley gains possession)
11:41.0,M. Beasley misses 3-pt shot from 25 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by J. Embiid
11:34.0,,,0-3,3,R. Covington makes 3-pt shot from 26 ft (assist by B. Simmons)
11:16.0,T. Hardaway misses 3-pt shot from 25 ft,,0-3,,
11:12.0,,,0-3,,Defensive rebound by D. Saric
11:00.0,,,0-3,,J. Embiid misses 2-pt shot from 4 ft
10:58.0,Defensive rebound by E. Kanter,,0-3,,
10:50.0,M. Beasley makes 2-pt shot from 6 ft,2,2-3,,
10:39.0,,,2-3,,D. Saric misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by E. Kanter,,2-3,,
10:29.0,E. Kanter makes 2-pt shot from 1 ft (assist by M. Beasley),2,4-3,,
10:29.0,Shooting foul by J. Redick (drawn by E. Kanter),,4-3,,
10:29.0,E. Kanter makes free throw 1 of 1,1,5-3,,
10:16.0,,,5-3,,Turnover by J. Embiid (bad pass; steal by T. Burke)
10:13.0,T. Burke makes 2-pt shot from 1 ft,2,7-3,,
10:13.0,,,7-3,,Philadelphia full timeout
10:09.0,,,7-3,,J. Redick misses 3-pt shot from 24 ft
10:08.0,Defensive rebound by Team,,7-3,,
10:08.0,,,7-3,,Loose ball foul by J. Embiid (drawn by E. Kanter)
9:56.0,M. Beasley misses 2-pt shot from 5 ft,,7-3,,
9:54.0,,,7-3,,Defensive rebound by D. Saric
9:49.0,,,7-5,2,R. Covington makes 2-pt shot from 3 ft (assist by J. Redick)
9:29.0,M. Beasley misses 2-pt shot from 7 ft,,7-5,,
9:27.0,,,7-5,,Defensive rebound by B. Simmons
9:22.0,,,7-8,3,J. Redick makes 3-pt shot from 23 ft (assist by D. Saric)
9:06.0,T. Burke makes 2-pt shot from 9 ft,2,9-8,,
8:56.0,,,9-10,2,J. Redick makes 2-pt shot from 19 ft (assist by B. Simmons)
8:41.0,E. Kanter misses 2-pt shot from 16 ft,,9-10,,
8:38.0,,,9-10,,Defensive rebound by D. Saric
8:32.0,,,9-13,3,D. Saric makes 3-pt shot from 24 ft (assist by B. Simmons)
8:09.0,T. Hardaway misses 3-pt shot from 25 ft,,9-13,,
8:07.0,,,9-13,,Defensive rebound by B. Simmons
8:00.0,,,9-13,,J. Redick misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by M. Beasley,,9-13,,
7:54.0,T. Hardaway misses 2-pt shot from 3 ft (block by R. Covington),,9-13,,
7:54.0,,,9-13,,Defensive rebound by Team
7:41.0,,,9-15,2,J. Redick makes 2-pt shot from 17 ft (assist by B. Simmons)
7:32.0,New York full timeout,,9-15,,
7:32.0,,,9-15,,T. McConnell enters the game for R. Covington
7:15.0,T. Hardaway makes 3-pt shot from 24 ft (assist by E. Kanter),3,12-15,,
7:01.0,,,12-15,,J. Embiid misses 2-pt shot from 4 ft (block by E. Kanter)
7:00.0,,,12-15,,Offensive rebound by J. Embiid
6:59.0,,,12-15,,Shooting foul by L. Thomas (drawn by J. Embiid)
6:59.0,,,12-16,1,J. Embiid makes free throw 1 of 2
6:59.0,,,12-16,,M. Belinelli enters the game for J. Redick
6:59.0,,,12-16,,J. Embiid misses free throw 2 of 2
6:45.0,,,12-16,,Offensive rebound by D. Saric
6:43.0,,,12-18,2,D. Saric makes 2-pt shot from 16 ft
6:21.0,E. Kanter misses 2-pt shot from 4 ft,,12-18,,
6:19.0,,,12-18,,Defensive rebound by D. Saric
6:09.0,,,12-18,,J. Embiid misses 2-pt shot from 4 ft
6:07.0,,,12-18,,Offensive rebound by J. Embiid
6:06.0,,,12-20,2,J. Embiid makes 2-pt shot from 2 ft
5:52.0,T. Burke makes 2-pt shot from 3 ft,2,14-20,,
5:44.0,,,14-20,,J. Embiid misses 3-pt shot from 26 ft
5:44.0,,,14-20,,Offensive rebound by B. Simmons
5:39.0,,,14-22,2,M. Belinelli makes 2-pt shot from 2 ft (assist by B. Simmons)
5:25.0,T. Burke misses 2-pt shot from 16 ft,,14-22,,
5:23.0,,,14-22,,Defensive rebound by D. Saric
5:15.0,,,14-24,2,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons)
4:50.0,T. Burke misses 2-pt shot from 4 ft,,14-24,,
4:46.0,Offensive rebound by E. Kanter,,14-24,,
4:46.0,E. Kanter makes 2-pt shot at rim,2,16-24,,
4:41.0,,,16-26,2,B. Simmons makes 2-pt shot from 2 ft
4:21.0,M. Beasley makes 2-pt shot from 18 ft (assist by L. Thomas),2,18-26,,
4:05.0,,,18-28,2,J. Embiid makes 2-pt shot from 8 ft (assist by T. McConnell)
3:55.0,L. Thomas makes 3-pt shot from 24 ft (assist by T. Burke),3,21-28,,
3:48.0,Personal block foul by L. Thomas (drawn by B. Simmons),,21-28,,
3:48.0,,,21-28,,M. Fultz enters the game for D. Saric
3:48.0,,,21-28,,R. Holmes enters the game for J. Embiid
3:48.0,,,21-28,,E. Ilyasova enters the game for B. Simmons
3:48.0,L. Kornet enters the game for E. Kanter,,21-28,,
3:48.0,F. Ntilikina enters the game for L. Thomas,,21-28,,
3:35.0,,,21-28,,E. Ilyasova misses 2-pt shot from 2 ft
3:32.0,Defensive rebound by F. Ntilikina,,21-28,,
3:26.0,L. Kornet misses 3-pt shot from 27 ft,,21-28,,
3:23.0,,,21-28,,Defensive rebound by E. Ilyasova
3:08.0,,,21-28,,M. Belinelli misses 2-pt shot from 19 ft
3:04.0,Defensive rebound by M. Beasley,,21-28,,
2:53.0,M. Beasley misses 2-pt shot from 15 ft,,21-28,,
2:50.0,,,21-28,,Defensive rebound by M. Fultz
2:40.0,,,21-28,,Turnover by E. Ilyasova (bad pass)
2:40.0,,,21-28,,R. Covington enters the game for T. McConnell
2:40.0,I. Hicks enters the game for M. Beasley,,21-28,,
2:29.0,T. Burke misses 2-pt shot from 4 ft (block by M. Fultz),,21-28,,
2:25.0,Offensive rebound by I. Hicks,,21-28,,
2:24.0,F. Ntilikina makes 3-pt shot from 25 ft (assist by I. Hicks),3,24-28,,
2:07.0,,,24-28,,E. Ilyasova misses 3-pt shot from 26 ft
2:05.0,Defensive rebound by L. Kornet,,24-28,,
1:57.0,L. Kornet misses 3-pt shot from 26 ft,,24-28,,
1:54.0,,,24-28,,Defensive rebound by E. Ilyasova
1:48.0,,,24-31,3,M. Belinelli makes 3-pt shot from 23 ft (assist by M. Fultz)
1:38.0,Shooting foul by M. Belinelli (drawn by T. Burke),,24-31,,
1:38.0,T. Burke makes free throw 1 of 2,1,25-31,,
1:38.0,T. Burke makes free throw 2 of 2,1,26-31,,
1:21.0,,,26-33,2,E. Ilyasova makes 2-pt shot from 20 ft (assist by M. Fultz)
1:02.0,Turnover by F. Ntilikina (traveling),,26-33,,
0:50.0,,,26-35,2,R. Holmes makes 2-pt shot from 2 ft (assist by M. Belinelli)
0:40.0,T. Hardaway makes 2-pt shot from 2 ft (assist by L. Kornet),2,28-35,,
0:32.0,,,28-37,2,M. Fultz makes 2-pt shot from 11 ft
0:25.0,Turnover by T. Burke (bad pass; steal by R. Covington),,28-37,,
0:02.0,,,28-37,,Offensive foul by M. Belinelli (drawn by L. Kornet)
0:02.0,,,28-37,,Turnover by M. Belinelli (offensive foul)
0:01.0,T. Hardaway misses 3-pt shot from 30 ft,,28-37,,
0:01.0,Offensive rebound by Team,,28-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,28-37,,J. Redick misses 3-pt shot from 22 ft
11:41.0,Defensive rebound by L. Kornet,,28-37,,
11:40.0,,,28-37,,Personal foul by M. Fultz (drawn by E. Mudiay)
11:40.0,,,28-37,,Philadelphia full timeout
11:40.0,,,28-37,,R. Holmes enters the game for J. Embiid
11:25.0,Turnover by F. Ntilikina (bad pass; steal by R. Covington),,28-37,,
11:19.0,,,28-40,3,R. Covington makes 3-pt shot from 25 ft (assist by J. Redick)
11:03.0,T. Williams misses 2-pt shot from 1 ft,,28-40,,
11:01.0,,,28-40,,Defensive rebound by M. Fultz
10:56.0,,,28-42,2,J. Redick makes 2-pt shot from 3 ft (assist by M. Fultz)
10:41.0,F. Ntilikina misses 2-pt shot from 17 ft,,28-42,,
10:38.0,,,28-42,,Defensive rebound by R. Holmes
10:30.0,,,28-44,2,R. Holmes makes 2-pt shot from 2 ft (assist by M. Fultz)
10:23.0,New York full timeout,,28-44,,
10:23.0,E. Kanter enters the game for L. Kornet,,28-44,,
10:23.0,M. Beasley enters the game for I. Hicks,,28-44,,
10:04.0,E. Mudiay misses 2-pt shot from 12 ft,,28-44,,
10:01.0,Offensive rebound by E. Kanter,,28-44,,
9:59.0,E. Kanter makes 2-pt shot from 1 ft,2,30-44,,
9:46.0,,,30-44,,M. Fultz misses 2-pt shot from 3 ft
9:45.0,,,30-44,,Offensive rebound by R. Holmes
9:44.0,,,30-44,,R. Holmes misses 2-pt shot from 2 ft
9:43.0,Defensive rebound by E. Kanter,,30-44,,
9:40.0,Shooting foul by M. Fultz (drawn by M. Beasley),,30-44,,
9:40.0,M. Beasley makes free throw 1 of 2,1,31-44,,
9:40.0,M. Beasley misses free throw 2 of 2,,31-44,,
9:37.0,,,31-44,,Defensive rebound by R. Holmes
9:25.0,,,31-46,2,J. Redick makes 2-pt shot from 2 ft (assist by R. Holmes)
9:15.0,M. Beasley makes 2-pt shot from 14 ft,2,33-46,,
8:59.0,,,33-46,,E. Ilyasova misses 3-pt shot from 25 ft
8:56.0,Defensive rebound by F. Ntilikina,,33-46,,
8:54.0,Offensive charge foul by T. Williams (drawn by E. Ilyasova),,33-46,,
8:54.0,Turnover by T. Williams (offensive foul),,33-46,,
8:54.0,,,33-46,,B. Simmons enters the game for M. Fultz
8:54.0,,,33-46,,D. Saric enters the game for E. Ilyasova
8:41.0,,,33-46,,Shooting foul by F. Ntilikina (drawn by R. Holmes)
8:41.0,,,33-47,1,R. Holmes makes free throw 1 of 2
8:41.0,,,33-47,,R. Holmes misses free throw 2 of 2
8:38.0,Defensive rebound by T. Williams,,33-47,,
8:22.0,M. Beasley makes 2-pt shot from 22 ft (assist by T. Williams),2,35-47,,
8:16.0,,,35-47,,Turnover by B. Simmons (bad pass; steal by T. Williams)
8:10.0,Shooting foul by D. Saric (drawn by T. Williams),,35-47,,
8:10.0,T. Williams makes free throw 1 of 2,1,36-47,,
8:10.0,T. Williams makes free throw 2 of 2,1,37-47,,
7:57.0,,,37-49,2,R. Holmes makes 2-pt shot from 5 ft (assist by B. Simmons)
7:47.0,F. Ntilikina misses 2-pt shot from 19 ft,,37-49,,
7:46.0,,,37-49,,Defensive rebound by J. Redick
7:39.0,,,37-49,,J. Redick misses 3-pt shot from 26 ft
7:37.0,Defensive rebound by E. Mudiay,,37-49,,
7:37.0,,,37-49,,Personal foul by R. Covington (drawn by E. Mudiay)
7:29.0,,,37-49,,Personal foul by R. Holmes (drawn by E. Kanter)
7:29.0,E. Kanter makes free throw 1 of 2,1,38-49,,
7:29.0,E. Kanter makes free throw 2 of 2,1,39-49,,
7:28.0,Personal foul by F. Ntilikina (drawn by B. Simmons),,39-49,,
7:14.0,,,39-49,,J. Redick misses 3-pt shot from 24 ft
7:13.0,Defensive rebound by E. Kanter,,39-49,,
7:03.0,E. Mudiay makes 2-pt shot from 1 ft (assist by T. Williams),2,41-49,,
7:00.0,,,41-49,,Turnover by R. Covington (bad pass)
6:50.0,Shooting foul by R. Covington (drawn by E. Kanter),,41-49,,
6:50.0,E. Kanter makes free throw 1 of 2,1,42-49,,
6:50.0,,,42-49,,M. Belinelli enters the game for J. Redick
6:50.0,,,42-49,,E. Ilyasova enters the game for R. Holmes
6:50.0,E. Kanter makes free throw 2 of 2,1,43-49,,
6:36.0,,,43-51,2,D. Saric makes 2-pt shot from 2 ft (assist by R. Covington)
6:27.0,,,43-51,,Def 3 sec tech foul by M. Belinelli
6:27.0,E. Mudiay makes technical free throw,1,44-51,,
6:17.0,E. Kanter misses 2-pt shot from 3 ft (block by B. Simmons),,44-51,,
6:16.0,Offensive rebound by Team,,44-51,,
6:11.0,E. Kanter makes 2-pt shot from 2 ft,2,46-51,,
5:54.0,,,46-51,,Turnover by D. Saric (bad pass; steal by T. Williams)
5:51.0,Shooting foul by E. Ilyasova (drawn by E. Kanter),,46-51,,
5:51.0,New York full timeout,,46-51,,
5:51.0,E. Kanter makes free throw 1 of 2,1,47-51,,
5:51.0,E. Kanter misses free throw 2 of 2,,47-51,,
5:48.0,,,47-51,,Defensive rebound by D. Saric
5:45.0,Personal foul by T. Williams (drawn by B. Simmons),,47-51,,
5:41.0,,,47-51,,R. Covington misses 2-pt shot from 4 ft (block by E. Mudiay)
5:38.0,Defensive rebound by E. Mudiay,,47-51,,
5:38.0,Turnover by E. Mudiay (bad pass; steal by E. Ilyasova),,47-51,,
5:37.0,,,47-51,,E. Ilyasova misses 3-pt shot from 24 ft
5:36.0,Defensive rebound by T. Williams,,47-51,,
5:32.0,M. Beasley misses 2-pt shot from 2 ft,,47-51,,
5:32.0,,,47-51,,Defensive rebound by E. Ilyasova
5:25.0,,,47-51,,Turnover by E. Ilyasova (bad pass)
5:12.0,Turnover by E. Kanter (bad pass),,47-51,,
4:56.0,,,47-53,2,R. Covington makes 2-pt shot from 2 ft (assist by M. Belinelli)
4:42.0,E. Mudiay makes 2-pt shot from 16 ft,2,49-53,,
4:26.0,,,49-53,,M. Belinelli misses 2-pt shot from 15 ft
4:24.0,Defensive rebound by M. Beasley,,49-53,,
4:10.0,E. Kanter makes 2-pt shot from 2 ft (assist by E. Mudiay),2,51-53,,
4:03.0,,,51-53,,Shooting foul by F. Ntilikina (drawn by B. Simmons)
4:03.0,,,51-54,1,B. Simmons makes free throw 1 of 2
4:03.0,,,51-54,,J. Redick enters the game for R. Covington
4:03.0,L. Thomas enters the game for F. Ntilikina,,51-54,,
4:03.0,,,51-54,,B. Simmons misses free throw 2 of 2
4:02.0,,,51-54,,Offensive rebound by E. Ilyasova
4:02.0,,,51-56,2,E. Ilyasova makes 2-pt shot from 1 ft
3:54.0,New York full timeout,,51-56,,
3:46.0,E. Mudiay makes 3-pt shot from 26 ft (assist by M. Beasley),3,54-56,,
3:20.0,,,54-56,,D. Saric misses 2-pt shot from 14 ft
3:18.0,Defensive rebound by E. Kanter,,54-56,,
3:12.0,M. Beasley makes 2-pt shot from 3 ft (assist by E. Mudiay),2,56-56,,
3:03.0,,,56-56,,J. Redick misses 3-pt shot from 24 ft
3:01.0,Defensive rebound by L. Thomas,,56-56,,
2:50.0,Turnover by E. Kanter (traveling),,56-56,,
2:38.0,,,56-58,2,D. Saric makes 2-pt shot from 16 ft (assist by J. Redick)
2:23.0,M. Beasley misses 2-pt shot from 9 ft,,56-58,,
2:23.0,,,56-58,,Defensive rebound by Team
2:23.0,Loose ball foul by E. Kanter (drawn by M. Belinelli),,56-58,,
