time,Cleveland,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Thompson (I. Smith gains possession),,,,Jump ball: A. Drummond vs. T. Thompson (I. Smith gains possession)
11:43.0,,,0-0,,R. Bullock misses 3-pt shot from 26 ft
11:40.0,Defensive rebound by L. James,,0-0,,
11:35.0,J. Smith misses 3-pt shot from 25 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by A. Drummond
11:19.0,,,0-0,,Turnover by S. Johnson (step out of bounds)
11:09.0,,,0-0,,Personal foul by A. Tolliver (drawn by L. James)
11:03.0,Turnover by I. Thomas (out of bounds lost ball),,0-0,,
10:46.0,,,0-2,2,I. Smith makes 2-pt shot from 1 ft
10:34.0,Turnover by I. Thomas (lost ball; steal by A. Drummond),,0-2,,
10:28.0,,,0-2,,Offensive foul by S. Johnson (drawn by I. Thomas)
10:28.0,,,0-2,,Turnover by S. Johnson (offensive foul)
10:13.0,I. Thomas makes 2-pt shot from 20 ft,2,2-2,,
10:00.0,,,2-2,,S. Johnson misses 3-pt shot from 23 ft
9:56.0,Defensive rebound by I. Thomas,,2-2,,
9:44.0,L. James misses 2-pt shot from 14 ft,,2-2,,
9:37.0,Offensive rebound by T. Thompson,,2-2,,
9:37.0,T. Thompson makes 2-pt shot at rim,2,4-2,,
9:29.0,,,4-4,2,R. Bullock makes 2-pt shot from 1 ft (assist by I. Smith)
9:15.0,Turnover by I. Thomas (bad pass; steal by A. Drummond),,4-4,,
9:10.0,,,4-4,,R. Bullock misses 3-pt shot from 26 ft
9:06.0,,,4-4,,Offensive rebound by A. Drummond
9:04.0,,,4-4,,A. Drummond misses 2-pt shot from 8 ft
9:04.0,Defensive rebound by T. Thompson,,4-4,,
8:48.0,T. Thompson misses 2-pt shot from 2 ft (block by A. Drummond),,4-4,,
8:46.0,,,4-4,,Defensive rebound by S. Johnson
8:44.0,,,4-4,,R. Bullock misses 2-pt shot from 2 ft
8:40.0,Defensive rebound by J. Smith,,4-4,,
8:36.0,T. Thompson makes 2-pt shot at rim (assist by I. Thomas),2,6-4,,
8:21.0,,,6-6,2,R. Bullock makes 2-pt shot at rim (assist by A. Drummond)
7:49.0,L. James misses 2-pt shot from 20 ft,,6-6,,
7:47.0,,,6-6,,Defensive rebound by A. Drummond
7:41.0,,,6-8,2,S. Johnson makes 2-pt shot at rim
7:22.0,Turnover by I. Thomas (lost ball; steal by A. Drummond),,6-8,,
7:19.0,,,6-10,2,A. Drummond makes 2-pt shot from 1 ft (assist by I. Smith)
7:19.0,Cleveland full timeout,,6-10,,
7:19.0,J. Crowder enters the game for K. Love,,6-10,,
7:00.0,J. Crowder misses 3-pt shot from 24 ft,,6-10,,
6:56.0,,,6-10,,Defensive rebound by A. Drummond
6:40.0,,,6-10,,A. Drummond misses 2-pt shot from 5 ft
6:38.0,Defensive rebound by J. Smith,,6-10,,
6:32.0,J. Crowder misses 2-pt shot from 4 ft (block by A. Tolliver),,6-10,,
6:32.0,,,6-10,,Defensive rebound by A. Drummond
6:27.0,,,6-10,,S. Johnson misses 2-pt shot from 1 ft
6:27.0,Defensive rebound by T. Thompson,,6-10,,
6:20.0,J. Crowder misses 3-pt shot from 24 ft,,6-10,,
6:20.0,Offensive rebound by Team,,6-10,,
