time,Indiana,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. M. Turner (J. Tatum gains possession),,,,Jump ball: A. Baynes vs. M. Turner (J. Tatum gains possession)
11:43.0,,,0-2,2,J. Tatum makes 2-pt shot from 17 ft
11:18.0,T. Young misses 2-pt shot from 5 ft (block by J. Tatum),,0-2,,
11:17.0,Offensive rebound by T. Young,,0-2,,
11:16.0,T. Young misses 2-pt shot from 5 ft,,0-2,,
11:15.0,Offensive rebound by T. Young,,0-2,,
10:59.0,Turnover by B. Bogdanovic (bad pass; steal by M. Smart),,0-2,,
10:54.0,,,0-4,2,M. Morris makes 2-pt shot from 4 ft (assist by M. Smart)
10:42.0,C. Joseph misses 2-pt shot from 1 ft,,0-4,,
10:40.0,,,0-4,,Defensive rebound by M. Morris
10:39.0,,,0-4,,Turnover by K. Irving (bad pass)
10:18.0,C. Joseph makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,2-4,,
10:04.0,,,2-4,,K. Irving misses 3-pt shot from 24 ft
10:02.0,Defensive rebound by B. Bogdanovic,,2-4,,
9:51.0,V. Oladipo misses 2-pt shot from 21 ft,,2-4,,
9:47.0,,,2-4,,Defensive rebound by M. Smart
9:34.0,,,2-4,,A. Baynes misses 2-pt shot from 10 ft
9:30.0,,,2-4,,Offensive rebound by M. Smart
9:28.0,,,2-7,3,K. Irving makes 3-pt shot from 22 ft (assist by M. Smart)
9:03.0,B. Bogdanovic makes 3-pt shot from 24 ft,3,5-7,,
8:51.0,,,5-7,,M. Morris misses 3-pt shot from 24 ft
8:47.0,Defensive rebound by M. Turner,,5-7,,
8:34.0,Offensive charge foul by T. Young (drawn by M. Smart),,5-7,,
8:34.0,Turnover by T. Young (offensive foul),,5-7,,
8:22.0,Jump ball: K. Irving vs. C. Joseph (B. Bogdanovic gains possession),,,,Jump ball: K. Irving vs. C. Joseph (B. Bogdanovic gains possession)
8:22.0,,,5-7,,Turnover by K. Irving (turnover; steal by C. Joseph)
8:19.0,B. Bogdanovic misses 2-pt shot from 1 ft,,5-7,,
8:16.0,Offensive rebound by V. Oladipo,,5-7,,
8:01.0,V. Oladipo makes 3-pt shot from 26 ft (assist by C. Joseph),3,8-7,,
7:47.0,,,8-10,3,M. Smart makes 3-pt shot from 24 ft (assist by A. Baynes)
7:34.0,Turnover by V. Oladipo (discontinued dribble),,8-10,,
7:27.0,,,8-12,2,K. Irving makes 2-pt shot from 1 ft (assist by M. Morris)
7:08.0,M. Turner misses 2-pt shot from 9 ft,,8-12,,
7:05.0,,,8-12,,Defensive rebound by K. Irving
6:59.0,,,8-12,,M. Morris misses 2-pt shot from 18 ft
6:56.0,Defensive rebound by M. Turner,,8-12,,
6:47.0,M. Turner misses 2-pt shot from 3 ft,,8-12,,
6:42.0,,,8-12,,Defensive rebound by M. Smart
6:36.0,,,8-15,3,M. Smart makes 3-pt shot from 24 ft
6:20.0,V. Oladipo misses 3-pt shot from 26 ft,,8-15,,
6:18.0,,,8-15,,Defensive rebound by K. Irving
6:08.0,,,8-15,,J. Tatum misses 2-pt shot from 11 ft
6:05.0,Defensive rebound by V. Oladipo,,8-15,,
6:01.0,B. Bogdanovic makes 3-pt shot from 26 ft,3,11-15,,
6:01.0,,,11-15,,Violation by A. Baynes (def goaltending)
5:45.0,,,11-15,,Turnover by A. Baynes (bad pass; steal by V. Oladipo)
5:38.0,T. Young misses 3-pt shot from 25 ft,,11-15,,
5:35.0,,,11-15,,Defensive rebound by K. Irving
5:33.0,,,11-15,,Boston full timeout
5:33.0,,,11-15,,T. Rozier enters the game for J. Tatum
5:27.0,,,11-17,2,A. Baynes makes 2-pt shot from 19 ft (assist by M. Smart)
5:10.0,M. Turner makes 2-pt shot from 2 ft (assist by T. Young),2,13-17,,
4:47.0,,,13-19,2,A. Baynes makes 2-pt shot from 4 ft (assist by T. Rozier)
4:36.0,M. Turner makes 3-pt shot from 26 ft (assist by C. Joseph),3,16-19,,
4:17.0,,,16-22,3,T. Rozier makes 3-pt shot from 25 ft
4:08.0,Indiana full timeout,,16-22,,
4:08.0,D. Sabonis enters the game for T. Young,,16-22,,
4:08.0,G. Robinson enters the game for B. Bogdanovic,,16-22,,
4:08.0,,,16-22,,D. Theis enters the game for M. Morris
4:00.0,V. Oladipo misses 3-pt shot from 26 ft,,16-22,,
3:57.0,Offensive rebound by M. Turner,,16-22,,
3:48.0,C. Joseph misses 2-pt shot from 15 ft,,16-22,,
3:47.0,Offensive rebound by Team,,16-22,,
3:47.0,,,16-22,,Loose ball foul by T. Rozier (drawn by M. Turner)
3:47.0,D. Collison enters the game for C. Joseph,,16-22,,
3:31.0,G. Robinson makes 2-pt shot from 9 ft (assist by D. Collison),2,18-22,,
3:13.0,,,18-22,,A. Baynes misses 2-pt shot from 4 ft
3:12.0,,,18-22,,Offensive rebound by A. Baynes
3:11.0,,,18-22,,A. Baynes misses 2-pt shot from 2 ft (block by M. Turner)
3:10.0,,,18-22,,Offensive rebound by A. Baynes
3:00.0,,,18-22,,Turnover by M. Smart (bad pass; steal by G. Robinson)
2:44.0,M. Turner misses 2-pt shot from 18 ft,,18-22,,
2:42.0,Offensive rebound by Team,,18-22,,
2:42.0,,,18-22,,Personal foul by D. Theis (drawn by G. Robinson)
2:42.0,,,18-22,,G. Monroe enters the game for K. Irving
2:42.0,,,18-22,,S. Larkin enters the game for A. Baynes
2:42.0,T. Booker enters the game for M. Turner,,18-22,,
2:38.0,G. Robinson makes 2-pt shot from 2 ft (assist by T. Booker),2,20-22,,
2:23.0,,,20-22,,T. Rozier misses 2-pt shot from 5 ft
2:19.0,Defensive rebound by D. Sabonis,,20-22,,
2:09.0,V. Oladipo misses 2-pt shot from 3 ft,,20-22,,
2:09.0,,,20-22,,Defensive rebound by D. Theis
2:04.0,,,20-22,,Shooting foul by G. Robinson (drawn by T. Rozier)
2:04.0,,,20-22,,T. Rozier misses free throw 1 of 2
2:04.0,,,20-22,,Offensive rebound by Team
2:04.0,,,20-22,,J. Tatum enters the game for M. Smart
2:04.0,L. Stephenson enters the game for V. Oladipo,,20-22,,
2:04.0,,,20-23,1,T. Rozier makes free throw 2 of 2
1:39.0,D. Sabonis misses 2-pt shot from 14 ft,,20-23,,
1:39.0,,,20-23,,Defensive rebound by G. Monroe
1:34.0,,,20-23,,Shooting foul by D. Collison (drawn by T. Rozier)
1:34.0,,,20-23,,T. Rozier misses free throw 1 of 3
1:34.0,,,20-23,,Offensive rebound by Team
1:34.0,,,20-24,1,T. Rozier makes free throw 2 of 3
1:34.0,,,20-25,1,T. Rozier makes free throw 3 of 3
1:17.0,L. Stephenson misses 2-pt shot from 17 ft,,20-25,,
1:16.0,Offensive rebound by Team,,20-25,,
1:16.0,,,20-25,,Loose ball foul by J. Tatum (drawn by D. Sabonis)
1:02.0,D. Collison misses 2-pt shot from 17 ft,,20-25,,
0:59.0,,,20-25,,Defensive rebound by J. Tatum
0:44.0,,,20-25,,Turnover by J. Tatum (bad pass)
0:32.0,D. Sabonis makes 2-pt shot from 1 ft (assist by L. Stephenson),2,22-25,,
0:22.0,,,22-25,,G. Monroe misses 2-pt shot from 4 ft (block by T. Booker)
0:17.0,Defensive rebound by D. Sabonis,,22-25,,
0:02.0,Shooting foul by S. Larkin (drawn by D. Collison),,22-25,,
0:02.0,D. Collison makes free throw 1 of 2,1,23-25,,
0:02.0,D. Collison makes free throw 2 of 2,1,24-25,,
0:01.0,,,24-25,,T. Rozier misses 3-pt shot from 41 ft
0:01.0,,,24-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,D. Sabonis makes 2-pt shot from 5 ft (assist by D. Collison),2,26-25,,
11:24.0,,,26-27,2,G. Monroe makes 2-pt shot from 7 ft (assist by J. Tatum)
11:07.0,B. Bogdanovic misses 2-pt shot from 14 ft,,26-27,,
11:05.0,,,26-27,,Defensive rebound by G. Monroe
10:56.0,,,26-30,3,J. Tatum makes 3-pt shot from 24 ft (assist by D. Theis)
10:41.0,L. Stephenson makes 2-pt shot from 2 ft,2,28-30,,
10:19.0,,,28-30,,G. Monroe misses 2-pt shot from 6 ft (block by B. Bogdanovic)
10:16.0,Defensive rebound by L. Stephenson,,28-30,,
10:04.0,L. Stephenson misses 3-pt shot from 26 ft,,28-30,,
10:02.0,,,28-30,,Defensive rebound by J. Tatum
9:59.0,,,28-32,2,D. Theis makes 2-pt shot at rim (assist by J. Tatum)
9:38.0,T. Booker makes 2-pt shot from 17 ft (assist by D. Collison),2,30-32,,
9:12.0,,,30-32,,Turnover by T. Rozier (bad pass; steal by D. Sabonis)
8:54.0,T. Booker misses 3-pt shot from 24 ft,,30-32,,
8:52.0,,,30-32,,Defensive rebound by T. Rozier
8:51.0,Personal foul by L. Stephenson (drawn by T. Rozier),,30-32,,
8:38.0,,,30-32,,D. Theis misses 2-pt shot from 17 ft
8:35.0,Defensive rebound by D. Sabonis,,30-32,,
8:27.0,T. Booker misses 2-pt shot from 6 ft (block by G. Monroe),,30-32,,
8:23.0,,,30-32,,Defensive rebound by S. Larkin
8:21.0,,,30-32,,S. Larkin misses 2-pt shot from 2 ft
8:21.0,Defensive rebound by B. Bogdanovic,,30-32,,
8:19.0,L. Stephenson makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,32-32,,
8:19.0,Shooting foul by G. Monroe (drawn by L. Stephenson),,32-32,,
8:19.0,,,32-32,,M. Morris enters the game for D. Theis
8:19.0,L. Stephenson misses free throw 1 of 1,,32-32,,
8:19.0,,,32-32,,Defensive rebound by M. Morris
8:03.0,,,32-32,,G. Monroe misses 2-pt shot from 7 ft
8:00.0,Defensive rebound by L. Stephenson,,32-32,,
7:51.0,T. Booker makes 2-pt shot from 6 ft,2,34-32,,
7:35.0,,,34-35,3,J. Tatum makes 3-pt shot from 24 ft (assist by G. Monroe)
7:18.0,D. Sabonis misses 2-pt shot from 7 ft,,34-35,,
7:18.0,,,34-35,,Defensive rebound by Team
7:05.0,,,34-35,,S. Larkin misses 3-pt shot from 25 ft
7:02.0,,,34-35,,Offensive rebound by G. Monroe
6:57.0,Jump ball: G. Monroe vs. D. Sabonis (T. Rozier gains possession),,,,Jump ball: G. Monroe vs. D. Sabonis (T. Rozier gains possession)
6:51.0,,,34-37,2,T. Rozier makes 2-pt shot from 8 ft
6:40.0,T. Booker misses 2-pt shot from 1 ft,,34-37,,
6:37.0,Offensive rebound by Team,,34-37,,
6:37.0,,,34-37,,Boston full timeout
6:37.0,,,34-37,,A. Baynes enters the game for J. Tatum
6:37.0,,,34-37,,M. Smart enters the game for S. Larkin
6:37.0,,,34-37,,K. Irving enters the game for G. Monroe
6:37.0,V. Oladipo enters the game for T. Booker,,34-37,,
6:37.0,T. Young enters the game for B. Bogdanovic,,34-37,,
6:21.0,T. Young misses 3-pt shot from 23 ft,,34-37,,
6:19.0,,,34-37,,Defensive rebound by T. Rozier
5:59.0,,,34-37,,Turnover by K. Irving (bad pass; steal by D. Collison)
5:54.0,D. Sabonis misses 2-pt shot from 4 ft,,34-37,,
5:52.0,,,34-37,,Defensive rebound by M. Morris
5:51.0,Personal foul by L. Stephenson (drawn by T. Rozier),,34-37,,
5:46.0,,,34-39,2,M. Morris makes 2-pt shot from 18 ft (assist by M. Smart)
5:29.0,V. Oladipo misses 2-pt shot from 20 ft,,34-39,,
5:25.0,,,34-39,,Defensive rebound by A. Baynes
5:16.0,,,34-39,,T. Rozier misses 3-pt shot from 26 ft
5:12.0,,,34-39,,Offensive rebound by K. Irving
5:10.0,,,34-39,,K. Irving misses 3-pt shot from 25 ft
5:06.0,Defensive rebound by D. Sabonis,,34-39,,
5:05.0,Turnover by D. Sabonis (bad pass; steal by K. Irving),,34-39,,
4:59.0,,,34-39,,M. Smart misses 3-pt shot from 23 ft
4:56.0,Defensive rebound by T. Young,,34-39,,
4:55.0,Turnover by T. Young (bad pass),,34-39,,
4:55.0,C. Joseph enters the game for D. Collison,,34-39,,
4:55.0,M. Turner enters the game for D. Sabonis,,34-39,,
4:39.0,,,34-39,,A. Baynes misses 2-pt shot from 6 ft (block by M. Turner)
4:37.0,Defensive rebound by M. Turner,,34-39,,
4:30.0,M. Turner misses 3-pt shot from 26 ft,,34-39,,
4:27.0,,,34-39,,Defensive rebound by T. Rozier
4:12.0,,,34-41,2,A. Baynes makes 2-pt shot from 6 ft (assist by K. Irving)
3:54.0,V. Oladipo misses 2-pt shot from 17 ft,,34-41,,
3:50.0,,,34-41,,Defensive rebound by M. Smart
3:41.0,,,34-43,2,M. Morris makes 2-pt shot from 7 ft
3:35.0,Indiana full timeout,,34-43,,
3:35.0,D. Collison enters the game for L. Stephenson,,34-43,,
3:29.0,T. Young makes 2-pt shot from 5 ft (assist by D. Collison),2,36-43,,
3:15.0,Personal foul by T. Young (drawn by M. Morris),,36-43,,
3:09.0,,,36-43,,M. Morris misses 3-pt shot from 25 ft
3:06.0,,,36-43,,Offensive rebound by A. Baynes
3:05.0,,,36-43,,A. Baynes misses 2-pt shot from 2 ft (block by M. Turner)
3:05.0,,,36-43,,Offensive rebound by A. Baynes
2:58.0,,,36-43,,M. Morris misses 3-pt shot from 25 ft
2:58.0,Defensive rebound by T. Young,,36-43,,
2:38.0,Offensive charge foul by T. Young (drawn by M. Smart),,36-43,,
2:38.0,Turnover by T. Young (offensive foul),,36-43,,
2:38.0,,,36-43,,J. Tatum enters the game for T. Rozier
2:38.0,T. Booker enters the game for T. Young,,36-43,,
2:20.0,,,36-45,2,K. Irving makes 2-pt shot from 15 ft
1:59.0,T. Booker misses 2-pt shot from 11 ft,,36-45,,
1:57.0,,,36-45,,Defensive rebound by J. Tatum
1:46.0,,,36-45,,J. Tatum misses 2-pt shot from 12 ft
1:45.0,Defensive rebound by V. Oladipo,,36-45,,
1:42.0,Turnover by V. Oladipo (bad pass; steal by A. Baynes),,36-45,,
1:37.0,,,36-48,3,M. Smart makes 3-pt shot from 22 ft (assist by A. Baynes)
1:17.0,Personal foul by T. Booker (drawn by M. Smart),,36-48,,
1:17.0,Turnover by T. Booker (turnover),,36-48,,
0:58.0,,,36-48,,K. Irving misses 2-pt shot from 16 ft
0:54.0,Defensive rebound by D. Collison,,36-48,,
0:51.0,V. Oladipo makes 2-pt shot from 4 ft (assist by D. Collison),2,38-48,,
0:35.0,,,38-48,,J. Tatum misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by D. Collison,,38-48,,
0:29.0,V. Oladipo makes 2-pt shot from 1 ft (assist by D. Collison),2,40-48,,
0:10.0,Personal foul by M. Turner (drawn by A. Baynes),,40-48,,
