time,Orlando,pts.away,score,pts.home,Phoenix
7:40.0,B. Biyombo makes free throw 2 of 2,1,113-88,,
7:24.0,,,113-90,2,D. Booker makes 2-pt shot from 14 ft
7:04.0,J. Isaac misses 2-pt shot from 11 ft,,113-90,,
7:01.0,,,113-90,,Defensive rebound by A. Len
6:56.0,,,113-90,,Shooting foul by B. Biyombo (drawn by A. Len)
6:56.0,,,113-91,1,A. Len makes free throw 1 of 2
6:56.0,,,113-92,1,A. Len makes free throw 2 of 2
6:45.0,S. Mack misses 2-pt shot at rim,,113-92,,
6:42.0,,,113-92,,Defensive rebound by A. Len
6:41.0,,,113-94,2,T. Warren makes 2-pt shot from 1 ft
6:41.0,,,113-94,,Shooting foul by M. Hezonja (drawn by T. Warren)
6:41.0,,,113-94,,T. Warren misses free throw 1 of 1
6:39.0,Defensive rebound by M. Hezonja,,113-94,,
6:23.0,Turnover by M. Hezonja (out of bounds lost ball),,113-94,,
6:16.0,Orlando full timeout,,113-94,,
6:16.0,M. Speights enters the game for B. Biyombo,,113-94,,
6:15.0,,,113-96,2,M. James makes 2-pt shot from 3 ft
6:05.0,,,113-96,,Personal foul by A. Len (drawn by M. Speights)
6:05.0,M. Speights misses free throw 1 of 2,,113-96,,
6:05.0,Offensive rebound by Team,,113-96,,
6:05.0,M. Speights makes free throw 2 of 2,1,114-96,,
5:51.0,,,114-96,,T. Warren misses 3-pt shot from 22 ft
5:49.0,Defensive rebound by M. Hezonja,,114-96,,
5:39.0,J. Isaac misses 2-pt shot from 16 ft,,114-96,,
5:37.0,,,114-96,,Defensive rebound by M. James
5:33.0,,,114-96,,M. James misses 2-pt shot from 19 ft
5:27.0,Defensive rebound by M. Speights,,114-96,,
5:14.0,M. Speights misses 3-pt shot from 25 ft,,114-96,,
5:11.0,,,114-96,,Defensive rebound by M. James
5:03.0,,,114-98,2,T. Warren makes 2-pt shot from 1 ft
4:44.0,M. Speights misses 2-pt shot from 20 ft,,114-98,,
4:42.0,,,114-98,,Defensive rebound by D. Booker
4:38.0,,,114-98,,D. Booker misses 3-pt shot from 26 ft
4:36.0,Defensive rebound by Team,,114-98,,
4:27.0,Turnover by A. Afflalo (traveling),,114-98,,
4:16.0,,,114-100,2,T. Warren makes 2-pt shot from 18 ft
4:01.0,,,114-100,,Personal foul by M. Chriss (drawn by J. Isaac)
4:01.0,,,114-100,,D. Bender enters the game for M. Chriss
4:01.0,J. Isaac makes free throw 1 of 2,1,115-100,,
4:01.0,J. Isaac makes free throw 2 of 2,1,116-100,,
3:46.0,,,116-102,2,T. Warren makes 2-pt shot from 10 ft
3:29.0,J. Isaac makes 2-pt shot from 1 ft (assist by A. Afflalo),2,118-102,,
3:22.0,Shooting block foul by M. Speights (drawn by A. Len),,118-102,,
3:22.0,,,118-103,1,A. Len makes free throw 1 of 2
3:22.0,,,118-104,1,A. Len makes free throw 2 of 2
2:59.0,J. Isaac makes 3-pt shot from 22 ft (assist by M. Speights),3,121-104,,
2:45.0,,,121-104,,D. Bender misses 2-pt shot from 7 ft
2:44.0,,,121-104,,Offensive rebound by M. James
2:44.0,,,121-104,,A. Len misses 2-pt shot from 1 ft
2:44.0,,,121-104,,Offensive rebound by A. Len
2:44.0,,,121-104,,A. Len misses 2-pt shot from 1 ft
2:44.0,Defensive rebound by M. Hezonja,,121-104,,
2:44.0,,,121-104,,Personal foul by T. Warren (drawn by M. Hezonja)
2:44.0,M. Hezonja makes free throw 1 of 2,1,122-104,,
2:44.0,M. Hezonja makes free throw 2 of 2,1,123-104,,
2:29.0,,,123-104,,Shooting foul by J. Isaac (drawn by A. Len)
2:29.0,,,123-105,1,A. Len makes free throw 1 of 2
2:29.0,,,123-106,1,A. Len makes free throw 2 of 2
2:13.0,J. Isaac misses 2-pt shot from 20 ft,,123-106,,
2:10.0,,,123-106,,Defensive rebound by A. Len
2:08.0,,,123-106,,Shooting foul by S. Mack (drawn by M. James)
2:08.0,,,123-107,1,M. James makes free throw 1 of 2
2:08.0,,,123-107,,D. Jones enters the game for D. Booker
2:08.0,,,123-107,,T. Daniels enters the game for T. Warren
2:08.0,,,123-108,1,M. James makes free throw 2 of 2
1:53.0,M. Speights misses 3-pt shot from 26 ft,,123-108,,
1:49.0,,,123-108,,Defensive rebound by M. James
1:44.0,,,123-108,,M. James misses 2-pt shot from 4 ft
1:42.0,,,123-108,,Offensive rebound by A. Len
1:42.0,,,123-108,,Shooting foul by M. Speights (drawn by A. Len)
1:42.0,,,123-109,1,A. Len makes free throw 1 of 2
1:42.0,,,123-110,1,A. Len makes free throw 2 of 2
1:21.0,M. Hezonja misses 2-pt shot from 2 ft,,123-110,,
1:19.0,,,123-110,,Defensive rebound by Team
1:12.0,,,123-110,,M. James misses 2-pt shot from 10 ft
1:08.0,Defensive rebound by M. Speights,,123-110,,
0:49.0,M. Hezonja makes 3-pt shot from 25 ft (assist by S. Mack),3,126-110,,
0:39.0,,,126-110,,T. Daniels misses 2-pt shot from 2 ft
0:37.0,,,126-110,,Offensive rebound by A. Len
0:37.0,,,126-112,2,A. Len makes 2-pt shot at rim
0:18.0,S. Mack makes 2-pt shot from 18 ft,2,128-112,,
