time,Orlando,pts.away,score,pts.home,Phoenix
3:14.0,,,28-26,,J. Jackson misses 2-pt shot from 9 ft
3:11.0,,,28-26,,Offensive rebound by A. Len
3:08.0,,,28-26,,J. Jackson misses 3-pt shot from 22 ft
3:06.0,Defensive rebound by S. Mack,,28-26,,
2:51.0,J. Simmons makes 2-pt shot from 17 ft (assist by S. Mack),2,30-26,,
2:40.0,,,30-26,,T. Ulis misses 2-pt shot from 12 ft
2:37.0,Defensive rebound by A. Gordon,,30-26,,
2:32.0,A. Gordon makes 2-pt shot from 16 ft,2,32-26,,
2:09.0,,,32-28,2,J. Jackson makes 2-pt shot from 10 ft
1:51.0,N. Vucevic misses 3-pt shot from 25 ft,,32-28,,
1:49.0,,,32-28,,Defensive rebound by Team
1:49.0,J. Isaac enters the game for N. Vucevic,,32-28,,
1:49.0,B. Biyombo enters the game for E. Fournier,,32-28,,
1:29.0,,,32-28,,J. Jackson misses 3-pt shot from 24 ft
1:26.0,Defensive rebound by A. Gordon,,32-28,,
1:19.0,Turnover by J. Simmons (lost ball; steal by J. Jackson),,32-28,,
1:15.0,,,32-30,2,J. Jackson makes 2-pt shot at rim
1:02.0,S. Mack misses 2-pt shot from 4 ft (block by A. Len),,32-30,,
1:00.0,,,32-30,,Defensive rebound by J. Jackson
0:49.0,,,32-32,2,J. Dudley makes 2-pt shot at rim (assist by T. Ulis)
0:30.0,A. Gordon makes 2-pt shot from 16 ft,2,34-32,,
0:09.0,,,34-32,,Turnover by J. Jackson (traveling)
0:02.0,J. Simmons makes 2-pt shot from 9 ft,2,36-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,36-32,,T. Daniels misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by B. Biyombo,,36-32,,
11:22.0,S. Mack makes 2-pt shot from 9 ft,2,38-32,,
11:11.0,,,38-34,2,T. Ulis makes 2-pt shot from 9 ft
10:58.0,J. Simmons makes 3-pt shot from 24 ft (assist by S. Mack),3,41-34,,
10:32.0,,,41-34,,T. Ulis misses 2-pt shot from 12 ft
10:30.0,Defensive rebound by B. Biyombo,,41-34,,
10:30.0,,,41-34,,Personal foul by T. Ulis (drawn by B. Biyombo)
10:30.0,,,41-34,,M. James enters the game for T. Ulis
10:18.0,S. Mack makes 2-pt shot from 4 ft,2,43-34,,
9:58.0,,,43-34,,J. Jackson misses 2-pt shot from 19 ft
9:56.0,Defensive rebound by J. Isaac,,43-34,,
9:46.0,Turnover by T. Ross (bad pass; steal by J. Dudley),,43-34,,
9:40.0,,,43-34,,T. Daniels misses 3-pt shot from 22 ft
9:38.0,Defensive rebound by J. Isaac,,43-34,,
9:32.0,J. Simmons misses 2-pt shot from 2 ft (block by J. Jackson),,43-34,,
9:30.0,,,43-34,,Defensive rebound by M. James
9:25.0,,,43-34,,Turnover by J. Dudley (bad pass; steal by J. Isaac)
9:08.0,Turnover by B. Biyombo (bad pass; steal by J. Jackson),,43-34,,
9:04.0,,,43-36,2,J. Jackson makes 2-pt shot at rim
8:51.0,B. Biyombo makes 2-pt shot from 14 ft (assist by T. Ross),2,45-36,,
8:33.0,,,45-38,2,M. James makes 2-pt shot from 13 ft
8:12.0,J. Simmons misses 2-pt shot from 16 ft,,45-38,,
8:08.0,Offensive rebound by B. Biyombo,,45-38,,
8:07.0,Turnover by J. Simmons (bad pass),,45-38,,
7:57.0,,,45-40,2,J. Jackson makes 2-pt shot from 9 ft
7:42.0,J. Isaac misses 2-pt shot from 16 ft,,45-40,,
7:39.0,,,45-40,,Defensive rebound by M. James
7:28.0,,,45-42,2,A. Len makes 2-pt shot at rim (assist by M. James)
7:28.0,Orlando full timeout,,45-42,,
7:28.0,E. Payton enters the game for S. Mack,,45-42,,
7:13.0,Shooting foul by T. Daniels (drawn by T. Ross),,45-42,,
7:13.0,T. Ross misses free throw 1 of 3,,45-42,,
7:13.0,Offensive rebound by Team,,45-42,,
7:13.0,T. Ross makes free throw 2 of 3,1,46-42,,
7:13.0,T. Ross misses free throw 3 of 3,,46-42,,
7:10.0,,,46-42,,Defensive rebound by J. Jackson
7:07.0,,,46-42,,Turnover by J. Jackson (lost ball; steal by T. Ross)
6:53.0,Turnover by T. Ross (bad pass; steal by T. Daniels),,46-42,,
6:43.0,,,46-42,,Turnover by T. Daniels (lost ball; steal by J. Simmons)
6:43.0,,,46-42,,Personal take foul by J. Dudley (drawn by J. Simmons)
6:43.0,,,46-42,,D. Booker enters the game for T. Daniels
6:43.0,A. Gordon enters the game for J. Isaac,,46-42,,
6:43.0,E. Fournier enters the game for J. Simmons,,46-42,,
6:26.0,Turnover by E. Payton (bad pass; steal by J. Dudley),,46-42,,
6:19.0,,,46-45,3,M. James makes 3-pt shot from 25 ft
6:13.0,Turnover by E. Payton (discontinued dribble),,46-45,,
6:13.0,N. Vucevic enters the game for B. Biyombo,,46-45,,
6:05.0,,,46-48,3,M. James makes 3-pt shot from 25 ft
5:49.0,N. Vucevic misses 2-pt shot from 19 ft,,46-48,,
5:48.0,,,46-48,,Defensive rebound by D. Booker
5:45.0,,,46-50,2,A. Len makes 2-pt shot at rim (assist by D. Booker)
5:45.0,Orlando full timeout,,46-50,,
5:45.0,J. Simmons enters the game for T. Ross,,46-50,,
5:38.0,Shooting foul by D. Booker (drawn by E. Fournier),,46-50,,
