time,Charlotte,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. D. Howard (D. Bacon gains possession),,,,Jump ball: A. Drummond vs. D. Howard (D. Bacon gains possession)
11:43.0,K. Walker misses 2-pt shot from 16 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by T. Harris
11:25.0,,,0-0,,T. Harris misses 3-pt shot from 27 ft
11:21.0,Defensive rebound by D. Howard,,0-0,,
11:09.0,D. Howard misses 2-pt shot from 5 ft,,0-0,,
11:06.0,,,0-0,,Defensive rebound by T. Harris
10:53.0,,,0-2,2,A. Bradley makes 2-pt shot from 1 ft
10:53.0,Violation by D. Howard (def goaltending),,0-2,,
10:38.0,Shooting foul by A. Drummond (drawn by J. Lamb),,0-2,,
10:38.0,J. Lamb misses free throw 1 of 2,,0-2,,
10:38.0,Offensive rebound by Team,,0-2,,
10:38.0,J. Lamb makes free throw 2 of 2,1,1-2,,
10:32.0,Personal foul by D. Howard (drawn by A. Drummond),,1-2,,
10:24.0,,,1-2,,A. Bradley misses 2-pt shot from 4 ft (block by D. Howard)
10:24.0,,,1-2,,Offensive rebound by Team
10:17.0,,,1-2,,S. Johnson misses 2-pt shot from 6 ft
10:14.0,Defensive rebound by D. Howard,,1-2,,
10:02.0,D. Bacon makes 3-pt shot from 24 ft (assist by K. Walker),3,4-2,,
9:49.0,,,4-4,2,T. Harris makes 2-pt shot from 16 ft (assist by A. Drummond)
9:36.0,Turnover by D. Howard (lost ball; steal by S. Johnson),,4-4,,
9:30.0,,,4-6,2,A. Bradley makes 2-pt shot from 1 ft (assist by T. Harris)
9:05.0,J. Lamb misses 3-pt shot from 25 ft,,4-6,,
9:02.0,,,4-6,,Defensive rebound by R. Jackson
8:45.0,,,4-6,,A. Drummond misses 2-pt shot at rim
8:42.0,Defensive rebound by D. Howard,,4-6,,
8:40.0,D. Howard makes 2-pt shot at rim (assist by J. Lamb),2,6-6,,
8:23.0,,,6-8,2,T. Harris makes 2-pt shot from 1 ft (assist by R. Jackson)
8:03.0,D. Howard makes 2-pt shot from 1 ft (assist by J. Lamb),2,8-8,,
7:52.0,,,8-10,2,R. Jackson makes 2-pt shot from 9 ft
7:39.0,M. Williams misses 3-pt shot from 24 ft,,8-10,,
7:36.0,,,8-10,,Defensive rebound by R. Jackson
7:35.0,,,8-12,2,T. Harris makes 2-pt shot from 2 ft (assist by R. Jackson)
7:35.0,,,8-12,,Shooting foul by M. Williams (drawn by T. Harris)
7:35.0,,,8-13,1,T. Harris makes free throw 1 of 1
7:21.0,,,8-13,,Personal foul by A. Drummond (drawn by D. Howard)
7:21.0,,,8-13,,E. Moreland enters the game for A. Drummond
7:06.0,D. Howard misses 2-pt shot from 5 ft,,8-13,,
7:04.0,,,8-13,,Defensive rebound by A. Bradley
6:59.0,,,8-13,,A. Bradley misses 2-pt shot from 20 ft
6:56.0,Defensive rebound by D. Howard,,8-13,,
6:52.0,D. Bacon misses 2-pt shot from 3 ft,,8-13,,
