time,Denver,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. P. Millsap (D. Favors gains possession),,,,Jump ball: R. Gobert vs. P. Millsap (D. Favors gains possession)
11:46.0,,,0-2,2,D. Favors makes 2-pt shot from 5 ft (assist by J. Ingles)
11:31.0,P. Millsap misses 2-pt shot from 10 ft,,0-2,,
11:27.0,,,0-2,,Defensive rebound by R. Gobert
11:17.0,,,0-2,,D. Favors misses 2-pt shot from 11 ft
11:13.0,Defensive rebound by J. Murray,,0-2,,
10:55.0,G. Harris makes 3-pt shot from 26 ft (assist by N. Jokic),3,3-2,,
10:37.0,,,3-4,2,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles)
10:25.0,W. Chandler misses 3-pt shot from 22 ft,,3-4,,
10:22.0,,,3-4,,Defensive rebound by R. Rubio
10:21.0,,,3-4,,Turnover by R. Rubio (bad pass)
9:58.0,W. Chandler misses 3-pt shot from 23 ft,,3-4,,
9:54.0,Offensive rebound by J. Murray,,3-4,,
9:53.0,Turnover by J. Murray (bad pass; steal by J. Ingles),,3-4,,
9:43.0,,,3-4,,Shooting foul by P. Millsap (drawn by D. Mitchell)
9:43.0,,,3-5,1,D. Mitchell makes free throw 1 of 2
9:43.0,,,3-6,1,D. Mitchell makes free throw 2 of 2
9:18.0,J. Murray misses 3-pt shot from 23 ft,,3-6,,
9:16.0,,,3-6,,Defensive rebound by D. Favors
9:05.0,,,3-6,,D. Mitchell misses 2-pt shot from 8 ft
9:01.0,Defensive rebound by N. Jokic,,3-6,,
8:51.0,N. Jokic misses 2-pt shot from 2 ft (block by D. Mitchell),,3-6,,
8:48.0,,,3-6,,Defensive rebound by R. Rubio
8:44.0,,,3-6,,R. Rubio misses 2-pt shot from 17 ft
8:40.0,Defensive rebound by P. Millsap,,3-6,,
8:26.0,W. Chandler misses 2-pt shot from 15 ft,,3-6,,
8:23.0,,,3-6,,Defensive rebound by R. Gobert
