time,Portland,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. J. Nurkic (S. Napier gains possession),,,,Jump ball: A. Bogut vs. J. Nurkic (S. Napier gains possession)
11:46.0,J. Nurkic makes 2-pt shot from 20 ft (assist by S. Napier),2,2-0,,
11:27.0,,,2-0,,K. Kuzma misses 2-pt shot from 16 ft
11:23.0,Defensive rebound by J. Nurkic,,2-0,,
11:12.0,A. Aminu makes 3-pt shot from 25 ft (assist by S. Napier),3,5-0,,
10:56.0,,,5-2,2,A. Bogut makes 2-pt shot from 6 ft (assist by L. Ball)
10:38.0,J. Nurkic misses 2-pt shot from 4 ft,,5-2,,
10:35.0,,,5-2,,Defensive rebound by K. Caldwell-Pope
10:19.0,,,5-5,3,L. Ball makes 3-pt shot from 26 ft (assist by J. Hart)
10:05.0,E. Turner makes 2-pt shot from 16 ft (assist by J. Nurkic),2,7-5,,
9:48.0,,,7-5,,L. Ball misses 3-pt shot from 25 ft
9:44.0,Defensive rebound by A. Aminu,,7-5,,
9:37.0,J. Nurkic misses 2-pt shot from 22 ft,,7-5,,
9:33.0,,,7-5,,Defensive rebound by L. Ball
9:30.0,Personal foul by C. McCollum (drawn by K. Caldwell-Pope),,7-5,,
9:15.0,,,7-5,,K. Kuzma misses 2-pt shot from 19 ft
9:11.0,Defensive rebound by E. Turner,,7-5,,
9:03.0,E. Turner misses 2-pt shot from 9 ft,,7-5,,
8:59.0,,,7-5,,Defensive rebound by A. Bogut
8:51.0,,,7-5,,Turnover by L. Ball (bad pass; steal by J. Nurkic)
8:46.0,S. Napier misses 3-pt shot from 25 ft,,7-5,,
8:41.0,,,7-5,,Defensive rebound by A. Bogut
8:37.0,,,7-5,,L. Ball misses 2-pt shot from 4 ft (block by A. Aminu)
8:34.0,Jump ball: L. Ball vs. A. Aminu (J. Nurkic gains possession),,,,Jump ball: L. Ball vs. A. Aminu (J. Nurkic gains possession)
8:34.0,Defensive rebound by A. Aminu,,7-5,,
8:26.0,S. Napier misses 2-pt shot from 1 ft,,7-5,,
