time,Atlanta,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. D. Dedmon (J. Collins gains possession),,,,Jump ball: C. Capela vs. D. Dedmon (J. Collins gains possession)
11:37.0,D. Lee misses 3-pt shot from 24 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by T. Ariza
11:29.0,,,0-3,3,P. Tucker makes 3-pt shot from 22 ft (assist by J. Harden)
11:12.0,I. Taylor makes 3-pt shot from 24 ft (assist by J. Collins),3,3-3,,
10:54.0,,,3-6,3,E. Gordon makes 3-pt shot from 25 ft (assist by C. Capela)
10:39.0,T. Waller-Prince misses 3-pt shot from 26 ft,,3-6,,
10:35.0,,,3-6,,Defensive rebound by C. Capela
10:22.0,,,3-8,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
10:10.0,I. Taylor misses 3-pt shot from 24 ft,,3-8,,
10:07.0,,,3-8,,Defensive rebound by C. Capela
10:02.0,,,3-8,,Offensive foul by C. Capela (drawn by D. Lee)
10:02.0,,,3-8,,Turnover by C. Capela (offensive foul)
9:50.0,I. Taylor makes 2-pt shot from 1 ft,2,5-8,,
9:38.0,,,5-8,,Shooting foul by D. Lee (drawn by J. Harden)
9:38.0,,,5-9,1,J. Harden makes free throw 1 of 3
9:38.0,,,5-10,1,J. Harden makes free throw 2 of 3
9:38.0,,,5-11,1,J. Harden makes free throw 3 of 3
9:29.0,I. Taylor makes 2-pt shot from 7 ft,2,7-11,,
9:13.0,,,7-11,,E. Gordon misses 3-pt shot from 26 ft
9:10.0,Defensive rebound by J. Collins,,7-11,,
8:57.0,T. Waller-Prince makes 2-pt shot from 4 ft,2,9-11,,
8:48.0,Shooting block foul by J. Collins (drawn by T. Ariza),,9-11,,
8:48.0,,,9-12,1,T. Ariza makes free throw 1 of 2
8:48.0,,,9-13,1,T. Ariza makes free throw 2 of 2
8:30.0,,,9-13,,Personal foul by T. Ariza (drawn by I. Taylor)
8:23.0,I. Taylor misses 2-pt shot from 5 ft (block by C. Capela),,9-13,,
8:19.0,,,9-13,,Defensive rebound by T. Ariza
8:10.0,,,9-16,3,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden)
7:39.0,D. Lee misses 3-pt shot from 24 ft,,9-16,,
7:37.0,,,9-16,,Defensive rebound by J. Harden
7:27.0,,,9-19,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
7:25.0,Atlanta full timeout,,9-19,,
7:25.0,,,9-19,,G. Green enters the game for E. Gordon
7:15.0,D. Dedmon misses 3-pt shot from 24 ft,,9-19,,
7:12.0,,,9-19,,Defensive rebound by P. Tucker
6:56.0,,,9-19,,C. Capela misses 2-pt shot from 2 ft (block by J. Collins)
6:52.0,Defensive rebound by T. Waller-Prince,,9-19,,
6:39.0,I. Taylor makes 2-pt shot from 21 ft,2,11-19,,
6:33.0,T. Dorsey enters the game for D. Lee,,11-19,,
6:27.0,,,11-19,,J. Harden misses 3-pt shot from 23 ft
6:24.0,Defensive rebound by J. Collins,,11-19,,
6:10.0,T. Waller-Prince makes 2-pt shot from 9 ft,2,13-19,,
5:51.0,,,13-21,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
5:36.0,T. Waller-Prince misses 3-pt shot from 25 ft,,13-21,,
5:33.0,,,13-21,,Defensive rebound by C. Capela
5:11.0,,,13-21,,C. Capela misses 2-pt shot from 1 ft
5:10.0,Defensive rebound by T. Waller-Prince,,13-21,,
4:52.0,Turnover by I. Taylor (bad pass; steal by C. Capela),,13-21,,
4:47.0,,,13-21,,G. Green misses 3-pt shot from 26 ft
4:41.0,Defensive rebound by T. Dorsey,,13-21,,
4:33.0,T. Dorsey makes 2-pt shot from 3 ft,2,15-21,,
4:25.0,,,15-21,,G. Green misses 3-pt shot from 25 ft
