time,Dallas,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. D. Powell (D. Wright gains possession),,,,Jump ball: J. Valanciunas vs. D. Powell (D. Wright gains possession)
11:37.0,,,0-0,,D. DeRozan misses 3-pt shot from 25 ft
11:33.0,Defensive rebound by H. Barnes,,0-0,,
11:27.0,H. Barnes misses 2-pt shot from 10 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by S. Ibaka
11:16.0,,,0-2,2,J. Valanciunas makes 2-pt shot from 13 ft (assist by D. Wright)
11:02.0,D. Smith makes 2-pt shot from 2 ft (assist by D. Powell),2,2-2,,
10:45.0,,,2-2,,J. Valanciunas misses 2-pt shot from 3 ft (block by D. Nowitzki)
10:45.0,,,2-2,,Offensive rebound by Team
10:36.0,,,2-2,,D. Wright misses 3-pt shot from 23 ft
10:34.0,Defensive rebound by D. Powell,,2-2,,
10:14.0,D. Smith misses 2-pt shot from 18 ft,,2-2,,
10:11.0,,,2-2,,Defensive rebound by J. Valanciunas
10:06.0,Personal foul by D. Smith (drawn by D. Wright),,2-2,,
9:58.0,,,2-2,,S. Ibaka misses 3-pt shot from 23 ft
9:57.0,Defensive rebound by Team,,2-2,,
9:40.0,D. Powell makes 2-pt shot from 2 ft (assist by H. Barnes),2,4-2,,
9:25.0,,,4-4,2,O. Anunoby makes 2-pt shot from 1 ft (assist by D. Wright)
9:10.0,H. Barnes makes 2-pt shot at rim,2,6-4,,
8:55.0,,,6-4,,Shooting foul by D. Finney-Smith (drawn by D. DeRozan)
8:55.0,,,6-5,1,D. DeRozan makes free throw 1 of 2
8:55.0,,,6-6,1,D. DeRozan makes free throw 2 of 2
8:40.0,D. Smith misses 2-pt shot from 2 ft (block by O. Anunoby),,6-6,,
8:38.0,,,6-6,,Defensive rebound by D. Wright
8:35.0,,,6-8,2,D. DeRozan makes 2-pt shot at rim (assist by D. Wright)
8:21.0,D. Nowitzki misses 3-pt shot from 25 ft,,6-8,,
8:19.0,,,6-8,,Defensive rebound by O. Anunoby
8:14.0,,,6-8,,Shooting foul by D. Powell (drawn by D. DeRozan)
8:14.0,,,6-9,1,D. DeRozan makes free throw 1 of 2
8:14.0,,,6-10,1,D. DeRozan makes free throw 2 of 2
7:57.0,H. Barnes makes 2-pt shot from 11 ft (assist by D. Finney-Smith),2,8-10,,
7:42.0,,,8-13,3,D. Wright makes 3-pt shot from 26 ft (assist by D. DeRozan)
7:40.0,Dallas full timeout,,8-13,,
7:40.0,N. Noel enters the game for D. Nowitzki,,8-13,,
7:26.0,N. Noel makes 2-pt shot from 1 ft (assist by H. Barnes),2,10-13,,
7:03.0,,,10-13,,Turnover by O. Anunoby (bad pass; steal by N. Noel)
6:56.0,D. Smith misses 2-pt shot from 2 ft,,10-13,,
6:54.0,,,10-13,,Defensive rebound by D. Wright
6:38.0,,,10-13,,Turnover by D. DeRozan (lost ball; steal by N. Noel)
6:33.0,D. Smith makes 2-pt shot at rim,2,12-13,,
6:13.0,,,12-13,,S. Ibaka misses 3-pt shot from 26 ft
6:11.0,Defensive rebound by N. Noel,,12-13,,
5:51.0,D. Finney-Smith misses 3-pt shot from 24 ft,,12-13,,
5:49.0,,,12-13,,Defensive rebound by J. Valanciunas
5:38.0,,,12-15,2,O. Anunoby makes 2-pt shot at rim (assist by J. Valanciunas)
5:23.0,D. Smith makes 2-pt shot from 19 ft,2,14-15,,
5:00.0,,,14-15,,D. Wright misses 2-pt shot from 4 ft
4:58.0,Defensive rebound by D. Finney-Smith,,14-15,,
4:51.0,H. Barnes makes 3-pt shot from 23 ft (assist by D. Smith),3,17-15,,
4:27.0,,,17-17,2,J. Valanciunas makes 2-pt shot from 2 ft
4:13.0,D. Smith misses 2-pt shot from 13 ft,,17-17,,
