time,Miami,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. H. Whiteside (B. Simmons gains possession),,,,Jump ball: A. Johnson vs. H. Whiteside (B. Simmons gains possession)
11:46.0,,,0-2,2,D. Saric makes 2-pt shot from 1 ft (assist by J. Redick)
11:31.0,J. Richardson misses 3-pt shot from 24 ft,,0-2,,
11:27.0,,,0-2,,Defensive rebound by A. Johnson
11:17.0,,,0-2,,R. Covington misses 2-pt shot from 16 ft
11:15.0,Defensive rebound by H. Whiteside,,0-2,,
11:05.0,Turnover by J. Richardson (bad pass; steal by D. Saric),,0-2,,
11:00.0,,,0-4,2,A. Johnson makes 2-pt shot at rim (assist by B. Simmons)
10:39.0,G. Dragic makes 3-pt shot from 27 ft (assist by H. Whiteside),3,3-4,,
10:24.0,,,3-4,,Turnover by J. Redick (lost ball; steal by T. Johnson)
10:21.0,T. Johnson makes 2-pt shot from 1 ft,2,5-4,,
10:12.0,,,5-6,2,J. Redick makes 2-pt shot from 19 ft
10:00.0,G. Dragic makes 2-pt shot from 1 ft,2,7-6,,
9:33.0,,,7-6,,B. Simmons misses 2-pt shot from 13 ft (block by H. Whiteside)
9:33.0,,,7-6,,Offensive rebound by B. Simmons
9:32.0,,,7-6,,Turnover by Team (shot clock)
9:20.0,H. Whiteside misses 2-pt shot from 12 ft,,7-6,,
9:18.0,,,7-6,,Defensive rebound by B. Simmons
9:04.0,,,7-9,3,D. Saric makes 3-pt shot from 25 ft (assist by A. Johnson)
8:52.0,Shooting foul by R. Covington (drawn by G. Dragic),,7-9,,
8:52.0,G. Dragic makes free throw 1 of 2,1,8-9,,
8:52.0,G. Dragic makes free throw 2 of 2,1,9-9,,
8:42.0,,,9-9,,Shooting foul by J. Richardson (drawn by B. Simmons)
8:42.0,,,9-9,,B. Simmons misses free throw 1 of 2
8:42.0,,,9-9,,Offensive rebound by Team
8:42.0,,,9-9,,B. Simmons misses free throw 2 of 2
8:39.0,Defensive rebound by G. Dragic,,9-9,,
8:21.0,H. Whiteside makes 2-pt shot from 7 ft,2,11-9,,
8:21.0,Shooting foul by B. Simmons (drawn by H. Whiteside),,11-9,,
8:21.0,H. Whiteside makes free throw 1 of 1,1,12-9,,
8:08.0,,,12-11,2,J. Redick makes 2-pt shot from 21 ft (assist by B. Simmons)
7:57.0,G. Dragic misses 2-pt shot from 17 ft,,12-11,,
7:55.0,Offensive rebound by Team,,12-11,,
7:55.0,,,12-11,,Loose ball foul by D. Saric (drawn by G. Dragic)
7:55.0,,,12-11,,T. McConnell enters the game for J. Redick
7:48.0,G. Dragic makes 2-pt shot from 7 ft (assist by T. Johnson),2,14-11,,
7:27.0,,,14-11,,R. Covington misses 3-pt shot from 26 ft
7:24.0,Defensive rebound by H. Whiteside,,14-11,,
7:16.0,H. Whiteside misses 2-pt shot from 2 ft,,14-11,,
7:15.0,,,14-11,,Defensive rebound by Team
7:06.0,,,14-11,,T. McConnell misses 2-pt shot from 20 ft
7:03.0,Defensive rebound by T. Johnson,,14-11,,
6:58.0,T. Johnson makes 2-pt shot at rim,2,16-11,,
6:58.0,,,16-11,,Philadelphia full timeout
6:39.0,,,16-11,,R. Covington misses 2-pt shot from 9 ft
6:37.0,,,16-11,,Offensive rebound by R. Covington
6:29.0,,,16-11,,B. Simmons misses 2-pt shot from 16 ft
6:29.0,,,16-11,,Offensive rebound by D. Saric
