time,Houston,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. C. Capela (T. Gibson gains possession),,,,Jump ball: K. Towns vs. C. Capela (T. Gibson gains possession)
11:48.0,,,0-2,2,J. Butler makes 2-pt shot from 1 ft
11:32.0,J. Harden misses 2-pt shot from 2 ft,,0-2,,
11:30.0,Offensive rebound by C. Capela,,0-2,,
11:29.0,C. Capela misses 2-pt shot from 1 ft,,0-2,,
11:28.0,,,0-2,,Defensive rebound by K. Towns
11:14.0,,,0-2,,A. Wiggins misses 2-pt shot from 2 ft
11:11.0,,,0-2,,Offensive rebound by T. Gibson
11:10.0,,,0-4,2,T. Gibson makes 2-pt shot at rim
11:04.0,T. Ariza makes 3-pt shot from 24 ft (assist by C. Paul),3,3-4,,
10:42.0,,,3-4,,A. Wiggins misses 3-pt shot from 23 ft
10:40.0,Defensive rebound by P. Tucker,,3-4,,
10:32.0,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden),3,6-4,,
10:15.0,,,6-6,2,A. Wiggins makes 2-pt shot from 1 ft
10:08.0,Shooting foul by K. Towns (drawn by T. Ariza),,6-6,,
10:08.0,T. Ariza makes free throw 1 of 2,1,7-6,,
10:08.0,T. Ariza makes free throw 2 of 2,1,8-6,,
9:58.0,,,8-6,,K. Towns misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by P. Tucker,,8-6,,
9:32.0,J. Harden misses 2-pt shot from 18 ft,,8-6,,
9:32.0,Offensive rebound by Team,,8-6,,
9:32.0,Turnover by Team (shot clock),,8-6,,
9:16.0,,,8-6,,Offensive foul by K. Towns (drawn by P. Tucker)
9:16.0,,,8-6,,Turnover by K. Towns (offensive foul)
9:16.0,,,8-6,,G. Dieng enters the game for K. Towns
9:08.0,T. Ariza makes 3-pt shot from 25 ft (assist by C. Paul),3,11-6,,
8:48.0,,,11-6,,J. Teague misses 2-pt shot from 2 ft (block by C. Capela)
8:46.0,Defensive rebound by C. Paul,,11-6,,
8:25.0,J. Harden misses 2-pt shot from 6 ft,,11-6,,
8:23.0,Offensive rebound by C. Capela,,11-6,,
8:23.0,Turnover by C. Capela (out of bounds lost ball),,11-6,,
8:15.0,Personal foul by T. Ariza (drawn by J. Butler),,11-6,,
8:02.0,,,11-6,,J. Butler misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by C. Capela,,11-6,,
7:37.0,J. Harden misses 3-pt shot from 25 ft,,11-6,,
7:35.0,,,11-6,,Defensive rebound by J. Butler
7:23.0,,,11-6,,G. Dieng misses 3-pt shot from 23 ft
7:19.0,Defensive rebound by C. Capela,,11-6,,
7:09.0,C. Paul misses 3-pt shot from 25 ft,,11-6,,
7:07.0,,,11-6,,Defensive rebound by J. Butler
6:48.0,,,11-8,2,J. Teague makes 2-pt shot from 1 ft
6:27.0,C. Paul misses 2-pt shot from 10 ft,,11-8,,
6:26.0,,,11-8,,Defensive rebound by J. Teague
6:21.0,,,11-8,,J. Teague misses 3-pt shot from 24 ft
6:19.0,,,11-8,,Offensive rebound by J. Butler
6:18.0,,,11-8,,J. Butler misses 2-pt shot from 1 ft
6:17.0,,,11-8,,Offensive rebound by J. Butler
6:17.0,,,11-8,,J. Butler misses 2-pt shot from 1 ft
6:17.0,Defensive rebound by P. Tucker,,11-8,,
6:08.0,J. Harden misses 3-pt shot from 26 ft,,11-8,,
6:04.0,,,11-8,,Defensive rebound by T. Gibson
6:00.0,,,11-8,,Minnesota full timeout
6:00.0,E. Gordon enters the game for C. Paul,,11-8,,
6:00.0,R. Anderson enters the game for P. Tucker,,11-8,,
6:00.0,N. Hilario enters the game for C. Capela,,11-8,,
5:46.0,,,11-8,,A. Wiggins misses 2-pt shot from 17 ft
5:44.0,Defensive rebound by N. Hilario,,11-8,,
5:26.0,T. Ariza misses 3-pt shot from 22 ft,,11-8,,
5:22.0,,,11-8,,Defensive rebound by A. Wiggins
5:18.0,Personal block foul by N. Hilario (drawn by A. Wiggins),,11-8,,
5:18.0,,,11-8,,D. Rose enters the game for J. Teague
5:00.0,,,11-8,,Turnover by D. Rose (bad pass; steal by J. Harden)
4:42.0,J. Harden misses 2-pt shot from 1 ft,,11-8,,
4:39.0,,,11-8,,Defensive rebound by G. Dieng
4:22.0,,,11-10,2,J. Butler makes 2-pt shot from 15 ft
3:56.0,Shooting foul by G. Dieng (drawn by J. Harden),,11-10,,
3:56.0,J. Harden makes free throw 1 of 2,1,12-10,,
3:56.0,G. Green enters the game for T. Ariza,,12-10,,
3:56.0,J. Harden makes free throw 2 of 2,1,13-10,,
