time,Milwaukee,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. J. Henson (G. Antetokounmpo gains possession),,,,Jump ball: K. Towns vs. J. Henson (G. Antetokounmpo gains possession)
11:42.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by A. Wiggins
11:16.0,,,0-0,,A. Wiggins misses 2-pt shot from 7 ft
11:13.0,,,0-0,,Offensive rebound by K. Towns
11:12.0,,,0-2,2,K. Towns makes 2-pt shot from 1 ft
10:58.0,Shooting foul by A. Wiggins (drawn by G. Antetokounmpo),,0-2,,
10:58.0,G. Antetokounmpo makes free throw 1 of 2,1,1-2,,
10:58.0,G. Antetokounmpo makes free throw 2 of 2,1,2-2,,
10:48.0,,,2-4,2,J. Butler makes 2-pt shot from 20 ft (assist by K. Towns)
10:36.0,T. Snell misses 3-pt shot from 23 ft,,2-4,,
10:33.0,,,2-4,,Defensive rebound by T. Gibson
10:24.0,,,2-4,,K. Towns misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by T. Snell,,2-4,,
10:09.0,Turnover by K. Middleton (bad pass; steal by J. Teague),,2-4,,
9:55.0,,,2-4,,J. Butler misses 3-pt shot from 24 ft
9:53.0,,,2-4,,Offensive rebound by K. Towns
9:52.0,,,2-6,2,K. Towns makes 2-pt shot at rim
9:41.0,Offensive foul by G. Antetokounmpo (drawn by J. Butler),,2-6,,
9:41.0,Turnover by G. Antetokounmpo (offensive foul),,2-6,,
9:27.0,,,2-6,,Shooting foul by K. Middleton (drawn by A. Wiggins)
9:27.0,,,2-7,1,A. Wiggins makes free throw 1 of 2
9:27.0,,,2-7,,A. Wiggins misses free throw 2 of 2
9:25.0,Defensive rebound by J. Henson,,2-7,,
9:07.0,M. Brogdon makes 2-pt shot from 2 ft,2,4-7,,
9:00.0,,,4-9,2,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Teague)
8:42.0,K. Middleton misses 2-pt shot from 17 ft,,4-9,,
8:35.0,Offensive rebound by J. Henson,,4-9,,
8:35.0,J. Henson makes 2-pt shot at rim,2,6-9,,
8:29.0,,,6-9,,K. Towns misses 2-pt shot from 16 ft
8:27.0,Defensive rebound by K. Middleton,,6-9,,
8:22.0,K. Middleton makes 2-pt shot from 13 ft,2,8-9,,
8:02.0,,,8-11,2,T. Gibson makes 2-pt shot at rim
7:49.0,M. Brogdon misses 2-pt shot from 6 ft,,8-11,,
7:44.0,,,8-11,,Defensive rebound by J. Butler
7:43.0,Personal foul by K. Middleton (drawn by T. Gibson),,8-11,,
7:43.0,S. Brown enters the game for K. Middleton,,8-11,,
7:27.0,,,8-11,,Turnover by A. Wiggins (lost ball; steal by S. Brown)
7:22.0,S. Brown makes 2-pt shot at rim (assist by G. Antetokounmpo),2,10-11,,
7:22.0,Technical foul by S. Brown,,10-11,,
7:22.0,,,10-12,1,J. Butler makes technical free throw
6:59.0,,,10-12,,J. Butler misses 2-pt shot from 15 ft
6:58.0,Defensive rebound by Team,,10-12,,
6:58.0,,,10-12,,Minnesota full timeout
6:44.0,G. Antetokounmpo makes 2-pt shot from 16 ft,2,12-12,,
6:24.0,,,12-15,3,K. Towns makes 3-pt shot from 25 ft (assist by J. Butler)
5:58.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,14-15,,
5:35.0,,,14-15,,J. Butler misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by G. Antetokounmpo,,14-15,,
5:22.0,Turnover by S. Brown (bad pass; steal by A. Wiggins),,14-15,,
5:07.0,,,14-15,,Turnover by J. Butler (bad pass)
5:07.0,M. Dellavedova enters the game for M. Brogdon,,14-15,,
4:52.0,J. Henson misses 2-pt shot from 9 ft,,14-15,,
4:50.0,,,14-15,,Defensive rebound by T. Gibson
4:45.0,,,14-15,,J. Teague misses 2-pt shot from 12 ft
4:45.0,Defensive rebound by G. Antetokounmpo,,14-15,,
4:30.0,J. Henson misses 2-pt shot from 7 ft,,14-15,,
4:27.0,,,14-15,,Defensive rebound by K. Towns
4:17.0,,,14-15,,Minnesota full timeout
4:13.0,,,14-15,,K. Towns misses 2-pt shot from 1 ft
4:10.0,Defensive rebound by G. Antetokounmpo,,14-15,,
4:05.0,T. Snell misses 3-pt shot from 25 ft,,14-15,,
4:05.0,,,14-15,,Defensive rebound by A. Wiggins
3:47.0,,,14-17,2,J. Teague makes 2-pt shot from 7 ft (assist by J. Butler)
3:23.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,14-17,,
3:19.0,,,14-17,,Defensive rebound by A. Wiggins
2:59.0,,,14-17,,J. Butler misses 2-pt shot from 13 ft
2:56.0,Defensive rebound by S. Brown,,14-17,,
2:44.0,Turnover by M. Dellavedova (bad pass; steal by J. Butler),,14-17,,
2:38.0,,,14-19,2,K. Towns makes 2-pt shot from 1 ft
2:17.0,Turnover by G. Antetokounmpo (bad pass; steal by A. Wiggins),,14-19,,
2:15.0,,,14-19,,Shooting foul by T. Snell (drawn by J. Butler)
2:15.0,,,14-20,1,J. Butler makes free throw 1 of 2
2:15.0,,,14-20,,T. Jones enters the game for J. Teague
2:15.0,,,14-20,,G. Dieng enters the game for K. Towns
2:15.0,T. Maker enters the game for J. Henson,,14-20,,
2:15.0,,,14-20,,J. Butler misses free throw 2 of 2
2:11.0,Defensive rebound by T. Maker,,14-20,,
1:58.0,S. Brown makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,17-20,,
1:40.0,,,17-20,,G. Dieng misses 3-pt shot from 23 ft
1:37.0,Defensive rebound by G. Antetokounmpo,,17-20,,
1:33.0,T. Snell misses 3-pt shot from 25 ft,,17-20,,
1:30.0,,,17-20,,Defensive rebound by A. Wiggins
1:24.0,,,17-20,,A. Wiggins misses 2-pt shot from 21 ft
1:22.0,Defensive rebound by G. Antetokounmpo,,17-20,,
1:11.0,T. Maker misses 3-pt shot from 23 ft,,17-20,,
1:07.0,,,17-20,,Defensive rebound by T. Jones
0:58.0,,,17-20,,A. Wiggins misses 3-pt shot from 24 ft
0:55.0,Defensive rebound by T. Snell,,17-20,,
0:41.0,T. Maker misses 2-pt shot from 12 ft,,17-20,,
0:38.0,,,17-20,,Defensive rebound by T. Gibson
0:22.0,,,17-23,3,J. Butler makes 3-pt shot from 24 ft (assist by G. Dieng)
0:06.0,,,17-23,,Personal foul by T. Jones (drawn by M. Dellavedova)
0:00.0,T. Maker misses 3-pt shot from 23 ft,,17-23,,
0:00.0,Offensive rebound by Team,,17-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,17-23,,T. Jones misses 2-pt shot from 10 ft
11:36.0,Defensive rebound by K. Middleton,,17-23,,
11:29.0,Turnover by K. Middleton (lost ball; steal by T. Jones),,17-23,,
11:13.0,,,17-23,,G. Dieng misses 2-pt shot from 17 ft
11:10.0,Defensive rebound by M. Dellavedova,,17-23,,
11:00.0,K. Middleton misses 2-pt shot from 18 ft,,17-23,,
11:00.0,,,17-23,,Defensive rebound by J. Crawford
10:54.0,,,17-25,2,G. Dieng makes 2-pt shot from 1 ft (assist by J. Crawford)
10:29.0,K. Middleton makes 2-pt shot from 15 ft,2,19-25,,
10:14.0,,,19-27,2,J. Butler makes 2-pt shot from 14 ft
10:14.0,,,19-27,,Shooting foul by M. Brogdon (drawn by J. Butler)
10:14.0,,,19-28,1,J. Butler makes free throw 1 of 1
9:55.0,T. Maker misses 2-pt shot from 7 ft (block by G. Dieng),,19-28,,
9:51.0,,,19-28,,Defensive rebound by N. Bjelica
9:41.0,Personal block foul by T. Maker (drawn by G. Dieng),,19-28,,
9:41.0,,,19-28,,M. Georges-Hunt enters the game for J. Butler
9:32.0,,,19-28,,Turnover by J. Crawford (bad pass; steal by K. Middleton)
9:28.0,M. Brogdon makes 2-pt shot from 1 ft (assist by K. Middleton),2,21-28,,
9:20.0,Personal take foul by T. Maker (drawn by T. Jones),,21-28,,
9:20.0,Milwaukee full timeout,,21-28,,
9:20.0,,,21-28,,K. Towns enters the game for G. Dieng
9:20.0,S. Kilpatrick enters the game for M. Brogdon,,21-28,,
9:04.0,,,21-30,2,N. Bjelica makes 2-pt shot from 6 ft
8:43.0,T. Maker makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,24-30,,
8:20.0,,,24-32,2,J. Crawford makes 2-pt shot from 20 ft (assist by T. Jones)
8:02.0,T. Maker misses 2-pt shot from 19 ft,,24-32,,
8:00.0,,,24-32,,Defensive rebound by N. Bjelica
7:52.0,,,24-34,2,K. Towns makes 2-pt shot from 1 ft (assist by T. Jones)
7:43.0,S. Kilpatrick misses 3-pt shot from 23 ft,,24-34,,
7:40.0,,,24-34,,Defensive rebound by J. Crawford
7:31.0,,,24-37,3,N. Bjelica makes 3-pt shot from 23 ft (assist by K. Towns)
7:29.0,Milwaukee full timeout,,24-37,,
7:29.0,,,24-37,,J. Butler enters the game for M. Georges-Hunt
7:29.0,X. Munford enters the game for T. Maker,,24-37,,
7:29.0,J. Henson enters the game for M. Dellavedova,,24-37,,
7:29.0,G. Antetokounmpo enters the game for S. Brown,,24-37,,
7:08.0,K. Middleton misses 2-pt shot from 6 ft,,24-37,,
7:05.0,,,24-37,,Defensive rebound by K. Towns
6:58.0,,,24-37,,N. Bjelica misses 3-pt shot from 24 ft
6:55.0,Defensive rebound by G. Antetokounmpo,,24-37,,
6:35.0,K. Middleton makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,27-37,,
6:20.0,,,27-39,2,T. Jones makes 2-pt shot from 8 ft
6:12.0,Turnover by K. Middleton (bad pass),,27-39,,
5:54.0,,,27-41,2,K. Towns makes 2-pt shot from 6 ft (assist by N. Bjelica)
5:38.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,27-41,,
5:37.0,,,27-41,,Defensive rebound by K. Towns
5:33.0,,,27-41,,Shooting foul by X. Munford (drawn by J. Butler)
5:33.0,,,27-42,1,J. Butler makes free throw 1 of 2
5:33.0,,,27-42,,T. Gibson enters the game for N. Bjelica
5:33.0,,,27-43,1,J. Butler makes free throw 2 of 2
5:09.0,X. Munford makes 2-pt shot from 11 ft (assist by G. Antetokounmpo),2,29-43,,
4:52.0,,,29-43,,Turnover by J. Butler (bad pass; steal by X. Munford)
4:48.0,Shooting foul by K. Towns (drawn by G. Antetokounmpo),,29-43,,
4:48.0,G. Antetokounmpo makes free throw 1 of 2,1,30-43,,
4:48.0,,,30-43,,J. Teague enters the game for T. Jones
4:48.0,T. Snell enters the game for S. Kilpatrick,,30-43,,
4:48.0,G. Antetokounmpo makes free throw 2 of 2,1,31-43,,
4:39.0,,,31-46,3,J. Crawford makes 3-pt shot from 24 ft (assist by J. Butler)
4:39.0,,,31-46,,Shooting foul by T. Snell (drawn by J. Crawford)
4:39.0,,,31-47,1,J. Crawford makes free throw 1 of 1
4:27.0,G. Antetokounmpo misses 2-pt shot from 13 ft,,31-47,,
4:26.0,Offensive rebound by Team,,31-47,,
4:26.0,,,31-47,,Loose ball foul by K. Towns (drawn by J. Henson)
4:22.0,Turnover by X. Munford (bad pass),,31-47,,
4:10.0,,,31-47,,Turnover by K. Towns (turnover)
4:10.0,M. Dellavedova enters the game for X. Munford,,31-47,,
3:52.0,T. Snell misses 3-pt shot from 25 ft,,31-47,,
3:48.0,,,31-47,,Defensive rebound by K. Towns
3:45.0,,,31-47,,J. Crawford misses 3-pt shot from 25 ft
3:43.0,,,31-47,,Offensive rebound by Team
3:39.0,Personal foul by K. Middleton (drawn by J. Butler),,31-47,,
3:39.0,,,31-48,1,J. Butler makes free throw 1 of 2
3:39.0,,,31-49,1,J. Butler makes free throw 2 of 2
3:31.0,K. Middleton misses 2-pt shot at rim,,31-49,,
3:30.0,Offensive rebound by J. Henson,,31-49,,
3:30.0,J. Henson makes 2-pt shot at rim,2,33-49,,
3:15.0,,,33-51,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
2:58.0,J. Henson makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,35-51,,
2:36.0,,,35-53,2,T. Gibson makes 2-pt shot from 6 ft (assist by J. Teague)
2:22.0,,,35-53,,A. Wiggins enters the game for J. Crawford
2:16.0,K. Middleton misses 3-pt shot from 22 ft,,35-53,,
2:13.0,,,35-53,,Defensive rebound by T. Gibson
2:03.0,,,35-53,,Shooting foul by J. Henson (drawn by K. Towns)
2:03.0,,,35-54,1,K. Towns makes free throw 1 of 2
2:03.0,,,35-55,1,K. Towns makes free throw 2 of 2
1:40.0,M. Dellavedova misses 3-pt shot from 24 ft,,35-55,,
1:34.0,Offensive rebound by J. Henson,,35-55,,
1:31.0,T. Snell misses 2-pt shot from 5 ft,,35-55,,
1:29.0,,,35-55,,Defensive rebound by J. Butler
1:20.0,,,35-55,,A. Wiggins misses 2-pt shot from 2 ft
1:14.0,,,35-55,,Offensive rebound by K. Towns
1:14.0,,,35-57,2,K. Towns makes 2-pt shot at rim
1:01.0,T. Snell misses 2-pt shot from 1 ft,,35-57,,
0:59.0,,,35-57,,Defensive rebound by K. Towns
0:52.0,,,35-57,,Turnover by J. Teague (bad pass)
0:44.0,K. Middleton makes 2-pt shot from 17 ft (assist by J. Henson),2,37-57,,
0:32.0,,,37-60,3,J. Teague makes 3-pt shot from 24 ft (assist by K. Towns)
0:18.0,K. Middleton misses 3-pt shot from 25 ft,,37-60,,
0:16.0,Offensive rebound by J. Henson,,37-60,,
0:15.0,J. Henson misses 2-pt shot at rim,,37-60,,
0:14.0,Offensive rebound by K. Middleton,,37-60,,
0:00.0,G. Antetokounmpo makes 2-pt shot from 5 ft (assist by K. Middleton),2,39-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,39-62,2,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Teague)
11:26.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,39-62,,
11:22.0,Offensive rebound by G. Antetokounmpo,,39-62,,
11:11.0,T. Snell makes 2-pt shot from 17 ft (assist by G. Antetokounmpo),2,41-62,,
10:45.0,,,41-62,,T. Gibson misses 2-pt shot from 5 ft
10:43.0,Defensive rebound by G. Antetokounmpo,,41-62,,
10:37.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,41-62,,
10:34.0,,,41-62,,Defensive rebound by K. Towns
10:29.0,,,41-64,2,A. Wiggins makes 2-pt shot from 6 ft (assist by J. Butler)
10:07.0,,,41-64,,Def 3 sec tech foul by J. Teague
10:07.0,K. Middleton makes technical free throw,1,42-64,,
9:53.0,G. Antetokounmpo misses 2-pt shot from 12 ft,,42-64,,
9:49.0,,,42-64,,Defensive rebound by A. Wiggins
9:31.0,,,42-64,,Turnover by J. Teague (bad pass; steal by K. Middleton)
9:28.0,Turnover by K. Middleton (bad pass),,42-64,,
9:13.0,,,42-64,,J. Butler misses 3-pt shot from 25 ft
9:11.0,Defensive rebound by Team,,42-64,,
8:58.0,K. Middleton makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,45-64,,
8:29.0,,,45-64,,J. Butler misses 2-pt shot from 20 ft
8:28.0,,,45-64,,Offensive rebound by Team
8:28.0,,,45-64,,Turnover by Team (shot clock)
8:16.0,J. Henson makes 2-pt shot at rim (assist by M. Dellavedova),2,47-64,,
8:01.0,Personal foul by T. Snell (drawn by A. Wiggins),,47-64,,
7:46.0,,,47-64,,J. Butler misses 2-pt shot from 1 ft
7:39.0,Defensive rebound by K. Middleton,,47-64,,
7:37.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton),2,49-64,,
7:36.0,,,49-64,,Minnesota full timeout
7:20.0,Away from play foul by T. Snell (drawn by J. Butler),,49-64,,
7:20.0,,,49-65,1,J. Butler makes free throw 1 of 1
7:20.0,S. Brown enters the game for T. Snell,,49-65,,
7:11.0,,,49-65,,J. Teague misses 2-pt shot from 16 ft
7:07.0,Defensive rebound by G. Antetokounmpo,,49-65,,
7:01.0,G. Antetokounmpo makes 2-pt shot from 5 ft,2,51-65,,
6:35.0,,,51-65,,Turnover by J. Teague (bad pass; steal by K. Middleton)
6:30.0,Turnover by K. Middleton (lost ball; steal by A. Wiggins),,51-65,,
6:27.0,Personal foul by J. Henson (drawn by J. Teague),,51-65,,
6:14.0,,,51-67,2,J. Teague makes 2-pt shot from 12 ft
5:47.0,M. Dellavedova misses 2-pt shot from 9 ft (block by J. Teague),,51-67,,
5:44.0,,,51-67,,Defensive rebound by J. Butler
5:33.0,,,51-69,2,K. Towns makes 2-pt shot from 21 ft (assist by J. Teague)
5:32.0,Milwaukee full timeout,,51-69,,
5:32.0,S. Kilpatrick enters the game for M. Dellavedova,,51-69,,
5:22.0,K. Middleton misses 2-pt shot from 17 ft,,51-69,,
5:17.0,Offensive rebound by J. Henson,,51-69,,
5:17.0,S. Kilpatrick misses 3-pt shot from 24 ft,,51-69,,
5:17.0,Offensive rebound by K. Middleton,,51-69,,
5:17.0,Shooting foul by K. Towns (drawn by K. Middleton),,51-69,,
5:17.0,K. Middleton makes free throw 1 of 2,1,52-69,,
5:17.0,K. Middleton makes free throw 2 of 2,1,53-69,,
5:07.0,,,53-69,,Turnover by K. Towns (bad pass)
4:49.0,K. Middleton misses 2-pt shot from 13 ft,,53-69,,
4:45.0,,,53-69,,Defensive rebound by A. Wiggins
4:35.0,,,53-69,,Turnover by A. Wiggins (lost ball; steal by K. Middleton)
4:32.0,S. Kilpatrick makes 2-pt shot at rim (assist by K. Middleton),2,55-69,,
4:04.0,,,55-71,2,J. Teague makes 2-pt shot from 1 ft
3:46.0,Turnover by G. Antetokounmpo (out of bounds lost ball),,55-71,,
3:22.0,,,55-73,2,J. Butler makes 2-pt shot from 21 ft (assist by J. Teague)
