time,Washington,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Millsap vs. M. Gortat (O. Porter gains possession),,,,Jump ball: P. Millsap vs. M. Gortat (O. Porter gains possession)
11:43.0,J. Wall misses 3-pt shot from 24 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by N. Jokic
11:21.0,,,0-2,2,G. Harris makes 2-pt shot from 2 ft (assist by J. Murray)
11:08.0,M. Gortat makes 2-pt shot from 12 ft (assist by B. Beal),2,2-2,,
10:44.0,,,2-4,2,N. Jokic makes 2-pt shot from 11 ft (assist by G. Harris)
10:29.0,J. Wall misses 2-pt shot from 4 ft (block by J. Murray),,2-4,,
10:27.0,,,2-4,,Defensive rebound by N. Jokic
10:22.0,,,2-6,2,J. Murray makes 2-pt shot from 4 ft (assist by W. Chandler)
9:56.0,J. Wall misses 2-pt shot from 3 ft,,2-6,,
9:54.0,,,2-6,,Defensive rebound by P. Millsap
9:54.0,,,2-6,,Turnover by N. Jokic (bad pass)
9:40.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall),3,5-6,,
9:17.0,,,5-8,2,N. Jokic makes 2-pt shot from 5 ft
8:59.0,B. Beal misses 3-pt shot from 22 ft,,5-8,,
8:57.0,,,5-8,,Defensive rebound by J. Murray
8:46.0,,,5-8,,G. Harris misses 3-pt shot from 26 ft
8:42.0,,,5-8,,Offensive rebound by W. Chandler
8:36.0,,,5-10,2,W. Chandler makes 2-pt shot from 3 ft (assist by N. Jokic)
8:21.0,K. Oubre misses 3-pt shot from 23 ft,,5-10,,
8:18.0,,,5-10,,Defensive rebound by G. Harris
8:16.0,,,5-12,2,W. Chandler makes 2-pt shot from 2 ft (assist by G. Harris)
8:00.0,O. Porter misses 2-pt shot from 12 ft,,5-12,,
7:58.0,,,5-12,,Defensive rebound by N. Jokic
7:51.0,Personal block foul by K. Oubre (drawn by G. Harris),,5-12,,
7:46.0,,,5-12,,J. Murray misses 2-pt shot from 17 ft
7:45.0,Defensive rebound by Team,,5-12,,
7:28.0,O. Porter makes 3-pt shot from 24 ft (assist by B. Beal),3,8-12,,
7:06.0,,,8-12,,P. Millsap misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by M. Gortat,,8-12,,
6:54.0,,,8-12,,Shooting block foul by P. Millsap (drawn by J. Wall)
6:54.0,,,8-12,,Denver full timeout
6:54.0,J. Wall makes free throw 1 of 2,1,9-12,,
6:54.0,J. Wall makes free throw 2 of 2,1,10-12,,
6:38.0,,,10-12,,P. Millsap misses 2-pt shot from 4 ft
6:36.0,Defensive rebound by B. Beal,,10-12,,
6:31.0,K. Oubre makes 2-pt shot from 3 ft (assist by J. Wall),2,12-12,,
6:24.0,,,12-12,,W. Chandler misses 2-pt shot from 3 ft
6:22.0,,,12-12,,Offensive rebound by P. Millsap
6:22.0,,,12-12,,W. Barton enters the game for W. Chandler
6:08.0,,,12-12,,W. Barton misses 2-pt shot from 18 ft
6:05.0,Defensive rebound by O. Porter,,12-12,,
5:47.0,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall),2,14-12,,
5:34.0,,,14-14,2,N. Jokic makes 2-pt shot from 18 ft (assist by J. Murray)
5:12.0,Turnover by M. Gortat (bad pass; steal by N. Jokic),,14-14,,
5:07.0,,,14-16,2,J. Murray makes 2-pt shot from 3 ft (assist by N. Jokic)
4:52.0,O. Porter misses 2-pt shot from 20 ft,,14-16,,
4:49.0,Offensive rebound by M. Gortat,,14-16,,
4:48.0,M. Gortat makes 2-pt shot from 4 ft (assist by O. Porter),2,16-16,,
4:39.0,,,16-19,3,N. Jokic makes 3-pt shot from 25 ft (assist by G. Harris)
4:22.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,19-19,,
4:08.0,,,19-19,,J. Murray misses 3-pt shot from 27 ft
4:05.0,Defensive rebound by K. Oubre,,19-19,,
3:56.0,J. Wall misses 2-pt shot from 17 ft,,19-19,,
3:52.0,Offensive rebound by M. Gortat,,19-19,,
3:50.0,O. Porter misses 3-pt shot from 26 ft,,19-19,,
3:47.0,,,19-19,,Defensive rebound by G. Harris
3:40.0,,,19-22,3,N. Jokic makes 3-pt shot from 26 ft (assist by W. Barton)
3:29.0,B. Beal misses 3-pt shot from 25 ft,,19-22,,
3:29.0,,,19-22,,Defensive rebound by Team
3:29.0,,,19-22,,E. Mudiay enters the game for N. Jokic
3:29.0,,,19-22,,M. Plumlee enters the game for J. Murray
3:29.0,J. Meeks enters the game for K. Oubre,,19-22,,
3:13.0,,,19-24,2,P. Millsap makes 2-pt shot from 4 ft (assist by G. Harris)
3:06.0,Washington full timeout,,19-24,,
3:06.0,,,19-24,,J. Murray enters the game for P. Millsap
3:06.0,M. Scott enters the game for B. Beal,,19-24,,
3:06.0,I. Mahinmi enters the game for M. Gortat,,19-24,,
2:55.0,I. Mahinmi makes 2-pt shot from 6 ft (assist by M. Scott),2,21-24,,
2:55.0,,,21-24,,W. Chandler enters the game for J. Murray
2:43.0,,,21-24,,Turnover by W. Chandler (traveling)
2:31.0,J. Meeks misses 3-pt shot from 23 ft,,21-24,,
2:28.0,,,21-24,,Defensive rebound by M. Plumlee
