time,Memphis,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. M. Gasol (A. Horford gains possession),,,,Jump ball: A. Baynes vs. M. Gasol (A. Horford gains possession)
11:41.0,,,0-0,,K. Irving misses 2-pt shot from 12 ft
11:39.0,Defensive rebound by M. Gasol,,0-0,,
11:20.0,M. Gasol makes 2-pt shot from 13 ft (assist by J. Martin),2,2-0,,
11:06.0,,,2-0,,J. Brown misses 2-pt shot from 20 ft
11:04.0,Defensive rebound by J. Green,,2-0,,
10:53.0,M. Gasol makes 3-pt shot from 25 ft (assist by J. Martin),3,5-0,,
10:35.0,,,5-0,,Shooting foul by J. Martin (drawn by J. Brown)
10:35.0,,,5-0,,J. Brown misses free throw 1 of 2
10:35.0,,,5-0,,Offensive rebound by Team
10:35.0,,,5-1,1,J. Brown makes free throw 2 of 2
10:19.0,D. Brooks misses 2-pt shot from 2 ft,,5-1,,
10:17.0,,,5-1,,Defensive rebound by J. Tatum
10:11.0,,,5-1,,J. Tatum misses 2-pt shot from 14 ft
10:08.0,Defensive rebound by D. Brooks,,5-1,,
10:02.0,M. Gasol misses 3-pt shot from 28 ft,,5-1,,
9:59.0,,,5-1,,Defensive rebound by J. Tatum
9:51.0,,,5-1,,Turnover by K. Irving (out of bounds lost ball)
9:37.0,J. Green makes 2-pt shot from 1 ft (assist by D. Brooks),2,7-1,,
9:37.0,Shooting foul by A. Baynes (drawn by J. Green),,7-1,,
9:37.0,J. Green makes free throw 1 of 1,1,8-1,,
9:20.0,,,8-4,3,K. Irving makes 3-pt shot from 26 ft (assist by A. Horford)
9:07.0,Turnover by M. Gasol (bad pass),,8-4,,
8:49.0,,,8-6,2,A. Baynes makes 2-pt shot from 11 ft (assist by K. Irving)
8:40.0,,,8-6,,Violation by A. Horford (kicked ball)
8:27.0,D. Brooks misses 2-pt shot from 20 ft,,8-6,,
8:18.0,,,8-6,,Defensive rebound by K. Irving
8:04.0,,,8-8,2,A. Baynes makes 2-pt shot from 12 ft (assist by J. Brown)
7:48.0,,,8-8,,Personal foul by J. Brown (drawn by M. Gasol)
7:41.0,A. Harrison makes 2-pt shot from 18 ft,2,10-8,,
7:28.0,,,10-11,3,J. Brown makes 3-pt shot from 27 ft (assist by K. Irving)
7:09.0,,,10-11,,Personal foul by J. Tatum (drawn by M. Gasol)
7:02.0,A. Harrison misses 3-pt shot from 26 ft,,10-11,,
6:59.0,,,10-11,,Defensive rebound by K. Irving
6:50.0,,,10-14,3,J. Brown makes 3-pt shot from 23 ft (assist by K. Irving)
6:26.0,A. Harrison misses 2-pt shot from 18 ft,,10-14,,
6:25.0,Offensive rebound by M. Gasol,,10-14,,
6:25.0,M. Gasol misses 2-pt shot from 3 ft (block by A. Baynes),,10-14,,
6:24.0,,,10-14,,Defensive rebound by Team
6:24.0,,,10-14,,Boston full timeout
6:08.0,,,10-14,,A. Horford misses 3-pt shot from 23 ft
6:05.0,Defensive rebound by A. Harrison,,10-14,,
6:01.0,D. Brooks misses 2-pt shot from 1 ft (block by J. Tatum),,10-14,,
6:01.0,Offensive rebound by Team,,10-14,,
5:53.0,J. Martin misses 2-pt shot from 2 ft (block by A. Baynes),,10-14,,
