time,New Orleans,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. A. Davis (E. Moore gains possession),,,,Jump ball: K. Towns vs. A. Davis (E. Moore gains possession)
11:42.0,A. Davis misses 2-pt shot from 20 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by J. Teague
11:27.0,,,0-0,,J. Teague misses 2-pt shot from 7 ft
11:24.0,,,0-0,,Offensive rebound by T. Gibson
11:22.0,,,0-2,2,T. Gibson makes 2-pt shot at rim
11:13.0,R. Rondo misses 2-pt shot from 20 ft,,0-2,,
11:13.0,,,0-2,,Defensive rebound by K. Towns
10:53.0,,,0-2,,K. Towns misses 2-pt shot from 5 ft
10:50.0,,,0-2,,Offensive rebound by K. Towns
10:49.0,,,0-4,2,K. Towns makes 2-pt shot from 1 ft
10:42.0,E. Moore misses 2-pt shot from 12 ft,,0-4,,
10:39.0,Offensive rebound by E. Moore,,0-4,,
10:38.0,Turnover by E. Moore (out of bounds lost ball),,0-4,,
10:23.0,,,0-6,2,T. Gibson makes 2-pt shot at rim (assist by J. Butler)
10:11.0,J. Holiday misses 2-pt shot from 11 ft,,0-6,,
10:09.0,Offensive rebound by A. Davis,,0-6,,
10:07.0,A. Davis misses 2-pt shot from 13 ft,,0-6,,
10:04.0,,,0-6,,Defensive rebound by T. Gibson
9:55.0,,,0-9,3,K. Towns makes 3-pt shot from 25 ft (assist by J. Teague)
9:50.0,New Orleans full timeout,,0-9,,
9:38.0,Shooting foul by K. Towns (drawn by A. Davis),,0-9,,
9:38.0,A. Davis makes free throw 1 of 2,1,1-9,,
9:38.0,A. Davis makes free throw 2 of 2,1,2-9,,
9:21.0,,,2-9,,Turnover by A. Wiggins (bad pass; steal by E. Moore)
9:17.0,D. Cunningham makes 2-pt shot at rim (assist by E. Moore),2,4-9,,
8:53.0,,,4-9,,Turnover by J. Butler (bad pass; steal by J. Holiday)
8:47.0,E. Moore misses 3-pt shot from 25 ft,,4-9,,
8:44.0,,,4-9,,Defensive rebound by K. Towns
8:32.0,,,4-9,,T. Gibson misses 2-pt shot from 5 ft
8:28.0,,,4-9,,Offensive rebound by K. Towns
8:28.0,,,4-11,2,K. Towns makes 2-pt shot at rim
8:19.0,D. Cunningham misses 2-pt shot from 5 ft (block by T. Gibson),,4-11,,
8:15.0,,,4-11,,Defensive rebound by J. Butler
8:07.0,,,4-11,,A. Wiggins misses 2-pt shot from 5 ft
8:05.0,Defensive rebound by R. Rondo,,4-11,,
7:56.0,A. Davis misses 2-pt shot from 11 ft,,4-11,,
7:53.0,,,4-11,,Defensive rebound by K. Towns
7:47.0,,,4-13,2,A. Wiggins makes 2-pt shot from 5 ft (assist by J. Teague)
7:27.0,J. Holiday misses 2-pt shot from 20 ft,,4-13,,
7:24.0,,,4-13,,Defensive rebound by K. Towns
7:19.0,,,4-15,2,J. Teague makes 2-pt shot at rim
7:05.0,D. Cunningham misses 3-pt shot from 23 ft,,4-15,,
7:02.0,,,4-15,,Defensive rebound by T. Gibson
6:50.0,,,4-15,,J. Teague misses 2-pt shot from 1 ft
6:48.0,Defensive rebound by D. Cunningham,,4-15,,
6:43.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,6-15,,
6:30.0,,,6-17,2,J. Butler makes 2-pt shot from 1 ft
6:15.0,A. Davis misses 2-pt shot from 21 ft,,6-17,,
6:12.0,,,6-17,,Defensive rebound by J. Butler
6:07.0,,,6-20,3,J. Butler makes 3-pt shot from 25 ft
5:55.0,R. Rondo misses 3-pt shot from 25 ft,,6-20,,
5:52.0,,,6-20,,Defensive rebound by K. Towns
5:41.0,,,6-22,2,T. Gibson makes 2-pt shot from 1 ft
5:37.0,New Orleans full timeout,,6-22,,
5:37.0,N. Mirotic enters the game for R. Rondo,,6-22,,
5:37.0,D. Miller enters the game for D. Cunningham,,6-22,,
5:27.0,N. Mirotic misses 3-pt shot from 24 ft,,6-22,,
5:23.0,Offensive rebound by A. Davis,,6-22,,
5:23.0,A. Davis makes 2-pt shot from 4 ft,2,8-22,,
5:15.0,Personal foul by N. Mirotic (drawn by K. Towns),,8-22,,
5:06.0,,,8-22,,Shooting foul by A. Davis (drawn by K. Towns)
5:06.0,,,8-23,1,K. Towns makes free throw 1 of 2
5:06.0,,,8-23,,K. Towns misses free throw 2 of 2
5:03.0,Defensive rebound by N. Mirotic,,8-23,,
4:50.0,A. Davis misses 2-pt shot from 1 ft,,8-23,,
4:48.0,,,8-23,,Defensive rebound by K. Towns
4:45.0,,,8-25,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague)
4:45.0,,,8-25,,Shooting foul by D. Miller (drawn by K. Towns)
4:45.0,,,8-25,,T. Jones enters the game for J. Teague
4:45.0,,,8-26,1,K. Towns makes free throw 1 of 1
4:24.0,E. Moore makes 2-pt shot from 11 ft,2,10-26,,
4:05.0,,,10-26,,T. Gibson misses 2-pt shot from 6 ft
4:03.0,Defensive rebound by A. Davis,,10-26,,
3:54.0,J. Holiday misses 2-pt shot from 3 ft,,10-26,,
3:50.0,Offensive rebound by A. Davis,,10-26,,
3:50.0,A. Davis makes 2-pt shot at rim,2,12-26,,
3:34.0,,,12-26,,A. Wiggins misses 2-pt shot from 13 ft
3:31.0,Defensive rebound by N. Mirotic,,12-26,,
3:25.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,14-26,,
3:08.0,,,14-26,,K. Towns misses 2-pt shot from 19 ft
3:05.0,Defensive rebound by J. Holiday,,14-26,,
3:03.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,16-26,,
2:46.0,,,16-29,3,A. Wiggins makes 3-pt shot from 25 ft (assist by K. Towns)
2:33.0,Turnover by J. Holiday (traveling),,16-29,,
2:33.0,,,16-29,,G. Dieng enters the game for K. Towns
2:33.0,,,16-29,,N. Bjelica enters the game for T. Gibson
2:33.0,I. Clark enters the game for E. Moore,,16-29,,
2:33.0,,,16-29,,J. Crawford enters the game for A. Wiggins
2:21.0,,,16-29,,J. Butler misses 2-pt shot from 19 ft
2:18.0,Defensive rebound by I. Clark,,16-29,,
2:09.0,A. Davis makes 2-pt shot from 10 ft,2,18-29,,
1:52.0,,,18-29,,Shooting foul by I. Clark (drawn by J. Butler)
1:52.0,,,18-30,1,J. Butler makes free throw 1 of 2
1:52.0,M. James enters the game for J. Holiday,,18-30,,
1:52.0,,,18-31,1,J. Butler makes free throw 2 of 2
1:37.0,N. Mirotic makes 3-pt shot from 25 ft (assist by A. Davis),3,21-31,,
1:11.0,,,21-33,2,G. Dieng makes 2-pt shot from 8 ft (assist by N. Bjelica)
1:00.0,A. Davis makes 2-pt shot from 20 ft,2,23-33,,
0:49.0,,,23-36,3,N. Bjelica makes 3-pt shot from 24 ft (assist by J. Butler)
0:41.0,A. Davis makes 3-pt shot from 26 ft (assist by M. James),3,26-36,,
0:35.0,,,26-36,,Shooting foul by D. Miller (drawn by J. Butler)
0:35.0,,,26-36,,J. Butler misses free throw 1 of 3
0:35.0,,,26-36,,Offensive rebound by Team
0:35.0,,,26-36,,J. Butler misses free throw 2 of 3
0:35.0,,,26-36,,Offensive rebound by Team
0:35.0,,,26-37,1,J. Butler makes free throw 3 of 3
0:31.0,D. Miller makes 3-pt shot from 22 ft (assist by M. James),3,29-37,,
0:11.0,,,29-37,,J. Butler misses 2-pt shot from 2 ft (block by D. Miller)
0:09.0,Defensive rebound by D. Miller,,29-37,,
0:08.0,,,29-37,,Personal take foul by G. Dieng (drawn by M. James)
0:02.0,M. James misses 2-pt shot from 15 ft,,29-37,,
0:02.0,,,29-37,,Defensive rebound by J. Butler
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,29-37,,Turnover by T. Jones (lost ball; steal by M. James)
11:49.0,N. Mirotic makes 2-pt shot at rim,2,31-37,,
11:36.0,,,31-37,,Turnover by A. Wiggins (lost ball; steal by N. Mirotic)
11:29.0,Turnover by N. Mirotic (bad pass; steal by A. Wiggins),,31-37,,
11:25.0,,,31-39,2,T. Jones makes 2-pt shot from 20 ft (assist by A. Wiggins)
10:59.0,M. James misses 3-pt shot from 25 ft,,31-39,,
10:55.0,,,31-39,,Defensive rebound by T. Jones
10:49.0,,,31-39,,N. Bjelica misses 2-pt shot from 5 ft
10:46.0,,,31-39,,Offensive rebound by G. Dieng
10:38.0,,,31-39,,G. Dieng misses 2-pt shot from 14 ft
10:37.0,Defensive rebound by C. Diallo,,31-39,,
10:27.0,N. Mirotic misses 3-pt shot from 25 ft,,31-39,,
10:23.0,Offensive rebound by C. Diallo,,31-39,,
10:16.0,C. Diallo misses 2-pt shot from 19 ft,,31-39,,
10:13.0,,,31-39,,Defensive rebound by G. Dieng
10:04.0,,,31-41,2,T. Jones makes 2-pt shot from 15 ft
9:41.0,Turnover by D. Miller (lost ball; steal by J. Crawford),,31-41,,
9:34.0,,,31-41,,J. Crawford misses 2-pt shot from 20 ft
9:30.0,Defensive rebound by C. Diallo,,31-41,,
9:22.0,Turnover by M. James (lost ball; steal by T. Jones),,31-41,,
9:19.0,,,31-43,2,T. Jones makes 2-pt shot from 1 ft
8:58.0,M. James makes 2-pt shot from 12 ft,2,33-43,,
8:35.0,,,33-45,2,N. Bjelica makes 2-pt shot at rim (assist by J. Crawford)
8:22.0,,,33-45,,Personal foul by N. Bjelica (drawn by I. Clark)
8:16.0,M. James misses 2-pt shot from 19 ft,,33-45,,
8:13.0,,,33-45,,Defensive rebound by G. Dieng
8:10.0,,,33-45,,Shooting foul by M. James (drawn by T. Jones)
8:10.0,,,33-46,1,T. Jones makes free throw 1 of 2
8:10.0,J. Holiday enters the game for M. James,,33-46,,
8:10.0,,,33-47,1,T. Jones makes free throw 2 of 2
7:55.0,C. Diallo misses 2-pt shot at rim,,33-47,,
7:51.0,,,33-47,,Defensive rebound by G. Dieng
7:40.0,,,33-49,2,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Crawford)
