time,Utah,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. R. Gobert (J. Crowder gains possession),,,,Jump ball: C. Capela vs. R. Gobert (J. Crowder gains possession)
11:41.0,J. Ingles misses 3-pt shot from 23 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by P. Tucker
11:17.0,,,0-0,,C. Paul misses 3-pt shot from 27 ft
11:14.0,Defensive rebound by J. Crowder,,0-0,,
11:11.0,Turnover by D. Mitchell (out of bounds lost ball),,0-0,,
10:51.0,,,0-2,2,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul)
10:28.0,J. Crowder misses 2-pt shot from 5 ft,,0-2,,
10:26.0,,,0-2,,Defensive rebound by T. Ariza
10:22.0,,,0-2,,Turnover by T. Ariza (lost ball; steal by J. Crowder)
10:17.0,J. Crowder misses 2-pt shot from 4 ft,,0-2,,
10:14.0,,,0-2,,Defensive rebound by C. Paul
10:08.0,,,0-2,,Turnover by P. Tucker (bad pass; steal by D. Mitchell)
10:03.0,R. O'Neale makes 2-pt shot from 2 ft (assist by J. Ingles),2,2-2,,
9:45.0,,,2-2,,Shooting foul by D. Mitchell (drawn by C. Capela)
9:45.0,,,2-3,1,C. Capela makes free throw 1 of 2
9:45.0,,,2-3,,C. Capela misses free throw 2 of 2
9:45.0,Defensive rebound by J. Crowder,,2-3,,
9:35.0,J. Crowder makes 3-pt shot from 25 ft (assist by J. Ingles),3,5-3,,
9:06.0,,,5-3,,J. Harden misses 2-pt shot from 22 ft
9:04.0,Defensive rebound by Team,,5-3,,
8:58.0,J. Crowder misses 3-pt shot from 27 ft,,5-3,,
8:55.0,,,5-3,,Defensive rebound by C. Capela
8:43.0,,,5-5,2,C. Paul makes 2-pt shot from 9 ft
8:30.0,D. Mitchell misses 3-pt shot from 25 ft,,5-5,,
8:28.0,,,5-5,,Defensive rebound by T. Ariza
8:21.0,,,5-5,,T. Ariza misses 3-pt shot from 24 ft
8:18.0,Defensive rebound by J. Ingles,,5-5,,
8:12.0,Turnover by J. Ingles (bad pass; steal by C. Capela),,5-5,,
8:10.0,Personal take foul by J. Ingles (drawn by J. Harden),,5-5,,
7:55.0,,,5-5,,C. Capela misses 2-pt shot from 2 ft (block by R. Gobert)
7:55.0,,,5-5,,Offensive rebound by Team
7:50.0,,,5-5,,C. Paul misses 3-pt shot from 26 ft
7:46.0,,,5-5,,Offensive rebound by P. Tucker
7:38.0,,,5-5,,J. Harden misses 2-pt shot from 4 ft (block by R. Gobert)
7:36.0,Defensive rebound by J. Ingles,,5-5,,
7:31.0,R. O'Neale misses 2-pt shot from 2 ft,,5-5,,
7:28.0,,,5-5,,Defensive rebound by C. Capela
7:14.0,,,5-5,,J. Harden misses 3-pt shot from 26 ft
7:11.0,Defensive rebound by J. Crowder,,5-5,,
7:11.0,,,5-5,,Personal foul by J. Harden (drawn by J. Crowder)
7:01.0,R. Gobert makes 2-pt shot from 1 ft (assist by D. Mitchell),2,7-5,,
6:41.0,,,7-5,,Shooting foul by R. O'Neale (drawn by J. Harden)
6:41.0,,,7-5,,Houston full timeout
6:41.0,,,7-5,,E. Gordon enters the game for C. Paul
6:41.0,,,7-6,1,J. Harden makes free throw 1 of 2
6:41.0,,,7-7,1,J. Harden makes free throw 2 of 2
6:26.0,J. Ingles makes 2-pt shot from 2 ft (assist by D. Mitchell),2,9-7,,
6:09.0,R. Neto enters the game for J. Ingles,,9-7,,
6:04.0,Personal block foul by R. Neto (drawn by E. Gordon),,9-7,,
6:04.0,,,9-7,,L. Mbah a Moute enters the game for P. Tucker
5:57.0,,,9-7,,E. Gordon misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by J. Crowder,,9-7,,
5:46.0,J. Crowder misses 3-pt shot from 25 ft,,9-7,,
5:43.0,Offensive rebound by R. Gobert,,9-7,,
5:42.0,R. Gobert misses 2-pt shot from 1 ft (block by C. Capela),,9-7,,
5:42.0,,,9-7,,Defensive rebound by T. Ariza
5:33.0,,,9-7,,Turnover by J. Harden (bad pass; steal by R. Gobert)
5:21.0,D. Mitchell makes 2-pt shot from 3 ft,2,11-7,,
4:59.0,,,11-7,,E. Gordon misses 3-pt shot from 25 ft
4:57.0,Defensive rebound by R. Gobert,,11-7,,
4:47.0,Turnover by R. Neto (bad pass; steal by C. Capela),,11-7,,
4:41.0,,,11-9,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by J. Harden)
4:34.0,,,11-9,,Personal foul by C. Capela (drawn by R. Gobert)
4:34.0,,,11-9,,N. Hilario enters the game for C. Capela
4:34.0,D. Favors enters the game for R. Gobert,,11-9,,
4:26.0,Turnover by J. Crowder (out of bounds lost ball),,11-9,,
4:15.0,,,11-11,2,J. Harden makes 2-pt shot from 2 ft
4:07.0,R. Neto misses 2-pt shot from 3 ft,,11-11,,
4:03.0,,,11-11,,Defensive rebound by E. Gordon
3:57.0,,,11-13,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden)
3:57.0,Utah full timeout,,11-13,,
3:57.0,,,11-13,,G. Green enters the game for T. Ariza
3:33.0,J. Crowder misses 2-pt shot from 20 ft,,11-13,,
3:31.0,,,11-13,,Defensive rebound by L. Mbah a Moute
3:24.0,,,11-15,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden)
3:12.0,D. Mitchell misses 2-pt shot from 3 ft,,11-15,,
3:09.0,,,11-15,,Defensive rebound by G. Green
3:05.0,,,11-18,3,J. Harden makes 3-pt shot from 26 ft
2:42.0,R. Neto misses 3-pt shot from 26 ft,,11-18,,
2:40.0,,,11-18,,Defensive rebound by J. Harden
2:36.0,,,11-18,,J. Harden misses 3-pt shot from 27 ft
2:34.0,Defensive rebound by D. Favors,,11-18,,
2:27.0,D. Favors makes 2-pt shot at rim (assist by R. O'Neale),2,13-18,,
2:01.0,,,13-18,,J. Harden misses 2-pt shot from 3 ft
1:56.0,,,13-18,,Offensive rebound by N. Hilario
1:46.0,,,13-18,,Turnover by L. Mbah a Moute (out of bounds lost ball)
1:46.0,,,13-18,,C. Paul enters the game for J. Harden
1:46.0,A. Burks enters the game for R. O'Neale,,13-18,,
1:46.0,J. Ingles enters the game for D. Mitchell,,13-18,,
1:32.0,J. Crowder misses 2-pt shot from 13 ft,,13-18,,
1:30.0,,,13-18,,Defensive rebound by E. Gordon
1:24.0,,,13-18,,Turnover by E. Gordon (bad pass; steal by A. Burks)
1:14.0,Turnover by J. Crowder (lost ball; steal by L. Mbah a Moute),,13-18,,
1:09.0,,,13-21,3,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by C. Paul)
0:43.0,J. Ingles makes 3-pt shot from 25 ft (assist by R. Neto),3,16-21,,
0:29.0,,,16-21,,G. Green misses 3-pt shot from 22 ft
0:26.0,Defensive rebound by D. Favors,,16-21,,
0:10.0,J. Ingles misses 3-pt shot from 31 ft,,16-21,,
0:06.0,,,16-21,,Defensive rebound by N. Hilario
0:00.0,,,16-21,,G. Green misses 3-pt shot from 26 ft
0:00.0,,,16-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,16-21,,E. Gordon misses 2-pt shot from 5 ft
11:41.0,Defensive rebound by J. Jerebko,,16-21,,
11:21.0,A. Burks misses 2-pt shot from 6 ft,,16-21,,
11:18.0,,,16-21,,Defensive rebound by C. Paul
11:13.0,,,16-21,,C. Paul misses 2-pt shot from 2 ft
11:11.0,Defensive rebound by J. Jerebko,,16-21,,
10:55.0,A. Burks misses 3-pt shot from 23 ft,,16-21,,
10:51.0,Offensive rebound by D. Favors,,16-21,,
10:48.0,R. Neto misses 2-pt shot from 18 ft,,16-21,,
10:44.0,,,16-21,,Defensive rebound by L. Mbah a Moute
10:36.0,,,16-23,2,N. Hilario makes 2-pt shot from 2 ft (assist by C. Paul)
10:19.0,A. Burks misses 2-pt shot from 9 ft,,16-23,,
10:17.0,Offensive rebound by A. Burks,,16-23,,
10:17.0,A. Burks misses 2-pt shot at rim,,16-23,,
10:15.0,Offensive rebound by R. Neto,,16-23,,
10:05.0,D. Favors makes 2-pt shot at rim (assist by J. Ingles),2,18-23,,
9:45.0,,,18-23,,L. Mbah a Moute misses 3-pt shot from 22 ft
9:42.0,Defensive rebound by D. Favors,,18-23,,
9:40.0,A. Burks makes 2-pt shot from 3 ft,2,20-23,,
9:40.0,Shooting foul by G. Green (drawn by A. Burks),,20-23,,
9:40.0,,,20-23,,C. Capela enters the game for G. Green
9:40.0,,,20-23,,P. Tucker enters the game for N. Hilario
9:40.0,A. Burks makes free throw 1 of 1,1,21-23,,
9:25.0,,,21-26,3,E. Gordon makes 3-pt shot from 25 ft (assist by L. Mbah a Moute)
9:05.0,A. Burks makes 2-pt shot from 2 ft (assist by R. Neto),2,23-26,,
8:50.0,,,23-28,2,C. Paul makes 2-pt shot from 13 ft
8:42.0,A. Burks makes 2-pt shot from 22 ft,2,25-28,,
8:39.0,Personal foul by J. Ingles (drawn by C. Paul),,25-28,,
8:24.0,,,25-30,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by E. Gordon)
8:24.0,,,25-30,,Shooting foul by D. Favors (drawn by L. Mbah a Moute)
8:24.0,D. Mitchell enters the game for R. Neto,,25-30,,
8:24.0,,,25-31,1,L. Mbah a Moute makes free throw 1 of 1
8:08.0,R. Gobert enters the game for J. Ingles,,25-31,,
8:08.0,R. O'Neale enters the game for D. Favors,,25-31,,
8:01.0,R. O'Neale makes 2-pt shot at rim (assist by D. Mitchell),2,27-31,,
7:38.0,,,27-34,3,C. Paul makes 3-pt shot from 24 ft
7:26.0,Shooting foul by E. Gordon (drawn by A. Burks),,27-34,,
7:26.0,A. Burks makes free throw 1 of 2,1,28-34,,
7:26.0,,,28-34,,J. Harden enters the game for E. Gordon
7:26.0,A. Burks makes free throw 2 of 2,1,29-34,,
7:11.0,,,29-34,,Turnover by L. Mbah a Moute (lost ball; steal by R. O'Neale)
7:05.0,J. Jerebko makes 3-pt shot from 23 ft (assist by D. Mitchell),3,32-34,,
6:44.0,,,32-36,2,P. Tucker makes 2-pt shot from 10 ft (assist by J. Harden)
6:22.0,R. O'Neale makes 2-pt shot from 3 ft (assist by A. Burks),2,34-36,,
6:01.0,,,34-39,3,P. Tucker makes 3-pt shot from 23 ft (assist by C. Paul)
5:50.0,D. Mitchell misses 3-pt shot from 27 ft,,34-39,,
5:46.0,,,34-39,,Defensive rebound by P. Tucker
5:41.0,,,34-41,2,P. Tucker makes 2-pt shot from 3 ft (assist by C. Paul)
5:41.0,Utah full timeout,,34-41,,
5:41.0,,,34-41,,E. Gordon enters the game for C. Paul
5:41.0,,,34-41,,T. Ariza enters the game for L. Mbah a Moute
5:41.0,J. Ingles enters the game for J. Jerebko,,34-41,,
5:25.0,,,34-41,,Personal foul by T. Ariza (drawn by R. O'Neale)
5:13.0,Shooting foul by P. Tucker (drawn by R. Gobert),,34-41,,
5:13.0,R. Gobert misses free throw 1 of 2,,34-41,,
5:13.0,Offensive rebound by Team,,34-41,,
5:13.0,R. Gobert makes free throw 2 of 2,1,35-41,,
4:59.0,,,35-41,,Turnover by J. Harden (bad pass)
4:48.0,A. Burks misses 2-pt shot from 5 ft,,35-41,,
4:46.0,Offensive rebound by R. Gobert,,35-41,,
4:45.0,R. Gobert misses 2-pt shot from 4 ft (block by P. Tucker),,35-41,,
4:43.0,,,35-41,,Defensive rebound by J. Harden
4:36.0,,,35-43,2,J. Harden makes 2-pt shot from 8 ft (assist by P. Tucker)
4:36.0,Violation by D. Mitchell (def goaltending),,35-43,,
4:22.0,J. Ingles makes 3-pt shot from 26 ft (assist by D. Mitchell),3,38-43,,
3:59.0,,,38-43,,E. Gordon misses 2-pt shot from 17 ft
3:54.0,Defensive rebound by R. O'Neale,,38-43,,
3:44.0,R. Gobert makes 2-pt shot at rim (assist by A. Burks),2,40-43,,
3:25.0,,,40-43,,Turnover by J. Harden (bad pass)
3:25.0,,,40-43,,C. Paul enters the game for P. Tucker
3:05.0,A. Burks makes 3-pt shot from 22 ft (assist by D. Mitchell),3,43-43,,
2:49.0,,,43-43,,J. Harden misses 3-pt shot from 26 ft
2:46.0,Defensive rebound by D. Mitchell,,43-43,,
2:39.0,D. Mitchell misses 2-pt shot from 4 ft (block by C. Capela),,43-43,,
2:37.0,,,43-43,,Defensive rebound by T. Ariza
2:28.0,,,43-43,,C. Paul misses 2-pt shot from 2 ft
2:26.0,Defensive rebound by J. Ingles,,43-43,,
2:19.0,Turnover by R. O'Neale (bad pass; steal by T. Ariza),,43-43,,
2:03.0,,,43-43,,T. Ariza misses 3-pt shot from 23 ft
1:59.0,Defensive rebound by A. Burks,,43-43,,
1:55.0,R. Gobert misses 2-pt shot at rim,,43-43,,
1:53.0,,,43-43,,Defensive rebound by C. Capela
1:50.0,Personal foul by R. Gobert (drawn by C. Paul),,43-43,,
1:50.0,,,43-43,,Houston full timeout
1:50.0,,,43-43,,P. Tucker enters the game for C. Capela
1:44.0,Personal foul by J. Ingles (drawn by C. Paul),,43-43,,
1:44.0,,,43-44,1,C. Paul makes free throw 1 of 2
1:44.0,,,43-45,1,C. Paul makes free throw 2 of 2
1:26.0,J. Ingles misses 3-pt shot from 23 ft,,43-45,,
1:25.0,Offensive rebound by R. Gobert,,43-45,,
1:23.0,,,43-45,,Personal foul by C. Paul (drawn by R. Gobert)
1:23.0,R. Gobert misses free throw 1 of 2,,43-45,,
1:23.0,Offensive rebound by Team,,43-45,,
1:23.0,R. Neto enters the game for J. Ingles,,43-45,,
1:23.0,R. Gobert makes free throw 2 of 2,1,44-45,,
1:01.0,,,44-45,,E. Gordon misses 3-pt shot from 26 ft
1:00.0,,,44-45,,Offensive rebound by T. Ariza
0:57.0,,,44-48,3,C. Paul makes 3-pt shot from 26 ft (assist by T. Ariza)
0:43.0,R. O'Neale misses 3-pt shot from 27 ft,,44-48,,
0:40.0,,,44-48,,Defensive rebound by P. Tucker
0:33.0,,,44-51,3,C. Paul makes 3-pt shot from 26 ft
0:19.0,R. Neto misses 3-pt shot from 26 ft,,44-51,,
0:16.0,Offensive rebound by R. Gobert,,44-51,,
0:16.0,R. Gobert makes 2-pt shot at rim,2,46-51,,
0:01.0,,,46-54,3,P. Tucker makes 3-pt shot from 26 ft (assist by C. Paul)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,46-54,,J. Harden misses 2-pt shot from 3 ft
11:44.0,,,46-54,,Offensive rebound by Team
11:44.0,Loose ball foul by D. Mitchell (drawn by C. Capela),,46-54,,
11:37.0,,,46-54,,J. Harden misses 3-pt shot from 25 ft
11:35.0,Defensive rebound by J. Crowder,,46-54,,
11:24.0,R. Gobert makes 2-pt shot from 3 ft (assist by D. Mitchell),2,48-54,,
11:14.0,Personal foul by D. Mitchell (drawn by C. Paul),,48-54,,
11:02.0,,,48-54,,J. Harden misses 2-pt shot from 8 ft
11:00.0,Defensive rebound by R. Gobert,,48-54,,
10:54.0,R. O'Neale misses 2-pt shot from 4 ft (block by C. Capela),,48-54,,
10:53.0,,,48-54,,Defensive rebound by J. Harden
10:39.0,Personal foul by J. Ingles (drawn by J. Harden),,48-54,,
10:39.0,A. Burks enters the game for J. Ingles,,48-54,,
10:29.0,,,48-54,,J. Harden misses 2-pt shot from 14 ft
10:26.0,Defensive rebound by R. Gobert,,48-54,,
10:25.0,,,48-54,,Personal foul by J. Harden (drawn by A. Burks)
