time,Houston,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Reed vs. C. Capela (R. Anderson gains possession),,,,Jump ball: W. Reed vs. C. Capela (R. Anderson gains possession)
11:37.0,E. Gordon misses 2-pt shot from 2 ft,,0-0,,
11:34.0,Offensive rebound by C. Capela,,0-0,,
11:34.0,C. Capela misses 2-pt shot from 12 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by Team
11:33.0,Turnover by Team (shot clock),,0-0,,
11:23.0,,,0-0,,B. Griffin misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by T. Ariza,,0-0,,
11:09.0,C. Paul makes 2-pt shot from 14 ft,2,2-0,,
10:56.0,,,2-0,,M. Teodosic misses 2-pt shot from 18 ft
10:53.0,Defensive rebound by C. Paul,,2-0,,
10:50.0,T. Ariza makes 2-pt shot from 1 ft (assist by C. Paul),2,4-0,,
10:50.0,Shooting foul by T. Wallace (drawn by T. Ariza),,4-0,,
10:50.0,T. Ariza makes free throw 1 of 1,1,5-0,,
10:31.0,,,5-2,2,B. Griffin makes 2-pt shot from 1 ft (assist by M. Teodosic)
10:26.0,R. Anderson makes 3-pt shot from 26 ft (assist by C. Paul),3,8-2,,
10:14.0,Violation by T. Ariza (kicked ball),,8-2,,
10:04.0,,,8-4,2,W. Reed makes 2-pt shot from 2 ft (assist by M. Teodosic)
9:52.0,C. Paul makes 3-pt shot from 26 ft,3,11-4,,
9:40.0,,,11-7,3,M. Teodosic makes 3-pt shot from 22 ft (assist by L. Williams)
9:23.0,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul),2,13-7,,
9:12.0,,,13-10,3,M. Teodosic makes 3-pt shot from 25 ft (assist by B. Griffin)
8:52.0,C. Capela makes 2-pt shot from 1 ft (assist by E. Gordon),2,15-10,,
8:38.0,,,15-10,,B. Griffin misses 2-pt shot from 4 ft
8:38.0,Defensive rebound by Team,,15-10,,
8:21.0,T. Ariza misses 2-pt shot from 1 ft (block by W. Reed),,15-10,,
8:12.0,Offensive rebound by R. Anderson,,15-10,,
8:12.0,R. Anderson makes 2-pt shot at rim,2,17-10,,
7:59.0,,,17-13,3,L. Williams makes 3-pt shot from 24 ft (assist by B. Griffin)
7:39.0,R. Anderson misses 3-pt shot from 24 ft,,17-13,,
7:36.0,,,17-13,,Defensive rebound by B. Griffin
7:30.0,,,17-13,,Shooting foul by C. Capela (drawn by B. Griffin)
7:30.0,,,17-14,1,B. Griffin makes free throw 1 of 2
7:30.0,L. Mbah a Moute enters the game for C. Paul,,17-14,,
7:30.0,,,17-15,1,B. Griffin makes free throw 2 of 2
7:17.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,17-15,,
7:13.0,Offensive rebound by C. Capela,,17-15,,
7:13.0,C. Capela makes 2-pt shot at rim,2,19-15,,
7:07.0,,,19-15,,L. Williams misses 3-pt shot from 26 ft
7:07.0,Defensive rebound by T. Ariza,,19-15,,
6:57.0,E. Gordon makes 2-pt shot from 2 ft,2,21-15,,
6:46.0,,,21-15,,Turnover by B. Griffin (bad pass)
6:46.0,,,21-15,,LA Clippers full timeout
6:46.0,,,21-15,,J. Evans enters the game for M. Teodosic
6:46.0,P. Tucker enters the game for C. Capela,,21-15,,
6:30.0,E. Gordon makes 2-pt shot at rim (assist by R. Anderson),2,23-15,,
6:26.0,,,23-15,,Turnover by B. Griffin (bad pass; steal by T. Ariza)
6:16.0,P. Tucker misses 2-pt shot from 3 ft (block by W. Reed),,23-15,,
6:13.0,,,23-15,,Defensive rebound by T. Wallace
6:12.0,,,23-15,,T. Wallace misses 2-pt shot from 2 ft
6:12.0,,,23-15,,Offensive rebound by Team
6:12.0,Loose ball foul by P. Tucker (drawn by W. Reed),,23-15,,
6:12.0,,,23-15,,M. Harrell enters the game for W. Reed
5:58.0,,,23-17,2,B. Griffin makes 2-pt shot from 2 ft (assist by L. Williams)
5:43.0,E. Gordon makes 2-pt shot from 1 ft,2,25-17,,
5:30.0,,,25-19,2,L. Williams makes 2-pt shot from 1 ft
5:15.0,Turnover by L. Mbah a Moute (lost ball; steal by T. Wallace),,25-19,,
5:09.0,,,25-21,2,L. Williams makes 2-pt shot from 1 ft (assist by B. Griffin)
4:50.0,,,25-21,,Personal foul by B. Griffin (drawn by E. Gordon)
4:50.0,G. Green enters the game for T. Ariza,,25-21,,
4:43.0,R. Anderson misses 3-pt shot from 26 ft,,25-21,,
4:40.0,,,25-21,,Defensive rebound by L. Williams
4:25.0,,,25-21,,J. Evans misses 2-pt shot from 1 ft
4:23.0,Defensive rebound by P. Tucker,,25-21,,
4:13.0,G. Green misses 2-pt shot from 23 ft (block by M. Harrell),,25-21,,
4:09.0,,,25-21,,Defensive rebound by M. Harrell
4:08.0,,,25-23,2,J. Evans makes 2-pt shot from 1 ft (assist by M. Harrell)
4:08.0,Violation by G. Green (def goaltending),,25-23,,
3:59.0,L. Mbah a Moute misses 2-pt shot from 21 ft,,25-23,,
3:56.0,,,25-23,,Defensive rebound by T. Wallace
3:50.0,,,25-25,2,M. Harrell makes 2-pt shot at rim (assist by L. Williams)
3:39.0,E. Gordon misses 3-pt shot from 28 ft,,25-25,,
3:38.0,Offensive rebound by Team,,25-25,,
3:38.0,,,25-25,,Loose ball foul by J. Evans (drawn by P. Tucker)
3:38.0,,,25-25,,M. Teodosic enters the game for L. Williams
3:38.0,C. Capela enters the game for R. Anderson,,25-25,,
3:35.0,E. Gordon misses 3-pt shot from 27 ft,,25-25,,
3:33.0,,,25-25,,Defensive rebound by B. Griffin
3:29.0,,,25-25,,M. Teodosic misses 3-pt shot from 25 ft
3:25.0,Defensive rebound by G. Green,,25-25,,
3:16.0,G. Green makes 2-pt shot from 2 ft,2,27-25,,
2:56.0,,,27-25,,Turnover by M. Harrell (traveling)
2:56.0,Houston full timeout,,27-25,,
2:56.0,,,27-25,,W. Johnson enters the game for T. Wallace
2:56.0,C. Paul enters the game for E. Gordon,,27-25,,
2:32.0,C. Paul misses 3-pt shot from 26 ft,,27-25,,
2:29.0,Offensive rebound by P. Tucker,,27-25,,
2:27.0,Shooting foul by J. Evans (drawn by G. Green),,27-25,,
2:27.0,G. Green makes free throw 1 of 2,1,28-25,,
2:27.0,G. Green makes free throw 2 of 2,1,29-25,,
2:12.0,,,29-25,,Turnover by M. Harrell (turnover)
2:01.0,G. Green misses 3-pt shot from 25 ft,,29-25,,
1:57.0,,,29-25,,Defensive rebound by M. Teodosic
1:56.0,,,29-25,,Turnover by M. Teodosic (lost ball; steal by P. Tucker)
1:50.0,G. Green misses 3-pt shot from 26 ft,,29-25,,
1:45.0,,,29-25,,Defensive rebound by B. Griffin
1:34.0,,,29-25,,B. Griffin misses 2-pt shot from 1 ft
1:32.0,,,29-25,,Offensive rebound by M. Harrell
1:31.0,,,29-27,2,M. Harrell makes 2-pt shot from 1 ft
1:13.0,,,29-27,,Shooting block foul by B. Griffin (drawn by C. Capela)
1:13.0,C. Capela makes free throw 1 of 2,1,30-27,,
1:13.0,,,30-27,,S. Dekker enters the game for B. Griffin
1:13.0,T. Ariza enters the game for P. Tucker,,30-27,,
1:13.0,C. Capela makes free throw 2 of 2,1,31-27,,
0:52.0,,,31-27,,M. Harrell misses 2-pt shot from 2 ft
0:50.0,Defensive rebound by T. Ariza,,31-27,,
0:30.0,C. Capela misses 2-pt shot from 1 ft (block by W. Johnson),,31-27,,
0:27.0,,,31-27,,Defensive rebound by M. Teodosic
0:25.0,,,31-29,2,M. Harrell makes 2-pt shot from 1 ft (assist by S. Dekker)
0:25.0,,,31-29,,Shooting foul by L. Mbah a Moute (drawn by M. Harrell)
0:25.0,,,31-30,1,M. Harrell makes free throw 1 of 1
0:01.0,Turnover by Team (shot clock),,31-30,,
0:01.0,,,31-30,,Turnover by M. Teodosic (traveling)
0:01.0,,,31-30,,S. Thornwell enters the game for J. Evans
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,Violation by G. Green (kicked ball),,31-30,,
11:46.0,,,31-30,,W. Johnson misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by T. Ariza,,31-30,,
11:30.0,T. Ariza misses 3-pt shot from 24 ft,,31-30,,
11:26.0,Offensive rebound by T. Black,,31-30,,
11:23.0,Shooting foul by M. Harrell (drawn by T. Black),,31-30,,
11:23.0,T. Black misses free throw 1 of 2,,31-30,,
11:23.0,Offensive rebound by Team,,31-30,,
11:23.0,,,31-30,,L. Williams enters the game for M. Teodosic
11:23.0,T. Black makes free throw 2 of 2,1,32-30,,
11:14.0,,,32-30,,J. Evans misses 2-pt shot from 1 ft
11:10.0,Defensive rebound by C. Paul,,32-30,,
11:06.0,T. Black makes 2-pt shot from 1 ft (assist by R. Anderson),2,34-30,,
10:54.0,,,34-30,,M. Harrell misses 2-pt shot from 2 ft
10:52.0,Defensive rebound by G. Green,,34-30,,
10:48.0,G. Green misses 3-pt shot from 23 ft,,34-30,,
10:45.0,Offensive rebound by R. Anderson,,34-30,,
10:42.0,T. Ariza makes 3-pt shot from 24 ft (assist by R. Anderson),3,37-30,,
10:35.0,,,37-32,2,W. Johnson makes 2-pt shot at rim (assist by J. Evans)
10:19.0,Shooting foul by M. Harrell (drawn by T. Ariza),,37-32,,
10:19.0,T. Ariza makes free throw 1 of 2,1,38-32,,
10:19.0,T. Ariza makes free throw 2 of 2,1,39-32,,
10:09.0,Personal foul by G. Green (drawn by L. Williams),,39-32,,
10:02.0,,,39-32,,Turnover by L. Williams (lost ball; steal by T. Ariza)
9:58.0,G. Green makes 2-pt shot from 1 ft (assist by C. Paul),2,41-32,,
9:40.0,,,41-34,2,S. Dekker makes 2-pt shot from 1 ft (assist by J. Evans)
9:17.0,C. Paul misses 3-pt shot from 26 ft,,41-34,,
9:13.0,,,41-34,,Defensive rebound by W. Johnson
9:07.0,,,41-34,,J. Evans misses 2-pt shot from 1 ft
9:07.0,Defensive rebound by Team,,41-34,,
9:07.0,,,41-34,,B. Griffin enters the game for M. Harrell
9:01.0,T. Ariza makes 3-pt shot from 26 ft,3,44-34,,
8:53.0,Personal foul by T. Black (drawn by L. Williams),,44-34,,
8:53.0,E. Gordon enters the game for C. Paul,,44-34,,
8:45.0,,,44-34,,Turnover by J. Evans (bad pass)
8:32.0,Turnover by T. Black (traveling),,44-34,,
8:32.0,,,44-34,,M. Teodosic enters the game for J. Evans
8:32.0,,,44-34,,T. Wallace enters the game for S. Dekker
