time,LA Lakers,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. J. Randle (T. Gibson gains possession),,,,Jump ball: K. Towns vs. J. Randle (T. Gibson gains possession)
11:46.0,,,0-0,,K. Towns misses 2-pt shot from 1 ft
11:42.0,Defensive rebound by J. Hart,,0-0,,
11:29.0,K. Kuzma misses 3-pt shot from 24 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by K. Towns
11:13.0,,,0-0,,Shooting foul by B. Ingram (drawn by T. Gibson)
11:13.0,,,0-2,1,T. Gibson makes free throw 1 of 2
11:13.0,,,0-2,1,T. Gibson makes free throw 2 of 2
10:57.0,B. Ingram misses 2-pt shot from 2 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by K. Towns
10:45.0,,,0-4,2,A. Wiggins makes 2-pt shot from 19 ft
10:36.0,Offensive charge foul by J. Randle (drawn by K. Towns),,0-4,,
10:36.0,Turnover by J. Randle (offensive foul),,0-4,,
10:22.0,,,0-7,3,K. Towns makes 3-pt shot from 25 ft (assist by J. Butler)
10:03.0,K. Kuzma misses 2-pt shot from 1 ft,,0-7,,
10:03.0,,,0-7,,Defensive rebound by A. Wiggins
9:58.0,,,0-9,2,J. Butler makes 2-pt shot at rim (assist by A. Wiggins)
9:54.0,LA Lakers full timeout,,0-9,,
9:39.0,B. Ingram misses 2-pt shot from 21 ft,,0-9,,
9:36.0,,,0-9,,Defensive rebound by T. Gibson
9:25.0,,,0-11,2,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Butler)
9:25.0,,,0-11,,Shooting foul by J. Hart (drawn by A. Wiggins)
9:25.0,,,0-12,1,A. Wiggins makes free throw 1 of 1
9:09.0,Turnover by B. Ingram (lost ball; steal by J. Butler),,0-12,,
9:03.0,,,0-12,,J. Butler misses 2-pt shot from 8 ft
9:03.0,,,0-12,,Offensive rebound by A. Wiggins
9:03.0,,,0-12,,Shooting foul by B. Ingram (drawn by A. Wiggins)
9:03.0,,,0-13,1,A. Wiggins makes free throw 1 of 2
9:03.0,,,0-14,1,A. Wiggins makes free throw 2 of 2
8:51.0,Turnover by J. Randle (lost ball; steal by T. Jones),,0-14,,
8:30.0,,,0-14,,K. Towns misses 2-pt shot from 3 ft
8:27.0,,,0-14,,Offensive rebound by J. Butler
8:24.0,,,0-14,,T. Gibson misses 2-pt shot from 12 ft
8:24.0,,,0-14,,Offensive rebound by Team
8:24.0,C. Brewer enters the game for B. Ingram,,0-14,,
8:24.0,A. Caruso enters the game for K. Kuzma,,0-14,,
8:24.0,J. Clarkson enters the game for J. Randle,,0-14,,
8:24.0,L. Nance enters the game for J. Hart,,0-14,,
8:24.0,A. Bogut enters the game for T. Ennis,,0-14,,
8:14.0,,,0-16,2,A. Wiggins makes 2-pt shot from 16 ft (assist by T. Jones)
8:00.0,,,0-16,,Personal foul by T. Jones (drawn by A. Caruso)
7:52.0,J. Clarkson misses 2-pt shot from 18 ft,,0-16,,
7:49.0,Offensive rebound by A. Bogut,,0-16,,
7:46.0,J. Clarkson makes 3-pt shot from 26 ft (assist by A. Bogut),3,3-16,,
7:33.0,,,3-16,,Offensive charge foul by K. Towns (drawn by L. Nance)
7:33.0,,,3-16,,Turnover by K. Towns (offensive foul)
7:24.0,J. Clarkson misses 3-pt shot from 25 ft,,3-16,,
7:20.0,,,3-16,,Defensive rebound by A. Wiggins
7:11.0,,,3-18,2,J. Butler makes 2-pt shot from 6 ft
6:51.0,J. Clarkson misses 2-pt shot from 6 ft,,3-18,,
6:49.0,,,3-18,,Defensive rebound by K. Towns
