time,Miami,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. H. Whiteside (K. Walker gains possession),,,,Jump ball: D. Howard vs. H. Whiteside (K. Walker gains possession)
11:45.0,,,0-2,2,K. Walker makes 2-pt shot from 1 ft
11:25.0,H. Whiteside misses 2-pt shot from 1 ft,,0-2,,
11:19.0,Offensive rebound by H. Whiteside,,0-2,,
11:19.0,H. Whiteside makes 2-pt shot at rim,2,2-2,,
11:12.0,,,2-2,,N. Batum misses 2-pt shot from 17 ft
11:08.0,Defensive rebound by H. Whiteside,,2-2,,
11:01.0,H. Whiteside misses 2-pt shot from 21 ft,,2-2,,
10:58.0,,,2-2,,Defensive rebound by K. Walker
10:50.0,,,2-2,,K. Walker misses 2-pt shot from 2 ft
10:47.0,Defensive rebound by H. Whiteside,,2-2,,
10:36.0,W. Ellington misses 2-pt shot from 8 ft,,2-2,,
10:32.0,,,2-2,,Defensive rebound by D. Howard
10:18.0,,,2-2,,Shooting foul by D. Jones (drawn by K. Walker)
10:18.0,,,2-2,,K. Walker misses free throw 1 of 2
10:18.0,,,2-2,,Offensive rebound by Team
10:18.0,,,2-3,1,K. Walker makes free throw 2 of 2
10:02.0,J. Johnson makes 2-pt shot from 1 ft (assist by W. Ellington),2,4-3,,
9:50.0,,,4-3,,M. Williams misses 3-pt shot from 23 ft
9:50.0,Defensive rebound by D. Jones,,4-3,,
9:46.0,J. Richardson makes 3-pt shot from 27 ft (assist by W. Ellington),3,7-3,,
9:32.0,,,7-5,2,M. Kidd-Gilchrist makes 2-pt shot from 14 ft (assist by K. Walker)
9:15.0,J. Richardson misses 2-pt shot from 14 ft,,7-5,,
9:15.0,,,7-5,,Defensive rebound by M. Williams
8:54.0,,,7-5,,M. Williams misses 3-pt shot from 25 ft
8:51.0,Defensive rebound by H. Whiteside,,7-5,,
8:39.0,W. Ellington makes 2-pt shot from 22 ft (assist by H. Whiteside),2,9-5,,
8:20.0,,,9-5,,D. Howard misses 2-pt shot from 1 ft
