time,Denver,pts.away,score,pts.home,Toronto
6:55.0,,,9-8,,O. Anunoby misses 3-pt shot from 23 ft
6:54.0,Defensive rebound by Team,,9-8,,
6:54.0,,,9-8,,Toronto full timeout
6:33.0,P. Millsap makes 2-pt shot from 17 ft,2,11-8,,
6:10.0,,,11-11,3,O. Anunoby makes 3-pt shot from 23 ft (assist by D. DeRozan)
5:50.0,J. Murray misses 3-pt shot from 25 ft,,11-11,,
5:48.0,,,11-11,,Defensive rebound by J. Valanciunas
5:36.0,,,11-13,2,O. Anunoby makes 2-pt shot from 2 ft (assist by K. Lowry)
5:18.0,W. Barton misses 3-pt shot from 25 ft,,11-13,,
5:16.0,Offensive rebound by N. Jokic,,11-13,,
5:12.0,W. Barton makes 2-pt shot from 6 ft (assist by N. Jokic),2,13-13,,
5:04.0,,,13-13,,Turnover by D. DeRozan (bad pass; steal by W. Chandler)
5:03.0,,,13-13,,Personal foul by O. Anunoby (drawn by J. Murray)
5:03.0,M. Plumlee enters the game for N. Jokic,,13-13,,
5:03.0,D. Harris enters the game for J. Murray,,13-13,,
4:50.0,W. Barton misses 2-pt shot from 16 ft,,13-13,,
4:48.0,,,13-13,,Defensive rebound by S. Ibaka
4:44.0,,,13-16,3,K. Lowry makes 3-pt shot from 25 ft
4:27.0,P. Millsap makes 2-pt shot from 6 ft,2,15-16,,
4:07.0,,,15-16,,Turnover by K. Lowry (bad pass; steal by W. Barton)
4:02.0,Turnover by D. Harris (bad pass; steal by D. DeRozan),,15-16,,
3:56.0,,,15-18,2,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry)
3:34.0,P. Millsap makes 2-pt shot from 11 ft,2,17-18,,
3:29.0,Personal foul by W. Barton (drawn by K. Lowry),,17-18,,
3:29.0,,,17-18,,J. Poeltl enters the game for O. Anunoby
3:29.0,,,17-18,,C. Miles enters the game for J. Valanciunas
3:21.0,,,17-20,2,D. DeRozan makes 2-pt shot from 2 ft
3:07.0,D. Harris misses 3-pt shot from 25 ft,,17-20,,
3:04.0,Offensive rebound by P. Millsap,,17-20,,
3:00.0,P. Millsap misses 2-pt shot from 4 ft (block by S. Ibaka),,17-20,,
3:00.0,Offensive rebound by Team,,17-20,,
2:58.0,Turnover by W. Barton (traveling),,17-20,,
2:58.0,Denver full timeout,,17-20,,
2:58.0,,,17-20,,P. Siakam enters the game for S. Ibaka
2:58.0,J. Murray enters the game for P. Millsap,,17-20,,
2:58.0,N. Jokic enters the game for W. Barton,,17-20,,
2:48.0,,,17-20,,Turnover by J. Poeltl (bad pass; steal by N. Jokic)
2:44.0,D. Harris misses 3-pt shot from 24 ft,,17-20,,
2:40.0,,,17-20,,Defensive rebound by J. Poeltl
2:30.0,,,17-20,,Toronto full timeout
2:23.0,,,17-20,,D. DeRozan misses 2-pt shot from 2 ft
2:18.0,,,17-20,,Offensive rebound by J. Poeltl
2:18.0,,,17-20,,J. Poeltl misses 2-pt shot at rim (block by N. Jokic)
2:17.0,Defensive rebound by N. Jokic,,17-20,,
2:17.0,,,17-20,,Personal foul by J. Poeltl (drawn by N. Jokic)
2:17.0,,,17-20,,F. VanVleet enters the game for K. Lowry
2:04.0,Shooting foul by C. Miles (drawn by D. Harris),,17-20,,
2:04.0,D. Harris makes free throw 1 of 2,1,18-20,,
2:04.0,T. Craig enters the game for W. Chandler,,18-20,,
2:04.0,D. Harris makes free throw 2 of 2,1,19-20,,
1:52.0,,,19-22,2,D. DeRozan makes 2-pt shot from 15 ft
1:34.0,D. Harris misses 2-pt shot from 8 ft,,19-22,,
1:34.0,Offensive rebound by Team,,19-22,,
1:34.0,,,19-22,,Loose ball foul by P. Siakam (drawn by M. Plumlee)
1:34.0,M. Plumlee makes free throw 1 of 2,1,20-22,,
1:34.0,M. Plumlee makes free throw 2 of 2,1,21-22,,
1:25.0,,,21-22,,P. Siakam misses 3-pt shot from 24 ft
1:22.0,Defensive rebound by D. Harris,,21-22,,
1:02.0,N. Jokic misses 2-pt shot from 5 ft,,21-22,,
0:59.0,,,21-22,,Defensive rebound by J. Poeltl
0:54.0,,,21-22,,C. Miles misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by N. Jokic,,21-22,,
0:49.0,,,21-22,,D. Wright enters the game for D. DeRozan
0:28.0,J. Murray misses 2-pt shot from 8 ft,,21-22,,
0:28.0,Offensive rebound by Team,,21-22,,
0:28.0,Turnover by Team (shot clock),,21-22,,
0:07.0,,,21-22,,C. Miles misses 2-pt shot from 16 ft (block by T. Craig)
0:04.0,Defensive rebound by N. Jokic,,21-22,,
0:01.0,,,21-22,,Personal foul by C. Miles (drawn by D. Harris)
0:01.0,D. Harris makes free throw 1 of 2,1,22-22,,
0:01.0,D. Harris makes free throw 2 of 2,1,23-22,,
0:00.0,,,23-25,3,D. Wright makes 3-pt shot from 47 ft (assist by F. VanVleet)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,N. Jokic makes 2-pt shot from 15 ft (assist by D. Harris),2,25-25,,
11:28.0,,,25-25,,C. Miles misses 3-pt shot from 24 ft
11:25.0,Defensive rebound by T. Lyles,,25-25,,
11:19.0,Shooting foul by J. Poeltl (drawn by D. Harris),,25-25,,
11:19.0,D. Harris misses free throw 1 of 2,,25-25,,
11:19.0,Offensive rebound by Team,,25-25,,
11:19.0,D. Harris makes free throw 2 of 2,1,26-25,,
11:07.0,,,26-27,2,P. Siakam makes 2-pt shot from 2 ft (assist by D. Wright)
11:07.0,,,26-27,,Shooting foul by T. Lyles (drawn by P. Siakam)
11:07.0,,,26-28,1,P. Siakam makes free throw 1 of 1
10:53.0,N. Jokic makes 2-pt shot from 16 ft,2,28-28,,
10:40.0,,,28-31,3,F. VanVleet makes 3-pt shot from 24 ft (assist by P. Siakam)
10:21.0,N. Jokic makes 3-pt shot from 25 ft (assist by T. Craig),3,31-31,,
10:06.0,,,31-34,3,F. VanVleet makes 3-pt shot from 22 ft (assist by P. Siakam)
9:49.0,Offensive charge foul by N. Jokic (drawn by F. VanVleet),,31-34,,
9:49.0,Turnover by N. Jokic (offensive foul),,31-34,,
9:34.0,,,31-34,,C. Miles misses 3-pt shot from 24 ft
9:31.0,Defensive rebound by N. Jokic,,31-34,,
9:20.0,J. Murray makes 2-pt shot from 2 ft (assist by D. Harris),2,33-34,,
9:20.0,Shooting foul by J. Poeltl (drawn by J. Murray),,33-34,,
9:20.0,J. Murray makes free throw 1 of 1,1,34-34,,
9:10.0,,,34-36,2,C. Miles makes 2-pt shot from 1 ft (assist by P. Siakam)
8:56.0,,,34-36,,Personal block foul by J. Poeltl (drawn by N. Jokic)
8:56.0,,,34-36,,L. Nogueira enters the game for J. Poeltl
8:51.0,N. Jokic misses 3-pt shot from 25 ft,,34-36,,
8:49.0,,,34-36,,Defensive rebound by P. Siakam
8:32.0,,,34-36,,P. Siakam misses 2-pt shot from 6 ft
8:30.0,,,34-36,,Offensive rebound by D. Wright
8:24.0,,,34-36,,C. Miles misses 2-pt shot from 3 ft (block by T. Lyles)
8:21.0,Defensive rebound by T. Lyles,,34-36,,
8:05.0,T. Lyles makes 2-pt shot at rim,2,36-36,,
7:54.0,,,36-36,,Toronto full timeout
7:54.0,,,36-36,,K. Lowry enters the game for C. Miles
7:54.0,M. Plumlee enters the game for N. Jokic,,36-36,,
7:54.0,W. Barton enters the game for J. Murray,,36-36,,
7:38.0,,,36-36,,D. Wright misses 2-pt shot from 2 ft
7:35.0,Defensive rebound by T. Lyles,,36-36,,
7:28.0,T. Craig makes 3-pt shot from 24 ft (assist by T. Lyles),3,39-36,,
7:05.0,Personal foul by D. Harris (drawn by L. Nogueira),,39-36,,
7:05.0,,,39-36,,D. DeRozan enters the game for D. Wright
6:53.0,,,39-36,,D. DeRozan misses 2-pt shot from 9 ft
6:51.0,Defensive rebound by T. Craig,,39-36,,
6:47.0,M. Plumlee makes 2-pt shot at rim (assist by W. Barton),2,41-36,,
6:28.0,,,41-36,,D. DeRozan misses 3-pt shot from 22 ft
6:25.0,Defensive rebound by T. Lyles,,41-36,,
6:20.0,T. Lyles makes 3-pt shot from 24 ft (assist by W. Barton),3,44-36,,
6:02.0,,,44-38,2,P. Siakam makes 2-pt shot from 1 ft (assist by D. DeRozan)
6:02.0,,,44-38,,Shooting foul by T. Lyles (drawn by P. Siakam)
6:02.0,,,44-38,,J. Valanciunas enters the game for L. Nogueira
6:02.0,W. Chandler enters the game for T. Craig,,44-38,,
6:02.0,,,44-39,1,P. Siakam makes free throw 1 of 1
5:48.0,T. Lyles makes 3-pt shot from 25 ft (assist by M. Plumlee),3,47-39,,
5:28.0,,,47-41,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry)
5:17.0,W. Barton misses 2-pt shot from 1 ft (block by J. Valanciunas),,47-41,,
5:15.0,,,47-41,,Defensive rebound by J. Valanciunas
5:15.0,Personal foul by D. Harris (drawn by K. Lowry),,47-41,,
5:15.0,,,47-41,,S. Ibaka enters the game for P. Siakam
5:15.0,J. Murray enters the game for T. Lyles,,47-41,,
5:15.0,N. Jokic enters the game for M. Plumlee,,47-41,,
5:15.0,P. Millsap enters the game for D. Harris,,47-41,,
4:56.0,,,47-43,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by S. Ibaka)
4:45.0,W. Barton makes 3-pt shot from 25 ft (assist by N. Jokic),3,50-43,,
4:23.0,,,50-45,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. DeRozan)
4:09.0,N. Jokic makes 2-pt shot from 6 ft,2,52-45,,
3:42.0,,,52-45,,K. Lowry misses 2-pt shot from 8 ft
3:37.0,,,52-45,,Offensive rebound by S. Ibaka
3:37.0,,,52-47,2,S. Ibaka makes 2-pt shot at rim
3:24.0,N. Jokic makes 2-pt shot from 13 ft,2,54-47,,
3:05.0,,,54-47,,S. Ibaka misses 3-pt shot from 29 ft
3:05.0,,,54-47,,Offensive rebound by Team
3:05.0,Loose ball foul by P. Millsap (drawn by J. Valanciunas),,54-47,,
3:05.0,,,54-48,1,J. Valanciunas makes free throw 1 of 2
3:05.0,,,54-48,,N. Powell enters the game for F. VanVleet
3:05.0,,,54-49,1,J. Valanciunas makes free throw 2 of 2
2:50.0,W. Barton misses 2-pt shot from 5 ft (block by K. Lowry),,54-49,,
2:47.0,,,54-49,,Defensive rebound by D. DeRozan
2:46.0,,,54-51,2,D. DeRozan makes 2-pt shot from 1 ft
2:38.0,W. Barton misses 3-pt shot from 24 ft,,54-51,,
2:36.0,,,54-51,,Defensive rebound by Team
2:36.0,Denver full timeout,,54-51,,
2:11.0,,,54-54,3,N. Powell makes 3-pt shot from 24 ft (assist by D. DeRozan)
1:50.0,N. Jokic misses 2-pt shot from 4 ft (block by J. Valanciunas),,54-54,,
1:47.0,Offensive rebound by N. Jokic,,54-54,,
1:45.0,N. Jokic makes 2-pt shot from 3 ft,2,56-54,,
1:26.0,,,56-56,2,S. Ibaka makes 2-pt shot from 3 ft
1:09.0,W. Barton misses 3-pt shot from 22 ft,,56-56,,
1:06.0,,,56-56,,Defensive rebound by K. Lowry
1:00.0,,,56-56,,N. Powell misses 3-pt shot from 22 ft
0:58.0,,,56-56,,Offensive rebound by S. Ibaka
0:57.0,,,56-58,2,S. Ibaka makes 2-pt shot from 6 ft
0:36.0,P. Millsap makes 2-pt shot from 10 ft,2,58-58,,
0:30.0,,,58-58,,K. Lowry misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by J. Murray,,58-58,,
0:08.0,N. Jokic misses 2-pt shot from 3 ft,,58-58,,
0:06.0,,,58-58,,Defensive rebound by J. Valanciunas
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,W. Barton misses 3-pt shot from 26 ft,,58-58,,
11:40.0,,,58-58,,Defensive rebound by K. Lowry
11:33.0,,,58-58,,J. Valanciunas misses 3-pt shot from 25 ft
11:31.0,Defensive rebound by Team,,58-58,,
11:17.0,W. Chandler makes 2-pt shot at rim,2,60-58,,
10:58.0,,,60-58,,S. Ibaka misses 2-pt shot from 14 ft
10:58.0,Defensive rebound by N. Jokic,,60-58,,
10:45.0,P. Millsap makes 2-pt shot from 4 ft (assist by N. Jokic),2,62-58,,
10:33.0,,,62-60,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry)
10:18.0,W. Chandler makes 2-pt shot from 10 ft,2,64-60,,
10:06.0,Personal foul by W. Chandler (drawn by J. Valanciunas),,64-60,,
9:51.0,,,64-60,,J. Valanciunas misses 2-pt shot from 2 ft
9:48.0,Defensive rebound by P. Millsap,,64-60,,
9:42.0,W. Chandler misses 2-pt shot from 3 ft (block by K. Lowry),,64-60,,
9:39.0,,,64-60,,Defensive rebound by J. Valanciunas
9:37.0,Personal foul by N. Jokic (drawn by K. Lowry),,64-60,,
9:30.0,,,64-60,,D. DeRozan misses 2-pt shot from 21 ft
9:28.0,Defensive rebound by P. Millsap,,64-60,,
9:19.0,P. Millsap makes 2-pt shot from 7 ft (assist by N. Jokic),2,66-60,,
8:50.0,,,66-62,2,O. Anunoby makes 2-pt shot at rim (assist by S. Ibaka)
8:39.0,J. Murray misses 3-pt shot from 26 ft,,66-62,,
8:36.0,,,66-62,,Defensive rebound by J. Valanciunas
8:28.0,,,66-62,,Turnover by D. DeRozan (bad pass; steal by N. Jokic)
8:12.0,P. Millsap misses 2-pt shot from 8 ft (block by J. Valanciunas),,66-62,,
8:09.0,,,66-62,,Defensive rebound by S. Ibaka
8:05.0,,,66-62,,S. Ibaka misses 3-pt shot from 24 ft
8:00.0,Defensive rebound by W. Barton,,66-62,,
7:59.0,,,66-62,,Personal foul by D. DeRozan (drawn by W. Barton)
7:50.0,J. Murray misses 2-pt shot from 7 ft (block by S. Ibaka),,66-62,,
7:47.0,,,66-62,,Defensive rebound by O. Anunoby
7:43.0,,,66-64,2,K. Lowry makes 2-pt shot from 1 ft (assist by O. Anunoby)
7:23.0,W. Chandler misses 2-pt shot from 10 ft,,66-64,,
7:21.0,Offensive rebound by W. Chandler,,66-64,,
7:19.0,W. Chandler misses 2-pt shot from 3 ft (block by S. Ibaka),,66-64,,
7:19.0,,,66-64,,Defensive rebound by K. Lowry
7:15.0,,,66-64,,O. Anunoby misses 2-pt shot from 1 ft (block by P. Millsap)
7:15.0,,,66-64,,Offensive rebound by Team
6:59.0,,,66-64,,K. Lowry misses 2-pt shot from 2 ft
6:55.0,,,66-64,,Offensive rebound by O. Anunoby
6:53.0,,,66-64,,K. Lowry misses 3-pt shot from 22 ft
6:49.0,Defensive rebound by W. Chandler,,66-64,,
6:45.0,N. Jokic misses 2-pt shot from 2 ft,,66-64,,
6:44.0,,,66-64,,Defensive rebound by Team
6:44.0,,,66-64,,Toronto full timeout
6:28.0,,,66-64,,Turnover by J. Valanciunas (traveling)
6:13.0,J. Murray misses 2-pt shot from 3 ft (block by J. Valanciunas),,66-64,,
6:10.0,Offensive rebound by N. Jokic,,66-64,,
6:08.0,P. Millsap makes 3-pt shot from 22 ft (assist by W. Chandler),3,69-64,,
6:08.0,Shooting foul by J. Valanciunas (drawn by P. Millsap),,69-64,,
6:08.0,P. Millsap makes free throw 1 of 1,1,70-64,,
5:49.0,,,70-64,,K. Lowry misses 2-pt shot from 1 ft
5:48.0,,,70-64,,Offensive rebound by J. Valanciunas
5:48.0,,,70-66,2,J. Valanciunas makes 2-pt shot at rim
5:32.0,P. Millsap makes 2-pt shot from 1 ft,2,72-66,,
5:16.0,,,72-69,3,D. DeRozan makes 3-pt shot from 25 ft (assist by K. Lowry)
4:57.0,P. Millsap makes 2-pt shot from 12 ft,2,74-69,,
4:46.0,,,74-71,2,S. Ibaka makes 2-pt shot from 17 ft (assist by K. Lowry)
4:25.0,N. Jokic makes 3-pt shot from 25 ft (assist by W. Chandler),3,77-71,,
4:05.0,Personal block foul by P. Millsap (drawn by D. DeRozan),,77-71,,
4:05.0,,,77-71,,L. Nogueira enters the game for J. Valanciunas
4:05.0,D. Harris enters the game for N. Jokic,,77-71,,
4:05.0,M. Plumlee enters the game for J. Murray,,77-71,,
4:05.0,,,77-71,,C. Miles enters the game for O. Anunoby
3:55.0,,,77-74,3,S. Ibaka makes 3-pt shot from 22 ft (assist by C. Miles)
3:33.0,P. Millsap misses 2-pt shot from 15 ft,,77-74,,
3:31.0,,,77-74,,Defensive rebound by K. Lowry
3:27.0,,,77-76,2,S. Ibaka makes 2-pt shot from 1 ft (assist by K. Lowry)
3:27.0,Denver full timeout,,77-76,,
3:13.0,Turnover by W. Barton (traveling),,77-76,,
3:02.0,,,77-78,2,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry)
2:50.0,J. Murray enters the game for P. Millsap,,77-78,,
2:50.0,N. Jokic enters the game for W. Barton,,77-78,,
2:41.0,N. Jokic misses 3-pt shot from 25 ft,,77-78,,
2:39.0,,,77-78,,Defensive rebound by L. Nogueira
2:29.0,,,77-78,,K. Lowry misses 3-pt shot from 24 ft
2:26.0,Defensive rebound by N. Jokic,,77-78,,
2:18.0,D. Harris misses 2-pt shot from 7 ft (block by L. Nogueira),,77-78,,
2:18.0,Offensive rebound by M. Plumlee,,77-78,,
2:18.0,M. Plumlee misses 2-pt shot at rim,,77-78,,
2:18.0,Offensive rebound by Team,,77-78,,
2:18.0,,,77-78,,Loose ball foul by S. Ibaka (drawn by M. Plumlee)
2:18.0,T. Craig enters the game for W. Chandler,,77-78,,
2:13.0,J. Murray makes 2-pt shot from 10 ft (assist by M. Plumlee),2,79-78,,
1:51.0,,,79-80,2,D. DeRozan makes 2-pt shot from 18 ft
1:38.0,J. Murray misses 2-pt shot from 5 ft (block by L. Nogueira),,79-80,,
1:38.0,,,79-80,,Defensive rebound by C. Miles
1:33.0,,,79-80,,C. Miles misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by M. Plumlee,,79-80,,
1:24.0,,,79-80,,F. VanVleet enters the game for K. Lowry
1:24.0,,,79-80,,P. Siakam enters the game for S. Ibaka
1:18.0,Turnover by J. Murray (bad pass; steal by F. VanVleet),,79-80,,
1:15.0,,,79-82,2,P. Siakam makes 2-pt shot from 1 ft (assist by D. DeRozan)
1:15.0,Denver full timeout,,79-82,,
1:06.0,,,79-82,,Personal foul by P. Siakam (drawn by N. Jokic)
1:00.0,,,79-82,,Personal foul by P. Siakam (drawn by N. Jokic)
1:00.0,N. Jokic makes free throw 1 of 2,1,80-82,,
1:00.0,N. Jokic makes free throw 2 of 2,1,81-82,,
0:48.0,,,81-82,,C. Miles misses 3-pt shot from 25 ft
0:45.0,Defensive rebound by D. Harris,,81-82,,
0:38.0,M. Plumlee makes 2-pt shot from 1 ft (assist by N. Jokic),2,83-82,,
0:32.0,,,83-82,,D. DeRozan misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by Team,,83-82,,
0:26.0,M. Plumlee misses 2-pt shot from 2 ft (block by L. Nogueira),,83-82,,
0:23.0,Offensive rebound by J. Murray,,83-82,,
0:10.0,D. Harris makes 2-pt shot from 13 ft,2,85-82,,
0:06.0,Personal foul by T. Craig (drawn by D. DeRozan),,85-82,,
0:06.0,W. Chandler enters the game for N. Jokic,,85-82,,
0:00.0,,,85-82,,L. Nogueira misses 3-pt shot from 30 ft
0:00.0,,,85-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,85-82,,D. Wright misses 2-pt shot from 2 ft
11:43.0,Defensive rebound by T. Lyles,,85-82,,
11:27.0,N. Jokic makes 2-pt shot from 10 ft (assist by D. Harris),2,87-82,,
11:17.0,,,87-82,,J. Poeltl misses 2-pt shot from 2 ft
11:15.0,Defensive rebound by N. Jokic,,87-82,,
11:05.0,T. Lyles makes 3-pt shot from 23 ft (assist by N. Jokic),3,90-82,,
10:42.0,,,90-84,2,F. VanVleet makes 2-pt shot from 6 ft
10:28.0,N. Jokic misses 3-pt shot from 25 ft,,90-84,,
10:26.0,,,90-84,,Defensive rebound by F. VanVleet
10:18.0,,,90-86,2,J. Poeltl makes 2-pt shot from 2 ft (assist by C. Miles)
9:51.0,Turnover by Team (shot clock),,90-86,,
9:33.0,,,90-88,2,P. Siakam makes 2-pt shot at rim
9:15.0,Turnover by D. Harris (bad pass; steal by D. Wright),,90-88,,
9:12.0,,,90-88,,P. Siakam misses 2-pt shot from 2 ft (block by T. Lyles)
9:07.0,Defensive rebound by T. Craig,,90-88,,
9:06.0,N. Jokic makes 2-pt shot from 6 ft (assist by J. Murray),2,92-88,,
8:41.0,,,92-88,,C. Miles misses 2-pt shot from 7 ft
8:38.0,,,92-88,,Offensive rebound by Team
8:30.0,,,92-91,3,C. Miles makes 3-pt shot from 23 ft (assist by P. Siakam)
8:17.0,,,92-91,,Personal block foul by P. Siakam (drawn by T. Lyles)
8:10.0,J. Murray misses 2-pt shot from 9 ft,,92-91,,
8:07.0,Offensive rebound by N. Jokic,,92-91,,
8:06.0,T. Lyles misses 3-pt shot from 23 ft,,92-91,,
8:06.0,,,92-91,,Defensive rebound by Team
7:42.0,,,92-93,2,P. Siakam makes 2-pt shot from 2 ft (assist by F. VanVleet)
7:17.0,J. Murray misses 3-pt shot from 24 ft,,92-93,,
7:14.0,,,92-93,,Defensive rebound by J. Poeltl
6:54.0,,,92-95,2,F. VanVleet makes 2-pt shot at rim
6:53.0,Denver full timeout,,92-95,,
6:53.0,W. Chandler enters the game for T. Craig,,92-95,,
6:53.0,P. Millsap enters the game for J. Murray,,92-95,,
6:53.0,W. Barton enters the game for N. Jokic,,92-95,,
6:35.0,Turnover by T. Lyles (bad pass; steal by D. Wright),,92-95,,
6:20.0,,,92-97,2,J. Poeltl makes 2-pt shot from 1 ft (assist by P. Siakam)
5:56.0,T. Lyles makes 2-pt shot from 11 ft (assist by D. Harris),2,94-97,,
5:34.0,,,94-97,,C. Miles misses 3-pt shot from 22 ft
5:32.0,,,94-97,,Offensive rebound by J. Poeltl
5:28.0,,,94-100,3,D. Wright makes 3-pt shot from 24 ft (assist by F. VanVleet)
5:14.0,W. Barton makes 2-pt shot from 4 ft,2,96-100,,
5:07.0,,,96-103,3,F. VanVleet makes 3-pt shot from 24 ft (assist by D. Wright)
5:07.0,,,96-103,,Shooting foul by D. Harris (drawn by F. VanVleet)
5:07.0,J. Murray enters the game for T. Lyles,,96-103,,
5:07.0,N. Jokic enters the game for D. Harris,,96-103,,
5:07.0,,,96-103,,K. Lowry enters the game for C. Miles
5:07.0,,,96-103,,F. VanVleet misses free throw 1 of 1
5:07.0,Defensive rebound by W. Chandler,,96-103,,
4:49.0,Turnover by J. Murray (bad pass),,96-103,,
4:37.0,,,96-103,,Turnover by D. Wright (out of bounds lost ball)
4:14.0,W. Chandler misses 2-pt shot from 12 ft (block by J. Poeltl),,96-103,,
4:12.0,,,96-103,,Defensive rebound by J. Poeltl
4:04.0,,,96-103,,P. Siakam misses 3-pt shot from 22 ft
4:03.0,,,96-103,,Offensive rebound by J. Poeltl
4:03.0,,,96-105,2,J. Poeltl makes 2-pt shot at rim
3:32.0,J. Murray makes 3-pt shot from 36 ft (assist by N. Jokic),3,99-105,,
3:14.0,,,99-107,2,J. Poeltl makes 2-pt shot from 1 ft (assist by F. VanVleet)
2:59.0,,,99-107,,Personal foul by P. Siakam (drawn by P. Millsap)
2:59.0,,,99-107,,Toronto full timeout
2:52.0,N. Jokic misses 2-pt shot from 12 ft,,99-107,,
2:50.0,,,99-107,,Defensive rebound by P. Siakam
2:33.0,,,99-107,,F. VanVleet misses 3-pt shot from 22 ft
2:29.0,Defensive rebound by J. Murray,,99-107,,
2:20.0,J. Murray makes 2-pt shot from 14 ft,2,101-107,,
1:57.0,,,101-109,2,J. Poeltl makes 2-pt shot from 12 ft (assist by P. Siakam)
1:44.0,Offensive charge foul by W. Barton (drawn by D. Wright),,101-109,,
1:44.0,Turnover by W. Barton (offensive foul),,101-109,,
1:30.0,,,101-109,,Turnover by P. Siakam (bad pass; steal by J. Murray)
1:25.0,J. Murray misses 2-pt shot from 1 ft,,101-109,,
1:21.0,,,101-109,,Defensive rebound by P. Siakam
1:03.0,,,101-109,,F. VanVleet misses 2-pt shot from 1 ft
1:03.0,,,101-109,,Offensive rebound by J. Poeltl
1:03.0,,,101-111,2,J. Poeltl makes 2-pt shot at rim
1:03.0,Denver full timeout,,101-111,,
0:53.0,J. Murray makes 3-pt shot from 25 ft (assist by P. Millsap),3,104-111,,
0:31.0,,,104-111,,P. Siakam misses 2-pt shot from 2 ft
0:30.0,Defensive rebound by N. Jokic,,104-111,,
