time,Chicago,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. R. Lopez (L. Markkanen gains possession),,,,Jump ball: M. Turner vs. R. Lopez (L. Markkanen gains possession)
11:35.0,D. Valentine misses 2-pt shot from 14 ft (block by D. Wilkins),,0-0,,
11:35.0,Offensive rebound by Team,,0-0,,
11:32.0,Turnover by K. Dunn (bad pass; steal by V. Oladipo),,0-0,,
11:29.0,,,0-0,,T. Young misses 2-pt shot at rim
11:26.0,,,0-0,,Offensive rebound by V. Oladipo
11:26.0,,,0-2,2,V. Oladipo makes 2-pt shot at rim
11:11.0,J. Holiday misses 3-pt shot from 27 ft,,0-2,,
11:11.0,,,0-2,,Defensive rebound by D. Collison
11:02.0,,,0-2,,D. Wilkins misses 2-pt shot from 2 ft
11:02.0,Defensive rebound by D. Valentine,,0-2,,
10:51.0,L. Markkanen makes 3-pt shot from 26 ft (assist by K. Dunn),3,3-2,,
10:32.0,Shooting block foul by K. Dunn (drawn by M. Turner),,3-2,,
10:32.0,,,3-3,1,M. Turner makes free throw 1 of 2
10:32.0,,,3-4,1,M. Turner makes free throw 2 of 2
10:26.0,D. Valentine makes 2-pt shot from 10 ft,2,5-4,,
10:13.0,,,5-7,3,V. Oladipo makes 3-pt shot from 25 ft (assist by M. Turner)
10:02.0,J. Holiday misses 3-pt shot from 27 ft,,5-7,,
10:02.0,,,5-7,,Defensive rebound by D. Collison
9:41.0,,,5-9,2,M. Turner makes 2-pt shot from 1 ft (assist by D. Collison)
9:25.0,R. Lopez makes 2-pt shot from 7 ft (assist by K. Dunn),2,7-9,,
9:17.0,,,7-12,3,M. Turner makes 3-pt shot from 26 ft (assist by V. Oladipo)
9:02.0,J. Holiday makes 3-pt shot from 25 ft (assist by K. Dunn),3,10-12,,
8:45.0,,,10-12,,V. Oladipo misses 3-pt shot from 24 ft
8:43.0,Defensive rebound by K. Dunn,,10-12,,
8:36.0,R. Lopez makes 2-pt shot from 1 ft (assist by K. Dunn),2,12-12,,
8:17.0,,,12-12,,D. Collison misses 2-pt shot from 2 ft (block by D. Valentine)
8:17.0,,,12-12,,Offensive rebound by Team
8:12.0,,,12-15,3,D. Collison makes 3-pt shot from 29 ft (assist by T. Young)
7:57.0,R. Lopez makes 2-pt shot at rim,2,14-15,,
7:35.0,,,14-15,,M. Turner misses 2-pt shot from 16 ft
7:30.0,,,14-15,,Offensive rebound by T. Young
7:30.0,,,14-15,,T. Young misses 2-pt shot at rim
7:29.0,Defensive rebound by J. Holiday,,14-15,,
7:11.0,D. Valentine makes 3-pt shot from 27 ft (assist by L. Markkanen),3,17-15,,
6:53.0,,,17-17,2,M. Turner makes 2-pt shot from 20 ft (assist by V. Oladipo)
6:37.0,Turnover by K. Dunn (bad pass; steal by V. Oladipo),,17-17,,
6:31.0,,,17-17,,M. Turner misses 2-pt shot from 2 ft
6:30.0,,,17-17,,Offensive rebound by Team
6:30.0,,,17-17,,Indiana full timeout
6:30.0,,,17-17,,C. Joseph enters the game for D. Wilkins
6:28.0,Jump ball: D. Collison vs. L. Markkanen,,,,Jump ball: D. Collison vs. L. Markkanen
6:12.0,,,17-17,,D. Collison misses 3-pt shot from 27 ft
6:09.0,Defensive rebound by J. Holiday,,17-17,,
6:00.0,Turnover by R. Lopez (bad pass; steal by V. Oladipo),,17-17,,
5:57.0,,,17-19,2,V. Oladipo makes 2-pt shot at rim
5:41.0,Turnover by D. Valentine (bad pass; steal by V. Oladipo),,17-19,,
5:40.0,Personal take foul by D. Valentine (drawn by V. Oladipo),,17-19,,
5:24.0,,,17-22,3,D. Collison makes 3-pt shot from 28 ft (assist by V. Oladipo)
4:55.0,,,17-22,,D. Sabonis enters the game for T. Young
4:55.0,D. Nwaba enters the game for L. Markkanen,,17-22,,
4:55.0,N. Mirotic enters the game for D. Valentine,,17-22,,
4:53.0,Turnover by K. Dunn (bad pass; steal by V. Oladipo),,17-22,,
4:51.0,,,17-24,2,V. Oladipo makes 2-pt shot from 1 ft
4:51.0,Chicago full timeout,,17-24,,
4:39.0,J. Holiday misses 3-pt shot from 27 ft,,17-24,,
4:36.0,,,17-24,,Defensive rebound by V. Oladipo
4:27.0,,,17-26,2,M. Turner makes 2-pt shot from 18 ft (assist by V. Oladipo)
4:16.0,K. Dunn makes 2-pt shot from 5 ft,2,19-26,,
4:00.0,,,19-26,,M. Turner misses 3-pt shot from 27 ft
3:55.0,,,19-26,,Offensive rebound by D. Sabonis
3:55.0,,,19-28,2,D. Sabonis makes 2-pt shot from 1 ft
3:40.0,Turnover by J. Holiday (out of bounds lost ball),,19-28,,
3:40.0,B. Portis enters the game for R. Lopez,,19-28,,
3:40.0,,,19-28,,L. Stephenson enters the game for V. Oladipo
3:27.0,,,19-28,,C. Joseph misses 3-pt shot from 26 ft
3:23.0,,,19-28,,Offensive rebound by D. Sabonis
3:19.0,,,19-28,,Turnover by D. Sabonis (traveling)
3:02.0,Offensive charge foul by K. Dunn (drawn by M. Turner),,19-28,,
3:02.0,Turnover by K. Dunn (offensive foul),,19-28,,
3:02.0,J. Grant enters the game for K. Dunn,,19-28,,
3:00.0,,,19-29,1,D. Collison makes technical free throw
2:43.0,,,19-31,2,D. Sabonis makes 2-pt shot from 7 ft
2:26.0,N. Mirotic makes 3-pt shot from 23 ft (assist by B. Portis),3,22-31,,
2:15.0,,,22-31,,Turnover by D. Sabonis (out of bounds lost ball)
2:07.0,B. Portis misses 2-pt shot from 21 ft,,22-31,,
2:04.0,,,22-31,,Defensive rebound by M. Turner
1:50.0,,,22-31,,D. Collison misses 2-pt shot from 1 ft
1:48.0,Defensive rebound by B. Portis,,22-31,,
1:38.0,J. Holiday misses 3-pt shot from 23 ft,,22-31,,
1:35.0,Offensive rebound by D. Nwaba,,22-31,,
1:35.0,D. Nwaba makes 2-pt shot from 1 ft,2,24-31,,
1:20.0,,,24-31,,D. Sabonis misses 3-pt shot from 28 ft
1:17.0,Defensive rebound by J. Grant,,24-31,,
1:11.0,J. Holiday misses 3-pt shot from 23 ft,,24-31,,
1:07.0,,,24-31,,Defensive rebound by C. Joseph
0:50.0,,,24-31,,L. Stephenson misses 3-pt shot from 26 ft
0:48.0,Defensive rebound by J. Holiday,,24-31,,
0:35.0,Shooting foul by C. Joseph (drawn by B. Portis),,24-31,,
0:35.0,B. Portis makes free throw 1 of 2,1,25-31,,
0:35.0,,,25-31,,J. Young enters the game for D. Collison
0:35.0,,,25-31,,T. Leaf enters the game for M. Turner
0:35.0,P. Zipser enters the game for J. Holiday,,25-31,,
0:35.0,B. Portis makes free throw 2 of 2,1,26-31,,
0:23.0,,,26-31,,L. Stephenson misses 2-pt shot at rim (block by B. Portis)
0:20.0,Defensive rebound by J. Grant,,26-31,,
0:03.0,J. Grant misses 2-pt shot from 13 ft (block by C. Joseph),,26-31,,
0:00.0,,,26-31,,Defensive rebound by D. Sabonis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,26-34,3,T. Leaf makes 3-pt shot from 27 ft (assist by C. Joseph)
11:08.0,P. Zipser misses 3-pt shot from 27 ft,,26-34,,
11:04.0,,,26-34,,Defensive rebound by C. Joseph
10:53.0,,,26-34,,D. Sabonis misses 2-pt shot from 4 ft
10:53.0,Defensive rebound by J. Grant,,26-34,,
10:45.0,Jump ball: D. Sabonis vs. J. Grant (D. Nwaba gains possession),,,,Jump ball: D. Sabonis vs. J. Grant (D. Nwaba gains possession)
10:45.0,Defensive rebound by J. Grant,,26-34,,
10:31.0,Turnover by B. Portis (lost ball; steal by L. Stephenson),,26-34,,
10:28.0,,,26-34,,Turnover by L. Stephenson (lost ball; steal by J. Grant)
10:22.0,B. Portis makes 2-pt shot from 1 ft,2,28-34,,
10:08.0,,,28-34,,L. Stephenson misses 3-pt shot from 26 ft
10:06.0,,,28-34,,Offensive rebound by T. Leaf
10:05.0,,,28-34,,J. Young misses 3-pt shot from 26 ft
10:02.0,,,28-34,,Offensive rebound by T. Leaf
10:01.0,,,28-36,2,T. Leaf makes 2-pt shot at rim
9:44.0,D. Nwaba misses 3-pt shot from 23 ft,,28-36,,
9:41.0,,,28-36,,Defensive rebound by T. Leaf
9:26.0,,,28-38,2,D. Sabonis makes 2-pt shot from 1 ft
