time,Philadelphia,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. J. Embiid (B. Simmons gains possession),,,,Jump ball: C. Capela vs. J. Embiid (B. Simmons gains possession)
11:50.0,B. Simmons makes 2-pt shot from 2 ft,2,2-0,,
11:31.0,,,2-0,,J. Harden misses 2-pt shot from 16 ft
11:29.0,Defensive rebound by R. Covington,,2-0,,
11:18.0,J. Embiid makes 2-pt shot from 4 ft (assist by D. Saric),2,4-0,,
11:00.0,,,4-0,,J. Harden misses 2-pt shot at rim
10:58.0,Defensive rebound by J. Embiid,,4-0,,
10:54.0,B. Simmons makes 2-pt shot from 3 ft,2,6-0,,
10:29.0,,,6-2,2,J. Harden makes 2-pt shot from 15 ft (assist by T. Ariza)
10:15.0,B. Simmons misses 2-pt shot from 9 ft,,6-2,,
10:12.0,,,6-2,,Defensive rebound by C. Capela
10:07.0,,,6-2,,Turnover by J. Harden (lost ball; steal by R. Covington)
9:59.0,J. Embiid makes 2-pt shot at rim (assist by B. Simmons),2,8-2,,
9:47.0,,,8-2,,Turnover by J. Harden (bad pass; steal by R. Covington)
9:47.0,,,8-2,,Personal foul by E. Gordon (drawn by R. Covington)
9:36.0,Turnover by J. Bayless (bad pass; steal by C. Capela),,8-2,,
9:34.0,Personal foul by B. Simmons (drawn by J. Harden),,8-2,,
9:27.0,,,8-2,,T. Ariza misses 3-pt shot from 23 ft
9:24.0,Defensive rebound by B. Simmons,,8-2,,
9:21.0,Turnover by B. Simmons (bad pass; steal by J. Harden),,8-2,,
9:15.0,,,8-4,2,J. Harden makes 2-pt shot from 2 ft
9:15.0,,,8-4,,Shooting foul by R. Covington (drawn by J. Harden)
9:15.0,,,8-5,1,J. Harden makes free throw 1 of 1
9:05.0,D. Saric misses 2-pt shot from 2 ft,,8-5,,
9:02.0,,,8-5,,Defensive rebound by C. Capela
8:52.0,,,8-5,,J. Harden misses 2-pt shot from 9 ft
8:49.0,Defensive rebound by D. Saric,,8-5,,
8:32.0,J. Embiid misses 2-pt shot from 11 ft,,8-5,,
8:30.0,,,8-5,,Defensive rebound by C. Capela
8:26.0,,,8-7,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
8:17.0,,,8-7,,Personal foul by J. Harden (drawn by J. Bayless)
8:17.0,A. Johnson enters the game for J. Embiid,,8-7,,
8:10.0,A. Johnson makes 2-pt shot from 4 ft (assist by J. Bayless),2,10-7,,
7:59.0,Personal foul by D. Saric (drawn by E. Gordon),,10-7,,
7:50.0,,,10-7,,R. Anderson misses 3-pt shot from 29 ft
7:46.0,Defensive rebound by R. Covington,,10-7,,
7:41.0,D. Saric misses 3-pt shot from 25 ft,,10-7,,
7:38.0,,,10-7,,Defensive rebound by J. Harden
7:31.0,,,10-9,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
7:12.0,D. Saric makes 2-pt shot from 20 ft (assist by J. Bayless),2,12-9,,
6:59.0,,,12-9,,T. Ariza misses 3-pt shot from 25 ft
6:56.0,Defensive rebound by J. Bayless,,12-9,,
6:47.0,A. Johnson makes 2-pt shot from 6 ft (assist by B. Simmons),2,14-9,,
6:36.0,,,14-9,,Shooting foul by J. Bayless (drawn by J. Harden)
6:36.0,,,14-9,,Houston full timeout
6:36.0,,,14-9,,P. Tucker enters the game for R. Anderson
6:36.0,T. McConnell enters the game for J. Bayless,,14-9,,
6:36.0,T. Luwawu-Cabarrot enters the game for D. Saric,,14-9,,
6:36.0,,,14-10,1,J. Harden makes free throw 1 of 2
6:36.0,,,14-11,1,J. Harden makes free throw 2 of 2
6:26.0,B. Simmons makes 2-pt shot from 16 ft,2,16-11,,
6:14.0,,,16-11,,P. Tucker misses 3-pt shot from 25 ft
6:10.0,Defensive rebound by T. McConnell,,16-11,,
6:05.0,R. Covington misses 3-pt shot from 26 ft,,16-11,,
6:03.0,,,16-11,,Defensive rebound by P. Tucker
6:00.0,,,16-11,,Shooting foul by T. McConnell (drawn by J. Harden)
6:00.0,,,16-12,1,J. Harden makes free throw 1 of 2
6:00.0,,,16-12,,L. Mbah a Moute enters the game for E. Gordon
6:00.0,,,16-13,1,J. Harden makes free throw 2 of 2
5:46.0,A. Johnson misses 2-pt shot from 6 ft,,16-13,,
5:42.0,,,16-13,,Defensive rebound by C. Capela
5:37.0,,,16-16,3,J. Harden makes 3-pt shot from 28 ft
5:26.0,,,16-16,,Personal foul by T. Ariza (drawn by R. Covington)
5:16.0,A. Johnson makes 2-pt shot from 5 ft (assist by T. McConnell),2,18-16,,
4:51.0,,,18-16,,Turnover by J. Harden (bad pass; steal by A. Johnson)
4:45.0,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by B. Simmons),2,20-16,,
4:23.0,,,20-16,,Turnover by C. Capela (traveling)
4:16.0,,,20-16,,Personal foul by J. Harden (drawn by T. Luwawu-Cabarrot)
4:03.0,Turnover by T. McConnell (traveling),,20-16,,
3:52.0,,,20-16,,Turnover by L. Mbah a Moute (turnover)
