time,Toronto,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. Valanciunas (S. Ibaka gains possession),,,,Jump ball: R. Lopez vs. J. Valanciunas (S. Ibaka gains possession)
11:39.0,D. DeRozan makes 3-pt shot from 25 ft (assist by K. Lowry),3,3-0,,
11:24.0,,,3-0,,Turnover by L. Markkanen (traveling)
11:07.0,O. Anunoby misses 3-pt shot from 26 ft,,3-0,,
11:02.0,,,3-0,,Defensive rebound by L. Markkanen
10:53.0,,,3-0,,Turnover by J. Holiday (lost ball; steal by D. DeRozan)
10:37.0,O. Anunoby misses 3-pt shot from 24 ft,,3-0,,
10:34.0,,,3-0,,Defensive rebound by K. Dunn
10:29.0,,,3-0,,D. Valentine misses 3-pt shot from 24 ft
10:25.0,Defensive rebound by J. Valanciunas,,3-0,,
10:15.0,J. Valanciunas misses 2-pt shot from 2 ft,,3-0,,
10:13.0,,,3-0,,Defensive rebound by L. Markkanen
10:02.0,,,3-0,,R. Lopez misses 2-pt shot from 17 ft
10:00.0,Defensive rebound by K. Lowry,,3-0,,
9:56.0,,,3-0,,Personal foul by K. Dunn (drawn by K. Lowry)
9:50.0,Turnover by K. Lowry (bad pass),,3-0,,
9:37.0,,,3-2,2,R. Lopez makes 2-pt shot from 6 ft (assist by K. Dunn)
9:24.0,Turnover by J. Valanciunas (lost ball; steal by D. Valentine),,3-2,,
9:11.0,,,3-2,,L. Markkanen misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by O. Anunoby,,3-2,,
8:58.0,S. Ibaka misses 2-pt shot from 18 ft,,3-2,,
8:54.0,,,3-2,,Defensive rebound by D. Valentine
8:45.0,,,3-4,2,R. Lopez makes 2-pt shot from 8 ft (assist by J. Holiday)
8:31.0,S. Ibaka makes 2-pt shot from 11 ft (assist by K. Lowry),2,5-4,,
8:14.0,,,5-4,,R. Lopez misses 2-pt shot from 4 ft
8:12.0,Defensive rebound by O. Anunoby,,5-4,,
8:06.0,Turnover by K. Lowry (bad pass; steal by L. Markkanen),,5-4,,
8:00.0,,,5-6,2,D. Valentine makes 2-pt shot from 1 ft (assist by L. Markkanen)
7:50.0,D. DeRozan misses 3-pt shot from 25 ft,,5-6,,
7:48.0,,,5-6,,Defensive rebound by L. Markkanen
7:41.0,,,5-8,2,R. Lopez makes 2-pt shot from 4 ft (assist by K. Dunn)
7:31.0,Toronto full timeout,,5-8,,
7:22.0,K. Lowry makes 2-pt shot from 16 ft,2,7-8,,
7:03.0,,,7-10,2,L. Markkanen makes 2-pt shot from 5 ft (assist by R. Lopez)
6:50.0,S. Ibaka makes 2-pt shot from 5 ft,2,9-10,,
6:35.0,,,9-12,2,L. Markkanen makes 2-pt shot from 1 ft (assist by R. Lopez)
6:17.0,D. DeRozan misses 2-pt shot from 10 ft,,9-12,,
6:15.0,,,9-12,,Defensive rebound by D. Valentine
6:11.0,,,9-15,3,D. Valentine makes 3-pt shot from 26 ft
5:57.0,Turnover by K. Lowry (bad pass),,9-15,,
5:38.0,,,9-15,,R. Lopez misses 2-pt shot from 6 ft
5:36.0,Defensive rebound by J. Valanciunas,,9-15,,
5:31.0,Offensive foul by J. Valanciunas (drawn by K. Dunn),,9-15,,
5:31.0,Turnover by J. Valanciunas (offensive foul),,9-15,,
5:20.0,,,9-15,,K. Dunn misses 3-pt shot from 25 ft
5:18.0,Defensive rebound by J. Valanciunas,,9-15,,
5:11.0,K. Lowry misses 2-pt shot from 14 ft,,9-15,,
5:08.0,Offensive rebound by K. Lowry,,9-15,,
5:04.0,Turnover by K. Lowry (bad pass; steal by K. Dunn),,9-15,,
5:02.0,,,9-15,,K. Dunn misses 2-pt shot from 1 ft
5:01.0,,,9-15,,Offensive rebound by L. Markkanen
5:00.0,,,9-17,2,L. Markkanen makes 2-pt shot at rim
4:42.0,Shooting foul by J. Holiday (drawn by D. DeRozan),,9-17,,
4:42.0,D. DeRozan makes free throw 1 of 2,1,10-17,,
4:42.0,J. Poeltl enters the game for S. Ibaka,,10-17,,
4:42.0,P. Siakam enters the game for J. Valanciunas,,10-17,,
4:42.0,D. DeRozan makes free throw 2 of 2,1,11-17,,
4:23.0,,,11-17,,L. Markkanen misses 3-pt shot from 25 ft
4:23.0,,,11-17,,Offensive rebound by D. Valentine
4:18.0,,,11-20,3,L. Markkanen makes 3-pt shot from 25 ft (assist by D. Valentine)
4:00.0,D. DeRozan misses 2-pt shot from 10 ft,,11-20,,
4:00.0,Offensive rebound by Team,,11-20,,
3:59.0,C. Miles enters the game for O. Anunoby,,11-20,,
3:50.0,D. DeRozan misses 3-pt shot from 24 ft,,11-20,,
3:46.0,,,11-20,,Defensive rebound by D. Valentine
3:42.0,,,11-20,,K. Dunn misses 3-pt shot from 24 ft
3:36.0,,,11-20,,Offensive rebound by R. Lopez
3:36.0,,,11-20,,R. Lopez misses 2-pt shot at rim
3:35.0,Defensive rebound by D. DeRozan,,11-20,,
3:33.0,C. Miles makes 3-pt shot from 24 ft (assist by D. DeRozan),3,14-20,,
3:10.0,,,14-22,2,R. Lopez makes 2-pt shot from 3 ft (assist by J. Holiday)
3:01.0,K. Lowry makes 2-pt shot from 2 ft (assist by P. Siakam),2,16-22,,
2:49.0,,,16-22,,Turnover by K. Dunn (lost ball; steal by K. Lowry)
2:38.0,C. Miles misses 3-pt shot from 26 ft,,16-22,,
2:36.0,,,16-22,,Defensive rebound by L. Markkanen
2:36.0,,,16-22,,Shooting foul by P. Siakam (drawn by L. Markkanen)
2:36.0,,,16-22,,Chicago full timeout
2:36.0,,,16-22,,N. Mirotic enters the game for R. Lopez
2:36.0,,,16-22,,D. Nwaba enters the game for D. Valentine
2:36.0,D. Wright enters the game for K. Lowry,,16-22,,
2:36.0,,,16-23,1,L. Markkanen makes free throw 1 of 2
2:36.0,,,16-23,,J. Grant enters the game for K. Dunn
2:36.0,,,16-24,1,L. Markkanen makes free throw 2 of 2
2:28.0,D. DeRozan misses 2-pt shot from 21 ft,,16-24,,
2:25.0,,,16-24,,Defensive rebound by D. Nwaba
2:15.0,Personal foul by J. Poeltl (drawn by N. Mirotic),,16-24,,
2:15.0,,,16-24,,B. Portis enters the game for L. Markkanen
2:04.0,,,16-24,,B. Portis misses 2-pt shot from 2 ft
2:01.0,Defensive rebound by J. Poeltl,,16-24,,
1:46.0,C. Miles misses 3-pt shot from 25 ft,,16-24,,
1:42.0,Offensive rebound by P. Siakam,,16-24,,
1:39.0,J. Poeltl makes 2-pt shot from 2 ft (assist by P. Siakam),2,18-24,,
1:23.0,,,18-26,2,D. Nwaba makes 2-pt shot from 3 ft (assist by J. Grant)
1:00.0,P. Siakam misses 2-pt shot from 4 ft,,18-26,,
0:58.0,,,18-26,,Defensive rebound by J. Holiday
0:55.0,,,18-28,2,J. Grant makes 2-pt shot from 2 ft
0:36.0,D. DeRozan misses 2-pt shot from 3 ft,,18-28,,
0:36.0,Offensive rebound by Team,,18-28,,
0:36.0,,,18-28,,Loose ball foul by B. Portis (drawn by J. Poeltl)
0:36.0,F. VanVleet enters the game for D. DeRozan,,18-28,,
0:24.0,D. Wright misses 2-pt shot from 2 ft,,18-28,,
0:24.0,Offensive rebound by D. Wright,,18-28,,
0:24.0,D. Wright misses 2-pt shot from 2 ft,,18-28,,
0:24.0,Offensive rebound by D. Wright,,18-28,,
0:24.0,D. Wright makes 2-pt shot from 2 ft,2,20-28,,
0:24.0,Shooting foul by N. Mirotic (drawn by D. Wright),,20-28,,
0:24.0,D. Wright makes free throw 1 of 1,1,21-28,,
0:04.0,,,21-31,3,J. Holiday makes 3-pt shot from 24 ft (assist by J. Grant)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,21-31,,P. Zipser misses 2-pt shot from 19 ft
11:39.0,Defensive rebound by C. Miles,,21-31,,
11:35.0,F. VanVleet makes 3-pt shot from 23 ft (assist by D. Wright),3,24-31,,
11:20.0,,,24-31,,N. Mirotic misses 2-pt shot from 20 ft
11:17.0,Defensive rebound by P. Siakam,,24-31,,
11:07.0,J. Poeltl misses 2-pt shot from 1 ft,,24-31,,
11:05.0,,,24-31,,Defensive rebound by B. Portis
11:03.0,Personal foul by C. Miles (drawn by D. Nwaba),,24-31,,
10:47.0,,,24-31,,B. Portis misses 2-pt shot from 4 ft
10:45.0,Defensive rebound by C. Miles,,24-31,,
10:40.0,F. VanVleet misses 3-pt shot from 26 ft,,24-31,,
10:37.0,,,24-31,,Defensive rebound by B. Portis
10:18.0,,,24-31,,N. Mirotic misses 2-pt shot from 12 ft
10:14.0,Defensive rebound by C. Miles,,24-31,,
10:09.0,Turnover by D. Wright (bad pass),,24-31,,
10:00.0,,,24-31,,B. Portis misses 3-pt shot from 25 ft
9:54.0,Defensive rebound by P. Siakam,,24-31,,
9:49.0,D. Wright makes 2-pt shot from 1 ft,2,26-31,,
9:36.0,,,26-33,2,J. Grant makes 2-pt shot from 8 ft
9:16.0,F. VanVleet makes 2-pt shot from 1 ft (assist by D. Wright),2,28-33,,
9:09.0,,,28-33,,Offensive foul by B. Portis (drawn by F. VanVleet)
9:09.0,,,28-33,,Turnover by B. Portis (offensive foul)
8:54.0,F. VanVleet makes 2-pt shot from 1 ft,2,30-33,,
8:54.0,,,30-33,,Chicago full timeout
8:36.0,,,30-33,,J. Grant misses 2-pt shot from 11 ft
8:32.0,Defensive rebound by J. Poeltl,,30-33,,
8:18.0,D. Wright makes 3-pt shot from 26 ft,3,33-33,,
7:51.0,,,33-35,2,B. Portis makes 2-pt shot from 4 ft
7:42.0,,,33-35,,Personal foul by P. Zipser (drawn by C. Miles)
7:42.0,,,33-35,,K. Dunn enters the game for J. Grant
7:29.0,D. Wright makes 3-pt shot from 26 ft (assist by F. VanVleet),3,36-35,,
7:10.0,,,36-37,2,P. Zipser makes 2-pt shot at rim (assist by N. Mirotic)
6:58.0,D. Wright misses 3-pt shot from 25 ft,,36-37,,
6:56.0,,,36-37,,Defensive rebound by K. Dunn
6:48.0,,,36-37,,D. Nwaba misses 2-pt shot from 6 ft
6:46.0,Defensive rebound by F. VanVleet,,36-37,,
6:37.0,F. VanVleet makes 2-pt shot from 2 ft,2,38-37,,
6:20.0,,,38-39,2,P. Zipser makes 2-pt shot at rim (assist by K. Dunn)
6:02.0,Turnover by F. VanVleet (bad pass; steal by K. Dunn),,38-39,,
6:02.0,Personal foul by D. Wright (drawn by D. Nwaba),,38-39,,
6:02.0,,,38-39,,D. Valentine enters the game for B. Portis
6:02.0,,,38-39,,J. Holiday enters the game for D. Nwaba
6:02.0,,,38-39,,L. Markkanen enters the game for P. Zipser
6:02.0,,,38-39,,R. Lopez enters the game for N. Mirotic
6:02.0,K. Lowry enters the game for C. Miles,,38-39,,
6:02.0,S. Ibaka enters the game for P. Siakam,,38-39,,
5:47.0,,,38-39,,D. Valentine misses 2-pt shot from 1 ft
5:45.0,Defensive rebound by D. Wright,,38-39,,
5:41.0,K. Lowry misses 3-pt shot from 25 ft,,38-39,,
5:37.0,,,38-39,,Defensive rebound by L. Markkanen
5:29.0,,,38-39,,Turnover by J. Holiday (bad pass; steal by D. Wright)
5:27.0,S. Ibaka makes 2-pt shot from 1 ft,2,40-39,,
5:27.0,Shooting foul by L. Markkanen (drawn by S. Ibaka),,40-39,,
5:27.0,D. DeRozan enters the game for F. VanVleet,,40-39,,
5:27.0,J. Valanciunas enters the game for J. Poeltl,,40-39,,
5:27.0,S. Ibaka makes free throw 1 of 1,1,41-39,,
5:17.0,,,41-42,3,J. Holiday makes 3-pt shot from 23 ft (assist by K. Dunn)
5:17.0,,,41-42,,Shooting foul by S. Ibaka (drawn by J. Holiday)
5:17.0,,,41-43,1,J. Holiday makes free throw 1 of 1
4:58.0,S. Ibaka misses 2-pt shot from 20 ft,,41-43,,
4:52.0,Offensive rebound by D. Wright,,41-43,,
4:51.0,D. Wright makes 2-pt shot from 1 ft,2,43-43,,
4:37.0,Personal foul by K. Lowry (drawn by L. Markkanen),,43-43,,
4:25.0,,,43-43,,L. Markkanen misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by D. Wright,,43-43,,
4:14.0,D. Wright makes 2-pt shot from 3 ft,2,45-43,,
3:59.0,,,45-45,2,D. Valentine makes 2-pt shot from 2 ft (assist by R. Lopez)
3:50.0,Shooting foul by L. Markkanen (drawn by D. DeRozan),,45-45,,
3:50.0,D. DeRozan makes free throw 1 of 2,1,46-45,,
3:50.0,D. DeRozan makes free throw 2 of 2,1,47-45,,
3:38.0,,,47-47,2,D. Valentine makes 2-pt shot from 17 ft (assist by R. Lopez)
3:20.0,S. Ibaka makes 2-pt shot from 14 ft (assist by D. DeRozan),2,49-47,,
3:12.0,,,49-47,,Turnover by R. Lopez (bad pass; steal by D. DeRozan)
3:10.0,,,49-47,,Personal foul by R. Lopez (drawn by D. DeRozan)
3:10.0,Toronto full timeout,,49-47,,
3:10.0,,,49-47,,N. Mirotic enters the game for R. Lopez
3:10.0,O. Anunoby enters the game for D. Wright,,49-47,,
3:00.0,O. Anunoby misses 3-pt shot from 25 ft,,49-47,,
2:56.0,,,49-47,,Defensive rebound by D. Valentine
2:45.0,Personal foul by J. Valanciunas (drawn by N. Mirotic),,49-47,,
2:45.0,,,49-48,1,N. Mirotic makes free throw 1 of 2
2:45.0,,,49-49,1,N. Mirotic makes free throw 2 of 2
2:30.0,S. Ibaka makes 3-pt shot from 26 ft (assist by D. DeRozan),3,52-49,,
2:05.0,,,52-51,2,L. Markkanen makes 2-pt shot from 10 ft
1:56.0,,,52-51,,Personal foul by K. Dunn (drawn by K. Lowry)
1:56.0,N. Powell enters the game for J. Valanciunas,,52-51,,
1:56.0,K. Lowry makes free throw 1 of 2,1,53-51,,
1:56.0,K. Lowry makes free throw 2 of 2,1,54-51,,
1:56.0,,,54-51,,J. Grant enters the game for K. Dunn
1:41.0,K. Lowry misses 3-pt shot from 26 ft,,54-51,,
1:38.0,,,54-51,,N. Mirotic misses 2-pt shot from 2 ft (block by S. Ibaka)
1:38.0,,,54-51,,Offensive rebound by D. Valentine
1:34.0,Defensive rebound by K. Lowry,,54-51,,
