time,San Antonio,pts.away,score,pts.home,Boston
0:25.0,,,24-30,2,T. Rozier makes 2-pt shot from 1 ft (assist by K. Irving)
0:10.0,P. Mills makes 2-pt shot at rim,2,26-30,,
0:01.0,,,26-30,,K. Irving misses 2-pt shot from 14 ft
0:00.0,,,26-30,,Offensive rebound by M. Smart
0:00.0,,,26-30,,M. Smart misses 2-pt shot at rim
0:00.0,,,26-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,26-30,,Shooting foul by B. Paul (drawn by M. Smart)
11:42.0,,,26-30,,M. Smart misses free throw 1 of 2
11:42.0,,,26-30,,Offensive rebound by Team
11:42.0,,,26-31,1,M. Smart makes free throw 2 of 2
11:24.0,R. Gay makes 2-pt shot from 1 ft,2,28-31,,
11:08.0,,,28-31,,S. Larkin misses 2-pt shot from 17 ft
11:08.0,,,28-31,,Turnover by D. Theis (bad pass; steal by P. Gasol)
11:06.0,,,28-31,,Offensive rebound by D. Theis
10:58.0,R. Gay makes 3-pt shot from 24 ft (assist by P. Gasol),3,31-31,,
10:37.0,,,31-31,,T. Rozier misses 2-pt shot from 19 ft
10:37.0,,,31-31,,Offensive rebound by D. Theis
10:31.0,,,31-31,,T. Rozier misses 2-pt shot from 4 ft
10:31.0,,,31-31,,Offensive rebound by T. Rozier
10:26.0,,,31-31,,T. Rozier misses 2-pt shot at rim
10:23.0,Defensive rebound by R. Gay,,31-31,,
10:21.0,Turnover by B. Paul (bad pass; steal by T. Rozier),,31-31,,
10:17.0,,,31-31,,T. Rozier misses 2-pt shot from 2 ft
10:15.0,Defensive rebound by B. Paul,,31-31,,
10:11.0,B. Forbes misses 3-pt shot from 24 ft,,31-31,,
10:11.0,,,31-31,,Defensive rebound by M. Smart
10:09.0,Personal foul by R. Gay (drawn by M. Smart),,31-31,,
10:00.0,,,31-31,,Personal foul by M. Smart (drawn by B. Paul)
10:00.0,,,31-31,,Turnover by M. Smart (turnover)
10:00.0,K. Anderson enters the game for B. Paul,,31-31,,
10:00.0,D. Green enters the game for R. Gay,,31-31,,
9:45.0,B. Forbes makes 3-pt shot from 26 ft (assist by P. Gasol),3,34-31,,
9:23.0,,,34-31,,Turnover by M. Smart (bad pass; steal by B. Forbes)
9:16.0,P. Mills misses 3-pt shot from 25 ft,,34-31,,
9:12.0,,,34-31,,Defensive rebound by J. Tatum
9:01.0,,,34-31,,J. Tatum misses 2-pt shot from 19 ft
8:58.0,,,34-31,,Offensive rebound by D. Theis
8:55.0,,,34-31,,T. Rozier misses 3-pt shot from 27 ft
8:55.0,Defensive rebound by P. Gasol,,34-31,,
8:39.0,B. Forbes makes 3-pt shot from 25 ft (assist by K. Anderson),3,37-31,,
8:38.0,,,37-31,,Boston full timeout
8:38.0,,,37-31,,K. Irving enters the game for S. Larkin
8:25.0,,,37-33,2,D. Theis makes 2-pt shot from 2 ft (assist by J. Tatum)
8:08.0,Turnover by P. Mills (lost ball; steal by K. Irving),,37-33,,
8:03.0,,,37-35,2,K. Irving makes 2-pt shot from 1 ft
7:52.0,P. Gasol makes 2-pt shot from 10 ft (assist by B. Forbes),2,39-35,,
7:35.0,,,39-37,2,D. Theis makes 2-pt shot from 2 ft (assist by K. Irving)
7:22.0,,,39-37,,Personal foul by T. Rozier (drawn by P. Mills)
7:22.0,D. Murray enters the game for P. Mills,,39-37,,
7:11.0,B. Forbes misses 2-pt shot from 11 ft,,39-37,,
7:09.0,,,39-37,,Defensive rebound by J. Tatum
7:00.0,,,39-37,,M. Smart misses 3-pt shot from 22 ft
6:56.0,Defensive rebound by B. Forbes,,39-37,,
6:48.0,K. Anderson misses 3-pt shot from 26 ft,,39-37,,
6:44.0,,,39-37,,Defensive rebound by M. Smart
6:38.0,,,39-37,,J. Brown enters the game for T. Rozier
6:38.0,,,39-37,,A. Horford enters the game for D. Theis
6:38.0,L. Aldridge enters the game for P. Gasol,,39-37,,
6:28.0,,,39-39,2,M. Smart makes 2-pt shot from 1 ft
6:05.0,K. Anderson misses 2-pt shot from 4 ft (block by J. Tatum),,39-39,,
6:03.0,Offensive rebound by K. Anderson,,39-39,,
6:02.0,K. Anderson misses 2-pt shot from 11 ft,,39-39,,
6:02.0,Offensive rebound by L. Aldridge,,39-39,,
5:56.0,L. Aldridge misses 2-pt shot from 8 ft,,39-39,,
5:53.0,Offensive rebound by K. Anderson,,39-39,,
5:51.0,K. Anderson misses 2-pt shot from 3 ft (block by J. Tatum),,39-39,,
5:51.0,,,39-39,,Defensive rebound by J. Brown
5:42.0,,,39-39,,M. Smart misses 3-pt shot from 24 ft
5:38.0,Defensive rebound by B. Forbes,,39-39,,
5:24.0,D. Green makes 3-pt shot from 24 ft (assist by L. Aldridge),3,42-39,,
5:06.0,,,42-39,,Turnover by J. Tatum (lost ball; steal by D. Murray)
5:01.0,D. Murray misses 2-pt shot from 2 ft,,42-39,,
5:00.0,Offensive rebound by L. Aldridge,,42-39,,
5:00.0,L. Aldridge makes 2-pt shot from 1 ft,2,44-39,,
5:00.0,,,44-39,,Boston full timeout
5:00.0,,,44-39,,A. Nader enters the game for M. Smart
5:00.0,B. Paul enters the game for K. Anderson,,44-39,,
5:00.0,R. Gay enters the game for B. Forbes,,44-39,,
4:43.0,,,44-41,2,A. Horford makes 2-pt shot at rim (assist by K. Irving)
4:18.0,B. Paul misses 2-pt shot at rim,,44-41,,
4:18.0,,,44-41,,Defensive rebound by Team
4:03.0,,,44-43,2,K. Irving makes 2-pt shot from 8 ft
4:00.0,San Antonio full timeout,,44-43,,
3:43.0,R. Gay misses 2-pt shot from 10 ft,,44-43,,
3:40.0,,,44-43,,Defensive rebound by J. Tatum
3:25.0,,,44-43,,Boston full timeout
3:22.0,,,44-43,,Turnover by A. Nader (bad pass; steal by D. Murray)
3:15.0,D. Green misses 3-pt shot from 27 ft,,44-43,,
3:13.0,Offensive rebound by D. Murray,,44-43,,
3:12.0,D. Murray makes 2-pt shot at rim,2,46-43,,
2:55.0,,,46-43,,A. Nader misses 2-pt shot at rim
2:54.0,,,46-45,2,A. Nader makes 2-pt shot at rim
2:51.0,,,46-45,,Offensive rebound by A. Nader
2:37.0,R. Gay misses 2-pt shot from 3 ft,,46-45,,
2:37.0,,,46-45,,Defensive rebound by A. Horford
2:31.0,,,46-45,,Offensive charge foul by J. Brown (drawn by B. Paul)
2:31.0,,,46-45,,Turnover by J. Brown (offensive foul)
2:31.0,,,46-45,,M. Smart enters the game for A. Nader
2:31.0,K. Anderson enters the game for R. Gay,,46-45,,
2:13.0,Jump ball: K. Irving vs. D. Murray (A. Horford gains possession),,,,Jump ball: K. Irving vs. D. Murray (A. Horford gains possession)
2:13.0,Turnover by D. Murray (turnover; steal by K. Irving),,46-45,,
2:04.0,,,46-45,,K. Irving misses 3-pt shot from 28 ft
2:02.0,Defensive rebound by Team,,46-45,,
1:50.0,Turnover by D. Murray (lost ball; steal by J. Brown),,46-45,,
1:47.0,,,46-45,,Shooting foul by B. Paul (drawn by J. Tatum)
1:47.0,,,46-45,,J. Tatum misses free throw 1 of 2
1:47.0,,,46-45,,Offensive rebound by Team
1:47.0,P. Mills enters the game for B. Paul,,46-45,,
1:47.0,R. Gay enters the game for D. Murray,,46-45,,
1:47.0,,,46-46,1,J. Tatum makes free throw 2 of 2
