time,San Antonio,pts.away,score,pts.home,Boston
4:21.0,,,85-100,,Offensive rebound by A. Horford
4:21.0,,,85-102,2,A. Horford makes 2-pt shot at rim
4:08.0,K. Anderson makes 2-pt shot from 2 ft (assist by B. Forbes),2,87-102,,
3:56.0,,,87-102,,M. Smart misses 2-pt shot from 2 ft (block by D. White)
3:53.0,Defensive rebound by B. Paul,,87-102,,
3:47.0,B. Forbes misses 3-pt shot from 22 ft,,87-102,,
3:44.0,,,87-102,,Defensive rebound by K. Irving
3:27.0,D. Murray enters the game for K. Anderson,,87-102,,
3:22.0,,,87-102,,A. Horford misses 2-pt shot from 11 ft
3:18.0,Defensive rebound by D. Murray,,87-102,,
3:14.0,Turnover by D. Murray (lost ball; steal by K. Irving),,87-102,,
3:06.0,,,87-102,,J. Tatum misses 2-pt shot from 2 ft
3:03.0,Defensive rebound by D. White,,87-102,,
2:53.0,D. Murray misses 2-pt shot from 16 ft,,87-102,,
2:48.0,Offensive rebound by D. White,,87-102,,
2:48.0,,,87-102,,S. Larkin enters the game for K. Irving
2:48.0,,,87-102,,G. Yabusele enters the game for A. Horford
2:37.0,Turnover by B. Forbes (lost ball; steal by M. Smart),,87-102,,
2:32.0,,,87-105,3,J. Tatum makes 3-pt shot from 22 ft (assist by M. Smart)
2:30.0,San Antonio full timeout,,87-105,,
2:30.0,,,87-105,,A. Nader enters the game for M. Smart
2:20.0,D. Bertans misses 3-pt shot from 28 ft,,87-105,,
2:17.0,,,87-105,,Defensive rebound by J. Tatum
1:55.0,,,87-105,,A. Nader misses 3-pt shot from 25 ft
1:54.0,,,87-105,,Turnover by Team (shot clock)
1:53.0,,,87-105,,Offensive rebound by Team
1:43.0,D. Murray makes 2-pt shot from 1 ft (assist by D. Bertans),2,89-105,,
1:35.0,,,89-105,,S. Larkin misses 3-pt shot from 25 ft
1:32.0,,,89-105,,Offensive rebound by G. Yabusele
1:28.0,,,89-105,,J. Tatum misses 3-pt shot from 25 ft
1:24.0,Defensive rebound by D. Bertans,,89-105,,
1:16.0,,,89-105,,Personal foul by A. Nader (drawn by D. Bertans)
1:16.0,D. Bertans misses free throw 1 of 2,,89-105,,
1:16.0,Offensive rebound by Team,,89-105,,
1:16.0,,,89-105,,D. Theis enters the game for J. Tatum
1:16.0,D. Bertans makes free throw 2 of 2,1,90-105,,
1:03.0,,,90-105,,Turnover by S. Larkin (bad pass; steal by D. White)
0:59.0,B. Paul makes 2-pt shot from 2 ft (assist by D. Bertans),2,92-105,,
0:40.0,,,92-108,3,G. Yabusele makes 3-pt shot from 26 ft (assist by A. Nader)
0:31.0,D. Murray makes 2-pt shot from 1 ft,2,94-108,,
0:07.0,,,94-108,,Turnover by Team (shot clock)
