time,Portland,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Nurkic (C. Anthony gains possession),,,,Jump ball: S. Adams vs. J. Nurkic (C. Anthony gains possession)
11:41.0,,,0-2,2,R. Westbrook makes 2-pt shot from 3 ft
11:19.0,J. Nurkic misses 2-pt shot from 1 ft,,0-2,,
11:16.0,Offensive rebound by J. Nurkic,,0-2,,
11:15.0,J. Nurkic makes 2-pt shot from 2 ft,2,2-2,,
11:00.0,,,2-2,,P. George misses 2-pt shot from 11 ft
10:58.0,Defensive rebound by A. Aminu,,2-2,,
10:50.0,J. Nurkic misses 2-pt shot from 1 ft,,2-2,,
10:49.0,Offensive rebound by J. Nurkic,,2-2,,
10:47.0,J. Nurkic makes 2-pt shot from 2 ft,2,4-2,,
10:22.0,,,4-4,2,C. Anthony makes 2-pt shot from 11 ft
10:03.0,C. McCollum makes 2-pt shot from 7 ft,2,6-4,,
9:51.0,,,6-4,,Turnover by S. Adams (lost ball; steal by A. Aminu)
9:44.0,S. Napier misses 2-pt shot at rim,,6-4,,
9:42.0,,,6-4,,Defensive rebound by C. Anthony
9:30.0,,,6-6,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
9:16.0,E. Turner misses 2-pt shot from 16 ft,,6-6,,
9:14.0,,,6-6,,Defensive rebound by R. Westbrook
9:11.0,Violation by S. Napier (kicked ball),,6-6,,
8:57.0,,,6-6,,Turnover by P. George (lost ball; steal by S. Napier)
8:41.0,Shooting foul by R. Westbrook (drawn by S. Napier),,6-6,,
8:41.0,S. Napier makes free throw 1 of 3,1,7-6,,
8:41.0,S. Napier makes free throw 2 of 3,1,8-6,,
8:41.0,S. Napier makes free throw 3 of 3,1,9-6,,
8:25.0,,,9-6,,Turnover by R. Westbrook (bad pass; steal by E. Turner)
8:16.0,J. Nurkic makes 2-pt shot from 15 ft (assist by E. Turner),2,11-6,,
8:14.0,,,11-6,,Oklahoma City full timeout
7:58.0,,,11-6,,T. Ferguson misses 2-pt shot from 12 ft (block by E. Turner)
7:54.0,,,11-6,,Offensive rebound by T. Ferguson
7:50.0,,,11-8,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:25.0,C. McCollum misses 3-pt shot from 23 ft,,11-8,,
7:23.0,,,11-8,,Defensive rebound by R. Westbrook
7:20.0,,,11-8,,T. Ferguson misses 3-pt shot from 27 ft
7:20.0,Defensive rebound by A. Aminu,,11-8,,
7:10.0,Shooting foul by C. Anthony (drawn by E. Turner),,11-8,,
7:10.0,E. Turner makes free throw 1 of 2,1,12-8,,
7:10.0,E. Turner makes free throw 2 of 2,1,13-8,,
6:59.0,,,13-8,,Turnover by R. Westbrook (bad pass; steal by J. Nurkic)
6:57.0,Offensive foul by A. Aminu (drawn by T. Ferguson),,13-8,,
6:57.0,Turnover by A. Aminu (offensive foul),,13-8,,
6:47.0,,,13-8,,P. George misses 2-pt shot from 20 ft
6:45.0,Defensive rebound by A. Aminu,,13-8,,
6:36.0,A. Aminu makes 2-pt shot from 1 ft,2,15-8,,
6:22.0,,,15-8,,R. Westbrook misses 2-pt shot from 11 ft
6:17.0,Defensive rebound by C. McCollum,,15-8,,
5:56.0,C. McCollum misses 3-pt shot from 24 ft,,15-8,,
5:54.0,,,15-8,,Defensive rebound by R. Westbrook
5:48.0,,,15-8,,C. Anthony misses 3-pt shot from 25 ft
5:45.0,,,15-8,,Offensive rebound by Team
5:45.0,Loose ball foul by S. Napier (drawn by S. Adams),,15-8,,
5:45.0,,,15-8,,J. Huestis enters the game for P. George
5:45.0,P. Connaughton enters the game for S. Napier,,15-8,,
5:41.0,,,15-8,,Shooting foul by E. Turner (drawn by R. Westbrook)
