time,Oklahoma City,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. S. Adams (R. Westbrook gains possession),,,,Jump ball: A. Baynes vs. S. Adams (R. Westbrook gains possession)
11:43.0,P. George misses 2-pt shot from 4 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by M. Morris
11:20.0,,,0-2,2,M. Morris makes 2-pt shot at rim (assist by A. Horford)
10:59.0,P. George misses 2-pt shot from 2 ft (block by A. Horford),,0-2,,
10:57.0,,,0-2,,Defensive rebound by A. Horford
10:51.0,,,0-4,2,M. Morris makes 2-pt shot from 5 ft (assist by A. Horford)
10:36.0,R. Westbrook makes 2-pt shot from 2 ft,2,2-4,,
10:22.0,,,2-4,,A. Baynes misses 2-pt shot from 12 ft
10:19.0,Defensive rebound by C. Anthony,,2-4,,
10:15.0,C. Anthony misses 3-pt shot from 26 ft,,2-4,,
10:13.0,,,2-4,,Defensive rebound by J. Tatum
10:01.0,,,2-4,,A. Horford misses 2-pt shot from 14 ft
9:58.0,Defensive rebound by C. Anthony,,2-4,,
9:44.0,S. Adams makes 2-pt shot from 2 ft,2,4-4,,
9:17.0,,,4-4,,A. Baynes misses 2-pt shot from 12 ft
9:15.0,Defensive rebound by R. Westbrook,,4-4,,
9:09.0,S. Adams makes 2-pt shot from 14 ft (assist by R. Westbrook),2,6-4,,
8:55.0,,,6-4,,Turnover by A. Horford (bad pass)
8:37.0,P. George makes 2-pt shot from 7 ft,2,8-4,,
8:24.0,,,8-4,,T. Rozier misses 2-pt shot from 1 ft
8:22.0,Defensive rebound by S. Adams,,8-4,,
8:18.0,C. Anthony misses 3-pt shot from 25 ft,,8-4,,
8:14.0,,,8-4,,Defensive rebound by A. Baynes
8:09.0,,,8-4,,Offensive foul by A. Horford (drawn by C. Brewer)
8:09.0,,,8-4,,Turnover by A. Horford (offensive foul)
7:57.0,Turnover by R. Westbrook (bad pass),,8-4,,
7:38.0,,,8-6,2,J. Tatum makes 2-pt shot at rim (assist by T. Rozier)
7:18.0,R. Westbrook misses 2-pt shot from 11 ft,,8-6,,
7:14.0,Offensive rebound by C. Brewer,,8-6,,
7:12.0,C. Anthony misses 3-pt shot from 26 ft,,8-6,,
7:09.0,,,8-6,,Defensive rebound by J. Tatum
7:05.0,Personal foul by P. George (drawn by J. Tatum),,8-6,,
7:05.0,,,8-6,,Boston full timeout
6:54.0,,,8-6,,T. Rozier misses 3-pt shot from 25 ft
6:53.0,Defensive rebound by S. Adams,,8-6,,
6:39.0,R. Westbrook misses 2-pt shot from 4 ft,,8-6,,
6:38.0,,,8-6,,Defensive rebound by J. Tatum
6:34.0,Personal foul by R. Westbrook (drawn by J. Tatum),,8-6,,
6:21.0,,,8-8,2,A. Baynes makes 2-pt shot at rim (assist by T. Rozier)
5:58.0,C. Anthony misses 2-pt shot from 3 ft (block by A. Baynes),,8-8,,
5:58.0,Offensive rebound by Team,,8-8,,
5:58.0,,,8-8,,Personal foul by A. Horford (drawn by S. Adams)
5:52.0,R. Westbrook misses 2-pt shot from 6 ft,,8-8,,
5:50.0,Offensive rebound by S. Adams,,8-8,,
5:48.0,S. Adams makes 2-pt shot at rim,2,10-8,,
5:39.0,,,10-11,3,M. Morris makes 3-pt shot from 25 ft (assist by T. Rozier)
5:34.0,Shooting foul by J. Tatum (drawn by R. Westbrook),,10-11,,
5:34.0,R. Westbrook misses free throw 1 of 2,,10-11,,
5:34.0,Offensive rebound by Team,,10-11,,
5:34.0,,,10-11,,A. Nader enters the game for J. Tatum
5:34.0,,,10-11,,S. Ojeleye enters the game for A. Horford
5:34.0,R. Westbrook makes free throw 2 of 2,1,11-11,,
5:10.0,,,11-11,,A. Nader misses 2-pt shot from 7 ft
5:05.0,Defensive rebound by P. George,,11-11,,
5:03.0,C. Brewer misses 3-pt shot from 22 ft,,11-11,,
5:00.0,,,11-11,,Defensive rebound by A. Nader
4:47.0,,,11-11,,S. Ojeleye misses 2-pt shot from 3 ft (block by C. Anthony)
4:43.0,Defensive rebound by C. Anthony,,11-11,,
4:32.0,C. Anthony makes 2-pt shot from 13 ft,2,13-11,,
4:32.0,Shooting foul by S. Ojeleye (drawn by C. Anthony),,13-11,,
4:32.0,,,13-11,,G. Monroe enters the game for A. Baynes
4:32.0,C. Anthony makes free throw 1 of 1,1,14-11,,
4:19.0,,,14-11,,M. Morris misses 2-pt shot from 11 ft
4:16.0,Defensive rebound by R. Westbrook,,14-11,,
4:11.0,R. Westbrook misses 2-pt shot from 18 ft,,14-11,,
