time,Washington,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:59.0,Loose ball foul by M. Gortat (drawn by J. Valanciunas),,0-0,,
11:49.0,,,0-0,,J. Valanciunas misses 2-pt shot from 3 ft (block by J. Wall)
11:49.0,,,0-0,,Offensive rebound by Team
11:42.0,,,0-0,,Turnover by K. Lowry (out of bounds lost ball)
11:26.0,O. Porter makes 2-pt shot from 19 ft (assist by J. Wall),2,2-0,,
11:09.0,,,2-2,2,S. Ibaka makes 2-pt shot from 5 ft (assist by K. Lowry)
10:46.0,M. Morris makes 2-pt shot from 9 ft,2,4-2,,
10:35.0,,,4-4,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry)
10:18.0,M. Morris misses 3-pt shot from 25 ft,,4-4,,
10:15.0,,,4-4,,Defensive rebound by J. Valanciunas
10:11.0,,,4-4,,K. Lowry misses 3-pt shot from 28 ft
10:09.0,Defensive rebound by O. Porter,,4-4,,
9:57.0,Turnover by J. Wall (bad pass; steal by K. Lowry),,4-4,,
9:41.0,,,4-6,2,J. Valanciunas makes 2-pt shot from 5 ft
9:22.0,B. Beal misses 2-pt shot from 3 ft,,4-6,,
9:20.0,,,4-6,,Defensive rebound by J. Valanciunas
9:16.0,,,4-6,,Shooting foul by M. Gortat (drawn by D. DeRozan)
9:16.0,,,4-6,,D. DeRozan misses free throw 1 of 2
9:16.0,,,4-6,,Offensive rebound by Team
9:16.0,I. Mahinmi enters the game for M. Gortat,,4-6,,
9:16.0,,,4-7,1,D. DeRozan makes free throw 2 of 2
8:58.0,J. Wall misses 2-pt shot from 17 ft,,4-7,,
8:55.0,,,4-7,,Defensive rebound by S. Ibaka
8:41.0,,,4-10,3,O. Anunoby makes 3-pt shot from 25 ft (assist by J. Valanciunas)
8:39.0,Washington full timeout,,4-10,,
8:27.0,B. Beal misses 2-pt shot from 19 ft,,4-10,,
8:24.0,,,4-10,,Defensive rebound by S. Ibaka
8:13.0,,,4-12,2,S. Ibaka makes 2-pt shot from 1 ft (assist by K. Lowry)
8:05.0,O. Porter misses 2-pt shot from 17 ft,,4-12,,
8:02.0,,,4-12,,Defensive rebound by J. Valanciunas
7:49.0,,,4-12,,S. Ibaka misses 2-pt shot from 8 ft
7:47.0,,,4-12,,Offensive rebound by O. Anunoby
7:46.0,,,4-14,2,O. Anunoby makes 2-pt shot at rim
7:28.0,B. Beal makes 2-pt shot from 19 ft (assist by J. Wall),2,6-14,,
7:04.0,,,6-14,,Turnover by S. Ibaka (lost ball; steal by I. Mahinmi)
7:00.0,Shooting foul by K. Lowry (drawn by I. Mahinmi),,6-14,,
7:00.0,I. Mahinmi makes free throw 1 of 2,1,7-14,,
7:00.0,I. Mahinmi makes free throw 2 of 2,1,8-14,,
6:50.0,,,8-14,,Shooting foul by I. Mahinmi (drawn by J. Valanciunas)
6:50.0,,,8-14,,J. Valanciunas misses free throw 1 of 2
6:50.0,,,8-14,,Offensive rebound by Team
6:50.0,,,8-15,1,J. Valanciunas makes free throw 2 of 2
6:40.0,Offensive foul by I. Mahinmi (drawn by O. Anunoby),,8-15,,
6:40.0,Turnover by I. Mahinmi (offensive foul),,8-15,,
6:40.0,M. Scott enters the game for I. Mahinmi,,8-15,,
6:29.0,,,8-17,2,K. Lowry makes 2-pt shot from 2 ft
6:18.0,M. Morris makes 2-pt shot from 1 ft (assist by J. Wall),2,10-17,,
6:02.0,,,10-17,,D. DeRozan misses 3-pt shot from 23 ft
5:54.0,,,10-17,,Offensive rebound by O. Anunoby
5:54.0,,,10-17,,O. Anunoby misses 2-pt shot at rim
5:54.0,,,10-17,,Offensive rebound by D. DeRozan
5:49.0,,,10-17,,Turnover by K. Lowry (bad pass)
5:39.0,M. Scott misses 2-pt shot from 18 ft,,10-17,,
5:34.0,,,10-17,,Defensive rebound by D. DeRozan
5:25.0,,,10-17,,J. Valanciunas misses 2-pt shot from 4 ft
5:23.0,Defensive rebound by B. Beal,,10-17,,
5:17.0,J. Wall makes 3-pt shot from 25 ft (assist by O. Porter),3,13-17,,
5:04.0,,,13-19,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
4:56.0,J. Wall misses 2-pt shot from 1 ft,,13-19,,
4:54.0,,,13-19,,Defensive rebound by K. Lowry
4:46.0,,,13-22,3,O. Anunoby makes 3-pt shot from 22 ft (assist by D. DeRozan)
4:32.0,,,13-22,,Personal foul by S. Ibaka (drawn by M. Morris)
4:32.0,K. Oubre enters the game for O. Porter,,13-22,,
4:23.0,M. Morris misses 3-pt shot from 25 ft,,13-22,,
4:21.0,,,13-22,,Defensive rebound by J. Valanciunas
4:08.0,,,13-22,,O. Anunoby misses 3-pt shot from 23 ft
4:03.0,Defensive rebound by M. Morris,,13-22,,
4:01.0,J. Wall misses 2-pt shot from 1 ft,,13-22,,
3:59.0,Offensive rebound by M. Morris,,13-22,,
3:57.0,K. Oubre misses 2-pt shot from 22 ft,,13-22,,
3:52.0,Offensive rebound by M. Morris,,13-22,,
3:49.0,M. Scott makes 2-pt shot from 1 ft (assist by M. Morris),2,15-22,,
3:43.0,,,15-22,,Toronto full timeout
3:43.0,,,15-22,,J. Poeltl enters the game for O. Anunoby
3:43.0,,,15-22,,C. Miles enters the game for J. Valanciunas
3:43.0,T. Satoransky enters the game for B. Beal,,15-22,,
3:34.0,,,15-22,,Shooting foul by M. Morris (drawn by S. Ibaka)
3:34.0,,,15-23,1,S. Ibaka makes free throw 1 of 2
3:34.0,,,15-24,1,S. Ibaka makes free throw 2 of 2
3:20.0,J. Wall makes 3-pt shot from 23 ft (assist by K. Oubre),3,18-24,,
3:03.0,,,18-24,,Turnover by D. DeRozan (lost ball; steal by K. Oubre)
2:54.0,K. Oubre misses 3-pt shot from 24 ft,,18-24,,
2:52.0,,,18-24,,Defensive rebound by S. Ibaka
2:48.0,,,18-24,,Offensive foul by J. Poeltl (drawn by J. Wall)
2:48.0,,,18-24,,Turnover by J. Poeltl (offensive foul)
2:48.0,,,18-24,,P. Siakam enters the game for K. Lowry
2:48.0,,,18-24,,D. Wright enters the game for S. Ibaka
2:37.0,J. Wall misses 2-pt shot from 2 ft (block by J. Poeltl),,18-24,,
2:35.0,,,18-24,,Defensive rebound by J. Poeltl
2:24.0,,,18-24,,Offensive foul by P. Siakam (drawn by K. Oubre)
2:24.0,,,18-24,,Turnover by P. Siakam (offensive foul)
2:13.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,20-24,,
1:55.0,,,20-24,,D. Wright misses 3-pt shot from 27 ft
1:52.0,Defensive rebound by M. Scott,,20-24,,
1:45.0,J. Wall makes 2-pt shot from 1 ft,2,22-24,,
1:45.0,Shooting foul by J. Poeltl (drawn by J. Wall),,22-24,,
1:45.0,J. Wall makes free throw 1 of 1,1,23-24,,
1:33.0,,,23-24,,C. Miles misses 3-pt shot from 25 ft
1:29.0,Defensive rebound by M. Morris,,23-24,,
1:21.0,Turnover by J. Wall (bad pass; steal by D. Wright),,23-24,,
1:17.0,,,23-26,2,D. Wright makes 2-pt shot at rim
1:04.0,Turnover by J. Wall (bad pass),,23-26,,
0:48.0,,,23-26,,Offensive charge foul by D. Wright (drawn by J. Wall)
0:48.0,,,23-26,,Turnover by D. Wright (offensive foul)
0:48.0,T. Frazier enters the game for J. Wall,,23-26,,
0:38.0,K. Oubre misses 2-pt shot from 3 ft (block by J. Poeltl),,23-26,,
0:36.0,,,23-26,,Defensive rebound by P. Siakam
0:33.0,,,23-28,2,D. DeRozan makes 2-pt shot from 3 ft
0:14.0,Turnover by T. Satoransky (bad pass),,23-28,,
0:00.0,,,23-28,,C. Miles misses 3-pt shot from 28 ft
0:00.0,,,23-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,M. Scott misses 2-pt shot from 14 ft,,23-28,,
11:40.0,,,23-28,,Defensive rebound by C. Miles
11:31.0,,,23-28,,N. Powell misses 2-pt shot from 2 ft
11:28.0,Defensive rebound by K. Oubre,,23-28,,
11:08.0,T. Satoransky misses 2-pt shot from 3 ft,,23-28,,
11:05.0,Offensive rebound by M. Gortat,,23-28,,
11:04.0,M. Gortat makes 2-pt shot from 2 ft,2,25-28,,
10:59.0,Personal foul by T. Frazier (drawn by D. Wright),,25-28,,
10:49.0,,,25-28,,Turnover by D. Wright (bad pass; steal by T. Frazier)
10:43.0,Shooting foul by P. Siakam (drawn by T. Satoransky),,25-28,,
10:43.0,T. Satoransky makes free throw 1 of 2,1,26-28,,
10:43.0,T. Satoransky makes free throw 2 of 2,1,27-28,,
10:30.0,,,27-31,3,C. Miles makes 3-pt shot from 26 ft (assist by D. Wright)
10:16.0,M. Scott makes 2-pt shot at rim (assist by T. Frazier),2,29-31,,
9:57.0,,,29-31,,D. Wright misses 2-pt shot from 6 ft
9:54.0,Defensive rebound by M. Gortat,,29-31,,
9:49.0,,,29-31,,Personal foul by N. Powell (drawn by K. Oubre)
9:37.0,T. Frazier misses 2-pt shot from 6 ft,,29-31,,
9:34.0,,,29-31,,Defensive rebound by P. Siakam
9:30.0,,,29-34,3,C. Miles makes 3-pt shot from 27 ft (assist by D. Wright)
9:10.0,M. Scott makes 2-pt shot from 11 ft (assist by T. Satoransky),2,31-34,,
8:57.0,,,31-34,,Shooting foul by M. Scott (drawn by P. Siakam)
8:57.0,,,31-35,1,P. Siakam makes free throw 1 of 2
8:57.0,B. Beal enters the game for T. Frazier,,31-35,,
8:57.0,,,31-36,1,P. Siakam makes free throw 2 of 2
8:34.0,B. Beal misses 3-pt shot from 26 ft,,31-36,,
8:32.0,,,31-36,,Defensive rebound by D. Wright
8:26.0,,,31-39,3,D. Wright makes 3-pt shot from 26 ft
8:25.0,Washington full timeout,,31-39,,
8:25.0,J. Wall enters the game for K. Oubre,,31-39,,
8:25.0,O. Porter enters the game for T. Satoransky,,31-39,,
8:08.0,B. Beal makes 2-pt shot from 12 ft,2,33-39,,
7:55.0,,,33-41,2,J. Poeltl makes 2-pt shot from 1 ft (assist by D. Wright)
7:38.0,M. Scott makes 2-pt shot at rim (assist by B. Beal),2,35-41,,
7:15.0,,,35-41,,P. Siakam misses 2-pt shot from 5 ft
7:12.0,Defensive rebound by J. Wall,,35-41,,
7:09.0,,,35-41,,J. Valanciunas enters the game for N. Powell
7:09.0,,,35-41,,K. Lowry enters the game for J. Poeltl
7:09.0,,,35-41,,S. Ibaka enters the game for P. Siakam
7:03.0,B. Beal makes 2-pt shot from 7 ft,2,37-41,,
7:03.0,Shooting foul by J. Valanciunas (drawn by B. Beal),,37-41,,
7:03.0,B. Beal makes free throw 1 of 1,1,38-41,,
6:55.0,,,38-41,,K. Lowry misses 3-pt shot from 25 ft
6:52.0,Defensive rebound by M. Gortat,,38-41,,
6:38.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,40-41,,
6:27.0,,,40-41,,C. Miles misses 3-pt shot from 26 ft
6:24.0,Defensive rebound by O. Porter,,40-41,,
6:20.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,42-41,,
6:11.0,,,42-41,,Toronto full timeout
6:11.0,,,42-41,,D. DeRozan enters the game for C. Miles
6:11.0,M. Morris enters the game for M. Scott,,42-41,,
5:54.0,,,42-41,,Turnover by D. Wright (lost ball; steal by J. Wall)
5:40.0,O. Porter makes 2-pt shot from 7 ft (assist by J. Wall),2,44-41,,
5:25.0,,,44-41,,D. DeRozan misses 2-pt shot from 19 ft
5:23.0,Defensive rebound by B. Beal,,44-41,,
5:10.0,M. Morris makes 2-pt shot from 10 ft,2,46-41,,
5:02.0,,,46-43,2,D. Wright makes 2-pt shot from 1 ft (assist by S. Ibaka)
4:39.0,O. Porter makes 2-pt shot from 8 ft (assist by J. Wall),2,48-43,,
4:28.0,,,48-43,,Shooting foul by M. Morris (drawn by D. DeRozan)
4:28.0,,,48-44,1,D. DeRozan makes free throw 1 of 2
4:28.0,,,48-44,,O. Anunoby enters the game for D. Wright
4:28.0,,,48-45,1,D. DeRozan makes free throw 2 of 2
4:19.0,Turnover by J. Wall (bad pass; steal by K. Lowry),,48-45,,
4:11.0,,,48-48,3,S. Ibaka makes 3-pt shot from 26 ft (assist by D. DeRozan)
3:45.0,B. Beal misses 2-pt shot from 9 ft (block by S. Ibaka),,48-48,,
3:42.0,,,48-48,,Defensive rebound by J. Valanciunas
3:41.0,,,48-48,,Turnover by J. Valanciunas (bad pass; steal by B. Beal)
3:32.0,Shooting foul by O. Anunoby (drawn by J. Wall),,48-48,,
3:32.0,J. Wall makes free throw 1 of 2,1,49-48,,
3:32.0,J. Wall makes free throw 2 of 2,1,50-48,,
3:19.0,,,50-48,,S. Ibaka misses 3-pt shot from 22 ft
3:16.0,Defensive rebound by O. Porter,,50-48,,
3:05.0,J. Wall misses 2-pt shot from 3 ft,,50-48,,
