time,Washington,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. M. Gortat (T. Satoransky gains possession),,,,Jump ball: L. Aldridge vs. M. Gortat (T. Satoransky gains possession)
11:47.0,O. Porter makes 2-pt shot from 16 ft (assist by M. Morris),2,2-0,,
11:22.0,,,2-0,,L. Aldridge misses 2-pt shot from 1 ft
11:18.0,Defensive rebound by O. Porter,,2-0,,
11:09.0,M. Morris misses 3-pt shot from 23 ft,,2-0,,
11:04.0,,,2-0,,Defensive rebound by L. Aldridge
10:57.0,,,2-0,,D. Green misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by O. Porter,,2-0,,
10:38.0,T. Satoransky misses 3-pt shot from 22 ft,,2-0,,
10:34.0,,,2-0,,Defensive rebound by D. Green
10:29.0,,,2-0,,D. Murray misses 2-pt shot from 13 ft
10:26.0,Defensive rebound by M. Gortat,,2-0,,
10:18.0,Turnover by M. Gortat (bad pass; steal by L. Aldridge),,2-0,,
10:08.0,,,2-0,,L. Aldridge misses 3-pt shot from 25 ft
10:00.0,,,2-0,,Offensive rebound by D. Green
10:00.0,,,2-0,,D. Green misses 2-pt shot at rim
9:59.0,Defensive rebound by T. Satoransky,,2-0,,
9:56.0,B. Beal misses 3-pt shot from 25 ft,,2-0,,
9:52.0,,,2-0,,Defensive rebound by L. Aldridge
9:40.0,,,2-0,,K. Anderson misses 2-pt shot from 8 ft
9:38.0,Defensive rebound by O. Porter,,2-0,,
9:27.0,O. Porter misses 2-pt shot from 3 ft,,2-0,,
9:24.0,,,2-0,,Defensive rebound by D. Murray
9:22.0,,,2-0,,San Antonio full timeout
9:17.0,Personal foul by M. Gortat (drawn by L. Aldridge),,2-0,,
9:04.0,,,2-0,,L. Aldridge misses 2-pt shot from 7 ft
9:00.0,Defensive rebound by O. Porter,,2-0,,
8:39.0,M. Gortat misses 2-pt shot from 7 ft,,2-0,,
8:35.0,Offensive rebound by T. Satoransky,,2-0,,
8:33.0,B. Beal makes 2-pt shot from 9 ft (assist by T. Satoransky),2,4-0,,
8:14.0,,,4-0,,Turnover by D. Green (bad pass; steal by O. Porter)
7:59.0,B. Beal makes 2-pt shot from 19 ft,2,6-0,,
7:36.0,,,6-2,2,L. Aldridge makes 2-pt shot from 12 ft
7:23.0,B. Beal makes 2-pt shot at rim (assist by M. Gortat),2,8-2,,
7:06.0,,,8-4,2,L. Aldridge makes 2-pt shot from 11 ft (assist by K. Anderson)
6:54.0,B. Beal makes 3-pt shot from 25 ft,3,11-4,,
6:37.0,,,11-6,2,L. Aldridge makes 2-pt shot from 20 ft
6:19.0,Turnover by O. Porter (bad pass; steal by P. Mills),,11-6,,
6:14.0,,,11-6,,D. Green misses 3-pt shot from 26 ft
6:08.0,,,11-6,,Offensive rebound by K. Anderson
6:08.0,,,11-8,2,K. Anderson makes 2-pt shot at rim
6:00.0,,,11-8,,Personal foul by P. Mills (drawn by T. Satoransky)
6:00.0,,,11-8,,M. Ginobili enters the game for D. Green
5:47.0,Turnover by B. Beal (bad pass; steal by D. Murray),,11-8,,
5:41.0,,,11-10,2,D. Murray makes 2-pt shot at rim (assist by L. Aldridge)
5:21.0,M. Morris makes 2-pt shot from 7 ft,2,13-10,,
5:09.0,,,13-12,2,P. Mills makes 2-pt shot from 16 ft (assist by L. Aldridge)
4:45.0,T. Satoransky misses 2-pt shot from 8 ft,,13-12,,
4:44.0,,,13-12,,Defensive rebound by M. Ginobili
4:44.0,Personal foul by T. Satoransky (drawn by M. Ginobili),,13-12,,
4:44.0,,,13-12,,P. Gasol enters the game for K. Anderson
4:44.0,I. Mahinmi enters the game for M. Gortat,,13-12,,
4:44.0,K. Oubre enters the game for O. Porter,,13-12,,
4:25.0,,,13-12,,M. Ginobili misses 2-pt shot from 2 ft (block by K. Oubre)
4:24.0,Defensive rebound by M. Morris,,13-12,,
4:13.0,,,13-12,,Personal foul by M. Ginobili (drawn by M. Morris)
4:13.0,,,13-12,,T. Parker enters the game for D. Murray
4:05.0,B. Beal makes 2-pt shot from 17 ft,2,15-12,,
3:46.0,,,15-12,,P. Mills misses 3-pt shot from 23 ft
3:42.0,,,15-12,,Offensive rebound by P. Mills
3:28.0,,,15-14,2,L. Aldridge makes 2-pt shot from 3 ft
3:07.0,Shooting foul by P. Gasol (drawn by I. Mahinmi),,15-14,,
3:07.0,I. Mahinmi misses free throw 1 of 2,,15-14,,
3:07.0,Offensive rebound by Team,,15-14,,
3:07.0,,,15-14,,R. Gay enters the game for P. Mills
3:07.0,R. Sessions enters the game for T. Satoransky,,15-14,,
3:07.0,I. Mahinmi makes free throw 2 of 2,1,16-14,,
2:50.0,,,16-14,,Turnover by P. Gasol (bad pass; steal by M. Morris)
2:36.0,M. Morris misses 2-pt shot from 9 ft (block by L. Aldridge),,16-14,,
2:36.0,Offensive rebound by Team,,16-14,,
2:36.0,Washington full timeout,,16-14,,
2:36.0,,,16-14,,D. Bertans enters the game for L. Aldridge
2:29.0,M. Morris misses 2-pt shot from 13 ft,,16-14,,
2:27.0,Offensive rebound by Team,,16-14,,
2:27.0,Turnover by Team (shot clock),,16-14,,
2:10.0,,,16-16,2,R. Gay makes 2-pt shot from 8 ft
1:48.0,K. Oubre misses 2-pt shot from 4 ft (block by P. Gasol),,16-16,,
1:48.0,Offensive rebound by K. Oubre,,16-16,,
1:41.0,K. Oubre makes 2-pt shot at rim,2,18-16,,
1:31.0,,,18-16,,Turnover by R. Gay (lost ball; steal by K. Oubre)
1:29.0,Turnover by R. Sessions (lost ball; steal by M. Ginobili),,18-16,,
1:22.0,,,18-18,2,P. Gasol makes 2-pt shot from 4 ft (assist by R. Gay)
0:57.0,I. Mahinmi misses 3-pt shot from 26 ft,,18-18,,
0:57.0,,,18-18,,Defensive rebound by R. Gay
0:36.0,,,18-18,,D. Bertans misses 2-pt shot from 15 ft
0:33.0,Defensive rebound by M. Morris,,18-18,,
0:20.0,I. Mahinmi misses 2-pt shot from 9 ft,,18-18,,
0:17.0,,,18-18,,Defensive rebound by D. Bertans
0:06.0,Personal foul by R. Sessions (drawn by T. Parker),,18-18,,
0:00.0,,,18-18,,R. Gay misses 2-pt shot from 10 ft
0:00.0,,,18-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,18-18,,Shooting foul by I. Mahinmi (drawn by R. Gay)
11:36.0,,,18-19,1,R. Gay makes free throw 1 of 2
11:36.0,,,18-20,1,R. Gay makes free throw 2 of 2
11:27.0,K. Oubre misses 3-pt shot from 25 ft,,18-20,,
11:23.0,,,18-20,,Defensive rebound by P. Gasol
11:15.0,,,18-20,,Shooting foul by I. Mahinmi (drawn by P. Gasol)
11:15.0,,,18-20,,P. Gasol misses free throw 1 of 2
11:15.0,,,18-20,,Offensive rebound by Team
11:15.0,,,18-21,1,P. Gasol makes free throw 2 of 2
11:05.0,T. Satoransky misses 2-pt shot from 11 ft (block by P. Gasol),,18-21,,
11:03.0,,,18-21,,Defensive rebound by P. Gasol
11:03.0,,,18-21,,Turnover by P. Gasol (bad pass)
10:48.0,R. Sessions makes 2-pt shot from 18 ft (assist by I. Mahinmi),2,20-21,,
10:34.0,,,20-24,3,D. Green makes 3-pt shot from 22 ft (assist by K. Anderson)
10:16.0,K. Oubre makes 2-pt shot from 3 ft (assist by T. Satoransky),2,22-24,,
10:04.0,,,22-26,2,T. Parker makes 2-pt shot from 3 ft
9:52.0,O. Porter misses 2-pt shot from 7 ft,,22-26,,
9:45.0,Offensive rebound by I. Mahinmi,,22-26,,
9:45.0,I. Mahinmi makes 2-pt shot at rim,2,24-26,,
9:37.0,,,24-26,,T. Parker misses 2-pt shot from 9 ft
9:37.0,Defensive rebound by O. Porter,,24-26,,
