time,San Antonio,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. P. Gasol (S. Ibaka gains possession),,,,Jump ball: J. Valanciunas vs. P. Gasol (S. Ibaka gains possession)
11:42.0,,,0-3,3,K. Lowry makes 3-pt shot from 30 ft (assist by D. DeRozan)
11:25.0,P. Gasol makes 2-pt shot from 19 ft (assist by T. Parker),2,2-3,,
11:13.0,,,2-6,3,J. Valanciunas makes 3-pt shot from 25 ft (assist by D. DeRozan)
11:00.0,T. Parker misses 2-pt shot from 4 ft (block by K. Lowry),,2-6,,
11:00.0,Offensive rebound by Team,,2-6,,
10:49.0,L. Aldridge makes 3-pt shot from 24 ft (assist by T. Parker),3,5-6,,
10:27.0,,,5-6,,Turnover by O. Anunoby (bad pass; steal by T. Parker)
10:22.0,T. Parker misses 2-pt shot from 16 ft,,5-6,,
10:18.0,Offensive rebound by D. Green,,5-6,,
10:11.0,,,5-6,,Personal block foul by J. Valanciunas (drawn by T. Parker)
10:04.0,L. Aldridge misses 2-pt shot from 16 ft,,5-6,,
10:02.0,,,5-6,,Defensive rebound by S. Ibaka
9:53.0,,,5-6,,J. Valanciunas misses 2-pt shot from 8 ft
9:49.0,Defensive rebound by P. Gasol,,5-6,,
9:35.0,T. Parker makes 2-pt shot from 15 ft,2,7-6,,
9:20.0,,,7-6,,D. DeRozan misses 2-pt shot from 3 ft
9:19.0,Defensive rebound by L. Aldridge,,7-6,,
9:03.0,Turnover by P. Gasol (lost ball; steal by O. Anunoby),,7-6,,
8:51.0,,,7-6,,D. DeRozan misses 2-pt shot from 19 ft
8:48.0,,,7-6,,Offensive rebound by J. Valanciunas
8:46.0,,,7-6,,J. Valanciunas misses 2-pt shot at rim
8:46.0,Defensive rebound by P. Gasol,,7-6,,
8:41.0,Shooting foul by O. Anunoby (drawn by T. Parker),,7-6,,
8:41.0,T. Parker makes free throw 1 of 2,1,8-6,,
8:41.0,T. Parker misses free throw 2 of 2,,8-6,,
8:39.0,,,8-6,,Defensive rebound by J. Valanciunas
8:28.0,,,8-6,,Turnover by J. Valanciunas (bad pass; steal by T. Parker)
8:14.0,P. Gasol misses 2-pt shot from 22 ft,,8-6,,
8:11.0,,,8-6,,Defensive rebound by D. DeRozan
8:04.0,,,8-6,,D. DeRozan misses 2-pt shot from 7 ft
7:56.0,,,8-6,,Offensive rebound by O. Anunoby
