time,Indiana,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Mickey vs. D. Sabonis (T. Young gains possession),,,,Jump ball: J. Mickey vs. D. Sabonis (T. Young gains possession)
11:42.0,D. Sabonis makes 2-pt shot from 2 ft,2,2-0,,
11:18.0,,,2-0,,J. Mickey misses 2-pt shot from 2 ft
11:16.0,Defensive rebound by T. Young,,2-0,,
11:11.0,T. Young misses 2-pt shot from 1 ft,,2-0,,
11:08.0,,,2-0,,Defensive rebound by J. Johnson
11:06.0,,,2-0,,G. Dragic misses 2-pt shot from 1 ft
11:02.0,,,2-0,,Offensive rebound by J. Mickey
11:00.0,,,2-2,2,J. Mickey makes 2-pt shot from 1 ft
10:42.0,T. Young misses 2-pt shot from 7 ft,,2-2,,
10:42.0,,,2-2,,Defensive rebound by G. Dragic
10:30.0,,,2-2,,J. Richardson misses 3-pt shot from 23 ft
10:26.0,Defensive rebound by D. Sabonis,,2-2,,
10:20.0,B. Bogdanovic misses 2-pt shot from 17 ft,,2-2,,
10:18.0,,,2-2,,Defensive rebound by J. Mickey
10:11.0,,,2-4,2,D. Waiters makes 2-pt shot from 1 ft
10:05.0,V. Oladipo misses 2-pt shot from 2 ft (block by D. Waiters),,2-4,,
9:59.0,,,2-4,,Defensive rebound by J. Richardson
9:55.0,,,2-4,,Turnover by J. Richardson (lost ball; steal by V. Oladipo)
9:47.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by J. Richardson),,2-4,,
9:38.0,,,2-4,,Defensive rebound by J. Mickey
9:36.0,,,2-7,3,D. Waiters makes 3-pt shot from 23 ft (assist by G. Dragic)
9:27.0,D. Sabonis misses 2-pt shot from 1 ft (block by J. Johnson),,2-7,,
9:26.0,Offensive rebound by D. Sabonis,,2-7,,
9:26.0,Shooting foul by D. Waiters (drawn by D. Sabonis),,2-7,,
9:26.0,D. Sabonis makes free throw 1 of 2,1,3-7,,
9:26.0,D. Sabonis misses free throw 2 of 2,,3-7,,
9:23.0,,,3-7,,Defensive rebound by J. Mickey
9:12.0,,,3-9,2,J. Johnson makes 2-pt shot from 3 ft
9:03.0,,,3-9,,Personal foul by J. Richardson (drawn by D. Sabonis)
8:46.0,B. Bogdanovic makes 2-pt shot from 15 ft,2,5-9,,
8:34.0,,,5-11,2,G. Dragic makes 2-pt shot from 15 ft (assist by J. Johnson)
8:25.0,D. Sabonis makes 2-pt shot from 1 ft (assist by D. Collison),2,7-11,,
8:25.0,Shooting foul by J. Johnson (drawn by D. Sabonis),,7-11,,
8:25.0,D. Sabonis makes free throw 1 of 1,1,8-11,,
8:11.0,,,8-13,2,J. Johnson makes 2-pt shot from 1 ft
8:11.0,,,8-13,,Shooting foul by V. Oladipo (drawn by J. Johnson)
8:11.0,,,8-13,,J. Johnson misses free throw 1 of 1
8:10.0,,,8-13,,Offensive rebound by Team
7:53.0,,,8-13,,D. Waiters misses 3-pt shot from 25 ft
7:49.0,Defensive rebound by D. Sabonis,,8-13,,
7:37.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,10-13,,
7:31.0,,,10-13,,Offensive foul by J. Mickey (drawn by D. Sabonis)
7:31.0,,,10-13,,Turnover by J. Mickey (offensive foul)
7:17.0,V. Oladipo misses 2-pt shot from 6 ft,,10-13,,
7:14.0,,,10-13,,Defensive rebound by J. Richardson
7:10.0,,,10-15,2,J. Richardson makes 2-pt shot from 3 ft
7:01.0,D. Sabonis misses 2-pt shot from 2 ft (block by J. Johnson),,10-15,,
7:01.0,,,10-15,,Defensive rebound by Team
6:51.0,,,10-15,,D. Waiters misses 2-pt shot from 1 ft
6:51.0,Defensive rebound by D. Sabonis,,10-15,,
6:46.0,V. Oladipo makes 3-pt shot from 25 ft (assist by D. Collison),3,13-15,,
6:23.0,,,13-15,,J. Richardson misses 3-pt shot from 25 ft
6:20.0,Defensive rebound by D. Collison,,13-15,,
6:09.0,B. Bogdanovic misses 2-pt shot from 2 ft,,13-15,,
6:07.0,,,13-15,,Defensive rebound by J. Mickey
