time,Charlotte,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Howard (K. Walker gains possession),,,,Jump ball: S. Adams vs. D. Howard (K. Walker gains possession)
11:42.0,D. Howard misses 2-pt shot from 1 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by R. Westbrook
11:24.0,,,0-0,,A. Abrines misses 3-pt shot from 24 ft
11:23.0,,,0-0,,Offensive rebound by S. Adams
11:21.0,,,0-2,2,R. Westbrook makes 2-pt shot from 18 ft (assist by S. Adams)
10:56.0,K. Walker makes 2-pt shot from 14 ft,2,2-2,,
10:32.0,,,2-5,3,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook)
10:13.0,D. Howard makes 2-pt shot from 4 ft,2,4-5,,
9:58.0,,,4-5,,Turnover by P. George (bad pass; steal by M. Kidd-Gilchrist)
9:53.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,6-5,,
9:42.0,,,6-5,,Personal foul by C. Anthony (drawn by J. Lamb)
9:42.0,,,6-5,,Turnover by C. Anthony (turnover)
9:18.0,J. Lamb makes 3-pt shot from 25 ft (assist by K. Walker),3,9-5,,
9:05.0,,,9-5,,R. Westbrook misses 2-pt shot from 16 ft
9:02.0,,,9-5,,Offensive rebound by R. Westbrook
8:56.0,,,9-5,,R. Westbrook misses 2-pt shot from 3 ft (block by M. Kidd-Gilchrist)
8:55.0,,,9-5,,Offensive rebound by Team
8:50.0,,,9-5,,C. Anthony misses 2-pt shot from 16 ft
8:47.0,Defensive rebound by K. Walker,,9-5,,
8:43.0,D. Howard misses 2-pt shot at rim,,9-5,,
8:40.0,Offensive rebound by M. Kidd-Gilchrist,,9-5,,
8:39.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,11-5,,
8:31.0,,,11-5,,Shooting foul by J. Lamb (drawn by P. George)
8:31.0,,,11-6,1,P. George makes free throw 1 of 2
8:31.0,,,11-7,1,P. George makes free throw 2 of 2
8:22.0,Shooting foul by A. Abrines (drawn by K. Walker),,11-7,,
8:22.0,K. Walker makes free throw 1 of 3,1,12-7,,
8:22.0,K. Walker makes free throw 2 of 3,1,13-7,,
