time,Sacramento,pts.away,score,pts.home,Dallas
0:29.0,S. Labissiere makes 2-pt shot from 13 ft (assist by D. Fox),2,19-23,,
0:06.0,,,19-23,,J. Barea misses 2-pt shot from 2 ft (block by S. Labissiere)
0:06.0,,,19-23,,Offensive rebound by Team
0:06.0,,,19-23,,W. Matthews enters the game for D. Finney-Smith
0:06.0,,,19-23,,D. Powell enters the game for D. Nowitzki
0:03.0,,,19-23,,D. Powell misses 2-pt shot from 22 ft
0:01.0,B. Hield misses 3-pt shot from 50 ft,,19-23,,
0:01.0,Offensive rebound by Team,,19-23,,
0:00.0,Offensive rebound by B. Hield,,19-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,19-25,2,S. Mejri makes 2-pt shot from 1 ft (assist by D. Finney-Smith)
11:35.0,,,19-25,,Personal block foul by D. Finney-Smith (drawn by V. Carter)
11:28.0,V. Carter misses 3-pt shot from 26 ft,,19-25,,
11:25.0,Offensive rebound by K. Koufos,,19-25,,
11:25.0,,,19-25,,Personal foul by J. Barea (drawn by K. Koufos)
11:12.0,S. Labissiere misses 2-pt shot from 12 ft,,19-25,,
11:09.0,,,19-25,,Defensive rebound by J. Barea
11:00.0,,,19-25,,D. Nowitzki misses 2-pt shot from 20 ft
10:56.0,Defensive rebound by S. Labissiere,,19-25,,
10:52.0,D. Fox makes 2-pt shot from 2 ft,2,21-25,,
10:39.0,,,21-25,,J. Barea misses 2-pt shot from 5 ft
10:38.0,Defensive rebound by D. Fox,,21-25,,
10:28.0,S. Labissiere misses 2-pt shot from 3 ft,,21-25,,
10:28.0,Offensive rebound by D. Fox,,21-25,,
10:25.0,V. Carter makes 3-pt shot from 25 ft (assist by D. Fox),3,24-25,,
9:58.0,,,24-27,2,D. Finney-Smith makes 2-pt shot from 21 ft (assist by J. Barea)
9:45.0,D. Fox makes 2-pt shot from 17 ft,2,26-27,,
9:26.0,Personal foul by S. Labissiere (drawn by D. Nowitzki),,26-27,,
9:26.0,,,26-27,,Y. Ferrell enters the game for J. Barea
9:20.0,,,26-29,2,S. Mejri makes 2-pt shot from 1 ft (assist by Y. Ferrell)
9:09.0,Turnover by K. Koufos (lost ball; steal by G. Clavell),,26-29,,
9:04.0,Personal foul by K. Koufos (drawn by D. Nowitzki),,26-29,,
8:59.0,,,26-32,3,G. Clavell makes 3-pt shot from 22 ft (assist by Y. Ferrell)
8:52.0,Sacramento full timeout,,26-32,,
8:39.0,D. Fox misses 2-pt shot from 14 ft,,26-32,,
8:36.0,,,26-32,,Defensive rebound by D. Nowitzki
8:23.0,,,26-32,,D. Finney-Smith misses 3-pt shot from 26 ft
8:19.0,,,26-32,,Offensive rebound by G. Clavell
8:18.0,,,26-32,,G. Clavell misses 3-pt shot from 23 ft
8:18.0,Defensive rebound by V. Carter,,26-32,,
8:06.0,S. Labissiere misses 2-pt shot from 15 ft,,26-32,,
8:02.0,,,26-32,,Defensive rebound by Y. Ferrell
7:53.0,,,26-32,,Turnover by Y. Ferrell (bad pass; steal by D. Fox)
7:50.0,D. Fox misses 2-pt shot from 2 ft,,26-32,,
7:47.0,Offensive rebound by G. Temple,,26-32,,
7:36.0,S. Labissiere misses 2-pt shot from 1 ft (block by S. Mejri),,26-32,,
7:33.0,,,26-32,,Defensive rebound by D. Nowitzki
7:30.0,,,26-35,3,D. Finney-Smith makes 3-pt shot from 23 ft (assist by D. Nowitzki)
7:15.0,Turnover by D. Fox (traveling),,26-35,,
7:15.0,,,26-35,,N. Noel enters the game for G. Clavell
7:15.0,,,26-35,,H. Barnes enters the game for D. Nowitzki
7:15.0,,,26-35,,W. Matthews enters the game for S. Mejri
7:15.0,G. Hill enters the game for S. Labissiere,,26-35,,
6:54.0,,,26-35,,Turnover by W. Matthews (lost ball; steal by G. Temple)
6:45.0,G. Temple misses 3-pt shot from 25 ft,,26-35,,
6:39.0,Offensive rebound by K. Koufos,,26-35,,
6:39.0,K. Koufos misses 2-pt shot at rim,,26-35,,
6:38.0,,,26-35,,Defensive rebound by N. Noel
6:33.0,,,26-38,3,Y. Ferrell makes 3-pt shot from 24 ft
6:12.0,D. Fox makes 3-pt shot from 22 ft (assist by G. Temple),3,29-38,,
5:50.0,,,29-38,,H. Barnes misses 2-pt shot from 9 ft
5:47.0,,,29-38,,Offensive rebound by D. Finney-Smith
5:47.0,,,29-40,2,D. Finney-Smith makes 2-pt shot at rim
5:27.0,V. Carter misses 3-pt shot from 22 ft,,29-40,,
5:23.0,,,29-40,,Defensive rebound by Y. Ferrell
5:20.0,,,29-40,,Y. Ferrell misses 3-pt shot from 26 ft
5:15.0,,,29-40,,Offensive rebound by H. Barnes
5:13.0,,,29-40,,W. Matthews misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by G. Temple,,29-40,,
4:54.0,G. Temple makes 3-pt shot from 22 ft (assist by D. Fox),3,32-40,,
4:37.0,,,32-40,,W. Matthews misses 3-pt shot from 25 ft
4:35.0,Defensive rebound by G. Temple,,32-40,,
