time,Sacramento,pts.away,score,pts.home,Dallas
0:58.0,Shooting foul by Y. Ferrell (drawn by Z. Randolph),,88-85,,
0:58.0,Z. Randolph misses free throw 1 of 2,,88-85,,
0:58.0,Offensive rebound by Team,,88-85,,
0:58.0,Z. Randolph makes free throw 2 of 2,1,89-85,,
0:49.0,,,89-85,,Shooting foul by W. Cauley-Stein (drawn by H. Barnes)
0:49.0,,,89-86,1,H. Barnes makes free throw 1 of 2
0:49.0,,,89-86,,N. Noel enters the game for D. Nowitzki
0:49.0,,,89-86,,D. Finney-Smith enters the game for J. Barea
0:49.0,,,89-86,,H. Barnes misses free throw 2 of 2
0:48.0,Defensive rebound by G. Temple,,89-86,,
0:48.0,Sacramento full timeout,,89-86,,
0:48.0,B. Hield enters the game for D. Fox,,89-86,,
0:34.0,Z. Randolph misses 2-pt shot from 15 ft,,89-86,,
0:30.0,Offensive rebound by B. Hield,,89-86,,
0:16.0,G. Hill makes 2-pt shot from 17 ft,2,91-86,,
0:16.0,,,91-86,,Dallas full timeout
0:16.0,,,91-86,,D. Nowitzki enters the game for N. Noel
0:16.0,,,91-86,,J. Barea enters the game for D. Finney-Smith
0:16.0,D. Fox enters the game for Z. Randolph,,91-86,,
0:12.0,,,91-88,2,H. Barnes makes 2-pt shot from 2 ft
0:06.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by G. Temple),2,93-88,,
0:06.0,,,93-88,,Dallas full timeout
0:06.0,,,93-88,,D. Powell enters the game for J. Barea
0:02.0,,,93-88,,W. Matthews misses 3-pt shot from 22 ft
0:02.0,Defensive rebound by D. Fox,,93-88,,
