time,Phoenix,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. A. Len (R. Rondo gains possession),,,,Jump ball: A. Davis vs. A. Len (R. Rondo gains possession)
11:45.0,Personal foul by D. Bender (drawn by A. Davis),,0-0,,
11:38.0,,,0-2,2,R. Rondo makes 2-pt shot from 1 ft (assist by A. Davis)
11:19.0,T. Warren misses 2-pt shot from 12 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by A. Davis
11:12.0,,,0-4,2,A. Davis makes 2-pt shot from 18 ft
10:55.0,D. Booker makes 3-pt shot from 25 ft (assist by D. Bender),3,3-4,,
10:38.0,,,3-4,,R. Rondo misses 2-pt shot from 3 ft
10:35.0,,,3-4,,Offensive rebound by A. Davis
10:34.0,,,3-4,,A. Davis misses 2-pt shot from 1 ft (block by T. Warren)
10:34.0,Defensive rebound by D. Booker,,3-4,,
10:29.0,T. Warren makes 2-pt shot at rim (assist by E. Payton),2,5-4,,
10:25.0,,,5-6,2,E. Okafor makes 2-pt shot at rim (assist by R. Rondo)
10:10.0,E. Payton misses 2-pt shot from 1 ft (block by A. Davis),,5-6,,
10:10.0,Offensive rebound by Team,,5-6,,
10:05.0,T. Warren makes 2-pt shot from 15 ft (assist by D. Bender),2,7-6,,
9:53.0,,,7-8,2,E. Okafor makes 2-pt shot from 8 ft (assist by E. Moore)
9:39.0,E. Payton makes 2-pt shot from 1 ft,2,9-8,,
9:28.0,,,9-8,,E. Moore misses 3-pt shot from 23 ft
9:25.0,Defensive rebound by D. Bender,,9-8,,
9:23.0,D. Booker makes 3-pt shot from 25 ft (assist by D. Bender),3,12-8,,
8:59.0,,,12-8,,A. Davis misses 2-pt shot from 17 ft
8:56.0,Defensive rebound by D. Booker,,12-8,,
8:52.0,Turnover by D. Booker (bad pass; steal by J. Holiday),,12-8,,
8:47.0,,,12-11,3,J. Holiday makes 3-pt shot from 23 ft (assist by R. Rondo)
8:28.0,,,12-11,,Violation by E. Okafor (kicked ball)
8:22.0,D. Booker makes 2-pt shot from 18 ft (assist by A. Len),2,14-11,,
8:12.0,,,14-11,,Turnover by R. Rondo (step out of bounds)
7:53.0,T. Warren makes 2-pt shot from 10 ft (assist by E. Payton),2,16-11,,
7:44.0,,,16-11,,J. Holiday misses 2-pt shot from 8 ft
7:44.0,Defensive rebound by D. Booker,,16-11,,
7:40.0,D. Booker misses 3-pt shot from 27 ft,,16-11,,
7:40.0,,,16-11,,Defensive rebound by E. Moore
7:31.0,,,16-11,,Shooting foul by T. Warren (drawn by A. Davis)
7:31.0,,,16-12,1,A. Davis makes free throw 1 of 2
7:31.0,,,16-13,1,A. Davis makes free throw 2 of 2
7:18.0,D. Bender makes 3-pt shot from 26 ft (assist by D. Booker),3,19-13,,
7:16.0,,,19-13,,New Orleans full timeout
7:05.0,,,19-15,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
6:39.0,D. Booker misses 2-pt shot from 2 ft,,19-15,,
6:37.0,,,19-15,,Defensive rebound by R. Rondo
6:30.0,,,19-15,,Turnover by J. Holiday (bad pass; steal by A. Len)
6:20.0,E. Payton misses 2-pt shot from 3 ft,,19-15,,
6:20.0,T. Warren misses 2-pt shot at rim,,19-15,,
6:20.0,Offensive rebound by T. Warren,,19-15,,
6:19.0,Offensive rebound by T. Warren,,19-15,,
6:19.0,T. Warren misses 2-pt shot at rim,,19-15,,
6:18.0,Offensive rebound by E. Payton,,19-15,,
6:18.0,E. Payton misses 2-pt shot at rim,,19-15,,
6:17.0,,,19-15,,Defensive rebound by A. Davis
6:04.0,,,19-17,2,E. Okafor makes 2-pt shot at rim (assist by E. Moore)
5:48.0,D. Booker makes 2-pt shot from 22 ft,2,21-17,,
5:32.0,,,21-17,,E. Moore misses 2-pt shot from 2 ft
5:30.0,Defensive rebound by A. Len,,21-17,,
5:28.0,Shooting foul by A. Davis (drawn by T. Warren),,21-17,,
5:28.0,Phoenix full timeout,,21-17,,
5:28.0,,,21-17,,D. Liggins enters the game for E. Okafor
5:28.0,,,21-17,,N. Mirotic enters the game for J. Holiday
5:28.0,M. Chriss enters the game for A. Len,,21-17,,
5:28.0,J. Jackson enters the game for D. Booker,,21-17,,
5:28.0,T. Warren makes free throw 1 of 2,1,22-17,,
5:28.0,T. Warren makes free throw 2 of 2,1,23-17,,
5:19.0,Violation by T. Warren (kicked ball),,23-17,,
5:10.0,,,23-17,,A. Davis misses 2-pt shot from 7 ft
5:06.0,Defensive rebound by D. Bender,,23-17,,
5:01.0,Turnover by E. Payton (bad pass; steal by E. Moore),,23-17,,
4:56.0,,,23-17,,A. Davis misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by Team,,23-17,,
4:31.0,E. Payton makes 2-pt shot at rim,2,25-17,,
4:25.0,,,25-17,,R. Rondo misses 2-pt shot from 1 ft (block by M. Chriss)
4:21.0,Defensive rebound by T. Warren,,25-17,,
4:18.0,T. Warren misses 2-pt shot from 18 ft,,25-17,,
4:14.0,,,25-17,,Defensive rebound by D. Liggins
3:56.0,,,25-19,2,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo)
3:35.0,E. Payton makes 2-pt shot from 1 ft,2,27-19,,
3:32.0,Personal foul by M. Chriss (drawn by A. Davis),,27-19,,
3:32.0,,,27-19,,D. Miller enters the game for E. Moore
3:32.0,T. Daniels enters the game for T. Warren,,27-19,,
3:32.0,,,27-19,,A. Davis misses clear path free throw 1 of 2
3:32.0,,,27-19,,Offensive rebound by Team
3:32.0,,,27-22,1,A. Davis makes clear path free throw 2 of 2
3:17.0,,,27-22,,N. Mirotic misses 3-pt shot from 22 ft
3:13.0,Defensive rebound by J. Jackson,,27-22,,
2:55.0,E. Payton misses 2-pt shot from 11 ft,,27-22,,
2:53.0,,,27-22,,Defensive rebound by A. Davis
2:48.0,,,27-21,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
2:32.0,Shooting foul by N. Mirotic (drawn by J. Jackson),,27-21,,
2:32.0,J. Jackson makes free throw 1 of 2,1,28-22,,
2:32.0,,,28-22,,"W. Lemon, Jr. enters the game for R. Rondo"
2:32.0,,,28-22,,I. Clark enters the game for A. Davis
2:32.0,D. Booker enters the game for E. Payton,,28-22,,
2:32.0,J. Jackson makes free throw 2 of 2,1,29-22,,
2:15.0,,,29-22,,D. Miller misses 3-pt shot from 25 ft
2:12.0,Defensive rebound by D. Bender,,29-22,,
2:05.0,D. Bender makes 3-pt shot from 25 ft (assist by D. Booker),3,32-22,,
1:41.0,,,32-24,2,"W. Lemon, Jr. makes 2-pt shot from 3 ft (assist by D. Liggins)"
1:22.0,D. Booker makes 2-pt shot at rim,2,34-24,,
1:10.0,,,34-26,2,N. Mirotic makes 2-pt shot from 1 ft (assist by D. Miller)
0:58.0,D. Booker makes 2-pt shot from 1 ft,2,36-26,,
0:52.0,,,36-26,,N. Mirotic misses 3-pt shot from 23 ft
0:48.0,Defensive rebound by M. Chriss,,36-26,,
0:34.0,D. Booker misses 2-pt shot from 23 ft,,36-26,,
0:31.0,,,36-26,,Defensive rebound by N. Mirotic
0:18.0,,,36-26,,I. Clark misses 2-pt shot from 21 ft
0:15.0,Defensive rebound by M. Chriss,,36-26,,
0:01.0,D. Booker misses 2-pt shot from 21 ft,,36-26,,
0:01.0,Offensive rebound by Team,,36-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,"Offensive foul by M. Chriss (drawn by W. Lemon, Jr.)",,36-26,,
11:41.0,Turnover by M. Chriss (offensive foul),,36-26,,
11:29.0,,,36-26,,N. Mirotic misses 3-pt shot from 24 ft
11:27.0,Defensive rebound by D. Booker,,36-26,,
11:23.0,"Shooting foul by W. Lemon, Jr. (drawn by D. Booker)",,36-26,,
11:23.0,D. Booker makes free throw 1 of 2,1,37-26,,
11:23.0,D. Booker makes free throw 2 of 2,1,38-26,,
10:54.0,,,38-29,3,D. Liggins makes 3-pt shot from 24 ft (assist by N. Mirotic)
10:46.0,T. Warren makes 2-pt shot at rim (assist by D. Booker),2,40-29,,
10:29.0,,,40-29,,I. Clark misses 3-pt shot from 26 ft
10:25.0,Defensive rebound by D. Booker,,40-29,,
10:24.0,M. Chriss makes 2-pt shot at rim (assist by D. Booker),2,42-29,,
10:24.0,Shooting foul by D. Miller (drawn by M. Chriss),,42-29,,
10:24.0,,,42-29,,A. Davis enters the game for N. Mirotic
10:24.0,,,42-29,,J. Holiday enters the game for D. Liggins
10:24.0,M. Chriss misses free throw 1 of 1,,42-29,,
10:23.0,Offensive rebound by Team,,42-29,,
10:23.0,,,42-29,,Loose ball foul by J. Holiday (drawn by T. Warren)
10:08.0,M. Chriss makes 2-pt shot from 1 ft (assist by D. Booker),2,44-29,,
10:08.0,,,44-29,,New Orleans full timeout
9:56.0,,,44-29,,I. Clark misses 2-pt shot from 2 ft (block by M. Chriss)
9:56.0,,,44-29,,Offensive rebound by Team
9:56.0,,,44-29,,"Turnover by W. Lemon, Jr. (turnover)"
9:43.0,Offensive charge foul by M. Chriss (drawn by A. Davis),,44-29,,
9:43.0,Turnover by M. Chriss (offensive foul),,44-29,,
9:43.0,,,44-29,,"E. Moore enters the game for W. Lemon, Jr."
9:43.0,D. Bender enters the game for M. Chriss,,44-29,,
9:26.0,,,44-29,,D. Miller misses 3-pt shot from 26 ft
9:23.0,,,44-29,,Offensive rebound by A. Davis
9:23.0,,,44-31,2,A. Davis makes 2-pt shot from 1 ft
9:23.0,,,44-31,,Shooting foul by J. Jackson (drawn by A. Davis)
9:23.0,,,44-32,1,A. Davis makes free throw 1 of 1
9:10.0,D. Bender misses 2-pt shot from 1 ft,,44-32,,
