time,Utah,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. R. Gobert (N. Mirotic gains possession),,,,Jump ball: R. Lopez vs. R. Gobert (N. Mirotic gains possession)
11:44.0,,,0-2,2,D. Valentine makes 2-pt shot from 3 ft (assist by R. Lopez)
11:29.0,D. Mitchell misses 2-pt shot from 2 ft,,0-2,,
11:28.0,Offensive rebound by D. Favors,,0-2,,
11:28.0,D. Mitchell makes 2-pt shot from 2 ft (assist by R. Rubio),2,2-2,,
11:28.0,Shooting foul by N. Mirotic (drawn by D. Mitchell),,2-2,,
11:28.0,D. Mitchell makes free throw 1 of 1,1,3-2,,
11:13.0,,,3-4,2,K. Dunn makes 2-pt shot from 6 ft
10:55.0,Turnover by R. Rubio (bad pass),,3-4,,
10:40.0,,,3-4,,J. Holiday misses 2-pt shot from 11 ft (block by R. Gobert)
10:40.0,,,3-4,,Offensive rebound by Team
10:39.0,,,3-4,,Turnover by N. Mirotic (step out of bounds)
10:26.0,D. Mitchell misses 2-pt shot from 11 ft (block by R. Lopez),,3-4,,
10:23.0,,,3-4,,Defensive rebound by N. Mirotic
10:17.0,,,3-4,,N. Mirotic misses 3-pt shot from 26 ft
10:13.0,Defensive rebound by R. Gobert,,3-4,,
10:04.0,D. Mitchell makes 2-pt shot from 1 ft,2,5-4,,
9:58.0,,,5-4,,Turnover by K. Dunn (discontinued dribble)
9:42.0,R. Rubio misses 3-pt shot from 22 ft,,5-4,,
9:39.0,,,5-4,,Defensive rebound by N. Mirotic
9:33.0,,,5-4,,J. Holiday misses 3-pt shot from 24 ft
9:29.0,,,5-4,,Offensive rebound by R. Lopez
9:27.0,,,5-7,3,N. Mirotic makes 3-pt shot from 25 ft (assist by R. Lopez)
9:06.0,D. Mitchell makes 3-pt shot from 25 ft (assist by J. Ingles),3,8-7,,
8:55.0,,,8-7,,K. Dunn misses 2-pt shot from 18 ft
8:51.0,Defensive rebound by D. Favors,,8-7,,
8:41.0,D. Mitchell misses 3-pt shot from 24 ft,,8-7,,
8:41.0,,,8-7,,Defensive rebound by D. Valentine
8:20.0,,,8-7,,N. Mirotic misses 2-pt shot from 1 ft
8:17.0,Defensive rebound by D. Favors,,8-7,,
8:13.0,Turnover by D. Favors (out of bounds lost ball),,8-7,,
8:13.0,J. Jerebko enters the game for D. Favors,,8-7,,
8:00.0,,,8-7,,R. Lopez misses 2-pt shot from 9 ft
7:58.0,Defensive rebound by R. Gobert,,8-7,,
7:52.0,R. Gobert misses 2-pt shot from 1 ft (block by R. Lopez),,8-7,,
7:48.0,,,8-7,,Defensive rebound by N. Mirotic
7:45.0,,,8-7,,K. Dunn misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by R. Gobert,,8-7,,
7:26.0,Turnover by D. Mitchell (bad pass; steal by K. Dunn),,8-7,,
7:23.0,Personal foul by J. Ingles (drawn by K. Dunn),,8-7,,
7:16.0,,,8-7,,K. Dunn misses 2-pt shot from 14 ft
7:12.0,Defensive rebound by R. Gobert,,8-7,,
6:53.0,Turnover by R. Rubio (bad pass; steal by J. Holiday),,8-7,,
6:50.0,,,8-7,,Shooting foul by R. Rubio (drawn by J. Holiday)
6:50.0,,,8-7,,Chicago full timeout
6:50.0,,,8-7,,J. Holiday misses free throw 1 of 2
6:50.0,,,8-7,,Offensive rebound by Team
6:50.0,,,8-8,1,J. Holiday makes free throw 2 of 2
6:38.0,J. Ingles misses 3-pt shot from 24 ft,,8-8,,
6:36.0,Offensive rebound by Team,,8-8,,
6:30.0,D. Mitchell makes 2-pt shot at rim,2,10-8,,
6:05.0,,,10-8,,Turnover by N. Mirotic (bad pass; steal by J. Jerebko)
6:00.0,J. Jerebko makes 2-pt shot at rim,2,12-8,,
5:50.0,,,12-11,3,N. Mirotic makes 3-pt shot from 26 ft (assist by K. Dunn)
5:23.0,R. Rubio misses 2-pt shot from 3 ft,,12-11,,
5:20.0,,,12-11,,Defensive rebound by R. Lopez
5:10.0,,,12-13,2,J. Holiday makes 2-pt shot at rim (assist by D. Valentine)
4:52.0,Turnover by D. Mitchell (bad pass),,12-13,,
4:52.0,,,12-13,,D. Nwaba enters the game for J. Holiday
4:52.0,R. Hood enters the game for R. Rubio,,12-13,,
4:41.0,,,12-15,2,D. Valentine makes 2-pt shot from 21 ft
4:21.0,Shooting foul by K. Dunn (drawn by J. Jerebko),,12-15,,
4:21.0,J. Jerebko makes free throw 1 of 2,1,13-15,,
4:21.0,D. Favors enters the game for J. Ingles,,13-15,,
4:21.0,A. Burks enters the game for R. Gobert,,13-15,,
4:21.0,J. Jerebko makes free throw 2 of 2,1,14-15,,
4:12.0,,,14-17,2,R. Lopez makes 2-pt shot from 9 ft (assist by K. Dunn)
3:52.0,A. Burks makes 3-pt shot from 23 ft (assist by J. Jerebko),3,17-17,,
3:37.0,,,17-19,2,K. Dunn makes 2-pt shot from 5 ft
3:32.0,Utah full timeout,,17-19,,
3:32.0,,,17-19,,B. Portis enters the game for N. Mirotic
3:26.0,Turnover by J. Jerebko (bad pass; steal by K. Dunn),,17-19,,
3:23.0,,,17-21,2,K. Dunn makes 2-pt shot at rim
3:02.0,A. Burks misses 3-pt shot from 25 ft,,17-21,,
2:58.0,,,17-21,,Defensive rebound by K. Dunn
2:51.0,,,17-23,2,R. Lopez makes 2-pt shot from 1 ft (assist by K. Dunn)
2:40.0,R. Hood makes 2-pt shot from 17 ft (assist by D. Mitchell),2,19-23,,
2:33.0,,,19-23,,D. Valentine misses 3-pt shot from 25 ft
2:33.0,Defensive rebound by Team,,19-23,,
2:32.0,R. Rubio enters the game for J. Jerebko,,19-23,,
2:32.0,T. Sefolosha enters the game for D. Mitchell,,19-23,,
2:13.0,R. Hood misses 2-pt shot from 20 ft,,19-23,,
2:07.0,,,19-23,,Defensive rebound by K. Dunn
2:05.0,,,19-23,,R. Lopez misses 2-pt shot at rim (block by D. Favors)
2:05.0,,,19-23,,Offensive rebound by R. Lopez
1:58.0,,,19-25,2,R. Lopez makes 2-pt shot from 1 ft
1:53.0,T. Sefolosha misses 3-pt shot from 23 ft,,19-25,,
1:53.0,,,19-25,,Defensive rebound by K. Dunn
1:37.0,,,19-25,,R. Lopez misses 2-pt shot from 9 ft
1:37.0,Defensive rebound by R. Rubio,,19-25,,
1:33.0,Turnover by A. Burks (out of bounds lost ball),,19-25,,
1:33.0,,,19-25,,J. Grant enters the game for K. Dunn
1:13.0,,,19-27,2,R. Lopez makes 2-pt shot from 1 ft (assist by B. Portis)
1:02.0,R. Rubio makes 2-pt shot from 11 ft,2,21-27,,
0:40.0,,,21-27,,B. Portis misses 2-pt shot from 1 ft
0:40.0,Defensive rebound by R. Rubio,,21-27,,
0:35.0,R. Rubio makes 2-pt shot from 14 ft,2,23-27,,
0:35.0,Shooting foul by D. Nwaba (drawn by R. Rubio),,23-27,,
0:35.0,R. Rubio makes free throw 1 of 1,1,24-27,,
0:26.0,,,24-30,3,D. Valentine makes 3-pt shot from 26 ft (assist by B. Portis)
0:00.0,A. Burks misses 2-pt shot from 2 ft,,24-30,,
0:00.0,,,24-30,,Defensive rebound by D. Nwaba
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,R. Hood misses 2-pt shot from 16 ft,,24-30,,
11:43.0,,,24-30,,Defensive rebound by D. Nwaba
11:24.0,,,24-30,,B. Portis misses 2-pt shot from 21 ft
11:21.0,Defensive rebound by A. Burks,,24-30,,
11:17.0,Turnover by R. Rubio (lost ball; steal by J. Grant),,24-30,,
11:17.0,Personal foul by A. Burks (drawn by J. Grant),,24-30,,
11:08.0,Personal foul by R. Hood (drawn by P. Zipser),,24-30,,
11:04.0,,,24-30,,Turnover by P. Zipser (turnover)
10:53.0,,,24-30,,Personal foul by J. Grant (drawn by R. Hood)
10:24.0,R. Hood misses 2-pt shot from 16 ft,,24-30,,
10:21.0,,,24-30,,Defensive rebound by N. Mirotic
10:20.0,,,24-30,,B. Portis misses 3-pt shot from 24 ft
10:20.0,Defensive rebound by R. Rubio,,24-30,,
9:54.0,A. Burks misses 3-pt shot from 25 ft,,24-30,,
9:52.0,Offensive rebound by D. Favors,,24-30,,
9:49.0,A. Burks makes 2-pt shot from 2 ft,2,26-30,,
9:41.0,,,26-32,2,N. Mirotic makes 2-pt shot from 20 ft
9:23.0,R. Hood makes 3-pt shot from 25 ft (assist by R. Rubio),3,29-32,,
9:05.0,,,29-32,,J. Grant misses 2-pt shot from 2 ft
9:05.0,,,29-32,,Offensive rebound by N. Mirotic
9:00.0,,,29-34,2,N. Mirotic makes 2-pt shot at rim
9:00.0,Turnover by A. Burks (turnover),,29-34,,
9:00.0,R. O'Neale enters the game for R. Hood,,29-34,,
9:00.0,D. Mitchell enters the game for R. Rubio,,29-34,,
8:42.0,,,29-34,,Shooting foul by T. Sefolosha (drawn by N. Mirotic)
8:42.0,,,29-35,1,N. Mirotic makes free throw 1 of 2
8:42.0,,,29-36,1,N. Mirotic makes free throw 2 of 2
8:35.0,Offensive foul by A. Burks (drawn by D. Nwaba),,29-36,,
8:35.0,Turnover by A. Burks (offensive foul),,29-36,,
8:21.0,,,29-36,,Turnover by P. Zipser (traveling)
8:10.0,D. Mitchell misses 2-pt shot from 1 ft,,29-36,,
8:08.0,,,29-36,,Defensive rebound by B. Portis
8:03.0,,,29-36,,J. Grant misses 2-pt shot from 9 ft
7:59.0,Defensive rebound by A. Burks,,29-36,,
7:48.0,A. Burks misses 2-pt shot from 2 ft,,29-36,,
7:48.0,,,29-36,,Defensive rebound by B. Portis
7:41.0,,,29-38,2,D. Nwaba makes 2-pt shot from 6 ft (assist by J. Grant)
7:25.0,T. Sefolosha misses 2-pt shot from 20 ft,,29-38,,
7:25.0,,,29-38,,Defensive rebound by P. Zipser
7:13.0,,,29-38,,N. Mirotic misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by D. Favors,,29-38,,
6:59.0,D. Favors misses 2-pt shot from 15 ft,,29-38,,
6:59.0,,,29-38,,Defensive rebound by D. Nwaba
6:49.0,,,29-38,,D. Nwaba misses 2-pt shot from 4 ft
6:49.0,Defensive rebound by D. Favors,,29-38,,
6:40.0,D. Mitchell misses 2-pt shot from 11 ft,,29-38,,
6:40.0,,,29-38,,Defensive rebound by Team
6:40.0,,,29-38,,Chicago full timeout
6:40.0,,,29-38,,K. Dunn enters the game for J. Grant
6:40.0,,,29-38,,R. Lopez enters the game for B. Portis
6:40.0,J. Ingles enters the game for D. Favors,,29-38,,
6:40.0,R. Gobert enters the game for T. Sefolosha,,29-38,,
6:40.0,J. Jerebko enters the game for R. O'Neale,,29-38,,
6:26.0,,,29-38,,P. Zipser misses 2-pt shot from 17 ft
6:19.0,Defensive rebound by J. Ingles,,29-38,,
6:07.0,R. Gobert misses 2-pt shot from 1 ft,,29-38,,
6:07.0,,,29-38,,Defensive rebound by P. Zipser
5:47.0,,,29-38,,N. Mirotic misses 2-pt shot from 2 ft (block by R. Gobert)
5:43.0,Defensive rebound by A. Burks,,29-38,,
5:38.0,J. Jerebko misses 3-pt shot from 22 ft,,29-38,,
5:38.0,,,29-38,,Defensive rebound by P. Zipser
5:28.0,,,29-38,,Shooting foul by J. Ingles (drawn by P. Zipser)
5:28.0,,,29-39,1,P. Zipser makes free throw 1 of 2
5:28.0,,,29-39,,J. Holiday enters the game for D. Nwaba
5:28.0,R. Rubio enters the game for A. Burks,,29-39,,
5:28.0,,,29-39,,P. Zipser misses free throw 2 of 2
5:25.0,Defensive rebound by R. Gobert,,29-39,,
5:14.0,R. Rubio makes 2-pt shot from 1 ft (assist by D. Mitchell),2,31-39,,
5:03.0,,,31-41,2,R. Lopez makes 2-pt shot from 8 ft (assist by K. Dunn)
4:55.0,,,31-41,,Personal foul by P. Zipser (drawn by R. Gobert)
4:55.0,,,31-41,,D. Valentine enters the game for P. Zipser
4:55.0,R. Hood enters the game for D. Mitchell,,31-41,,
4:46.0,J. Ingles misses 3-pt shot from 23 ft,,31-41,,
4:42.0,,,31-41,,Defensive rebound by J. Holiday
4:33.0,,,31-43,2,N. Mirotic makes 2-pt shot from 9 ft
4:14.0,R. Hood makes 2-pt shot from 1 ft (assist by J. Ingles),2,33-43,,
3:59.0,,,33-43,,R. Lopez misses 2-pt shot from 19 ft
3:56.0,Defensive rebound by J. Jerebko,,33-43,,
3:40.0,J. Jerebko makes 3-pt shot from 25 ft (assist by J. Ingles),3,36-43,,
3:22.0,,,36-43,,K. Dunn misses 2-pt shot from 1 ft
3:21.0,Defensive rebound by Team,,36-43,,
3:21.0,,,36-43,,B. Portis enters the game for N. Mirotic
3:21.0,Utah full timeout,,36-43,,
3:07.0,R. Hood misses 2-pt shot from 17 ft,,36-43,,
3:04.0,,,36-43,,Defensive rebound by K. Dunn
3:02.0,,,36-43,,Offensive foul by K. Dunn (drawn by R. Gobert)
3:02.0,,,36-43,,Turnover by K. Dunn (offensive foul)
2:50.0,R. Rubio makes 2-pt shot from 12 ft,2,38-43,,
2:22.0,,,38-43,,B. Portis misses 2-pt shot at rim
2:21.0,Defensive rebound by J. Ingles,,38-43,,
2:19.0,J. Jerebko misses 3-pt shot from 24 ft,,38-43,,
2:19.0,Offensive rebound by R. Gobert,,38-43,,
2:12.0,R. Gobert makes 2-pt shot at rim,2,40-43,,
