time,Golden State,pts.away,score,pts.home,Cleveland
1:35.0,A. Iguodala makes 3-pt shot from 25 ft (assist by J. Bell),3,34-23,,
1:19.0,,,34-23,,Turnover by R. Hood (bad pass; steal by A. Iguodala)
1:14.0,K. Durant misses 2-pt shot from 7 ft,,34-23,,
1:10.0,,,34-23,,Defensive rebound by L. James
1:07.0,,,34-25,2,L. James makes 2-pt shot at rim
0:43.0,K. Durant misses 2-pt shot from 11 ft,,34-25,,
0:41.0,,,34-25,,Defensive rebound by K. Love
0:38.0,,,34-25,,L. Nance enters the game for L. James
0:38.0,S. Curry enters the game for K. Durant,,34-25,,
0:28.0,,,34-25,,K. Love misses 2-pt shot from 7 ft (block by J. Bell)
0:27.0,,,34-25,,Offensive rebound by L. Nance
0:26.0,,,34-25,,L. Nance misses 2-pt shot from 3 ft
0:25.0,,,34-25,,Offensive rebound by K. Love
0:20.0,,,34-25,,K. Love misses 2-pt shot from 2 ft
0:20.0,,,34-25,,Offensive rebound by R. Hood
0:17.0,,,34-25,,K. Korver misses 3-pt shot from 26 ft
0:15.0,,,34-25,,Offensive rebound by K. Love
0:12.0,,,34-25,,K. Love misses 2-pt shot from 1 ft (block by A. Iguodala)
0:08.0,Defensive rebound by N. Young,,34-25,,
0:00.0,S. Curry misses 2-pt shot from 6 ft,,34-25,,
0:00.0,Offensive rebound by Team,,34-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,34-25,,R. Hood misses 2-pt shot from 2 ft (block by D. Green)
11:38.0,,,34-25,,Offensive rebound by L. Nance
11:36.0,,,34-28,3,J. Green makes 3-pt shot from 24 ft (assist by L. Nance)
11:20.0,S. Curry misses 3-pt shot from 27 ft,,34-28,,
11:18.0,,,34-28,,Defensive rebound by L. Nance
11:10.0,,,34-28,,L. James misses 2-pt shot from 1 ft
11:06.0,,,34-28,,Offensive rebound by L. Nance
11:06.0,,,34-30,2,L. Nance makes 2-pt shot at rim
10:54.0,S. Livingston misses 2-pt shot from 13 ft,,34-30,,
10:54.0,,,34-30,,Defensive rebound by Team
10:54.0,Loose ball foul by S. Livingston (drawn by R. Hood),,34-30,,
10:38.0,,,34-30,,Turnover by K. Korver (bad pass; steal by S. Curry)
10:26.0,D. Green makes 2-pt shot at rim (assist by D. West),2,36-30,,
10:11.0,,,36-30,,L. Nance misses 2-pt shot from 1 ft
10:07.0,Defensive rebound by S. Livingston,,36-30,,
10:04.0,Turnover by K. Thompson (bad pass),,36-30,,
9:51.0,Personal foul by D. Green (drawn by J. Green),,36-30,,
9:39.0,,,36-32,2,L. James makes 2-pt shot from 1 ft
9:39.0,,,36-32,,Shooting foul by D. West (drawn by L. James)
9:39.0,,,36-33,1,L. James makes free throw 1 of 1
9:27.0,D. West makes 2-pt shot from 4 ft (assist by S. Curry),2,38-33,,
9:13.0,,,38-33,,R. Hood misses 2-pt shot from 5 ft
9:13.0,Defensive rebound by Team,,38-33,,
8:57.0,K. Thompson misses 2-pt shot from 19 ft (block by J. Green),,38-33,,
8:53.0,,,38-33,,Defensive rebound by R. Hood
8:50.0,,,38-35,2,L. Nance makes 2-pt shot from 2 ft (assist by R. Hood)
8:39.0,D. Green misses 3-pt shot from 28 ft,,38-35,,
8:38.0,,,38-35,,Defensive rebound by Team
8:38.0,,,38-35,,J. Smith enters the game for R. Hood
8:19.0,,,38-35,,J. Green misses 2-pt shot from 5 ft
8:16.0,Defensive rebound by K. Thompson,,38-35,,
8:05.0,,,38-35,,Personal foul by L. Nance (drawn by S. Livingston)
8:05.0,K. Durant enters the game for D. West,,38-35,,
8:05.0,J. Bell enters the game for S. Livingston,,38-35,,
7:55.0,K. Durant misses 2-pt shot from 18 ft,,38-35,,
7:53.0,,,38-35,,Defensive rebound by Team
7:35.0,,,38-35,,J. Green misses 3-pt shot from 25 ft
7:33.0,,,38-35,,Offensive rebound by L. Nance
7:32.0,,,38-35,,Shooting foul by K. Thompson (drawn by K. Korver)
7:32.0,,,38-36,1,K. Korver makes free throw 1 of 3
7:32.0,,,38-36,,K. Korver misses free throw 2 of 3
7:32.0,,,38-36,,Offensive rebound by Team
7:32.0,,,38-37,1,K. Korver makes free throw 3 of 3
7:16.0,S. Curry misses 2-pt shot from 20 ft,,38-37,,
7:13.0,,,38-37,,Defensive rebound by J. Smith
7:12.0,,,38-39,2,L. James makes 2-pt shot at rim (assist by J. Smith)
6:59.0,,,38-39,,Personal foul by J. Smith (drawn by K. Durant)
6:59.0,,,38-39,,Cleveland full timeout
6:43.0,J. Bell makes 2-pt shot from 1 ft (assist by D. Green),2,40-39,,
6:27.0,,,40-41,2,L. Nance makes 2-pt shot from 1 ft (assist by K. Korver)
6:18.0,J. Bell makes 2-pt shot from 3 ft (assist by S. Curry),2,42-41,,
5:49.0,,,42-43,2,L. James makes 2-pt shot from 8 ft
5:44.0,Shooting foul by L. Nance (drawn by K. Durant),,42-43,,
