time,San Antonio,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. P. Gasol (D. Murray gains possession),,,,Jump ball: R. Gobert vs. P. Gasol (D. Murray gains possession)
11:45.0,,,0-0,,Violation by J. Ingles (kicked ball)
11:40.0,P. Gasol misses 3-pt shot from 25 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by R. O'Neale
11:15.0,,,0-0,,D. Mitchell misses 3-pt shot from 26 ft (block by D. Green)
11:11.0,Defensive rebound by D. Green,,0-0,,
11:05.0,K. Anderson makes 2-pt shot from 1 ft (assist by P. Gasol),2,2-0,,
10:45.0,,,2-0,,D. Mitchell misses 3-pt shot from 23 ft
10:43.0,Defensive rebound by P. Gasol,,2-0,,
10:35.0,K. Anderson misses 3-pt shot from 22 ft,,2-0,,
10:33.0,,,2-0,,Defensive rebound by J. Ingles
10:16.0,,,2-2,2,J. Ingles makes 2-pt shot from 3 ft
10:02.0,D. Murray misses 2-pt shot from 6 ft,,2-2,,
10:00.0,,,2-2,,Defensive rebound by R. Gobert
9:53.0,,,2-5,3,J. Ingles makes 3-pt shot from 26 ft
9:34.0,P. Gasol misses 2-pt shot from 20 ft,,2-5,,
9:31.0,,,2-5,,Defensive rebound by R. Gobert
9:26.0,,,2-5,,J. Ingles misses 2-pt shot from 14 ft
9:23.0,Defensive rebound by D. Bertans,,2-5,,
9:14.0,Shooting foul by R. O'Neale (drawn by K. Anderson),,2-5,,
9:14.0,K. Anderson makes free throw 1 of 2,1,3-5,,
9:14.0,K. Anderson makes free throw 2 of 2,1,4-5,,
8:49.0,,,4-5,,Turnover by Team (shot clock)
8:39.0,Turnover by D. Murray (bad pass; steal by D. Mitchell),,4-5,,
8:24.0,Personal foul by D. Green (drawn by D. Mitchell),,4-5,,
8:17.0,,,4-5,,D. Mitchell misses 3-pt shot from 26 ft
8:12.0,Defensive rebound by K. Anderson,,4-5,,
8:09.0,D. Bertans makes 2-pt shot from 2 ft (assist by P. Gasol),2,6-5,,
8:09.0,,,6-5,,Violation by D. Favors (def goaltending)
7:57.0,,,6-7,2,R. O'Neale makes 2-pt shot from 15 ft
7:45.0,,,6-7,,Personal foul by J. Ingles (drawn by K. Anderson)
7:36.0,K. Anderson misses 2-pt shot from 2 ft (block by D. Favors),,6-7,,
7:33.0,,,6-7,,Defensive rebound by J. Ingles
7:23.0,,,6-10,3,J. Ingles makes 3-pt shot from 25 ft
7:06.0,Shooting foul by D. Mitchell (drawn by K. Anderson),,6-10,,
7:06.0,K. Anderson makes free throw 1 of 2,1,7-10,,
7:06.0,K. Anderson makes free throw 2 of 2,1,8-10,,
6:46.0,,,8-10,,D. Favors misses 2-pt shot from 13 ft
6:43.0,Defensive rebound by P. Gasol,,8-10,,
6:35.0,D. Murray makes 2-pt shot from 17 ft,2,10-10,,
6:35.0,,,10-10,,Utah full timeout
6:35.0,,,10-10,,J. Crowder enters the game for D. Favors
6:35.0,M. Ginobili enters the game for D. Green,,10-10,,
6:19.0,,,10-13,3,D. Mitchell makes 3-pt shot from 24 ft
6:03.0,D. Murray misses 2-pt shot from 7 ft (block by R. Gobert),,10-13,,
6:02.0,,,10-13,,Defensive rebound by Team
6:01.0,,,10-13,,J. Jerebko enters the game for R. O'Neale
5:53.0,Loose ball foul by D. Murray (drawn by R. Gobert),,10-13,,
5:44.0,,,10-13,,D. Mitchell misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by P. Gasol,,10-13,,
5:38.0,K. Anderson misses 2-pt shot from 16 ft,,10-13,,
5:33.0,,,10-13,,Defensive rebound by R. Gobert
5:20.0,,,10-13,,J. Crowder misses 3-pt shot from 24 ft
5:18.0,Defensive rebound by Team,,10-13,,
5:18.0,T. Parker enters the game for D. Murray,,10-13,,
5:08.0,Turnover by M. Ginobili (lost ball; steal by J. Ingles),,10-13,,
5:04.0,,,10-15,2,J. Ingles makes 2-pt shot from 3 ft
4:44.0,Shooting foul by R. Gobert (drawn by P. Gasol),,10-15,,
4:44.0,P. Gasol makes free throw 1 of 2,1,11-15,,
4:44.0,P. Gasol makes free throw 2 of 2,1,12-15,,
4:35.0,,,12-15,,J. Ingles misses 3-pt shot from 28 ft
4:31.0,Defensive rebound by P. Gasol,,12-15,,
4:22.0,D. Bertans misses 3-pt shot from 25 ft,,12-15,,
4:20.0,,,12-15,,Defensive rebound by J. Ingles
4:16.0,,,12-15,,J. Jerebko misses 2-pt shot from 1 ft (block by D. Bertans)
4:09.0,Defensive rebound by K. Anderson,,12-15,,
4:07.0,M. Ginobili misses 3-pt shot from 26 ft,,12-15,,
4:06.0,,,12-15,,Defensive rebound by Team
3:52.0,,,12-15,,J. Crowder misses 2-pt shot from 2 ft (block by K. Anderson)
3:49.0,Defensive rebound by K. Anderson,,12-15,,
3:47.0,D. Bertans makes 3-pt shot from 24 ft (assist by K. Anderson),3,15-15,,
3:26.0,,,15-15,,Turnover by D. Mitchell (bad pass)
3:26.0,San Antonio full timeout,,15-15,,
3:26.0,,,15-15,,A. Burks enters the game for J. Ingles
3:26.0,P. Mills enters the game for K. Anderson,,15-15,,
3:26.0,D. Green enters the game for D. Bertans,,15-15,,
3:26.0,,,15-15,,R. O'Neale enters the game for J. Jerebko
3:04.0,,,15-15,,Personal foul by A. Burks (drawn by M. Ginobili)
3:04.0,J. Lauvergne enters the game for P. Gasol,,15-15,,
3:04.0,M. Ginobili misses free throw 1 of 2,,15-15,,
3:04.0,Offensive rebound by Team,,15-15,,
3:04.0,M. Ginobili makes free throw 2 of 2,1,16-15,,
2:47.0,,,16-17,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Crowder)
2:47.0,,,16-17,,Shooting foul by J. Lauvergne (drawn by R. Gobert)
2:47.0,,,16-17,,R. Neto enters the game for D. Mitchell
2:47.0,,,16-18,1,R. Gobert makes free throw 1 of 1
2:38.0,M. Ginobili makes 2-pt shot from 4 ft,2,18-18,,
2:22.0,Personal foul by J. Lauvergne (drawn by R. Gobert),,18-18,,
2:22.0,,,18-18,,D. Favors enters the game for R. Gobert
2:13.0,,,18-20,2,D. Favors makes 2-pt shot from 3 ft (assist by R. Neto)
1:58.0,T. Parker misses 2-pt shot from 5 ft,,18-20,,
1:55.0,,,18-20,,Defensive rebound by D. Favors
1:45.0,,,18-22,2,R. O'Neale makes 2-pt shot from 5 ft (assist by R. Neto)
1:32.0,J. Lauvergne makes 2-pt shot from 5 ft (assist by T. Parker),2,20-22,,
1:11.0,,,20-22,,Shooting foul by D. Green (drawn by D. Favors)
1:11.0,,,20-23,1,D. Favors makes free throw 1 of 2
1:11.0,,,20-24,1,D. Favors makes free throw 2 of 2
1:00.0,M. Ginobili makes 2-pt shot from 6 ft,2,22-24,,
0:35.0,,,22-24,,R. Neto misses 2-pt shot from 12 ft
0:32.0,Defensive rebound by M. Ginobili,,22-24,,
0:29.0,D. Green misses 3-pt shot from 24 ft,,22-24,,
0:26.0,,,22-24,,Defensive rebound by A. Burks
0:03.0,,,22-24,,A. Burks misses 2-pt shot from 15 ft
0:02.0,,,22-24,,Offensive rebound by Team
0:02.0,Loose ball foul by P. Mills (drawn by D. Favors),,22-24,,
0:02.0,K. Anderson enters the game for D. Green,,22-24,,
0:02.0,,,22-24,,D. Favors misses free throw 1 of 2
0:02.0,,,22-24,,Offensive rebound by Team
0:02.0,,,22-25,1,D. Favors makes free throw 2 of 2
0:00.0,K. Anderson misses 3-pt shot from 49 ft,,22-25,,
0:00.0,Offensive rebound by Team,,22-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,22-25,,Shooting foul by D. Bertans (drawn by D. Favors)
11:39.0,,,22-26,1,D. Favors makes free throw 1 of 2
11:39.0,,,22-27,1,D. Favors makes free throw 2 of 2
11:30.0,D. Murray misses 2-pt shot from 5 ft (block by D. Favors),,22-27,,
11:30.0,Offensive rebound by Team,,22-27,,
11:30.0,,,22-27,,Technical foul by J. Jerebko (drawn by P. Mills)
11:30.0,P. Mills misses free throw 1 of 1,,22-27,,
11:30.0,Offensive rebound by Team,,22-27,,
11:28.0,P. Mills misses 3-pt shot from 24 ft,,22-27,,
11:27.0,Offensive rebound by D. Murray,,22-27,,
11:26.0,D. Murray misses 2-pt shot from 1 ft,,22-27,,
11:26.0,Offensive rebound by J. Lauvergne,,22-27,,
11:23.0,J. Lauvergne makes 2-pt shot from 2 ft,2,24-27,,
11:15.0,,,24-27,,Turnover by R. Neto (bad pass; steal by D. Murray)
11:12.0,D. Murray makes 2-pt shot from 1 ft,2,26-27,,
10:47.0,,,26-27,,J. Crowder misses 2-pt shot from 7 ft
10:45.0,,,26-27,,Offensive rebound by D. Favors
10:45.0,,,26-29,2,D. Favors makes 2-pt shot from 1 ft
10:23.0,J. Lauvergne makes 2-pt shot from 3 ft,2,28-29,,
10:08.0,,,28-31,2,R. Neto makes 2-pt shot from 2 ft
9:56.0,J. Lauvergne makes 2-pt shot from 8 ft (assist by P. Mills),2,30-31,,
9:37.0,,,30-34,3,J. Crowder makes 3-pt shot from 24 ft
9:14.0,J. Lauvergne misses 2-pt shot from 10 ft,,30-34,,
9:13.0,Offensive rebound by Team,,30-34,,
8:51.0,B. Forbes makes 2-pt shot from 8 ft (assist by P. Mills),2,32-34,,
8:26.0,,,32-34,,J. Crowder misses 2-pt shot from 5 ft
8:25.0,Defensive rebound by J. Lauvergne,,32-34,,
8:20.0,D. Murray makes 2-pt shot from 6 ft (assist by P. Mills),2,34-34,,
8:07.0,,,34-34,,R. Neto misses 2-pt shot from 13 ft
8:04.0,Defensive rebound by D. Bertans,,34-34,,
7:46.0,B. Forbes makes 2-pt shot from 8 ft,2,36-34,,
7:45.0,,,36-34,,Utah full timeout
7:45.0,,,36-34,,J. Ingles enters the game for D. Favors
7:45.0,,,36-34,,R. Gobert enters the game for R. Neto
7:45.0,,,36-34,,D. Mitchell enters the game for J. Crowder
7:45.0,K. Anderson enters the game for P. Mills,,36-34,,
7:28.0,,,36-34,,Turnover by R. Gobert (out of bounds lost ball)
7:18.0,B. Forbes misses 3-pt shot from 26 ft,,36-34,,
7:13.0,,,36-34,,Defensive rebound by J. Jerebko
7:07.0,,,36-34,,D. Mitchell misses 2-pt shot from 10 ft
7:04.0,,,36-34,,Offensive rebound by R. Gobert
7:04.0,,,36-34,,R. Gobert misses 2-pt shot from 1 ft
7:03.0,Defensive rebound by D. Bertans,,36-34,,
6:56.0,D. Murray makes 2-pt shot from 14 ft,2,38-34,,
6:30.0,,,38-37,3,J. Jerebko makes 3-pt shot from 26 ft (assist by J. Ingles)
6:19.0,,,38-37,,Personal foul by R. O'Neale (drawn by B. Forbes)
6:19.0,,,38-37,,J. Crowder enters the game for J. Jerebko
6:14.0,D. Murray misses 2-pt shot from 16 ft,,38-37,,
6:11.0,,,38-37,,Defensive rebound by D. Mitchell
6:02.0,,,38-39,2,J. Crowder makes 2-pt shot at rim (assist by D. Mitchell)
5:48.0,D. Murray misses 3-pt shot from 22 ft,,38-39,,
5:46.0,,,38-39,,Defensive rebound by J. Ingles
5:25.0,,,38-42,3,J. Crowder makes 3-pt shot from 25 ft (assist by D. Mitchell)
5:25.0,San Antonio full timeout,,38-42,,
5:25.0,P. Gasol enters the game for D. Murray,,38-42,,
5:25.0,T. Parker enters the game for B. Forbes,,38-42,,
5:25.0,D. Green enters the game for J. Lauvergne,,38-42,,
5:05.0,D. Bertans misses 3-pt shot from 25 ft,,38-42,,
5:01.0,,,38-42,,Defensive rebound by D. Mitchell
4:58.0,,,38-42,,D. Mitchell misses 2-pt shot from 2 ft (block by D. Bertans)
4:56.0,Defensive rebound by D. Green,,38-42,,
4:45.0,Turnover by K. Anderson (bad pass; steal by R. Gobert),,38-42,,
4:39.0,,,38-45,3,J. Ingles makes 3-pt shot from 22 ft (assist by R. Gobert)
4:27.0,D. Green misses 2-pt shot from 16 ft,,38-45,,
4:24.0,,,38-45,,Defensive rebound by J. Crowder
4:09.0,,,38-47,2,D. Mitchell makes 2-pt shot from 9 ft
3:51.0,T. Parker makes 2-pt shot from 18 ft (assist by P. Gasol),2,40-47,,
3:30.0,,,40-50,3,D. Mitchell makes 3-pt shot from 26 ft (assist by R. Gobert)
3:10.0,P. Gasol makes 2-pt shot from 2 ft (assist by T. Parker),2,42-50,,
2:55.0,,,42-52,2,J. Ingles makes 2-pt shot from 2 ft
2:38.0,P. Gasol misses 2-pt shot from 4 ft,,42-52,,
2:35.0,,,42-52,,Defensive rebound by D. Mitchell
2:31.0,Personal foul by D. Bertans (drawn by R. Gobert),,42-52,,
2:31.0,M. Ginobili enters the game for D. Bertans,,42-52,,
2:24.0,,,42-54,2,D. Mitchell makes 2-pt shot from 4 ft
2:13.0,,,42-54,,Personal foul by R. Gobert (drawn by M. Ginobili)
2:06.0,M. Ginobili misses 2-pt shot from 14 ft,,42-54,,
2:03.0,Offensive rebound by D. Green,,42-54,,
1:58.0,P. Gasol misses 2-pt shot from 13 ft,,42-54,,
1:56.0,,,42-54,,Defensive rebound by R. Gobert
1:44.0,,,42-54,,J. Ingles misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by T. Parker,,42-54,,
1:35.0,T. Parker makes 2-pt shot from 16 ft,2,44-54,,
1:12.0,,,44-54,,D. Mitchell misses 2-pt shot from 13 ft
1:09.0,Defensive rebound by P. Gasol,,44-54,,
1:02.0,Offensive foul by P. Gasol (drawn by R. Gobert),,44-54,,
1:02.0,Turnover by P. Gasol (offensive foul),,44-54,,
0:50.0,,,44-54,,Turnover by R. Gobert (out of bounds lost ball)
0:50.0,,,44-54,,D. Favors enters the game for R. Gobert
0:38.0,M. Ginobili misses 2-pt shot from 8 ft,,44-54,,
0:35.0,Offensive rebound by P. Gasol,,44-54,,
0:35.0,P. Gasol misses 2-pt shot at rim,,44-54,,
0:35.0,Offensive rebound by P. Gasol,,44-54,,
0:35.0,P. Gasol makes 2-pt shot at rim,2,46-54,,
0:35.0,,,46-54,,Violation by D. Favors (def goaltending)
0:20.0,,,46-54,,D. Mitchell misses 3-pt shot from 26 ft
0:16.0,Defensive rebound by T. Parker,,46-54,,
0:08.0,,,46-54,,Personal foul by D. Mitchell (drawn by T. Parker)
0:00.0,K. Anderson makes 2-pt shot from 2 ft,2,48-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,48-54,,D. Mitchell misses 2-pt shot from 1 ft
11:40.0,Defensive rebound by D. Bertans,,48-54,,
11:34.0,D. Bertans makes 2-pt shot from 2 ft (assist by D. Murray),2,50-54,,
11:18.0,,,50-54,,J. Ingles misses 2-pt shot from 12 ft
11:15.0,,,50-54,,Offensive rebound by R. Gobert
11:05.0,,,50-56,2,D. Favors makes 2-pt shot from 11 ft (assist by D. Mitchell)
10:51.0,D. Murray misses 2-pt shot from 14 ft,,50-56,,
10:48.0,,,50-56,,Defensive rebound by R. Gobert
10:37.0,,,50-56,,D. Mitchell misses 2-pt shot from 18 ft
10:34.0,Defensive rebound by P. Gasol,,50-56,,
10:27.0,P. Gasol misses 3-pt shot from 26 ft,,50-56,,
10:26.0,,,50-56,,Defensive rebound by R. O'Neale
10:07.0,,,50-56,,D. Favors misses 2-pt shot from 14 ft
10:05.0,Defensive rebound by P. Gasol,,50-56,,
9:57.0,D. Green makes 3-pt shot from 25 ft (assist by P. Gasol),3,53-56,,
9:28.0,,,53-56,,R. O'Neale misses 2-pt shot from 6 ft
9:21.0,,,53-56,,Offensive rebound by R. Gobert
9:20.0,,,53-58,2,R. Gobert makes 2-pt shot from 2 ft
9:12.0,D. Green misses 2-pt shot from 15 ft,,53-58,,
9:09.0,,,53-58,,Defensive rebound by R. Gobert
8:57.0,,,53-58,,Turnover by J. Ingles (bad pass; steal by P. Gasol)
8:52.0,D. Murray makes 2-pt shot from 2 ft (assist by K. Anderson),2,55-58,,
8:37.0,,,55-58,,D. Favors misses 3-pt shot from 22 ft
8:36.0,,,55-58,,Offensive rebound by Team
8:28.0,,,55-60,2,D. Mitchell makes 2-pt shot from 6 ft
8:15.0,P. Gasol makes 2-pt shot from 2 ft (assist by D. Murray),2,57-60,,
7:58.0,,,57-60,,D. Mitchell misses 2-pt shot from 10 ft
7:55.0,Defensive rebound by D. Murray,,57-60,,
7:55.0,,,57-60,,Personal foul by J. Ingles (drawn by D. Murray)
7:55.0,Turnover by K. Anderson (traveling),,57-60,,
7:40.0,,,57-60,,Turnover by R. O'Neale (bad pass; steal by D. Bertans)
7:33.0,D. Green misses 2-pt shot from 19 ft,,57-60,,
7:31.0,,,57-60,,Defensive rebound by D. Mitchell
7:20.0,,,57-60,,J. Ingles misses 2-pt shot from 11 ft
7:15.0,,,57-60,,R. Gobert misses 2-pt shot from 1 ft
7:15.0,Defensive rebound by D. Green,,57-60,,
7:15.0,,,57-60,,Defensive rebound by R. Gobert
7:12.0,D. Green makes 2-pt shot from 2 ft,2,59-60,,
7:12.0,,,59-60,,Violation by D. Mitchell (def goaltending)
7:08.0,,,59-60,,Utah full timeout
7:08.0,,,59-60,,J. Crowder enters the game for D. Favors
7:08.0,,,59-60,,R. Neto enters the game for R. O'Neale
6:54.0,,,59-60,,J. Crowder misses 2-pt shot from 19 ft
6:49.0,Defensive rebound by P. Gasol,,59-60,,
6:44.0,K. Anderson makes 2-pt shot from 3 ft (assist by P. Gasol),2,61-60,,
6:44.0,Shooting foul by R. Neto (drawn by K. Anderson),,61-60,,
6:44.0,K. Anderson misses free throw 1 of 1,,61-60,,
6:42.0,,,61-60,,Defensive rebound by R. Gobert
6:21.0,,,61-60,,R. Gobert misses 2-pt shot from 7 ft
6:19.0,Defensive rebound by K. Anderson,,61-60,,
6:01.0,,,61-60,,Personal foul by D. Mitchell (drawn by P. Gasol)
6:01.0,P. Mills enters the game for D. Green,,61-60,,
5:58.0,,,61-60,,Personal foul by J. Crowder (drawn by P. Mills)
5:52.0,P. Mills misses 3-pt shot from 25 ft,,61-60,,
5:47.0,,,61-60,,Defensive rebound by D. Mitchell
5:45.0,,,61-60,,Shooting foul by D. Bertans (drawn by R. Gobert)
5:45.0,,,61-61,1,R. Gobert makes free throw 1 of 2
5:45.0,,,61-61,,R. Gobert misses free throw 2 of 2
5:43.0,Defensive rebound by P. Gasol,,61-61,,
5:30.0,D. Murray makes 2-pt shot from 2 ft (assist by K. Anderson),2,63-61,,
5:20.0,Personal foul by D. Bertans (drawn by J. Crowder),,63-61,,
5:04.0,,,63-61,,R. Neto misses 2-pt shot from 6 ft
5:01.0,Defensive rebound by P. Gasol,,63-61,,
4:46.0,P. Gasol misses 2-pt shot from 9 ft,,63-61,,
4:43.0,,,63-61,,Defensive rebound by J. Crowder
4:38.0,,,63-61,,J. Crowder misses 2-pt shot from 4 ft (block by P. Gasol)
4:36.0,Defensive rebound by P. Gasol,,63-61,,
4:33.0,D. Bertans makes 3-pt shot from 25 ft (assist by D. Murray),3,66-61,,
4:13.0,,,66-61,,Shooting foul by P. Gasol (drawn by J. Ingles)
4:13.0,,,66-62,1,J. Ingles makes free throw 1 of 2
4:13.0,,,66-62,,A. Burks enters the game for D. Mitchell
4:13.0,M. Ginobili enters the game for D. Bertans,,66-62,,
4:13.0,,,66-63,1,J. Ingles makes free throw 2 of 2
3:57.0,P. Gasol misses 2-pt shot from 6 ft (block by R. Gobert),,66-63,,
