time,Miami,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. H. Whiteside (J. Winslow gains possession),,,,Jump ball: Z. Pachulia vs. H. Whiteside (J. Winslow gains possession)
11:48.0,O. White misses 3-pt shot from 22 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by Z. Pachulia
11:23.0,,,0-3,3,D. Green makes 3-pt shot from 25 ft (assist by K. Durant)
11:02.0,G. Dragic misses 2-pt shot from 8 ft (block by K. Thompson),,0-3,,
11:02.0,Offensive rebound by Team,,0-3,,
11:02.0,Turnover by J. Richardson (bad pass; steal by Z. Pachulia),,0-3,,
10:43.0,,,0-5,2,K. Durant makes 2-pt shot from 11 ft
10:31.0,,,0-5,,Personal foul by S. Curry (drawn by O. White)
10:20.0,H. Whiteside misses 2-pt shot from 1 ft,,0-5,,
10:14.0,,,0-5,,Defensive rebound by K. Durant
10:11.0,,,0-5,,S. Curry misses 2-pt shot from 15 ft
10:06.0,Defensive rebound by O. White,,0-5,,
10:00.0,O. White misses 3-pt shot from 25 ft,,0-5,,
9:53.0,,,0-5,,Defensive rebound by K. Thompson
9:49.0,,,0-5,,D. Green misses 2-pt shot from 10 ft
9:41.0,Defensive rebound by H. Whiteside,,0-5,,
9:40.0,G. Dragic makes 2-pt shot from 1 ft,2,2-5,,
9:40.0,Shooting foul by Z. Pachulia (drawn by G. Dragic),,2-5,,
9:40.0,G. Dragic misses free throw 1 of 1,,2-5,,
9:37.0,Offensive rebound by G. Dragic,,2-5,,
9:35.0,Turnover by G. Dragic (lost ball; steal by Z. Pachulia),,2-5,,
9:28.0,Personal foul by J. Richardson (drawn by K. Durant),,2-5,,
9:26.0,,,2-5,,K. Thompson misses 3-pt shot from 26 ft
9:20.0,Defensive rebound by J. Winslow,,2-5,,
9:13.0,Turnover by H. Whiteside (bad pass; steal by S. Curry),,2-5,,
9:08.0,,,2-5,,Turnover by Z. Pachulia (traveling)
8:50.0,H. Whiteside misses 2-pt shot from 10 ft,,2-5,,
8:43.0,,,2-5,,Defensive rebound by D. Green
8:40.0,,,2-8,3,D. Green makes 3-pt shot from 26 ft (assist by S. Curry)
8:17.0,J. Winslow misses 2-pt shot from 10 ft,,2-8,,
8:12.0,,,2-8,,Defensive rebound by K. Durant
8:11.0,Personal foul by O. White (drawn by K. Durant),,2-8,,
8:11.0,J. Johnson enters the game for O. White,,2-8,,
8:01.0,,,2-8,,Z. Pachulia misses 2-pt shot from 5 ft (block by H. Whiteside)
7:56.0,,,2-8,,Offensive rebound by D. Green
7:55.0,,,2-8,,K. Durant misses 2-pt shot from 9 ft
7:51.0,Defensive rebound by H. Whiteside,,2-8,,
7:36.0,J. Johnson misses 2-pt shot from 11 ft (block by K. Thompson),,2-8,,
7:33.0,,,2-8,,Defensive rebound by S. Curry
7:31.0,,,2-8,,Turnover by S. Curry (bad pass; steal by J. Johnson)
7:19.0,J. Johnson makes 2-pt shot from 14 ft,2,4-8,,
7:09.0,,,4-8,,S. Curry misses 3-pt shot from 29 ft
7:06.0,Defensive rebound by H. Whiteside,,4-8,,
6:48.0,J. Winslow misses 2-pt shot from 14 ft,,4-8,,
6:42.0,,,4-8,,Defensive rebound by D. Green
6:40.0,,,4-8,,K. Thompson misses 3-pt shot from 26 ft
6:35.0,Defensive rebound by J. Johnson,,4-8,,
6:27.0,,,4-8,,Personal foul by K. Durant (drawn by J. Johnson)
6:27.0,,,4-8,,Golden State full timeout
6:17.0,J. Richardson makes 2-pt shot from 10 ft (assist by J. Johnson),2,6-8,,
6:02.0,,,6-8,,Turnover by Z. Pachulia (traveling)
5:48.0,H. Whiteside misses 2-pt shot from 11 ft,,6-8,,
5:37.0,,,6-8,,Defensive rebound by D. Green
5:33.0,,,6-10,2,K. Thompson makes 2-pt shot from 19 ft (assist by D. Green)
5:22.0,G. Dragic misses 2-pt shot from 6 ft,,6-10,,
5:21.0,,,6-10,,Defensive rebound by Team
5:21.0,,,6-10,,J. McGee enters the game for D. Green
5:21.0,,,6-10,,A. Iguodala enters the game for Z. Pachulia
5:21.0,T. Johnson enters the game for J. Richardson,,6-10,,
5:08.0,,,6-10,,Turnover by K. Thompson (lost ball; steal by G. Dragic)
5:03.0,G. Dragic makes 2-pt shot from 2 ft (assist by J. Winslow),2,8-10,,
4:52.0,,,8-10,,S. Curry misses 2-pt shot from 7 ft
4:46.0,,,8-10,,Offensive rebound by J. McGee
4:46.0,,,8-10,,J. McGee misses 2-pt shot at rim
4:45.0,,,8-10,,Offensive rebound by J. McGee
4:42.0,,,8-10,,S. Curry misses 2-pt shot from 19 ft (block by J. Johnson)
4:38.0,,,8-10,,Offensive rebound by A. Iguodala
4:37.0,,,8-10,,K. Durant misses 3-pt shot from 26 ft
4:34.0,Defensive rebound by J. Johnson,,8-10,,
4:30.0,J. Winslow makes 2-pt shot from 2 ft (assist by J. Johnson),2,10-10,,
4:16.0,,,10-10,,K. Durant misses 3-pt shot from 26 ft
4:11.0,Defensive rebound by J. Winslow,,10-10,,
3:55.0,Turnover by G. Dragic (bad pass; steal by J. McGee),,10-10,,
3:52.0,,,10-10,,Shooting foul by J. Johnson (drawn by K. Durant)
3:52.0,,,10-11,1,K. Durant makes free throw 1 of 2
3:52.0,,,10-11,,S. Livingston enters the game for K. Thompson
3:52.0,,,10-12,1,K. Durant makes free throw 2 of 2
3:39.0,Miami full timeout,,10-12,,
3:31.0,Shooting foul by K. Durant (drawn by J. Johnson),,10-12,,
3:31.0,J. Johnson makes free throw 1 of 2,1,11-12,,
3:31.0,J. Johnson makes free throw 2 of 2,1,12-12,,
3:20.0,,,12-12,,Shooting foul by T. Johnson (drawn by S. Curry)
3:20.0,,,12-12,,Technical foul by S. Curry
3:20.0,T. Johnson misses technical free throw,,12-12,,
3:20.0,,,12-12,,Defensive rebound by Team
3:20.0,,,12-12,,S. Curry misses free throw 1 of 2
3:20.0,,,12-12,,Offensive rebound by Team
3:20.0,,,12-12,,D. Green enters the game for K. Durant
3:20.0,,,12-13,1,S. Curry makes free throw 2 of 2
3:11.0,T. Johnson makes 3-pt shot from 24 ft (assist by J. Johnson),3,15-13,,
2:58.0,Personal foul by G. Dragic (drawn by D. Green),,15-13,,
2:58.0,,,15-14,1,D. Green makes free throw 1 of 2
2:58.0,K. Olynyk enters the game for G. Dragic,,15-14,,
2:58.0,W. Ellington enters the game for J. Winslow,,15-14,,
2:58.0,J. Richardson enters the game for H. Whiteside,,15-14,,
2:58.0,,,15-15,1,D. Green makes free throw 2 of 2
2:43.0,,,15-15,,Violation by S. Livingston (kicked ball)
2:30.0,J. Johnson makes 3-pt shot from 25 ft (assist by W. Ellington),3,18-15,,
2:16.0,,,18-15,,J. McGee misses 2-pt shot from 3 ft
2:10.0,Defensive rebound by K. Olynyk,,18-15,,
2:10.0,K. Olynyk makes 2-pt shot from 11 ft,2,20-15,,
2:10.0,Shooting foul by J. McGee (drawn by K. Olynyk),,20-15,,
2:10.0,,,20-15,,J. Bell enters the game for J. McGee
