time,Boston,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. A. Baynes (D. Lillard gains possession),,,,Jump ball: J. Nurkic vs. A. Baynes (D. Lillard gains possession)
11:42.0,,,0-0,,A. Aminu misses 2-pt shot from 2 ft
11:40.0,Defensive rebound by A. Baynes,,0-0,,
11:19.0,A. Baynes makes 2-pt shot from 22 ft (assist by T. Rozier),2,2-0,,
11:01.0,,,2-0,,C. McCollum misses 2-pt shot from 19 ft
10:57.0,Defensive rebound by T. Rozier,,2-0,,
10:42.0,M. Morris misses 2-pt shot from 17 ft,,2-0,,
10:39.0,,,2-0,,Defensive rebound by A. Aminu
10:31.0,,,2-3,3,M. Harkless makes 3-pt shot from 22 ft (assist by C. McCollum)
10:16.0,J. Tatum misses 2-pt shot from 13 ft,,2-3,,
10:14.0,Offensive rebound by J. Tatum,,2-3,,
10:09.0,M. Morris makes 3-pt shot from 24 ft (assist by J. Tatum),3,5-3,,
9:48.0,,,5-3,,M. Harkless misses 2-pt shot from 4 ft
9:47.0,,,5-3,,Offensive rebound by M. Harkless
9:46.0,,,5-5,2,M. Harkless makes 2-pt shot from 5 ft
9:30.0,T. Rozier misses 2-pt shot from 18 ft,,5-5,,
9:28.0,,,5-5,,Defensive rebound by M. Harkless
9:21.0,,,5-5,,C. McCollum misses 3-pt shot from 25 ft
9:19.0,Defensive rebound by T. Rozier,,5-5,,
9:09.0,M. Morris makes 3-pt shot from 24 ft (assist by A. Baynes),3,8-5,,
8:51.0,,,8-5,,J. Nurkic misses 2-pt shot from 5 ft
8:49.0,Defensive rebound by A. Horford,,8-5,,
8:33.0,T. Rozier makes 2-pt shot at rim (assist by A. Baynes),2,10-5,,
8:15.0,,,10-7,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
7:57.0,Offensive foul by A. Horford (drawn by D. Lillard),,10-7,,
7:57.0,Turnover by A. Horford (offensive foul),,10-7,,
7:42.0,,,10-7,,A. Aminu misses 3-pt shot from 22 ft
7:39.0,Defensive rebound by A. Horford,,10-7,,
7:31.0,Turnover by A. Horford (lost ball; steal by A. Aminu),,10-7,,
7:27.0,,,10-9,2,A. Aminu makes 2-pt shot from 1 ft (assist by M. Harkless)
7:04.0,J. Tatum misses 2-pt shot from 2 ft (block by J. Nurkic),,10-9,,
7:03.0,,,10-9,,Defensive rebound by C. McCollum
6:54.0,,,10-12,3,D. Lillard makes 3-pt shot from 26 ft
6:41.0,T. Rozier misses 2-pt shot from 14 ft,,10-12,,
6:40.0,,,10-12,,Defensive rebound by A. Aminu
6:31.0,,,10-12,,Turnover by C. McCollum (lost ball; steal by J. Tatum)
6:23.0,A. Horford makes 2-pt shot from 22 ft,2,12-12,,
6:04.0,,,12-14,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
5:40.0,T. Rozier misses 3-pt shot from 24 ft,,12-14,,
5:38.0,,,12-14,,Defensive rebound by C. McCollum
5:35.0,,,12-16,2,C. McCollum makes 2-pt shot at rim
5:34.0,Boston full timeout,,12-16,,
5:34.0,G. Monroe enters the game for A. Baynes,,12-16,,
5:34.0,S. Larkin enters the game for J. Tatum,,12-16,,
5:09.0,Turnover by G. Monroe (bad pass; steal by A. Aminu),,12-16,,
4:59.0,,,12-16,,D. Lillard misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by G. Monroe,,12-16,,
4:45.0,A. Horford misses 2-pt shot from 5 ft,,12-16,,
4:44.0,,,12-16,,Defensive rebound by A. Aminu
4:31.0,,,12-18,2,C. McCollum makes 2-pt shot from 4 ft
4:07.0,Turnover by M. Morris (traveling),,12-18,,
4:07.0,,,12-18,,P. Connaughton enters the game for C. McCollum
4:07.0,,,12-18,,E. Turner enters the game for M. Harkless
3:51.0,,,12-18,,E. Turner misses 3-pt shot from 22 ft
3:49.0,Defensive rebound by S. Larkin,,12-18,,
3:45.0,T. Rozier makes 3-pt shot from 24 ft (assist by S. Larkin),3,15-18,,
3:37.0,Personal take foul by M. Morris (drawn by E. Turner),,15-18,,
3:37.0,,,15-18,,E. Davis enters the game for J. Nurkic
3:37.0,A. Nader enters the game for M. Morris,,15-18,,
3:29.0,,,15-21,3,D. Lillard makes 3-pt shot from 24 ft
3:09.0,Shooting foul by E. Davis (drawn by G. Monroe),,15-21,,
3:09.0,G. Monroe makes free throw 1 of 2,1,16-21,,
3:09.0,G. Monroe makes free throw 2 of 2,1,17-21,,
2:58.0,,,17-24,3,A. Aminu makes 3-pt shot from 24 ft (assist by E. Turner)
2:30.0,A. Nader makes 2-pt shot from 21 ft,2,19-24,,
2:15.0,,,19-24,,D. Lillard misses 3-pt shot from 26 ft
2:14.0,Defensive rebound by G. Monroe,,19-24,,
2:02.0,A. Horford misses 2-pt shot from 8 ft,,19-24,,
2:00.0,,,19-24,,Defensive rebound by E. Davis
