time,Sacramento,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. S. Labissiere (C. McCollum gains possession),,,,Jump ball: J. Nurkic vs. S. Labissiere (C. McCollum gains possession)
11:40.0,,,0-3,3,C. McCollum makes 3-pt shot from 25 ft (assist by M. Harkless)
11:17.0,Z. Randolph makes 2-pt shot from 21 ft,2,2-3,,
11:07.0,Personal block foul by S. Labissiere (drawn by J. Nurkic),,2-3,,
11:01.0,,,2-3,,D. Lillard misses 3-pt shot from 24 ft
10:58.0,Defensive rebound by G. Hill,,2-3,,
10:47.0,S. Labissiere misses 2-pt shot from 16 ft,,2-3,,
10:45.0,,,2-3,,Defensive rebound by N. Vonleh
10:30.0,,,2-5,2,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Lillard)
10:08.0,Shooting foul by M. Harkless (drawn by Z. Randolph),,2-5,,
10:08.0,Z. Randolph makes free throw 1 of 2,1,3-5,,
10:08.0,Z. Randolph makes free throw 2 of 2,1,4-5,,
9:56.0,,,4-7,2,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Lillard)
9:42.0,S. Labissiere misses 2-pt shot from 8 ft,,4-7,,
9:39.0,,,4-7,,Defensive rebound by C. McCollum
9:33.0,,,4-7,,Turnover by C. McCollum (lost ball; steal by D. Fox)
9:17.0,S. Labissiere misses 2-pt shot from 7 ft,,4-7,,
9:13.0,Offensive rebound by S. Labissiere,,4-7,,
9:10.0,G. Hill makes 3-pt shot from 24 ft (assist by S. Labissiere),3,7-7,,
9:00.0,Personal foul by D. Fox (drawn by D. Lillard),,7-7,,
8:43.0,,,7-7,,J. Nurkic misses 2-pt shot from 3 ft (block by S. Labissiere)
8:41.0,Defensive rebound by S. Labissiere,,7-7,,
8:39.0,D. Fox misses 2-pt shot from 1 ft (block by D. Lillard),,7-7,,
8:39.0,Offensive rebound by Team,,7-7,,
8:34.0,G. Temple misses 2-pt shot from 22 ft,,7-7,,
8:31.0,,,7-7,,Defensive rebound by N. Vonleh
8:24.0,,,7-7,,C. McCollum misses 3-pt shot from 26 ft
8:20.0,,,7-7,,Offensive rebound by J. Nurkic
8:15.0,,,7-9,2,J. Nurkic makes 2-pt shot from 10 ft (assist by D. Lillard)
8:02.0,S. Labissiere misses 2-pt shot from 3 ft,,7-9,,
7:58.0,,,7-9,,Defensive rebound by N. Vonleh
7:49.0,,,7-11,2,N. Vonleh makes 2-pt shot from 20 ft (assist by C. McCollum)
7:34.0,D. Fox makes 2-pt shot from 18 ft,2,9-11,,
7:26.0,,,9-11,,D. Lillard misses 3-pt shot from 30 ft
7:24.0,Defensive rebound by G. Temple,,9-11,,
7:21.0,G. Temple misses 2-pt shot from 2 ft (block by J. Nurkic),,9-11,,
7:18.0,,,9-11,,Defensive rebound by C. McCollum
7:12.0,,,9-11,,D. Lillard misses 2-pt shot from 2 ft
7:11.0,Defensive rebound by Z. Randolph,,9-11,,
7:07.0,,,9-11,,Personal foul by N. Vonleh (drawn by D. Fox)
6:50.0,D. Fox makes 2-pt shot from 7 ft,2,11-11,,
6:44.0,,,11-11,,D. Lillard misses 2-pt shot from 3 ft (block by S. Labissiere)
6:43.0,Defensive rebound by Z. Randolph,,11-11,,
6:26.0,G. Hill makes 3-pt shot from 23 ft,3,14-11,,
6:24.0,,,14-11,,Portland full timeout
6:06.0,,,14-11,,J. Nurkic misses 2-pt shot from 4 ft
6:03.0,Defensive rebound by G. Hill,,14-11,,
5:49.0,G. Hill makes 2-pt shot from 5 ft (assist by D. Fox),2,16-11,,
5:27.0,,,16-13,2,N. Vonleh makes 2-pt shot at rim (assist by C. McCollum)
5:04.0,Z. Randolph makes 2-pt shot from 16 ft,2,18-13,,
4:54.0,,,18-13,,Offensive foul by M. Harkless (drawn by G. Hill)
4:54.0,,,18-13,,Turnover by M. Harkless (offensive foul)
4:54.0,,,18-13,,P. Connaughton enters the game for M. Harkless
4:54.0,,,18-13,,E. Turner enters the game for C. McCollum
4:54.0,B. Bogdanovic enters the game for G. Temple,,18-13,,
4:34.0,D. Fox misses 2-pt shot from 22 ft,,18-13,,
4:32.0,,,18-13,,Defensive rebound by J. Nurkic
4:21.0,,,18-13,,J. Nurkic misses 2-pt shot from 3 ft
4:20.0,Defensive rebound by G. Hill,,18-13,,
4:01.0,S. Labissiere misses 2-pt shot from 4 ft,,18-13,,
3:59.0,,,18-13,,Defensive rebound by P. Connaughton
3:55.0,Personal foul by G. Hill (drawn by E. Turner),,18-13,,
3:55.0,,,18-13,,E. Davis enters the game for J. Nurkic
3:55.0,,,18-13,,M. Leonard enters the game for N. Vonleh
3:55.0,W. Cauley-Stein enters the game for S. Labissiere,,18-13,,
3:44.0,,,18-15,2,D. Lillard makes 2-pt shot from 19 ft
3:23.0,Z. Randolph misses 2-pt shot from 5 ft,,18-15,,
