time,Utah,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Gobert (D. Favors gains possession),,,,Jump ball: M. Gasol vs. R. Gobert (D. Favors gains possession)
11:42.0,R. Gobert misses 2-pt shot from 1 ft (block by M. Gasol),,0-0,,
11:39.0,,,0-0,,Defensive rebound by M. Gasol
11:23.0,,,0-0,,D. Brooks misses 3-pt shot from 25 ft
11:19.0,,,0-0,,Offensive rebound by J. Green
11:18.0,,,0-0,,J. Green misses 2-pt shot from 1 ft (block by D. Mitchell)
11:18.0,Defensive rebound by D. Mitchell,,0-0,,
11:07.0,J. Ingles misses 3-pt shot from 25 ft,,0-0,,
11:04.0,,,0-0,,Defensive rebound by B. McLemore
10:46.0,,,0-2,2,B. McLemore makes 2-pt shot from 1 ft (assist by M. Gasol)
10:27.0,J. Ingles makes 2-pt shot at rim,2,2-2,,
10:05.0,,,2-2,,D. Brooks misses 2-pt shot at rim
10:03.0,Defensive rebound by R. Rubio,,2-2,,
9:50.0,Jump ball: M. Gasol vs. D. Favors (R. Gobert gains possession),,,,Jump ball: M. Gasol vs. D. Favors (R. Gobert gains possession)
9:47.0,D. Mitchell misses 3-pt shot from 25 ft,,2-2,,
9:44.0,Offensive rebound by R. Gobert,,2-2,,
9:33.0,D. Favors misses 2-pt shot from 20 ft,,2-2,,
9:31.0,Offensive rebound by R. Gobert,,2-2,,
9:13.0,R. Gobert misses 2-pt shot from 1 ft,,2-2,,
9:09.0,,,2-2,,Defensive rebound by M. Gasol
9:05.0,,,2-2,,M. Gasol misses 3-pt shot from 26 ft
9:04.0,Defensive rebound by Team,,2-2,,
8:51.0,D. Favors makes 2-pt shot at rim (assist by R. Rubio),2,4-2,,
8:27.0,,,4-5,3,B. McLemore makes 3-pt shot from 22 ft (assist by K. Simmons)
8:27.0,,,4-5,,Technical foul by D. Brooks
8:27.0,D. Mitchell makes technical free throw,1,5-5,,
8:17.0,Offensive foul by J. Ingles (drawn by B. McLemore),,5-5,,
8:17.0,Turnover by J. Ingles (offensive foul),,5-5,,
8:05.0,,,5-5,,B. McLemore misses 2-pt shot from 19 ft
8:05.0,Defensive rebound by J. Ingles,,5-5,,
7:54.0,R. Rubio makes 2-pt shot from 8 ft,2,7-5,,
7:41.0,,,7-5,,J. Green misses 3-pt shot from 25 ft
7:39.0,,,7-5,,Offensive rebound by M. Gasol
7:38.0,,,7-8,3,D. Brooks makes 3-pt shot from 25 ft (assist by M. Gasol)
7:12.0,Shooting foul by K. Simmons (drawn by R. Rubio),,7-8,,
7:12.0,R. Rubio makes free throw 1 of 3,1,8-8,,
7:12.0,R. Rubio misses free throw 2 of 3,,8-8,,
7:12.0,Offensive rebound by Team,,8-8,,
7:12.0,R. Rubio makes free throw 3 of 3,1,9-8,,
7:04.0,,,9-8,,Turnover by B. McLemore (bad pass; steal by R. Gobert)
7:04.0,,,9-8,,Personal foul by B. McLemore (drawn by R. Gobert)
6:49.0,Turnover by D. Mitchell (traveling),,9-8,,
6:49.0,,,9-8,,Memphis full timeout
6:49.0,J. Crowder enters the game for D. Favors,,9-8,,
6:32.0,,,9-8,,Turnover by M. Gasol (traveling)
6:20.0,Shooting foul by D. Brooks (drawn by R. Rubio),,9-8,,
6:20.0,R. Rubio makes free throw 1 of 2,1,10-8,,
6:20.0,,,10-8,,X. Rathan-Mayes enters the game for K. Simmons
6:20.0,R. Rubio makes free throw 2 of 2,1,11-8,,
6:20.0,,,11-8,,J. Martin enters the game for B. McLemore
6:04.0,,,11-8,,J. Green misses 2-pt shot from 1 ft (block by R. Gobert)
6:00.0,Defensive rebound by R. Gobert,,11-8,,
5:46.0,R. Rubio misses 2-pt shot from 17 ft,,11-8,,
5:43.0,,,11-8,,Defensive rebound by M. Gasol
5:35.0,,,11-10,2,X. Rathan-Mayes makes 2-pt shot from 19 ft
5:20.0,J. Crowder makes 3-pt shot from 23 ft (assist by J. Ingles),3,14-10,,
4:58.0,,,14-12,2,X. Rathan-Mayes makes 2-pt shot from 20 ft
4:42.0,D. Mitchell misses 2-pt shot at rim,,14-12,,
4:42.0,,,14-12,,Defensive rebound by Team
4:42.0,Loose ball foul by R. Gobert (drawn by X. Rathan-Mayes),,14-12,,
4:42.0,,,14-12,,W. Selden enters the game for J. Green
4:42.0,R. O'Neale enters the game for J. Ingles,,14-12,,
4:22.0,,,14-12,,D. Brooks misses 2-pt shot from 5 ft
4:20.0,Defensive rebound by R. Rubio,,14-12,,
4:17.0,J. Crowder makes 2-pt shot at rim (assist by R. O'Neale),2,16-12,,
