time,Charlotte,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. D. Howard (M. Williams gains possession),,,,Jump ball: C. Capela vs. D. Howard (M. Williams gains possession)
11:43.0,Turnover by M. Williams (bad pass; steal by R. Anderson),,0-0,,
11:23.0,,,0-0,,Shooting foul by D. Howard (drawn by C. Capela)
11:23.0,,,0-0,,C. Capela misses free throw 1 of 2
11:23.0,,,0-0,,Offensive rebound by Team
11:23.0,,,0-1,1,C. Capela makes free throw 2 of 2
11:06.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,0-1,,
11:04.0,,,0-1,,Defensive rebound by T. Ariza
10:45.0,,,0-1,,Turnover by R. Anderson (lost ball; steal by M. Kidd-Gilchrist)
10:29.0,D. Howard misses 2-pt shot from 3 ft,,0-1,,
10:27.0,,,0-1,,Defensive rebound by T. Ariza
10:13.0,,,0-1,,J. Harden misses 2-pt shot from 1 ft
10:10.0,,,0-1,,Offensive rebound by C. Capela
10:08.0,,,0-1,,C. Capela misses 2-pt shot at rim
10:06.0,Defensive rebound by D. Howard,,0-1,,
10:01.0,D. Howard makes 2-pt shot from 1 ft,2,2-1,,
9:38.0,,,2-1,,T. Ariza misses 2-pt shot from 6 ft
9:36.0,Defensive rebound by N. Batum,,2-1,,
9:30.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,4-1,,
9:17.0,,,4-1,,C. Paul misses 3-pt shot from 27 ft
9:15.0,Defensive rebound by M. Kidd-Gilchrist,,4-1,,
9:06.0,K. Walker misses 2-pt shot at rim,,4-1,,
9:04.0,,,4-1,,Defensive rebound by C. Capela
8:57.0,,,4-1,,T. Ariza misses 2-pt shot at rim (block by D. Howard)
8:55.0,Defensive rebound by N. Batum,,4-1,,
8:47.0,K. Walker makes 2-pt shot from 4 ft,2,6-1,,
8:47.0,Shooting foul by J. Harden (drawn by K. Walker),,6-1,,
8:47.0,K. Walker makes free throw 1 of 1,1,7-1,,
8:37.0,,,7-4,3,J. Harden makes 3-pt shot from 25 ft (assist by C. Paul)
8:22.0,Turnover by N. Batum (bad pass; steal by C. Paul),,7-4,,
8:14.0,,,7-4,,C. Paul misses 2-pt shot from 6 ft
8:12.0,,,7-4,,Offensive rebound by C. Paul
8:09.0,,,7-6,2,C. Paul makes 2-pt shot from 9 ft
7:57.0,,,7-6,,Personal foul by R. Anderson (drawn by M. Williams)
7:50.0,N. Batum misses 2-pt shot from 21 ft,,7-6,,
7:46.0,,,7-6,,Defensive rebound by C. Capela
7:38.0,,,7-6,,J. Harden misses 3-pt shot from 26 ft
7:35.0,Defensive rebound by D. Howard,,7-6,,
7:26.0,D. Howard makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist),2,9-6,,
7:26.0,Shooting foul by C. Capela (drawn by D. Howard),,9-6,,
7:26.0,D. Howard makes free throw 1 of 1,1,10-6,,
7:14.0,,,10-9,3,T. Ariza makes 3-pt shot from 22 ft (assist by C. Paul)
6:48.0,D. Howard misses 2-pt shot from 14 ft,,10-9,,
6:45.0,,,10-9,,Defensive rebound by C. Capela
