time,Utah,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. R. Gobert (D. Favors gains possession),,,,Jump ball: K. Koufos vs. R. Gobert (D. Favors gains possession)
11:42.0,R. Rubio makes 2-pt shot from 1 ft,2,2-0,,
11:32.0,,,2-0,,Turnover by D. Fox (bad pass; steal by R. Rubio)
11:28.0,D. Favors makes 2-pt shot from 1 ft (assist by R. Rubio),2,4-0,,
11:08.0,,,4-0,,B. Bogdanovic misses 2-pt shot from 9 ft
11:05.0,Defensive rebound by R. Gobert,,4-0,,
10:57.0,J. Ingles misses 3-pt shot from 27 ft,,4-0,,
10:57.0,,,4-0,,Defensive rebound by Team
10:50.0,,,4-2,2,K. Koufos makes 2-pt shot from 8 ft (assist by J. Jackson)
10:33.0,R. Rubio misses 2-pt shot from 1 ft,,4-2,,
10:30.0,,,4-2,,Defensive rebound by K. Koufos
10:24.0,,,4-2,,B. Bogdanovic misses 2-pt shot from 11 ft
10:20.0,Defensive rebound by J. Ingles,,4-2,,
10:12.0,R. Rubio misses 2-pt shot from 1 ft,,4-2,,
10:12.0,,,4-2,,Defensive rebound by Z. Randolph
10:04.0,,,4-2,,J. Jackson misses 3-pt shot from 23 ft
10:04.0,Defensive rebound by R. Rubio,,4-2,,
9:50.0,,,4-2,,Personal foul by J. Jackson (drawn by R. Gobert)
9:48.0,J. Ingles makes 2-pt shot from 1 ft (assist by R. Rubio),2,6-2,,
9:32.0,,,6-2,,J. Jackson misses 2-pt shot from 9 ft
9:30.0,Defensive rebound by R. Gobert,,6-2,,
9:22.0,R. Rubio misses 2-pt shot from 16 ft,,6-2,,
9:19.0,,,6-2,,Defensive rebound by K. Koufos
9:08.0,,,6-4,2,D. Fox makes 2-pt shot from 9 ft
8:52.0,Turnover by D. Mitchell (lost ball; steal by J. Jackson),,6-4,,
8:50.0,Personal foul by J. Ingles (drawn by J. Jackson),,6-4,,
8:36.0,,,6-6,2,Z. Randolph makes 2-pt shot from 15 ft (assist by J. Jackson)
8:17.0,D. Favors makes 2-pt shot from 19 ft (assist by J. Ingles),2,8-6,,
