time,Detroit,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Kleber vs. A. Drummond (R. Jackson gains possession),,,,Jump ball: M. Kleber vs. A. Drummond (R. Jackson gains possession)
11:44.0,T. Harris misses 2-pt shot from 15 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by D. Smith
11:25.0,,,0-0,,D. Nowitzki misses 3-pt shot from 25 ft
11:23.0,Defensive rebound by A. Drummond,,0-0,,
11:06.0,A. Drummond misses 2-pt shot from 1 ft,,0-0,,
11:04.0,,,0-0,,Defensive rebound by D. Smith
11:02.0,,,0-0,,H. Barnes misses 2-pt shot from 19 ft
10:59.0,Defensive rebound by R. Jackson,,0-0,,
10:54.0,R. Jackson makes 2-pt shot from 21 ft,2,2-0,,
10:34.0,,,2-2,2,H. Barnes makes 2-pt shot at rim (assist by W. Matthews)
10:20.0,R. Jackson makes 2-pt shot from 8 ft,2,4-2,,
10:00.0,,,4-2,,D. Smith misses 3-pt shot from 25 ft
9:56.0,Defensive rebound by T. Harris,,4-2,,
9:47.0,T. Harris misses 2-pt shot from 10 ft,,4-2,,
9:43.0,Offensive rebound by A. Tolliver,,4-2,,
9:39.0,T. Harris misses 3-pt shot from 26 ft,,4-2,,
9:35.0,,,4-2,,Defensive rebound by D. Nowitzki
9:23.0,,,4-4,2,H. Barnes makes 2-pt shot from 1 ft
9:07.0,A. Tolliver makes 3-pt shot from 23 ft (assist by T. Harris),3,7-4,,
8:44.0,,,7-4,,H. Barnes misses 3-pt shot from 26 ft
8:44.0,Defensive rebound by A. Drummond,,7-4,,
8:36.0,T. Harris makes 2-pt shot from 1 ft (assist by R. Jackson),2,9-4,,
8:21.0,,,9-4,,D. Smith misses 2-pt shot from 16 ft
8:18.0,Defensive rebound by A. Drummond,,9-4,,
8:14.0,Turnover by T. Harris (palming),,9-4,,
7:56.0,,,9-4,,W. Matthews misses 2-pt shot from 21 ft
7:52.0,Defensive rebound by A. Drummond,,9-4,,
