time,Toronto,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Zeller vs. J. Valanciunas (J. Harris gains possession),,,,Jump ball: T. Zeller vs. J. Valanciunas (J. Harris gains possession)
11:41.0,,,0-0,,J. Harris misses 3-pt shot from 24 ft
11:38.0,Defensive rebound by S. Ibaka,,0-0,,
11:23.0,J. Valanciunas makes 2-pt shot from 19 ft (assist by D. DeRozan),2,2-0,,
11:06.0,,,2-0,,T. Zeller misses 2-pt shot from 1 ft (block by S. Ibaka)
11:04.0,Defensive rebound by D. DeRozan,,2-0,,
10:53.0,Offensive foul by S. Ibaka (drawn by R. Hollis-Jefferson),,2-0,,
10:53.0,Turnover by S. Ibaka (offensive foul),,2-0,,
10:36.0,,,2-0,,A. Crabbe misses 2-pt shot from 18 ft
10:34.0,Defensive rebound by J. Valanciunas,,2-0,,
10:31.0,K. Lowry makes 3-pt shot from 25 ft,3,5-0,,
10:06.0,Shooting block foul by O. Anunoby (drawn by T. Zeller),,5-0,,
10:06.0,,,5-0,,T. Zeller misses free throw 1 of 2
10:06.0,,,5-0,,Offensive rebound by Team
10:06.0,,,5-1,1,T. Zeller makes free throw 2 of 2
9:47.0,S. Ibaka makes 2-pt shot from 4 ft (assist by D. DeRozan),2,7-1,,
9:22.0,,,7-1,,T. Zeller misses 2-pt shot from 5 ft (block by J. Valanciunas)
9:20.0,Defensive rebound by J. Valanciunas,,7-1,,
9:11.0,J. Valanciunas makes 3-pt shot from 25 ft (assist by D. DeRozan),3,10-1,,
8:58.0,,,10-1,,S. Dinwiddie misses 3-pt shot from 25 ft
8:55.0,Defensive rebound by J. Valanciunas,,10-1,,
8:46.0,J. Valanciunas makes 2-pt shot from 5 ft (assist by D. DeRozan),2,12-1,,
8:46.0,Shooting foul by T. Zeller (drawn by J. Valanciunas),,12-1,,
8:46.0,,,12-1,,Brooklyn full timeout
8:46.0,J. Valanciunas makes free throw 1 of 1,1,13-1,,
8:29.0,,,13-3,2,S. Dinwiddie makes 2-pt shot from 11 ft
8:18.0,D. DeRozan misses 2-pt shot from 8 ft,,13-3,,
8:15.0,,,13-3,,Defensive rebound by T. Zeller
8:06.0,,,13-3,,Turnover by T. Zeller (bad pass)
7:56.0,,,13-3,,Violation by A. Crabbe (kicked ball)
7:48.0,D. DeRozan makes 2-pt shot from 20 ft (assist by K. Lowry),2,15-3,,
7:37.0,,,15-6,3,A. Crabbe makes 3-pt shot from 25 ft (assist by T. Zeller)
7:19.0,J. Valanciunas misses 3-pt shot from 24 ft,,15-6,,
7:17.0,,,15-6,,Defensive rebound by J. Harris
7:09.0,,,15-6,,T. Zeller misses 2-pt shot from 1 ft
7:07.0,Defensive rebound by J. Valanciunas,,15-6,,
7:04.0,,,15-6,,Personal foul by R. Hollis-Jefferson (drawn by S. Ibaka)
6:58.0,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan),3,18-6,,
6:42.0,,,18-6,,R. Hollis-Jefferson misses 2-pt shot at rim
6:40.0,Defensive rebound by J. Valanciunas,,18-6,,
6:31.0,Turnover by D. DeRozan (bad pass; steal by R. Hollis-Jefferson),,18-6,,
6:25.0,,,18-6,,J. Allen enters the game for J. Harris
6:25.0,,,18-6,,C. LeVert enters the game for T. Zeller
6:07.0,,,18-8,2,R. Hollis-Jefferson makes 2-pt shot from 7 ft
5:57.0,,,18-8,,Personal foul by C. LeVert (drawn by D. DeRozan)
5:48.0,O. Anunoby misses 3-pt shot from 22 ft,,18-8,,
5:44.0,,,18-8,,Defensive rebound by R. Hollis-Jefferson
5:33.0,,,18-8,,C. LeVert misses 2-pt shot from 1 ft (block by S. Ibaka)
5:31.0,Defensive rebound by K. Lowry,,18-8,,
5:31.0,,,18-8,,Personal foul by J. Allen (drawn by K. Lowry)
5:22.0,S. Ibaka misses 2-pt shot from 9 ft,,18-8,,
5:17.0,,,18-8,,Defensive rebound by A. Crabbe
5:13.0,,,18-8,,R. Hollis-Jefferson misses 2-pt shot from 4 ft (block by S. Ibaka)
5:13.0,,,18-8,,Offensive rebound by Team
5:13.0,,,18-8,,Q. Acy enters the game for R. Hollis-Jefferson
5:07.0,,,18-8,,C. LeVert misses 2-pt shot from 13 ft
5:05.0,Defensive rebound by Team,,18-8,,
4:55.0,D. DeRozan makes 2-pt shot from 13 ft,2,20-8,,
4:36.0,,,20-8,,S. Dinwiddie misses 2-pt shot from 11 ft
4:33.0,,,20-8,,Offensive rebound by J. Allen
4:33.0,,,20-8,,Shooting foul by O. Anunoby (drawn by J. Allen)
4:33.0,,,20-9,1,J. Allen makes free throw 1 of 2
4:33.0,J. Poeltl enters the game for O. Anunoby,,20-9,,
4:33.0,C. Miles enters the game for J. Valanciunas,,20-9,,
4:33.0,,,20-10,1,J. Allen makes free throw 2 of 2
4:24.0,C. Miles misses 3-pt shot from 24 ft,,20-10,,
4:22.0,,,20-10,,Defensive rebound by Team
4:10.0,Personal foul by K. Lowry (drawn by J. Allen),,20-10,,
4:05.0,,,20-10,,Shooting foul by C. Miles (drawn by A. Crabbe)
4:05.0,,,20-11,1,A. Crabbe makes free throw 1 of 2
4:05.0,,,20-12,1,A. Crabbe makes free throw 2 of 2
4:00.0,D. DeRozan misses 3-pt shot from 24 ft,,20-12,,
3:58.0,,,20-12,,Defensive rebound by Team
3:49.0,,,20-12,,Shooting foul by J. Poeltl (drawn by J. Allen)
3:49.0,,,20-13,1,J. Allen makes free throw 1 of 2
3:49.0,,,20-13,,J. Allen misses free throw 2 of 2
3:47.0,Defensive rebound by S. Ibaka,,20-13,,
3:37.0,K. Lowry misses 3-pt shot from 26 ft,,20-13,,
3:34.0,,,20-13,,Defensive rebound by J. Allen
3:25.0,,,20-13,,C. LeVert misses 2-pt shot from 2 ft
3:24.0,Defensive rebound by J. Poeltl,,20-13,,
3:21.0,Turnover by J. Poeltl (bad pass; steal by Q. Acy),,20-13,,
3:20.0,,,20-13,,C. LeVert misses 3-pt shot from 25 ft
3:20.0,Defensive rebound by Team,,20-13,,
3:10.0,S. Ibaka makes 2-pt shot from 13 ft,2,22-13,,
2:53.0,,,22-13,,A. Crabbe misses 3-pt shot from 26 ft
2:50.0,Defensive rebound by S. Ibaka,,22-13,,
2:46.0,K. Lowry misses 3-pt shot from 24 ft,,22-13,,
2:44.0,,,22-13,,Defensive rebound by J. Allen
2:39.0,,,22-13,,Offensive foul by J. Allen (drawn by K. Lowry)
2:39.0,,,22-13,,Turnover by J. Allen (offensive foul)
2:39.0,Toronto full timeout,,22-13,,
2:39.0,,,22-13,,M. Doyle enters the game for S. Dinwiddie
2:39.0,,,22-13,,J. Harris enters the game for A. Crabbe
2:39.0,P. Siakam enters the game for K. Lowry,,22-13,,
2:39.0,D. Wright enters the game for S. Ibaka,,22-13,,
2:23.0,J. Poeltl misses 2-pt shot from 1 ft,,22-13,,
2:20.0,,,22-13,,Defensive rebound by Q. Acy
