time,Houston,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. C. Capela (B. Simmons gains possession),,,,Jump ball: J. Embiid vs. C. Capela (B. Simmons gains possession)
11:46.0,,,0-2,2,J. Embiid makes 2-pt shot from 10 ft
11:46.0,,,0-2,,Shooting foul by C. Capela (drawn by J. Embiid)
11:46.0,,,0-3,1,J. Embiid makes free throw 1 of 1
11:32.0,R. Anderson makes 2-pt shot from 18 ft,2,2-3,,
11:12.0,,,2-3,,B. Simmons misses 2-pt shot from 6 ft
11:09.0,,,2-3,,Offensive rebound by B. Simmons
11:08.0,,,2-5,2,B. Simmons makes 2-pt shot from 1 ft
10:57.0,C. Capela misses 2-pt shot from 3 ft,,2-5,,
10:57.0,Offensive rebound by C. Capela,,2-5,,
10:56.0,Shooting foul by R. Covington (drawn by C. Capela),,2-5,,
10:56.0,C. Capela makes free throw 1 of 2,1,3-5,,
10:56.0,C. Capela makes free throw 2 of 2,1,4-5,,
10:35.0,,,4-5,,J. Embiid misses 3-pt shot from 22 ft
10:35.0,Defensive rebound by C. Capela,,4-5,,
10:20.0,Turnover by J. Harden (bad pass; steal by J. Embiid),,4-5,,
10:14.0,,,4-8,3,J. Bayless makes 3-pt shot from 26 ft (assist by R. Covington)
10:00.0,E. Gordon misses 3-pt shot from 26 ft,,4-8,,
10:00.0,,,4-8,,Defensive rebound by J. Embiid
9:48.0,,,4-10,2,B. Simmons makes 2-pt shot from 9 ft (assist by J. Bayless)
9:36.0,J. Harden misses 2-pt shot from 6 ft (block by J. Embiid),,4-10,,
9:36.0,,,4-10,,Defensive rebound by B. Simmons
9:30.0,,,4-10,,J. Bayless misses 3-pt shot from 26 ft
9:30.0,Defensive rebound by C. Capela,,4-10,,
9:18.0,J. Harden misses 3-pt shot from 26 ft,,4-10,,
9:18.0,,,4-10,,Defensive rebound by J. Embiid
9:02.0,,,4-10,,J. Embiid misses 2-pt shot from 12 ft
8:56.0,Defensive rebound by E. Gordon,,4-10,,
8:51.0,Shooting foul by J. Embiid (drawn by E. Gordon),,4-10,,
8:51.0,E. Gordon makes free throw 1 of 2,1,5-10,,
8:51.0,E. Gordon makes free throw 2 of 2,1,6-10,,
8:28.0,,,6-10,,R. Covington misses 3-pt shot from 28 ft
8:24.0,Defensive rebound by E. Gordon,,6-10,,
8:20.0,,,6-10,,Personal foul by J. Bayless (drawn by J. Harden)
8:20.0,,,6-10,,T. McConnell enters the game for J. Embiid
8:20.0,,,6-10,,A. Johnson enters the game for J. Bayless
8:09.0,J. Harden makes 2-pt shot from 14 ft,2,8-10,,
7:51.0,,,8-12,2,B. Simmons makes 2-pt shot from 2 ft
