time,Cleveland,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. T. Thompson (J. Green gains possession),,,,Jump ball: M. Gasol vs. T. Thompson (J. Green gains possession)
11:41.0,,,0-2,2,M. Gasol makes 2-pt shot at rim (assist by T. Evans)
11:27.0,L. James makes 2-pt shot from 1 ft (assist by T. Thompson),2,2-2,,
11:05.0,,,2-2,,J. Green misses 2-pt shot from 2 ft
11:02.0,Defensive rebound by T. Thompson,,2-2,,
10:59.0,J. Smith misses 3-pt shot from 25 ft,,2-2,,
10:55.0,,,2-2,,Defensive rebound by J. Green
10:41.0,,,2-4,2,M. Gasol makes 2-pt shot from 18 ft
10:21.0,,,2-4,,Personal foul by A. Harrison (drawn by G. Hill)
10:15.0,Turnover by C. Osman (traveling),,2-4,,
9:59.0,,,2-6,2,D. Brooks makes 2-pt shot from 11 ft
9:49.0,G. Hill misses 2-pt shot from 13 ft,,2-6,,
9:46.0,,,2-6,,Defensive rebound by M. Gasol
9:38.0,,,2-6,,T. Evans misses 2-pt shot from 1 ft
9:36.0,Defensive rebound by L. James,,2-6,,
9:35.0,Shooting foul by J. Green (drawn by L. James),,2-6,,
9:35.0,L. James makes free throw 1 of 2,1,3-6,,
9:35.0,L. James makes free throw 2 of 2,1,4-6,,
9:31.0,,,4-6,,Turnover by T. Evans (bad pass)
9:21.0,Turnover by J. Smith (bad pass),,4-6,,
9:16.0,,,4-9,3,A. Harrison makes 3-pt shot from 25 ft (assist by M. Gasol)
8:58.0,L. James misses 3-pt shot from 26 ft,,4-9,,
8:58.0,,,4-9,,Defensive rebound by A. Harrison
8:43.0,,,4-9,,T. Evans misses 3-pt shot from 25 ft
8:41.0,Defensive rebound by T. Thompson,,4-9,,
8:34.0,Turnover by G. Hill (bad pass; steal by J. Green),,4-9,,
8:28.0,,,4-11,2,J. Green makes 2-pt shot at rim (assist by A. Harrison)
8:28.0,Cleveland full timeout,,4-11,,
8:05.0,T. Thompson misses 2-pt shot from 13 ft,,4-11,,
8:01.0,,,4-11,,Defensive rebound by M. Gasol
7:57.0,,,4-13,2,D. Brooks makes 2-pt shot from 1 ft (assist by J. Green)
7:57.0,Violation by T. Thompson (def goaltending),,4-13,,
7:42.0,G. Hill makes 2-pt shot at rim,2,6-13,,
7:19.0,,,6-15,2,J. Green makes 2-pt shot from 11 ft (assist by T. Evans)
6:55.0,Turnover by L. James (bad pass; steal by T. Evans),,6-15,,
6:52.0,,,6-15,,Shooting foul by G. Hill (drawn by D. Brooks)
6:52.0,,,6-16,1,D. Brooks makes free throw 1 of 2
6:52.0,,,6-16,,J. Martin enters the game for J. Green
6:52.0,,,6-16,,M. Chalmers enters the game for A. Harrison
