time,Boston,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Portis vs. A. Baynes (S. Larkin gains possession),,,,Jump ball: B. Portis vs. A. Baynes (S. Larkin gains possession)
11:44.0,Turnover by J. Brown (bad pass; steal by Z. LaVine),,0-0,,
11:39.0,,,0-0,,Turnover by D. Nwaba (discontinued dribble)
11:22.0,J. Brown makes 2-pt shot from 2 ft (assist by S. Larkin),2,2-0,,
11:01.0,,,2-0,,B. Portis misses 3-pt shot from 23 ft
10:58.0,Defensive rebound by S. Larkin,,2-0,,
10:45.0,J. Tatum misses 2-pt shot from 1 ft,,2-0,,
10:43.0,Offensive rebound by Team,,2-0,,
10:34.0,A. Horford makes 2-pt shot from 1 ft (assist by J. Brown),2,4-0,,
10:15.0,,,4-0,,Z. LaVine misses 2-pt shot from 21 ft
10:13.0,Defensive rebound by A. Horford,,4-0,,
10:01.0,J. Tatum makes 3-pt shot from 24 ft (assist by A. Horford),3,7-0,,
9:37.0,,,7-0,,Z. LaVine misses 2-pt shot from 3 ft
9:34.0,Defensive rebound by S. Larkin,,7-0,,
9:28.0,A. Horford misses 2-pt shot from 2 ft,,7-0,,
9:26.0,,,7-0,,Defensive rebound by B. Portis
9:15.0,,,7-2,2,B. Portis makes 2-pt shot from 1 ft (assist by K. Dunn)
9:15.0,,,7-2,,Shooting foul by J. Tatum (drawn by B. Portis)
9:15.0,,,7-3,1,B. Portis makes free throw 1 of 1
8:51.0,A. Baynes misses 2-pt shot from 5 ft,,7-3,,
8:49.0,,,7-3,,Defensive rebound by L. Markkanen
8:43.0,,,7-3,,D. Nwaba misses 2-pt shot from 1 ft
8:43.0,,,7-3,,Offensive rebound by D. Nwaba
8:37.0,,,7-5,2,D. Nwaba makes 2-pt shot at rim
8:24.0,J. Brown misses 2-pt shot from 1 ft,,7-5,,
8:22.0,Offensive rebound by A. Baynes,,7-5,,
8:21.0,A. Baynes misses 2-pt shot from 1 ft (block by L. Markkanen),,7-5,,
8:21.0,,,7-5,,Defensive rebound by K. Dunn
8:10.0,,,7-5,,K. Dunn misses 2-pt shot from 1 ft
8:07.0,Defensive rebound by J. Tatum,,7-5,,
8:04.0,J. Tatum makes 2-pt shot from 1 ft,2,9-5,,
7:46.0,,,9-5,,K. Dunn misses 2-pt shot from 21 ft
7:44.0,Defensive rebound by J. Brown,,9-5,,
7:38.0,J. Brown makes 2-pt shot from 2 ft,2,11-5,,
7:38.0,Shooting foul by D. Nwaba (drawn by J. Brown),,11-5,,
7:38.0,J. Brown makes free throw 1 of 1,1,12-5,,
7:18.0,,,12-5,,Z. LaVine misses 2-pt shot from 20 ft
